"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"25000","Massachusetts","1","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",121961433,132671526,149369747,151752080,148728167,150545491,158688618,163386967,172745510,184157030,189735975,181891252,187544777,195827015,203782010,209975913,221837152,235419759,242384464,251844339
"25000","Massachusetts","1","SA7N 1/","81","111-112","  Farm wages and salaries",89573,81110,93610,95851,119497,107623,104885,84681,95011,110105,104836,100420,96063,84085,137457,141727,150022,125685,146495,151833
"25000","Massachusetts","1","SA7N 1/","82","...","  Nonfarm wages and salaries",121871860,132590416,149276137,151656229,148608670,150437868,158583733,163302286,172650499,184046925,189631139,181790832,187448714,195742930,203644553,209834186,221687130,235294074,242237969,251692506
"25000","Massachusetts","1","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",106805400,116678075,132705781,134132009,130422396,131690058,139145888,143219395,151653587,162086381,166689636,158543393,164025984,171838968,179129173,184551248,195333114,207854100,214399838,223318747
"25000","Massachusetts","1","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",90345,113698,127507,159961,176776,190372,214834,247505,230910,238395,238155,244846,268760,223770,226072,205748,196929,213503,223629,236797
"25000","Massachusetts","1","SA7N 1/","101","113","        Forestry and logging",2801,2830,3353,2817,3121,2773,5395,6191,7760,3882,3482,3871,3586,3561,4161,4281,5175,5715,6593,"(NA)"
"25000","Massachusetts","1","SA7N 1/","102","114","        Fishing, hunting and trapping",53049,68636,79631,108744,115800,118884,134193,161294,143020,139419,129658,141066,166360,188189,186880,163304,149879,163537,170644,"(NA)"
"25000","Massachusetts","1","SA7N 1/","103","115","        Support activities for agriculture and forestry",34495,42232,44523,48400,57855,68715,75246,80020,80130,95094,105015,99909,98814,32020,35031,38163,41875,44251,46392,"(NA)"
"25000","Massachusetts","1","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",59353,61297,61557,67086,72113,83711,91061,92490,92331,81465,66050,64728,58875,57227,49915,51718,57731,64026,68033,66094
"25000","Massachusetts","1","SA7N 1/","201","211","        Oil and gas extraction",149,75,64,0,0,808,786,869,"(D)","(D)","(D)","(D)","(D)",815,971,970,922,1034,988,"(NA)"
"25000","Massachusetts","1","SA7N 1/","202","212","        Mining (except oil and gas)",58593,60608,60747,"(D)","(D)",78775,85226,88048,"(D)",79307,63278,60505,54032,51184,43636,42403,47440,52629,56089,"(NA)"
"25000","Massachusetts","1","SA7N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)",4128,5049,3573,"(D)","(D)","(D)","(D)","(D)",5228,5308,8345,9369,10363,10956,"(NA)"
"25000","Massachusetts","1","SA7N 1/","300","22","      Utilities",807449,843399,905694,917075,857480,863311,846318,838792,859176,927625,997407,1049534,1085554,1149098,1107391,1083413,1175389,1169965,1196787,1405007
"25000","Massachusetts","1","SA7N 1/","400","23","      Construction",4842558,5534734,6528778,7291104,7603530,7325707,7498569,7703323,8083787,8358931,8463603,7112815,6887273,7228268,7757313,8373375,9095046,10154682,10932339,11476132
"25000","Massachusetts","1","SA7N 1/","401","236","        Construction of buildings",1089766,1218210,1404786,1615832,1717284,1732512,1858583,1917317,2007469,2043036,2033968,1676041,1566627,1622243,1721929,1860544,2052203,2327207,2551986,"(NA)"
"25000","Massachusetts","1","SA7N 1/","402","237","        Heavy and civil engineering construction",826189,967030,1103416,1159921,1251677,973210,878985,874210,865449,952330,947021,834180,912771,953366,1043048,1017977,1104671,1225021,1327320,"(NA)"
"25000","Massachusetts","1","SA7N 1/","403","238","        Specialty trade contractors",2926603,3349494,4020576,4515351,4634569,4619985,4761001,4911796,5210869,5363565,5482614,4602594,4407875,4652659,4992336,5494854,5938172,6602454,7053033,"(NA)"
"25000","Massachusetts","1","SA7N 1/","500","31-33","      Manufacturing",19641882,20958304,22670501,21213157,19404724,18930168,19050031,19107181,19483584,20575562,19796924,17968543,19153077,19714482,20053067,20025185,20903980,21476506,21248688,21105701
"25000","Massachusetts","1","SA7N 1/","510","321,327-339","        Durable goods manufacturing",14263567,15417257,16838724,15718151,14113077,13541609,13834676,13764758,14068407,14836398,14371799,12901304,13936293,14498518,14728432,14504654,14947809,14978005,15314171,15139071
"25000","Massachusetts","1","SA7N 1/","511","321","          Wood product manufacturing",95528,103282,113799,114703,108049,110636,132386,137424,141096,132733,116995,94583,95884,100439,103172,"(D)","(D)",127768,131560,"(NA)"
"25000","Massachusetts","1","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",346772,370386,388412,382440,348126,313546,333212,342081,352295,383117,353626,289976,298839,312776,319251,324408,349652,364101,371873,"(NA)"
"25000","Massachusetts","1","SA7N 1/","513","331","          Primary metal manufacturing",298862,325834,334235,307548,263469,252051,272314,258978,254026,265456,256513,205918,228509,218124,208403,202136,204837,188173,183994,"(NA)"
"25000","Massachusetts","1","SA7N 1/","514","332","          Fabricated metal product manufacturing",2043952,2050200,2107353,2073554,1913237,1847075,1963999,2140654,2124223,1981595,1969273,1668755,1923390,2024478,2248251,2151575,2210178,2215762,2213246,"(NA)"
"25000","Massachusetts","1","SA7N 1/","515","333","          Machinery manufacturing",1714528,1687957,1862357,1674689,1408193,1298567,1396457,1417607,1356864,1507915,1415807,1186865,1236926,1510215,1374946,1313701,1363210,1384751,1414064,"(NA)"
"25000","Massachusetts","1","SA7N 1/","516","334","          Computer and electronic product manufacturing",6463361,7295026,8366202,7503852,6416100,6350484,6381355,6158506,6330072,6908756,6538550,6013951,6611170,6709609,6797933,6721544,6957620,6925740,7173925,"(NA)"
"25000","Massachusetts","1","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",680917,743013,832229,796686,681763,669105,664014,665488,710220,783878,776105,653891,699892,767207,703808,707891,691614,683143,657040,"(NA)"
"25000","Massachusetts","1","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",99686,95843,102587,"(D)",95587,87664,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25000","Massachusetts","1","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",937999,1015155,985388,"(D)",1023196,1017716,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1267547,1262570,"(D)","(D)","(NA)"
"25000","Massachusetts","1","SA7N 1/","521","337","          Furniture and related product manufacturing",220856,238829,255865,248982,250928,238107,242238,250429,247197,255544,262352,217645,202538,205843,205596,205446,210761,208919,207530,"(NA)"
"25000","Massachusetts","1","SA7N 1/","522","339","          Miscellaneous manufacturing",1361106,1491732,1490297,1540076,1604429,1356658,1370383,1309494,1362938,1329309,1345891,1268259,1331814,1334309,1438639,1438088,1511987,1560477,1554110,"(NA)"
"25000","Massachusetts","1","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",5378315,5541047,5831777,5495006,5291647,5388559,5215355,5342423,5415177,5739164,5425125,5067239,5216784,5215964,5324635,5520531,5956171,6498501,5934517,5966630
"25000","Massachusetts","1","SA7N 1/","531","311","          Food manufacturing",695578,710540,748286,753389,770420,790353,827739,880920,912552,912233,941864,979108,1032601,1044626,1064962,1132256,1162404,1147699,1163077,"(NA)"
"25000","Massachusetts","1","SA7N 1/","532","312","          Beverage and tobacco product manufacturing",125761,127994,138247,137656,135049,127270,128369,125772,131636,138586,151553,140756,154694,164043,182102,172627,221982,241180,268258,"(NA)"
"25000","Massachusetts","1","SA7N 1/","533","313","          Textile mills",468443,460750,470471,426180,402826,379627,359586,320993,282979,241188,206952,170271,180920,189994,196213,197838,196202,190735,185988,"(NA)"
"25000","Massachusetts","1","SA7N 1/","534","314","          Textile product mills",99090,101940,107870,104757,94206,92801,88834,87674,88955,105042,105346,84332,80412,80227,75287,81829,85494,92083,98709,"(NA)"
"25000","Massachusetts","1","SA7N 1/","535","315","          Apparel manufacturing",222839,196700,185793,157558,140019,118717,118719,111087,110841,91326,86327,64455,68332,70976,63311,62676,74997,84985,87855,"(NA)"
"25000","Massachusetts","1","SA7N 1/","536","316","          Leather and allied product manufacturing",107240,102927,101784,91933,80654,122971,108009,147323,134791,92649,99112,89382,97224,103670,100986,99763,110275,107385,121415,"(NA)"
"25000","Massachusetts","1","SA7N 1/","537","322","          Paper manufacturing",800763,815394,838031,771565,724554,714186,696887,666390,635169,672722,632311,538425,561410,532196,539084,545890,547706,542364,539282,"(NA)"
"25000","Massachusetts","1","SA7N 1/","538","323","          Printing and related support activities",805487,824182,863190,824384,737997,708104,721919,730599,832551,857010,802655,706795,685798,704230,681120,698984,693625,768764,723156,"(NA)"
