"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"26000","Michigan","3","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",156280307,165325888,174162418,171959344,172329724,175567690,179133746,182334908,183863921,186761034,185408259,170084980,172826424,182145241,189698282,195041662,204357402,214758816,222822763,229334532
"26000","Michigan","3","SA7N 1/","81","111-112","  Farm wages and salaries",505861,458945,533123,513352,554762,454601,511861,465820,456221,672773,562612,586098,455343,580680,748543,701823,824650,841709,976107,1011707
"26000","Michigan","3","SA7N 1/","82","...","  Nonfarm wages and salaries",155774446,164866943,173629295,171445992,171774962,175113089,178621885,181869088,183407700,186088261,184845647,169498882,172371081,181564561,188949739,194339839,203532752,213917107,221846656,228322825
"26000","Michigan","3","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",134854276,142927957,150528380,147546161,146706751,149247154,152241593,154594163,155572193,157721054,155655163,139648066,142538531,152654968,160042191,165676366,174508499,184447527,191716527,197580678
"26000","Michigan","3","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",121881,127016,133775,140749,130322,134784,147321,150570,144554,147942,160324,165330,184930,191078,204037,218703,245784,259853,277948,308226
"26000","Michigan","3","SA7N 1/","101","113","        Forestry and logging",50518,50296,51747,51848,49798,49761,52674,54781,51845,49973,50699,48535,53597,54785,57314,61466,65121,73325,78344,"(NA)"
"26000","Michigan","3","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",5088,4811,3400,3224,3242,3415,3784,3910,4059,4731,4696,4988,5678,5712,5811,5944,"(NA)"
"26000","Michigan","3","SA7N 1/","103","115","        Support activities for agriculture and forestry",67497,72341,77307,83813,75713,81623,91423,92547,89294,94185,105715,112736,126602,131597,141735,151559,174951,180717,193660,"(NA)"
"26000","Michigan","3","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",337738,346324,346045,336747,302234,307284,328607,355562,370262,385783,413581,347396,414012,442460,463255,476008,512496,453819,402454,401935
"26000","Michigan","3","SA7N 1/","201","211","        Oil and gas extraction",31740,38066,30558,26486,21833,25485,30803,33187,34906,39280,39238,40187,49629,45112,45743,45637,55103,44960,39883,"(NA)"
"26000","Michigan","3","SA7N 1/","202","212","        Mining (except oil and gas)",239430,247138,252185,242191,219162,221333,223299,243936,244979,239546,258832,213652,271624,290576,283587,288749,303015,286676,264249,"(NA)"
"26000","Michigan","3","SA7N 1/","203","213","        Support activities for mining",66568,61120,63302,68070,61239,60466,74505,78439,90377,106957,115511,93557,92759,106772,133925,141622,154378,122183,98322,"(NA)"
"26000","Michigan","3","SA7N 1/","300","22","      Utilities",1272079,1332023,1395861,1424423,1425880,1523836,1500307,1562751,1647151,1777320,1748710,1808300,1826245,1898771,1963800,2016075,2155668,2231699,2263211,2263781
"26000","Michigan","3","SA7N 1/","400","23","      Construction",7346973,8187333,9094016,9101554,8880583,8500954,8652573,8726548,8458950,8229327,7828157,6422523,6294296,6705867,7025415,7366172,8096039,8729475,9416072,10076247
"26000","Michigan","3","SA7N 1/","401","236","        Construction of buildings",1663222,1830259,2059013,2072347,2080516,2023417,2081809,2109776,2028504,1899446,1729194,1390383,1355800,1432481,1453289,1537504,1781117,1906735,2109131,"(NA)"
"26000","Michigan","3","SA7N 1/","402","237","        Heavy and civil engineering construction",803498,916148,1109140,1084995,1008880,915060,992670,1068424,1058901,1021126,1002200,874568,905483,892837,961370,1091050,1159090,1151819,1246587,"(NA)"
"26000","Michigan","3","SA7N 1/","403","238","        Specialty trade contractors",4880253,5440926,5925863,5944212,5791187,5562477,5578094,5548348,5371545,5308755,5096763,4157572,4033013,4380549,4610756,4737618,5155832,5670921,6060354,"(NA)"
"26000","Michigan","3","SA7N 1/","500","31-33","      Manufacturing",41310236,43470860,44632094,41436819,39975310,40311591,39484077,38623970,37852126,37275648,34580816,27509956,28615194,31910911,33811028,34252669,36186622,38233950,39217100,40241885
"26000","Michigan","3","SA7N 1/","510","321,327-339","        Durable goods manufacturing",34266064,36126844,37250036,34068285,32729448,32834531,32041352,31285716,30604352,30199872,27541948,21150014,22005930,25007857,26528459,26762953,28326536,29962051,30542150,31361264
"26000","Michigan","3","SA7N 1/","511","321","          Wood product manufacturing",407923,426741,441653,394278,378452,383892,393920,393628,379226,356416,337485,272759,283130,305998,307792,336735,391875,411350,435003,"(NA)"
"26000","Michigan","3","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",885570,959282,997995,919762,914337,909813,844665,851086,809525,783714,731653,632284,635915,640749,557806,575776,606024,652506,669024,"(NA)"
"26000","Michigan","3","SA7N 1/","513","331","          Primary metal manufacturing",1602138,1669803,1681416,1536415,1467493,1418692,1493158,1478561,1469430,1420136,1356564,957881,1119710,1274669,1397336,1394380,1446493,1451099,1420033,"(NA)"
"26000","Michigan","3","SA7N 1/","514","332","          Fabricated metal product manufacturing",3618949,3820451,3920356,3546456,3496798,3464051,3636881,3747402,3797447,3780099,3704513,2811802,3216871,3630736,3992742,4000765,4296165,4421470,4373096,"(NA)"
"26000","Michigan","3","SA7N 1/","515","333","          Machinery manufacturing",4986561,5103171,5185000,4473990,4042638,4014227,4115438,4242042,4220351,4075232,4013910,3240753,3401858,3894216,4311852,4441775,4662675,4881274,4933739,"(NA)"
"26000","Michigan","3","SA7N 1/","516","334","          Computer and electronic product manufacturing",1058121,1072443,1102554,1071539,995986,970794,999002,1106709,1148259,1204065,1215145,1070734,1100156,1105347,1125695,1171339,1218967,1305413,1369860,"(NA)"
"26000","Michigan","3","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",699315,730519,728678,724619,740377,775740,814127,775824,739642,769190,807010,683868,792826,814449,817932,914622,925828,1075375,1084399,"(NA)"
"26000","Michigan","3","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",17906092,19249848,20042617,18441108,17998786,18370351,17425535,16307471,15619124,15271681,12782490,9308713,9251629,10954077,11525061,11268406,11923819,12665858,12948426,"(NA)"
"26000","Michigan","3","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",566853,561117,562616,514171,507050,518288,305399,291610,291903,315361,325852,268707,282565,320079,354702,377803,384782,454452,457004,"(NA)"
