"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"27000","Minnesota","4","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",83033201,88595038,95704176,98980854,100662677,103499892,109164047,111852874,116907328,123653666,127172794,121111366,124258116,129121233,135388731,139633984,145929624,153917745,158270674,163164319
"27000","Minnesota","4","SA7N 1/","81","111-112","  Farm wages and salaries",454388,421218,499845,491585,542480,477939,437870,425690,410114,505341,453049,633114,546579,427188,691424,517052,523211,592204,663296,687489
"27000","Minnesota","4","SA7N 1/","82","...","  Nonfarm wages and salaries",82578813,88173820,95204331,98489269,100120197,103021953,108726177,111427184,116497214,123148325,126719745,120478252,123711537,128694045,134697307,139116932,145406413,153325541,157607378,162476830
"27000","Minnesota","4","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",70958453,76077104,82290261,85059689,85906015,88346719,93556993,95764162,100111472,106150870,108862123,102183556,105444432,110501524,116299794,120309688,125956832,133238947,136865050,141208441
"27000","Minnesota","4","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",75155,80662,84138,87845,94041,98613,107715,110980,117265,122828,133172,135091,145965,153002,165877,172469,177856,195868,205638,218433
"27000","Minnesota","4","SA7N 1/","101","113","        Forestry and logging",23464,24921,25963,23742,24027,25084,27392,27264,26058,26015,26963,27904,29949,32397,31428,30965,33358,37751,38089,"(NA)"
"27000","Minnesota","4","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",1030,1140,1228,1417,1482,1772,2184,2383,1714,2044,1951,2506,2366,2633,3101,3404,"(NA)"
"27000","Minnesota","4","SA7N 1/","103","115","        Support activities for agriculture and forestry",49885,54049,56336,63073,68874,72301,78906,82234,89435,94629,103826,105473,113972,118654,131943,139138,141865,155016,164145,"(NA)"
"27000","Minnesota","4","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",356461,343486,348549,295265,279251,286276,296368,311698,335492,342583,398295,280871,383890,472936,513520,523464,544298,490975,422515,475035
"27000","Minnesota","4","SA7N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",11127,11541,"(NA)"
"27000","Minnesota","4","SA7N 1/","202","212","        Mining (except oil and gas)",355892,342738,347626,294299,278346,285224,295142,309990,332898,337954,391388,271599,367626,438569,483543,498759,520984,471695,404576,"(NA)"
"27000","Minnesota","4","SA7N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",8153,6398,"(NA)"
"27000","Minnesota","4","SA7N 1/","300","22","      Utilities",716711,743093,782299,842859,849347,812309,897223,898815,929248,962681,1035316,1040768,1095745,1157451,1178883,1265408,1277568,1305862,1302356,1304542
"27000","Minnesota","4","SA7N 1/","400","23","      Construction",4117251,4800245,5308061,5608744,5762960,5881123,6189653,6148361,6258076,6256582,5981709,5045102,4702952,5061398,5433703,5936742,6521819,7279246,7544307,7883401
"27000","Minnesota","4","SA7N 1/","401","236","        Construction of buildings",957612,1107265,1242861,1360849,1420929,1442444,1524714,1565470,1572029,1574964,1481698,1149321,1081153,1156785,1223782,1336267,1504692,1635966,1703735,"(NA)"
"27000","Minnesota","4","SA7N 1/","402","237","        Heavy and civil engineering construction",618723,703025,737916,763378,817679,825362,873859,839136,875087,903951,922696,936458,871210,909130,996739,1089269,1161476,1295346,1296847,"(NA)"
"27000","Minnesota","4","SA7N 1/","403","238","        Specialty trade contractors",2540916,2989955,3327284,3484517,3524352,3613317,3791080,3743755,3810960,3777667,3577315,2959323,2750589,2995483,3213182,3511206,3855651,4347934,4543725,"(NA)"
"27000","Minnesota","4","SA7N 1/","500","31-33","      Manufacturing",15015550,15650578,16445810,16052932,15818336,16086258,16846549,16947466,17400362,17814853,17807639,16060823,16467144,17331151,17965381,18317528,19082279,20089188,20275217,20546791
"27000","Minnesota","4","SA7N 1/","510","321,327-339","        Durable goods manufacturing",10088393,10484229,11138461,10804479,10531144,10732955,11490343,11590784,11920348,12216825,12193643,10814898,11137664,11758497,12271088,12539379,13082829,13764838,13753437,13867150
"27000","Minnesota","4","SA7N 1/","511","321","          Wood product manufacturing",558444,599961,638751,638755,644526,703554,750327,784594,770089,701196,587421,473390,459506,472382,477162,486864,508041,535165,558079,"(NA)"
"27000","Minnesota","4","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",353517,370045,396349,405376,415352,416306,453939,455324,458573,483280,455005,394490,391814,408020,442124,466589,485055,540735,588076,"(NA)"
"27000","Minnesota","4","SA7N 1/","513","331","          Primary metal manufacturing",263195,259618,270786,282814,277076,276689,302553,310081,320325,321587,337636,248762,280434,317494,337105,337368,354339,367195,352715,"(NA)"
"27000","Minnesota","4","SA7N 1/","514","332","          Fabricated metal product manufacturing",1914852,1924867,2038649,1942421,1828195,1799297,1911003,1972732,2065042,2188681,2177016,1894836,1925829,2058204,2207691,2245205,2369143,2408168,2436515,"(NA)"
"27000","Minnesota","4","SA7N 1/","515","333","          Machinery manufacturing",1812286,1851648,1939682,1874488,1739592,1723385,1793174,1825941,1796617,1864257,1889276,1615300,1683963,1804737,1963950,2006752,2086817,2190166,2191693,"(NA)"
"27000","Minnesota","4","SA7N 1/","516","334","          Computer and electronic product manufacturing",3166235,3338009,3584841,3333665,3310132,3393454,3556544,3575327,3761357,3718746,3870234,3620738,3665340,3812683,3942349,4026184,4157100,4398516,4398961,"(NA)"
"27000","Minnesota","4","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",319902,340931,374783,370633,338042,325642,354473,371969,401818,430584,490520,448895,432697,491038,514831,514667,546605,547049,532687,"(NA)"
"27000","Minnesota","4","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",325751,380943,398253,350549,360393,362421,333897,329392,307477,381635,269780,222445,230687,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"27000","Minnesota","4","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",216503,244427,252965,270210,295828,301520,322936,342556,334706,305682,311745,229867,236980,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"27000","Minnesota","4","SA7N 1/","521","337","          Furniture and related product manufacturing",389498,425345,449116,440222,430828,447377,475062,483325,491143,488596,449831,346221,346748,367884,425348,433700,451232,496914,492600,"(NA)"
"27000","Minnesota","4","SA7N 1/","522","339","          Miscellaneous manufacturing",768210,748435,794286,895346,891180,983310,1236435,1139543,1213201,1332581,1355179,1319954,1483666,1473842,1437248,1473621,1532901,1666663,1651454,"(NA)"
"27000","Minnesota","4","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",4927157,5166349,5307349,5248453,5287192,5353303,5356206,5356682,5480014,5598028,5613996,5245925,5329480,5572654,5694293,5778149,5999450,6324350,6521780,6679641
