"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"33000","New Hampshire","1","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",18348810,19560012,21673479,22310997,22565486,23377194,24861228,25963958,27444014,28496230,29097474,28036362,28491292,29496301,30490101,31239215,33033729,34490386,35730974,36945470
"33000","New Hampshire","1","SA7N 1/","81","111-112","  Farm wages and salaries",31120,27683,31366,31515,38528,34354,33140,26478,29392,33691,32080,30728,29396,25729,44980,46378,49092,41128,47938,49689
"33000","New Hampshire","1","SA7N 1/","82","...","  Nonfarm wages and salaries",18317690,19532329,21642113,22279482,22526958,23342840,24828088,25937480,27414622,28462539,29065394,28005634,28461896,29470572,30445121,31192837,32984637,34449258,35683036,36895781
"33000","New Hampshire","1","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",16088550,17204184,19154997,19639745,19686272,20270060,21611332,22610617,23950102,24797706,25190411,23996320,24431435,25436360,26423648,27124475,28811922,30159719,31333185,32436725
"33000","New Hampshire","1","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",23996,27497,29563,28397,26976,27268,28840,29168,29363,30612,28221,26809,27691,27499,33061,32139,37329,39113,36037,37813
"33000","New Hampshire","1","SA7N 1/","101","113","        Forestry and logging",14391,15573,18116,16030,14615,14603,16449,17661,17928,17337,16821,16272,17410,16589,17267,17669,19999,20829,20902,"(NA)"
"33000","New Hampshire","1","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)",520,390,457,306,249,72,72,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33000","New Hampshire","1","SA7N 1/","103","115","        Support activities for agriculture and forestry",9133,11399,10927,11977,11904,12359,12142,11435,11363,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33000","New Hampshire","1","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",8358,9536,8970,20773,22235,21144,24731,27844,29129,34374,30910,26636,27388,27331,28398,28325,28808,30382,32517,32197
"33000","New Hampshire","1","SA7N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",0,0,0,0,0,0,0,0,0,0,"(D)",0,0,0,0,0,"(NA)"
"33000","New Hampshire","1","SA7N 1/","202","212","        Mining (except oil and gas)",6131,7246,6905,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",21103,22840,22554,23876,25354,27185,"(NA)"
"33000","New Hampshire","1","SA7N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",5558,5771,4932,5028,5332,"(NA)"
"33000","New Hampshire","1","SA7N 1/","300","22","      Utilities",180313,173229,179724,179597,183834,182860,207199,193618,188578,195218,223962,222191,220703,238434,231935,234839,237473,225261,220313,231077
"33000","New Hampshire","1","SA7N 1/","400","23","      Construction",834387,905148,992916,1189215,1269824,1259849,1325384,1378260,1426593,1370325,1340151,1147852,1094473,1146123,1176361,1228727,1293480,1428023,1542411,1630388
"33000","New Hampshire","1","SA7N 1/","401","236","        Construction of buildings",219542,240523,270356,337879,382164,356750,376217,390850,396549,373547,349565,276064,260427,267393,265368,277536,287967,325856,362593,"(NA)"
"33000","New Hampshire","1","SA7N 1/","402","237","        Heavy and civil engineering construction",139796,130917,124509,155099,159366,169000,164517,172496,177562,173591,178293,157212,166722,170518,194924,201148,217136,236806,231787,"(NA)"
"33000","New Hampshire","1","SA7N 1/","403","238","        Specialty trade contractors",475049,533708,598051,696237,728294,734099,784650,814914,852482,823187,812293,714576,667324,708212,716069,750043,788377,865361,948031,"(NA)"
"33000","New Hampshire","1","SA7N 1/","500","31-33","      Manufacturing",4051890,4114787,4613347,4367696,3923876,3878953,4063240,4160535,4354424,4508001,4467061,3969155,4073108,4214728,4195088,4270722,4412703,4501892,4663666,4817463
"33000","New Hampshire","1","SA7N 1/","510","321,327-339","        Durable goods manufacturing",3152076,3202530,3647144,3432322,3041831,3011775,3203496,3314769,3490397,3642768,3604575,3197249,3293259,3412542,3352888,3391747,3488117,3516853,3635137,3749162
"33000","New Hampshire","1","SA7N 1/","511","321","          Wood product manufacturing",107542,117842,139489,109031,110465,104123,107373,114287,111939,100661,89730,70994,66052,61995,62066,69670,77258,80234,85851,"(NA)"
"33000","New Hampshire","1","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",86770,91868,103203,105624,106584,110769,121520,128267,129967,129443,117676,97573,99109,103147,103902,96439,95278,104662,116786,"(NA)"
