"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"42000","Pennsylvania","2","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",175755250,184861731,195893879,201372357,204950151,210536131,220406488,228659646,240671105,253472297,260291028,254506876,259820810,270031901,280135639,285315366,296334620,308378815,312472037,320824219
"42000","Pennsylvania","2","SA7N 1/","81","111-112","  Farm wages and salaries",413172,371143,424831,431378,533206,491474,490069,404741,452203,550310,523976,487395,480127,420254,561646,572433,577177,513542,598569,620399
"42000","Pennsylvania","2","SA7N 1/","82","...","  Nonfarm wages and salaries",175342078,184490588,195469048,200940979,204416945,210044657,219916419,228254905,240218902,252921987,259767052,254019481,259340683,269611647,279573993,284742933,295757443,307865273,311873468,320203820
"42000","Pennsylvania","2","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",150872577,159192354,168884816,173203805,175148191,179508100,188341041,196122977,207245593,218704491,224482877,217331955,222044228,232511500,243033385,247574337,258097627,269091034,272852233,280443883
"42000","Pennsylvania","2","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",113540,123962,139402,144983,144532,147724,154682,165053,171436,173544,183537,186898,197663,198536,209835,225643,235217,240558,255968,260888
"42000","Pennsylvania","2","SA7N 1/","101","113","        Forestry and logging",21678,24126,25527,"(D)","(D)","(D)","(D)",21604,"(D)","(D)",20014,18338,21844,22495,27557,31370,29643,33696,33634,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)",8098,"(D)","(D)","(D)","(D)",3553,"(D)","(D)",2295,1359,1308,1462,1591,1482,1551,1645,1517,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","103","115","        Support activities for agriculture and forestry",86650,94294,105777,116009,119425,123447,129753,139896,147624,149282,161228,167201,174511,174579,180687,192791,204023,205217,220817,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",853098,817706,810736,868533,851855,823459,901029,998237,1081578,1160214,1291625,1327220,1758047,2348191,2711100,2721677,3047267,2672861,1937758,2113836
"42000","Pennsylvania","2","SA7N 1/","201","211","        Oil and gas extraction",95966,93519,93277,92163,90491,83707,88613,95580,122197,141747,186856,190926,334659,450785,582853,653180,724753,718642,608291,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","202","212","        Mining (except oil and gas)",677090,640454,626197,672984,651335,626929,681709,746861,769379,761022,819939,784865,821508,895884,927234,879841,873892,777264,656628,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","203","213","        Support activities for mining",80042,83733,91262,103386,110029,112823,130707,155796,190002,257445,284830,351429,601880,1001522,1201013,1188656,1448622,1176955,672839,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","300","22","      Utilities",1995822,2053262,2207626,2235108,2235422,2097340,1940523,1924976,1854098,2019080,2095628,2017458,2059315,2237621,2270939,2273960,2345891,2652118,2656113,2660654
"42000","Pennsylvania","2","SA7N 1/","400","23","      Construction",7963456,8790912,9647387,10392973,10535033,10742947,11175437,11907045,12890208,13467408,13550076,12167323,11880710,12557897,13039671,13199818,13960462,14554231,15127467,16169676
"42000","Pennsylvania","2","SA7N 1/","401","236","        Construction of buildings",1938112,2164599,2325468,2490307,2582420,2643182,2857023,3128075,3236999,3190372,3194305,2762535,2627612,2671105,2786346,2874801,3024827,3285138,3484316,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","402","237","        Heavy and civil engineering construction",1136937,1227546,1340575,1518855,1488187,1547307,1622314,1793478,2058646,2157766,2107712,2100915,2202359,2613282,2775932,2605746,2845084,2694556,2675352,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","403","238","        Specialty trade contractors",4888407,5398767,5981344,6383811,6464426,6552458,6696100,6985492,7594563,8119270,8248059,7303873,7050739,7273510,7477393,7719271,8090551,8574537,8967799,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","500","31-33","      Manufacturing",32953992,33693977,35218298,33751699,32203893,30931085,31096337,31574631,32608903,32755628,32931933,29679657,30094679,31231471,32006022,31978329,33250065,33826035,33443144,34049664
"42000","Pennsylvania","2","SA7N 1/","510","321,327-339","        Durable goods manufacturing",20235542,20756605,21561990,20318643,19202519,18496640,18890639,19537273,20222593,20281904,20540905,17856346,18115262,19224376,19781664,19848142,20560751,20804017,20169094,20636466
"42000","Pennsylvania","2","SA7N 1/","511","321","          Wood product manufacturing",700339,751470,791278,801376,853481,880978,959627,1006258,999433,940219,853262,668604,661608,643758,653488,743949,812645,871370,881210,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",1403937,1418619,1490311,1462834,1416317,1438220,1389833,1470070,1312477,1304025,1261549,1102059,1058843,1052140,1029454,1025411,1073504,1115873,1148195,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","513","331","          Primary metal manufacturing",2526567,2528891,2695700,2475860,2221587,2134226,2203240,2166795,2340849,2465069,2563952,2050195,2213829,2501261,2588448,2584676,2617509,2472856,2320122,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","514","332","          Fabricated metal product manufacturing",3656007,3695084,3902939,3766029,3619448,3547078,3607935,3828053,3976570,4156536,4270879,3698241,3774905,3975673,4131209,4138921,4290142,4359077,4275758,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","515","333","          Machinery manufacturing",3339822,3268984,3286914,3058396,2780077,2589258,2658628,2830901,2935030,3023417,3082796,2612525,2608567,2851445,2975899,2939465,3032987,3020331,2798170,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","516","334","          Computer and electronic product manufacturing",2780374,3005320,3272615,3081629,2824612,2447658,2358339,2379489,2463697,2132718,2106866,1952206,1966457,2056619,2060221,2053246,2133434,2194668,2151156,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",1331445,1319232,1331653,1248473,1142284,1133557,1220477,1229009,1336044,1402453,1471643,1328903,1445591,1531027,1567866,1629841,1708754,1725855,1766790,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",962572,926516,1070986,"(D)","(D)",852196,876910,899418,928195,857194,803553,"(D)",643313,660148,702832,"(D)",745980,831655,"(D)","(NA)"
"42000","Pennsylvania","2","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",1639250,1841051,1605609,"(D)","(D)",1269778,1356358,1445411,1588189,1687920,1904842,"(D)",1785642,1943651,1960021,"(D)",1991694,1971112,"(D)","(NA)"
"42000","Pennsylvania","2","SA7N 1/","521","337","          Furniture and related product manufacturing",743348,801364,851669,854913,817478,802437,819126,809617,839167,840371,791856,632013,595928,615578,654421,658681,679988,740291,777208,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","522","339","          Miscellaneous manufacturing",1151881,1200074,1262316,1310826,1359359,1401254,1440166,1472252,1502942,1471982,1429707,1356963,1360579,1393076,1457805,1420774,1474114,1500929,1501700,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",12718450,12937372,13656308,13433056,13001374,12434445,12205698,12037358,12386310,12473724,12391028,11823311,11979417,12007095,12224358,12130187,12689314,13022018,13274050,13413198
"42000","Pennsylvania","2","SA7N 1/","531","311","          Food manufacturing",2421825,2490955,2582471,2685848,2688306,2766396,2761672,2744565,2762797,2774279,2798740,2802395,2870622,2961491,3053109,3078813,3232842,3339081,3390159,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","532","312","          Beverage and tobacco product manufacturing",318066,341907,385188,438760,401652,349689,313585,319017,299393,315316,315230,310181,323471,303726,317648,336550,389750,436788,444633,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","533","313","          Textile mills",362298,350915,358811,332306,290334,248833,227379,210591,197009,189153,174470,151656,157803,151443,157527,147986,160565,183964,175283,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","534","314","          Textile product mills",230625,239627,248314,240373,239569,240606,233591,205610,174442,171682,174608,139475,134973,141947,151171,150702,160635,137269,136046,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","535","315","          Apparel manufacturing",715417,656793,634642,571776,506249,443510,420585,389388,374770,306059,283543,247879,239908,222701,208804,164252,160270,163289,171092,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","536","316","          Leather and allied product manufacturing",134631,130226,138737,102838,84779,69138,59494,43095,39909,35367,31726,24962,26264,30054,30656,28797,29380,28250,26271,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","537","322","          Paper manufacturing",1380554,1362371,1404833,1403854,1401989,1341417,1317190,1297244,1344721,1381885,1387700,1317670,1372157,1378254,1395791,1394923,1438227,1447107,1439896,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","538","323","          Printing and related support activities",1537956,1578279,1614921,1593894,1529779,1488974,1503018,1481135,1494886,1503998,1461660,1307865,1256648,1235346,1173894,1152112,1184953,1177954,1181381,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","539","324","          Petroleum and coal products manufacturing",419477,374361,382544,412285,401551,403164,436704,436836,451947,465763,463087,446116,419865,445132,433727,443930,489272,521675,515681,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","541","325","          Chemical manufacturing",3678698,3816536,4224536,4085919,3897523,3564976,3374193,3345504,3620338,3695007,3638641,3585029,3618401,3536215,3666031,3540767,3662354,3736765,3792666,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","542","326","          Plastics and rubber products manufacturing",1518903,1595402,1681311,1565203,1559643,1517742,1558287,1564373,1626098,1635215,1661623,1490083,1559305,1600786,1636000,1691355,1781066,1849876,2000942,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","600","42","      Wholesale trade",9128196,9612080,10358088,10696912,10847776,11443561,12360564,13055245,14082175,14952869,15287364,14458357,14729949,15720822,16206829,16417704,17314477,17448615,17108067,17348346
"42000","Pennsylvania","2","SA7N 1/","700","44-45","      Retail trade",12554116,13209079,13955309,14274399,14392863,14845117,15120104,15367878,15655336,15991599,15976194,15575075,15781026,16086161,16428141,16448611,16738312,17432507,17746393,17748123
"42000","Pennsylvania","2","SA7N 1/","701","441","        Motor vehicle and parts dealers",2228186,2418454,2513267,2645659,2739657,2846383,2949255,2926863,2909155,2969226,2834164,2635192,2781108,2952713,3052588,3182075,3373753,3614450,3634879,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","702","442","        Furniture and home furnishings stores",449717,496499,534874,551820,569790,561987,586512,592477,603433,606919,585846,495999,476580,478591,471711,469322,475562,503246,522354,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","703","443","        Electronics and appliance stores",622628,665459,718389,740384,647774,605538,596848,609104,608072,595159,594206,559959,584935,639347,635813,602427,583816,604437,610041,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","704","444","        Building material and garden equipment and supplies dealers",1004605,1067198,1108950,1126193,1141480,1197302,1326656,1417661,1410775,1452413,1457509,1357865,1361527,1374235,1390751,1379863,1379651,1395949,1413630,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","705","445","        Food and beverage stores",2436563,2495188,2580613,2651535,2683397,2780907,2661045,2633015,2680305,2739599,2885925,2883351,2895610,2887583,2970423,2905880,2822167,2917850,3012340,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","706","446","        Health and personal care stores",988569,1011070,1073212,1130199,1187895,1226851,1270278,1292457,1387451,1418591,1449013,1481842,1459587,1464788,1500269,1528216,1540857,1569090,1598592,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","707","447","        Gasoline stations",503361,522174,540409,558856,552111,531088,560244,587548,598200,619743,626463,654594,663459,683223,691188,678043,705487,764053,827398,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","708","448","        Clothing and clothing accessories stores",856891,911585,970221,971904,991730,1021004,1031807,1025905,1017498,1045478,1035441,983636,988805,1001118,1001335,969571,970721,880623,862292,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",395729,413779,441796,448690,462854,434942,432192,428611,417179,410254,403545,409178,427061,420456,423316,432270,436378,453827,447156,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","711","452","        General merchandise stores",1555292,1580003,1730383,1703599,1675901,1832055,1874351,1940117,1979751,2088293,2135095,2160245,2164027,2187422,2203699,2195250,2230635,2382485,2507730,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","712","453","        Miscellaneous store retailers",633609,686452,712093,746967,755199,750296,756997,750925,763715,779030,741806,710050,680304,682996,704126,704375,719130,734406,737106,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","713","454","        Nonstore retailers",878966,941218,1031102,998593,985075,1056764,1073919,1163195,1279802,1266894,1227181,1243164,1298023,1313689,1382922,1401319,1500155,1612091,1572875,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","800","48-49","      Transportation and warehousing",6241750,6611746,6977982,7159810,7294925,7323658,7739872,7877738,8208092,8614049,8737432,8396748,8526341,9044697,9351109,9633694,10292676,11118129,11535136,12150218
"42000","Pennsylvania","2","SA7N 1/","801","481","        Air transportation",1152939,1257946,1344438,1388057,1272050,1085335,982793,775616,682750,703991,655617,631904,651564,669562,660863,745672,817056,975835,945747,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","802","482","        Rail transportation",686956,663365,617616,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",701134,681749,670340,722418,754375,725191,783718,812475,803233,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","803","483","        Water transportation",85785,82629,66343,55316,47989,47292,52198,"(D)",56262,"(D)",65444,59522,54115,49748,45041,39406,39692,42065,45633,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","804","484","        Truck transportation",1910344,2059261,2189616,2249939,2257520,2313259,2440513,2596078,2765632,2834421,2809883,2531269,2610862,2854586,2972322,3050072,3248760,3371093,3386688,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","805","485","        Transit and ground passenger transportation",479703,498849,530391,527088,531459,541268,565129,576796,593565,616405,624934,641326,675236,702605,727125,747823,775334,805333,824399,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","806","486","        Pipeline transportation",105917,104923,116052,118410,118713,122880,122198,129258,134587,139517,160777,184663,167700,180784,222468,190659,206762,216987,233724,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","807","487","        Scenic and sightseeing transportation",11173,11605,12670,10470,10253,11007,16479,17444,17864,20322,21645,"(D)",20411,22447,22232,23560,23522,24579,24438,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","808","488","        Support activities for transportation",362480,378418,404940,421120,435251,443179,479210,526822,503976,535422,555328,529937,527485,573816,602539,621272,671759,779072,806202,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","809","492","        Couriers and messengers",728394,821123,857230,"(D)","(D)","(D)","(D)",915390,"(D)","(D)",986666,"(D)",914875,929130,944733,954814,1016766,1064654,1113401,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","811","493","        Warehousing and storage",718059,733627,838686,943573,1168364,1274755,1509528,1675905,1887130,2080217,2156004,2166124,2233753,2339601,2399411,2535225,2709307,3026036,3351671,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","900","51","      Information",5317516,5765945,6645072,6476738,5915942,5920989,5851283,5815864,6032729,6268758,6338772,6060758,5915248,6006343,6113292,6119450,6027488,6260831,6359315,6382523
"42000","Pennsylvania","2","SA7N 1/","901","511","        Publishing industries (except Internet)",1544426,1598588,1681876,1646055,1598469,1665053,1712830,1719095,1812576,1944821,2016818,1878433,1811036,1867766,1722546,1678222,1676440,1703761,1727879,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","902","512","        Motion picture and sound recording industries",160790,170200,199007,200055,194329,207998,200128,192608,193682,210488,231788,263774,248463,263903,295768,234030,269768,282603,285080,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","903","515","        Broadcasting (except Internet)",454825,485073,549667,571135,577077,580888,562802,573325,592506,631603,580383,529310,524905,497715,570333,548300,548565,547813,551073,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","904","516","        Internet publishing and broadcasting 2/",14754,20765,42364,50600,48099,54748,49979,37080,29723,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"42000","Pennsylvania","2","SA7N 1/","905","517","        Telecommunications",2072644,2286814,2535465,2550602,2396301,2397003,2428889,2376778,2470979,2556436,2598738,2515427,2464095,2435171,2505630,2556868,2424202,2505504,2515248,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","906","518","        Data processing, hosting, and related services",993008,1128060,1550824,1361454,998625,909798,788863,811056,828582,720501,684558,645492,627262,616769,653102,690530,645805,691478,696058,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","907","519","        Other information services 2/",77069,76445,85869,96837,103042,105501,107792,105922,104681,204909,226487,228322,239487,325019,365913,411500,462708,529672,583977,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","1000","52","      Finance and insurance",12571883,13079579,13988142,14495833,14828305,15651569,16679176,17039921,18318677,19157315,19338237,18426620,18751857,19554904,20702128,21220909,22516994,23305397,23320807,24394690
"42000","Pennsylvania","2","SA7N 1/","1001","521","        Monetary Authorities-central bank",65466,65329,87352,"(D)","(D)",87205,87233,90938,95715,99394,104848,103479,97256,98064,"(D)","(D)","(D)","(D)","(D)","(NA)"
"42000","Pennsylvania","2","SA7N 1/","1002","522","        Credit intermediation and related activities",4270674,4244927,4341893,4540018,4755906,5193976,5453601,5508343,5793657,5883833,5687048,5433704,5429113,5627123,5894829,5959732,6055719,6286192,6473032,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","1003","523","        Securities, commodity contracts, and other financial investments and related activities",2786492,3056403,3435260,3538763,3417584,3567301,4014759,4107022,4631071,5110826,5141999,4611665,4714478,4916405,5144285,5346342,5894072,6134973,6117522,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","1004","524","        Insurance carriers and related activities",5418768,5681434,6092344,6301755,6550873,6778755,7097721,7301912,7767117,8047912,8387794,8265789,8498919,8900466,9568939,9813587,10461068,10773286,10613440,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","1005","525","        Funds, trusts, and other financial vehicles",30483,31486,31293,"(D)","(D)",24332,25862,31706,31117,15350,16548,11983,12091,12846,"(D)","(D)","(D)","(D)","(D)","(NA)"
"42000","Pennsylvania","2","SA7N 1/","1100","53","      Real estate and rental and leasing",1953793,2092884,2244177,2293460,2374098,2501948,2643142,2722709,2927132,2961080,3006735,2776175,2805646,2911400,3062274,3090218,3346964,3588812,3696712,3731608
"42000","Pennsylvania","2","SA7N 1/","1101","531","        Real estate",1311634,1384519,1472689,1493055,1543749,1640968,1777311,1845907,1981108,2028645,2004727,1841145,1835154,1883688,1981448,2034483,2210294,2402790,2530483,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","1102","532","        Rental and leasing services",596897,663411,725137,751929,784023,810719,808161,814056,839260,841169,915378,858849,891030,962236,1016234,1012928,1086920,1131769,1121915,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","1103","533","        Lessors of nonfinancial intangible assets (except copyrighted works)",45262,44954,46351,48476,46326,50261,57670,62746,106764,91266,86630,76181,79462,65476,64592,42807,49750,54253,44314,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","1200","54","      Professional, scientific, and technical services",12687281,14172402,15507535,16605481,16500778,16956604,18176390,19440848,20840007,22535962,23595729,23410674,23685579,24570577,26306075,27072401,28149466,29724485,31260447,32276628
"42000","Pennsylvania","2","SA7N 1/","1300","55","      Management of companies and enterprises",3577185,3869723,3613582,3984727,4310731,5585706,6564969,7835781,8669807,10914096,11171881,11097255,11873363,13168491,14839536,15344083,16060246,17245470,16600548,16793972
"42000","Pennsylvania","2","SA7N 1/","1400","56","      Administrative and support and waste management and remediation services",5806195,6259414,6695646,6839181,6967658,6746656,7350191,7602861,7940809,8615871,8706838,7939122,8420704,8959667,9209747,9513134,9892752,10524797,10748336,10981972
"42000","Pennsylvania","2","SA7N 1/","1401","561","        Administrative and support services",5238125,5679935,6154619,6262243,6386117,6176664,6730360,6991005,7255363,7907377,7964442,7210279,7656489,8125419,8345451,8625281,8951762,9538155,9773933,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","1402","562","        Waste management and remediation services",568070,579479,541027,576938,581541,569992,619831,611856,685446,708494,742396,728843,764215,834248,864296,887853,940990,986642,974403,"(NA)"
"42000","Pennsylvania","2","SA7N 1/","1500","61","      Educational services",4850281,5059716,5431435,5833531,6292325,6569071,6913535,7217696,7660171,8077163,8632691,9078160,9431362,9766418,10075095,10331717,10403159,10863352,11165124,11434953
