"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"46000","South Dakota","4","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",8416334,9029033,9631622,10013729,10342245,10722294,11319376,11813148,12488763,13345538,14047449,13955210,14364809,14975624,15768074,16149823,17018496,17756809,18394208,18909747
"46000","South Dakota","4","SA7N 1/","81","111-112","  Farm wages and salaries",114305,107824,120912,136658,126088,102766,150190,149682,149584,219177,247104,185059,183893,202264,304221,251541,260910,174075,190653,197613
"46000","South Dakota","4","SA7N 1/","82","...","  Nonfarm wages and salaries",8302029,8921209,9510710,9877071,10216157,10619528,11169186,11663466,12339179,13126361,13800345,13770151,14180916,14773360,15463853,15898282,16757586,17582734,18203555,18712134
"46000","South Dakota","4","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",6571764,7111835,7566205,7826652,8063078,8354154,8790798,9212455,9820638,10517145,11054752,10883770,11200770,11776437,12446747,12867886,13634489,14375659,14855739,15200922
"46000","South Dakota","4","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",28588,29736,30600,22194,22505,24436,26962,29874,32588,38090,41726,45297,51275,56886,60680,65923,62909,67082,71531,76521
"46000","South Dakota","4","SA7N 1/","101","113","        Forestry and logging",3536,4844,3408,2877,3016,3044,3419,3585,3972,4260,4261,3740,3858,3988,3969,3989,4267,4657,4869,"(NA)"
"46000","South Dakota","4","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",209,236,238,289,307,358,383,472,441,404,392,392,550,490,353,356,"(NA)"
"46000","South Dakota","4","SA7N 1/","103","115","        Support activities for agriculture and forestry",23053,22956,25310,19108,19253,21154,23254,25982,28258,33447,36993,41116,47013,52506,56319,61384,58152,62072,66306,"(NA)"
"46000","South Dakota","4","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",66598,45562,41991,43877,35568,32394,30530,33311,35136,39706,47528,38947,40567,46386,48719,47346,47946,50824,49414,52238
"46000","South Dakota","4","SA7N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",1773,1966,2375,2274,2582,2823,2898,"(D)",3205,3138,2979,"(NA)"
"46000","South Dakota","4","SA7N 1/","202","212","        Mining (except oil and gas)",64381,42963,39277,40479,31725,28731,26772,29774,31381,34769,41115,35279,35891,40643,41201,"(D)","(D)",46147,45351,"(NA)"
"46000","South Dakota","4","SA7N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",1982,2971,4038,1394,2094,2920,4620,3313,"(D)",1539,1084,"(NA)"
"46000","South Dakota","4","SA7N 1/","300","22","      Utilities",89398,86530,88382,91629,101641,105064,107968,125444,129276,137499,128838,130224,135756,138880,136747,142850,146954,152263,158218,155934
"46000","South Dakota","4","SA7N 1/","400","23","      Construction",442501,490921,537364,554965,576467,606678,635843,689171,757935,818627,842701,820641,793129,810281,828518,863459,937351,1027022,1117552,1067143
"46000","South Dakota","4","SA7N 1/","401","236","        Construction of buildings",119446,128605,136525,143843,151649,163081,165899,182870,197379,219900,219641,205850,188005,191609,194616,211006,234637,251762,268585,"(NA)"
"46000","South Dakota","4","SA7N 1/","402","237","        Heavy and civil engineering construction",92989,112152,118856,118118,120440,118507,125105,127639,148336,148395,165418,189721,167001,172032,172647,174391,186148,203245,262470,"(NA)"
"46000","South Dakota","4","SA7N 1/","403","238","        Specialty trade contractors",230066,250164,281983,293004,304378,325090,344839,378662,412220,450332,457642,425070,438123,446640,461255,478062,516566,572015,586497,"(NA)"
"46000","South Dakota","4","SA7N 1/","500","31-33","      Manufacturing",1115209,1163546,1235987,1223959,1184962,1211736,1304860,1372005,1468577,1560488,1615006,1448030,1476838,1628306,1738987,1764701,1890228,1938117,1942476,2055459
"46000","South Dakota","4","SA7N 1/","510","321,327-339","        Durable goods manufacturing",786959,819907,874214,849571,815310,829255,903201,952131,1017021,1069496,1115464,959026,972096,1097695,1165864,1197898,1289948,1312264,1283524,1333413
"46000","South Dakota","4","SA7N 1/","511","321","          Wood product manufacturing",64480,68925,77982,69294,74141,74088,81872,83669,83485,82176,81229,72465,73034,78039,81111,84375,89005,93533,92942,"(NA)"
"46000","South Dakota","4","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",35314,39564,42428,50451,53633,56357,59489,63947,67639,70535,72710,64620,66678,73559,74156,77803,81906,90898,88889,"(NA)"
"46000","South Dakota","4","SA7N 1/","513","331","          Primary metal manufacturing",13575,14446,13421,21325,23469,23078,24770,24731,25827,24876,22989,19069,20301,23907,28035,31556,33692,38531,36487,"(NA)"
"46000","South Dakota","4","SA7N 1/","514","332","          Fabricated metal product manufacturing",86449,96086,102571,93694,96917,99729,111449,121725,130808,134681,149038,125934,139475,150524,177203,180933,186961,175562,170730,"(NA)"
"46000","South Dakota","4","SA7N 1/","515","333","          Machinery manufacturing",139786,143493,152728,158290,154519,159678,180686,196449,221386,234787,253859,200232,223147,291990,286734,294656,327791,328991,316261,"(NA)"
"46000","South Dakota","4","SA7N 1/","516","334","          Computer and electronic product manufacturing",188286,188200,204345,179416,144895,140558,141412,129628,121051,121566,124313,100558,83403,95041,97278,95629,97499,76220,74290,"(NA)"
"46000","South Dakota","4","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",30993,28092,28773,23237,14193,13717,14527,15614,16583,15867,16556,16855,14596,15335,16868,17597,17466,18256,18750,"(NA)"
"46000","South Dakota","4","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",56314,61350,63860,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"46000","South Dakota","4","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"46000","South Dakota","4","SA7N 1/","521","337","          Furniture and related product manufacturing",40270,42158,43687,49494,51894,58642,67317,72490,77460,82105,80739,65247,62098,65653,71476,77459,85585,92098,94317,"(NA)"
"46000","South Dakota","4","SA7N 1/","522","339","          Miscellaneous manufacturing",129874,135773,142861,141917,141961,143878,154145,166055,182335,202167,213428,209313,199107,204048,213051,219206,236638,247856,253695,"(NA)"
"46000","South Dakota","4","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",328250,343639,361773,374388,369652,382481,401659,419874,451556,490992,499542,489004,504742,530611,573123,566803,600280,625853,658952,722046
