"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"56000","Wyoming","7","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",6040447,6387324,6835198,7330442,7691212,8035468,8574517,9335747,10720071,11884560,12937872,12194732,12371704,12941525,13534796,13728668,14402424,14268354,13443927,13559247
"56000","Wyoming","7","SA7N 1/","81","111-112","  Farm wages and salaries",66404,65634,75629,77617,89677,78470,84159,96298,92449,106624,101485,113744,100035,101060,130072,146832,141470,122750,144274,149542
"56000","Wyoming","7","SA7N 1/","82","...","  Nonfarm wages and salaries",5974043,6321690,6759569,7252825,7601535,7956998,8490358,9239449,10627622,11777936,12836387,12080988,12271669,12840465,13404724,13581836,14260954,14145604,13299653,13409705
"56000","Wyoming","7","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",4392835,4670904,5015748,5384434,5571008,5801200,6232184,6842282,8080259,8990751,9843279,8916519,9025903,9555474,10031189,10173561,10801304,10586525,9680239,9787924
"56000","Wyoming","7","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",14567,15752,16898,23701,23304,21767,21532,18769,18071,18605,19575,20786,22736,25028,26239,27947,30354,31307,33179,35256
"56000","Wyoming","7","SA7N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",4437,3409,2886,2725,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"56000","Wyoming","7","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",0,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"56000","Wyoming","7","SA7N 1/","103","115","        Support activities for agriculture and forestry",9872,11084,12384,19264,19895,18881,18807,15942,15062,15359,16639,18106,19934,22073,23452,25183,26749,27822,29693,"(NA)"
"56000","Wyoming","7","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",771293,767095,887446,978732,977431,1030445,1192010,1400443,1798307,1978182,2252119,1882993,1941373,2199090,2296194,2264381,2410806,2107200,1605046,1713679
"56000","Wyoming","7","SA7N 1/","201","211","        Oil and gas extraction",139156,141418,208933,199031,191288,198724,218395,258927,320100,355268,434217,368747,403770,418090,455901,480644,510406,498723,397036,"(NA)"
"56000","Wyoming","7","SA7N 1/","202","212","        Mining (except oil and gas)",424849,424750,414020,425773,454636,464091,501745,526190,625217,680073,747491,735649,760172,807196,814072,795845,797649,833312,748483,"(NA)"
