"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"18000","Indiana","3","SA25N 1/","10","...","Total employment (number of jobs)",3544327,3597152,3649447,3588931,3554515,3554429,3597377,3639388,3679389,3726658,3691356,3534937,3528105,3593898,3643822,3685255,3742456,3797529,3858235
"18000","Indiana","3","SA25N 1/","20","...","  Wage and salary employment",3004248,3060251,3092859,3029863,2997844,2990058,3015965,3035112,3060168,3076261,3044194,2879245,2877455,2920175,2978283,3011101,3055964,3105873,3150848
"18000","Indiana","3","SA25N 1/","40","...","  Proprietors employment",540079,536901,556588,559068,556671,564371,581412,604276,619221,650397,647162,655692,650650,673723,665539,674154,686492,691656,707387
"18000","Indiana","3","SA25N 1/","50","...","    Farm proprietors employment",67285,65866,65029,62793,56675,53974,52527,52119,51048,52276,52258,52683,53288,53564,51001,51475,51241,50863,50658
"18000","Indiana","3","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",472794,471035,491559,496275,499996,510397,528885,552157,568173,598121,594904,603009,597362,620159,614538,622679,635251,640793,656729
"18000","Indiana","3","SA25N 1/","70","111-112","  Farm employment",79787,79659,79633,77335,68190,65582,63328,63585,64241,63979,61507,63120,67194,64083,64758,63865,62774,61306,61214
"18000","Indiana","3","SA25N 1/","80","...","  Nonfarm employment",3464540,3517493,3569814,3511596,3486325,3488847,3534049,3575803,3615148,3662679,3629849,3471817,3460911,3529815,3579064,3621390,3679682,3736223,3797021
"18000","Indiana","3","SA25N 1/","90","113-814","    Private nonfarm employment",3046820,3095007,3138325,3081026,3051170,3047299,3092946,3134802,3171115,3211573,3169254,3009904,3002721,3078432,3132229,3178403,3236255,3292816,3352878
"18000","Indiana","3","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",8576,8227,7636,7398,7825,7108,7614,7861,7929,8597,8686,8705,8727,8831,9092,9401,10467,9536,9549
"18000","Indiana","3","SA25N 1/","101","113","        Forestry and logging",1343,1384,1254,"(D)",1234,1122,1261,1433,1375,1429,1423,1199,1078,"(D)","(D)","(D)",1318,"(D)","(D)"
"18000","Indiana","3","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)",512,449,507,506,506,503,491,465,441,"(D)","(D)","(D)",468,"(D)","(D)"
"18000","Indiana","3","SA25N 1/","103","115","        Support activities for agriculture and forestry",6578,6266,5825,5740,6079,5537,5846,5922,6048,6665,6772,7041,7208,7349,7393,7571,8681,7662,7619
"18000","Indiana","3","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",9898,9719,9431,9469,9154,9454,9217,9255,9668,10033,11074,10771,11890,11245,13613,13817,13673,13541,12952
"18000","Indiana","3","SA25N 1/","201","211","        Oil and gas extraction",2426,2369,2160,2435,2120,2550,2266,2495,2758,2705,4043,3990,5001,4111,5543,6196,6017,6075,6040
"18000","Indiana","3","SA25N 1/","202","212","        Mining (except oil and gas)",7264,7166,7099,6843,6791,6622,6657,6421,6605,6854,6539,6366,6423,6636,7287,6842,6792,6721,6229
"18000","Indiana","3","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)",191,243,282,294,339,305,474,492,415,466,498,783,779,864,745,683
"18000","Indiana","3","SA25N 1/","300","22","      Utilities",16949,16545,16147,15336,14980,14696,14810,15090,15251,15372,15693,15742,15385,15001,14663,14524,14508,14518,14427
"18000","Indiana","3","SA25N 1/","400","23","      Construction",208568,210680,212501,213179,209013,210958,215993,220321,223429,225067,216194,190408,179510,183816,189938,188781,188507,190411,194535
"18000","Indiana","3","SA25N 1/","401","236","        Construction of buildings",53080,55863,55504,56197,56203,54561,54959,55887,56934,56669,53627,45933,43808,42970,45289,44511,44574,47112,48683
"18000","Indiana","3","SA25N 1/","402","237","        Heavy and civil engineering construction",18810,19265,19984,19192,19119,19429,19826,19710,20391,21138,21062,20615,18791,19665,20416,18926,18984,19007,19627
"18000","Indiana","3","SA25N 1/","403","238","        Specialty trade contractors",136678,135552,137013,137790,133691,136968,141208,144724,146104,147260,141505,123860,116911,121181,124233,125344,124949,124292,126225
