"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"25000","Massachusetts","1","SA25N 1/","10","...","Total employment (number of jobs)",3895892,3963261,4070352,4076042,4022865,3994490,4033910,4076552,4116422,4210891,4225689,4130425,4118873,4180062,4255596,4354896,4451098,4634225,4720200
"25000","Massachusetts","1","SA25N 1/","20","...","  Wage and salary employment",3306736,3366203,3451675,3455251,3387504,3329644,3321383,3333806,3364693,3409202,3416432,3306898,3304140,3343033,3423005,3476147,3543967,3612867,3674116
"25000","Massachusetts","1","SA25N 1/","40","...","  Proprietors employment",589156,597058,618677,620791,635361,664846,712527,742746,751729,801689,809257,823527,814733,837029,832591,878749,907131,1021358,1046084
"25000","Massachusetts","1","SA25N 1/","50","...","    Farm proprietors employment",5743,5799,5815,5784,5742,5539,5390,5359,5235,6556,6519,6487,6511,6519,6462,6620,6624,6682,6678
"25000","Massachusetts","1","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",583413,591259,612862,615007,629619,659307,707137,737387,746494,795133,802738,817040,808222,830510,826129,872129,900507,1014676,1039406
"25000","Massachusetts","1","SA25N 1/","70","111-112","  Farm employment",10553,10531,10710,10687,10582,10512,9512,9351,8890,10091,10371,10208,10187,10538,10895,11691,11709,11749,11407
"25000","Massachusetts","1","SA25N 1/","80","...","  Nonfarm employment",3885339,3952730,4059642,4065355,4012283,3983978,4024398,4067201,4107532,4200800,4215318,4120217,4108686,4169524,4244701,4343205,4439389,4622476,4708793
"25000","Massachusetts","1","SA25N 1/","90","113-814","    Private nonfarm employment",3445401,3505394,3605022,3607414,3555048,3537580,3588097,3629522,3664914,3752124,3761796,3667838,3654168,3718755,3791508,3887486,3977910,4161905,4245901
"25000","Massachusetts","1","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",11516,11013,10426,10611,11846,10398,11126,11049,10826,10729,10856,11016,10927,9759,9851,9836,10069,9965,9787
"25000","Massachusetts","1","SA25N 1/","101","113","        Forestry and logging",1029,1055,896,884,870,770,902,1009,970,947,963,842,726,750,952,1014,950,1071,1141
"25000","Massachusetts","1","SA25N 1/","102","114","        Fishing, hunting and trapping",6805,6319,6055,6441,7326,6221,6713,6603,6487,6202,6136,6321,6354,5997,5916,5730,5772,5662,5497
"25000","Massachusetts","1","SA25N 1/","103","115","        Support activities for agriculture and forestry",3682,3639,3475,3286,3650,3407,3511,3437,3369,3580,3757,3853,3847,3012,2983,3092,3347,3232,3149
