"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"94000","Plains","4","SA25N 1/","10","...","Total employment (number of jobs)",12239668,12406762,12603586,12601156,12526745,12532220,12686321,12876746,13077709,13302812,13327098,13033985,12926565,13111304,13270044,13452255,13627985,13796416,13924355
"94000","Plains","4","SA25N 1/","20","...","  Wage and salary employment",9948328,10122057,10253595,10233694,10163116,10129892,10217232,10331400,10474663,10582703,10606381,10276426,10180693,10282733,10449465,10590377,10734424,10875716,10949243
"94000","Plains","4","SA25N 1/","40","...","  Proprietors employment",2291340,2284705,2349991,2367462,2363629,2402328,2469089,2545346,2603046,2720109,2720717,2757559,2745872,2828571,2820579,2861878,2893561,2920700,2975112
"94000","Plains","4","SA25N 1/","50","...","    Farm proprietors employment",482170,477826,473757,465906,422976,403893,393345,389684,379882,386262,384140,381549,381303,380465,375169,378343,374796,372612,370074
"94000","Plains","4","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",1809170,1806879,1876234,1901556,1940653,1998435,2075744,2155662,2223164,2333847,2336577,2376010,2364569,2448106,2445410,2483535,2518765,2548088,2605038
"94000","Plains","4","SA25N 1/","70","111-112","  Farm employment",565994,560390,553460,546959,500120,479811,468235,467765,451800,456859,454916,454497,460778,460996,453948,456618,448745,458026,451653
"94000","Plains","4","SA25N 1/","80","...","  Nonfarm employment",11673674,11846372,12050126,12054197,12026625,12052409,12218086,12408981,12625909,12845953,12872182,12579488,12465787,12650308,12816096,12995637,13179240,13338390,13472702
"94000","Plains","4","SA25N 1/","90","113-814","    Private nonfarm employment",9998460,10149150,10321275,10316534,10272368,10292816,10457278,10643373,10841715,11049011,11057513,10747132,10633570,10842311,11014474,11193954,11378460,11536165,11663078
"94000","Plains","4","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",62883,59882,55631,52399,57283,52347,55504,57070,56923,61325,64584,67529,69511,71188,73340,75229,78251,72608,71857
"94000","Plains","4","SA25N 1/","101","113","        Forestry and logging",7085,7386,6478,6116,5985,5282,5703,6394,6140,5967,5999,5321,4740,5221,6320,6369,6057,"(D)",7001
"94000","Plains","4","SA25N 1/","102","114","        Fishing, hunting and trapping",5073,4680,4609,3057,3943,3244,3888,4089,4308,4183,4199,4013,3973,3803,3930,4119,4163,"(D)",3501
"94000","Plains","4","SA25N 1/","103","115","        Support activities for agriculture and forestry",50725,47816,44544,43226,47355,43821,45913,46587,46475,51175,54386,58195,60798,62164,63090,64741,68031,62226,61355
"94000","Plains","4","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",47119,45473,43666,44888,40718,44310,42710,45179,49430,53001,66821,62941,77575,78142,105724,112706,114272,109687,99385
"94000","Plains","4","SA25N 1/","201","211","        Oil and gas extraction",20519,19868,18460,20247,"(D)",21093,18472,19559,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",62131,61788
"94000","Plains","4","SA25N 1/","202","212","        Mining (except oil and gas)",21298,20783,20197,19261,"(D)",17355,17424,17746,17623,18304,18465,16850,18222,18993,22632,"(D)","(D)",21284,20336
"94000","Plains","4","SA25N 1/","203","213","        Support activities for mining",5302,4822,5009,5380,5384,5862,6814,7874,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",26272,17261
"94000","Plains","4","SA25N 1/","300","22","      Utilities",49386,49537,49305,49002,48552,47082,46789,46285,46712,47854,49337,49431,48974,48470,47992,47811,47788,47288,47188
"94000","Plains","4","SA25N 1/","400","23","      Construction",648664,677763,689448,701105,695139,714365,740504,764184,778091,777931,755144,687474,637358,638992,658529,678935,703620,715802,722780
"94000","Plains","4","SA25N 1/","401","236","        Construction of buildings",149822,160163,163413,163925,"(D)",162030,168083,175907,179598,176043,171324,151417,139942,135530,141554,145550,151941,162143,166214
"94000","Plains","4","SA25N 1/","402","237","        Heavy and civil engineering construction",71990,76247,75731,77353,"(D)",78063,79300,80145,82460,84543,83200,81390,73841,74062,79264,81114,85555,85409,83603
"94000","Plains","4","SA25N 1/","403","238","        Specialty trade contractors",426852,441353,450304,459827,449306,474272,493121,508132,516033,517345,500620,454667,423575,429400,437711,452271,466124,468250,472963
"94000","Plains","4","SA25N 1/","500","31-33","      Manufacturing",1439733,1431425,1423623,1367090,1296594,1249717,1256596,1270642,1276503,1272134,1251112,1127130,1089773,1117356,1136061,1151827,1162460,1172454,1170685
"94000","Plains","4","SA25N 1/","510","321,327-339","        Durable goods manufacturing",894725,889641,887961,845255,789036,756544,771144,787870,795563,789358,772373,669930,644976,667791,682355,693828,702692,710334,701749
"94000","Plains","4","SA25N 1/","511","321","          Wood product manufacturing",51355,52974,53861,52145,51540,51454,53195,53838,53289,49789,45116,39468,37256,"(D)","(D)","(D)","(D)","(D)","(D)"
"94000","Plains","4","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",40411,41254,42388,40856,40175,38365,39624,39662,40252,39448,37564,33613,32207,33092,33718,33547,34078,36120,36423
