"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"48000","Texas","6","SA25N 1/","10","...","Total employment (number of jobs)",11541074,11763951,12138877,12284480,12295391,12382187,12600407,13018790,13511063,14034150,14397682,14243397,14272917,14697978,15105526,15536503,16007521,16418374,16644179
"48000","Texas","6","SA25N 1/","20","...","  Wage and salary employment",9372859,9573162,9850925,9929531,9867412,9819597,9931490,10171832,10525554,10858622,11098302,10812718,10790781,11042608,11367650,11670732,12028980,12314913,12456932
"48000","Texas","6","SA25N 1/","40","...","  Proprietors employment",2168215,2190789,2287952,2354949,2427979,2562590,2668917,2846958,2985509,3175528,3299380,3430679,3482136,3655370,3737876,3865771,3978541,4103461,4187247
"48000","Texas","6","SA25N 1/","50","...","    Farm proprietors employment",235685,235501,234912,236602,224444,216489,211178,211399,206773,221254,221008,221346,223089,224186,223345,224700,222115,219381,218807
"48000","Texas","6","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",1932530,1955288,2053040,2118347,2203535,2346101,2457739,2635559,2778736,2954274,3078372,3209333,3259047,3431184,3514531,3641071,3756426,3884080,3968440
"48000","Texas","6","SA25N 1/","70","111-112","  Farm employment",281395,277379,284440,295737,274417,263394,253780,257781,246077,264171,263555,269686,266415,266163,267063,272203,269225,268411,269506
"48000","Texas","6","SA25N 1/","80","...","  Nonfarm employment",11259679,11486572,11854437,11988743,12020974,12118793,12346627,12761009,13264986,13769979,14134127,13973711,14006502,14431815,14838463,15264300,15738296,16149963,16374673
"48000","Texas","6","SA25N 1/","90","113-814","    Private nonfarm employment",9601219,9803082,10134621,10254176,10239089,10315454,10540071,10934219,11402969,11883821,12196781,11989926,11986651,12440793,12868518,13289112,13753328,14137937,14327579
"48000","Texas","6","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",67157,65548,63676,51713,56134,51343,53198,54806,53035,54649,56221,57140,58606,58996,59051,59101,62447,59563,58701
"48000","Texas","6","SA25N 1/","101","113","        Forestry and logging",6129,6196,5446,5305,5182,4766,4947,5342,5141,4948,5171,4595,4062,4222,4891,5007,4898,5333,5468
"48000","Texas","6","SA25N 1/","102","114","        Fishing, hunting and trapping",8396,7919,7775,8206,9413,7678,8630,8715,8760,8287,8209,8359,8748,8266,8155,8607,8843,8333,7860
"48000","Texas","6","SA25N 1/","103","115","        Support activities for agriculture and forestry",52632,51433,50455,38202,41539,38899,39621,40749,39134,41414,42841,44186,45796,46508,46005,45487,48706,45897,45373
"48000","Texas","6","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",231626,227305,219245,232932,216674,236088,229511,251330,283547,308923,385624,355695,395987,396053,501947,541680,552518,533388,481703
"48000","Texas","6","SA25N 1/","201","211","        Oil and gas extraction",142602,138811,131221,141516,131422,146635,134897,146092,160166,163157,221357,224087,257530,232076,297671,332595,323416,336130,327238
"48000","Texas","6","SA25N 1/","202","212","        Mining (except oil and gas)",11494,11444,11327,11500,11091,11593,11654,11054,11525,13398,13873,12374,12831,12871,17254,15712,16629,17558,17225
"48000","Texas","6","SA25N 1/","203","213","        Support activities for mining",77530,77050,76697,79916,74161,77860,82960,94184,111856,132368,150394,119234,125626,151106,187022,193373,212473,179700,137240
"48000","Texas","6","SA25N 1/","300","22","      Utilities",48610,49481,50424,52524,52992,50354,49403,48934,48747,51495,54929,53583,54160,53419,53218,53584,53951,56129,57826
"48000","Texas","6","SA25N 1/","400","23","      Construction",764770,793962,830093,856717,844545,854957,862158,915731,972188,1026277,1047726,971322,911812,919101,949058,987892,1038618,1070334,1083188
"48000","Texas","6","SA25N 1/","401","236","        Construction of buildings",178922,186438,194724,204166,206305,194151,187956,199335,215384,221105,228379,210871,197387,191953,198211,205481,220825,244830,251174
"48000","Texas","6","SA25N 1/","402","237","        Heavy and civil engineering construction",95064,101788,108532,114015,114160,113156,116976,125294,137504,152129,157204,138610,131268,137287,149738,152601,158719,161124,165036
"48000","Texas","6","SA25N 1/","403","238","        Specialty trade contractors",490784,505736,526837,538536,524080,547650,557226,591102,619300,653043,662143,621841,583157,589861,601109,629810,659074,664380,666978
"48000","Texas","6","SA25N 1/","500","31-33","      Manufacturing",1117151,1097502,1103179,1067635,991508,943396,934074,946404,977264,988465,975293,896906,864563,900606,929097,947376,959392,952583,922188
"48000","Texas","6","SA25N 1/","510","321,327-339","        Durable goods manufacturing",694365,683551,693061,671599,615894,586081,585853,601088,633514,646470,639064,572751,548576,581482,606797,619923,629897,621024,587349
"48000","Texas","6","SA25N 1/","511","321","          Wood product manufacturing",37228,38348,36820,34231,32164,29551,30458,30778,31463,30221,27706,24239,22245,21585,22414,23556,24246,24735,25648
