"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"49000","Utah","7","SA25N 1/","10","...","Total employment (number of jobs)",1310789,1338468,1381827,1391740,1395875,1406705,1455081,1519502,1595050,1679545,1692112,1639460,1622074,1666205,1706916,1754009,1805087,1867102,1927802
"49000","Utah","7","SA25N 1/","20","...","  Wage and salary employment",1070842,1097247,1124807,1130753,1126431,1127612,1159748,1202004,1260326,1310044,1311365,1247431,1236311,1264381,1304870,1343013,1382464,1429709,1479019
"49000","Utah","7","SA25N 1/","40","...","  Proprietors employment",239947,241221,257020,260987,269444,279093,295333,317498,334724,369501,380747,392029,385763,401824,402046,410996,422623,437393,448783
"49000","Utah","7","SA25N 1/","50","...","    Farm proprietors employment",15093,15516,15710,15667,15357,14449,14000,13709,13221,14356,14528,14873,15262,15709,15682,16104,16024,16206,16197
"49000","Utah","7","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",224854,225705,241310,245320,254087,264644,281333,303789,321503,355145,366219,377156,370501,386115,386364,394892,406599,421187,432586
"49000","Utah","7","SA25N 1/","70","111-112","  Farm employment",19574,20113,20475,20539,19404,19456,18786,18639,18284,18842,19234,19415,20007,20185,20177,20902,20526,20579,20815
"49000","Utah","7","SA25N 1/","80","...","  Nonfarm employment",1291215,1318355,1361352,1371201,1376471,1387249,1436295,1500863,1576766,1660703,1672878,1620045,1602067,1646020,1686739,1733107,1784561,1846523,1906987
"49000","Utah","7","SA25N 1/","90","113-814","    Private nonfarm employment",1097398,1120971,1157635,1164138,1163724,1172756,1218831,1280649,1353948,1435207,1444300,1388421,1367622,1406603,1445397,1492100,1541910,1601862,1656866
"49000","Utah","7","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",3787,3540,3259,2575,2913,2698,2861,2882,2927,3196,3283,3330,3320,3496,3450,3595,3862,3681,3648
"49000","Utah","7","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",260,242,192,193,210,187,191,203,185,164,181,229,"(D)",241,"(D)",282
"49000","Utah","7","SA25N 1/","102","114","        Fishing, hunting and trapping",863,784,663,429,559,520,563,604,612,642,677,649,658,649,677,"(D)",824,"(D)",758
"49000","Utah","7","SA25N 1/","103","115","        Support activities for agriculture and forestry",2592,2408,2272,1886,2112,1986,2105,2068,2128,2363,2403,2496,2498,2666,2544,2596,2797,2641,2608
"49000","Utah","7","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",9108,8676,8781,8872,8313,8480,8772,10204,12135,13956,15934,13938,14663,15451,18899,18027,17700,16008,14176
"49000","Utah","7","SA25N 1/","201","211","        Oil and gas extraction",1262,1232,1192,1313,1232,1493,1480,1739,2226,2490,3314,3280,4053,3739,4824,5341,5124,4948,4682
"49000","Utah","7","SA25N 1/","202","212","        Mining (except oil and gas)",5815,5705,5513,5027,4551,4458,4362,4698,5275,5906,6078,5973,5827,6122,7446,6576,6416,6267,5807
"49000","Utah","7","SA25N 1/","203","213","        Support activities for mining",2031,1739,2076,2532,2530,2529,2930,3767,4634,5560,6542,4685,4783,5590,6629,6110,6160,4793,3687
"49000","Utah","7","SA25N 1/","300","22","      Utilities",4994,4676,4641,4329,4128,4078,4197,4184,4291,4351,4441,4326,4275,4178,4189,4125,4124,4285,4304
"49000","Utah","7","SA25N 1/","400","23","      Construction",90221,94551,94669,95085,91094,92304,99014,111310,126791,136591,121439,99934,91272,90275,94405,99118,104534,110481,117243
"49000","Utah","7","SA25N 1/","401","236","        Construction of buildings",20989,21735,21758,22582,21030,19878,21215,23938,27414,28511,24513,19798,17582,16877,18691,19941,21220,23929,25415
"49000","Utah","7","SA25N 1/","402","237","        Heavy and civil engineering construction",9732,10194,10257,9645,10031,9281,9602,10273,12024,14230,12774,11329,11303,11336,11072,10612,10819,10953,10527
"49000","Utah","7","SA25N 1/","403","238","        Specialty trade contractors",59500,62622,62654,62858,60033,63145,68197,77099,87353,93850,84152,68807,62387,62062,64642,68565,72495,75599,81301
"49000","Utah","7","SA25N 1/","500","31-33","      Manufacturing",133324,131893,130928,127024,118823,119221,122421,124760,129190,134800,132739,120758,118138,121304,124539,127510,129553,132978,135572
"49000","Utah","7","SA25N 1/","510","321,327-339","        Durable goods manufacturing",91747,90543,90169,87580,79894,79922,81845,84540,87716,92276,89521,79124,76799,79451,82057,83802,85049,88126,89394
"49000","Utah","7","SA25N 1/","511","321","          Wood product manufacturing",3294,3345,3354,3304,3186,3437,3669,3945,4344,4940,4163,2795,"(D)","(D)",2477,2701,2819,2984,3162
"49000","Utah","7","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",5247,5327,5212,5010,4729,4619,4745,5154,5885,6654,6077,4918,4811,4984,5246,5180,5372,5285,5142
"49000","Utah","7","SA25N 1/","513","331","          Primary metal manufacturing",7039,5577,5704,5522,3657,3246,3394,3573,3763,4009,3985,3584,3714,4221,4533,4439,4305,4312,4113
"49000","Utah","7","SA25N 1/","514","332","          Fabricated metal product manufacturing",11824,12157,12368,12185,11591,11033,11616,12212,12882,13079,13261,12094,11852,12276,12997,13593,13801,14628,14979
"49000","Utah","7","SA25N 1/","515","333","          Machinery manufacturing",7030,6584,6366,6651,6002,5708,5518,5910,6146,6484,6587,5953,5766,6064,5990,6107,6125,6250,6034
"49000","Utah","7","SA25N 1/","516","334","          Computer and electronic product manufacturing",14157,14325,14735,15462,11703,10884,11036,11188,11543,12964,13531,13095,13481,14450,14727,14120,13371,13262,13344
"49000","Utah","7","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",1349,1337,1210,1121,1140,1055,1144,1209,1273,1422,1477,1432,1462,1589,1759,1847,2079,2138,2127
"49000","Utah","7","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",9177,8920,8546,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",5169,5426,5692,6223,6511
"49000","Utah","7","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",8717,8395,7855,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6865,6203,6150,6102,6359,6990,7237
"49000","Utah","7","SA25N 1/","521","337","          Furniture and related product manufacturing",7665,8292,8479,8016,7968,7970,8283,8495,9128,9423,8247,5896,5293,5166,5104,5379,5499,5901,6143
"49000","Utah","7","SA25N 1/","522","339","          Miscellaneous manufacturing",16248,16284,16340,15683,16342,18582,18532,18396,18023,18394,17759,16598,16698,17194,17905,18908,19627,20153,20602
"49000","Utah","7","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",41577,41350,40759,39444,38929,39299,40576,40220,41474,42524,43218,41634,41339,41853,42482,43708,44504,44852,46178
"49000","Utah","7","SA25N 1/","531","311","          Food manufacturing",13300,13478,13287,13542,13906,14330,14335,13789,13764,14554,15415,15377,15306,15912,16031,16184,16683,16586,17126
"49000","Utah","7","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",568,600,603,608,573,568,572,571,621,651,680,726,765,768,826,826,793,887,978
"49000","Utah","7","SA25N 1/","533","313","          Textile mills","(T)","(T)","(T)",279,228,229,229,264,319,381,312,325,457,508,516,450,485,530,614
"49000","Utah","7","SA25N 1/","534","314","          Textile product mills",1431,1269,1066,925,853,897,947,942,984,1004,987,924,948,947,952,1067,1123,1067,1058
"49000","Utah","7","SA25N 1/","535","315","          Apparel manufacturing",1864,1615,1487,1325,1248,1004,1084,1121,1114,1152,1029,1252,1217,1017,1230,1376,1287,1275,1229
"49000","Utah","7","SA25N 1/","536","316","          Leather and allied product manufacturing","(T)","(T)","(T)",310,353,307,295,311,314,285,261,238,249,308,336,273,294,362,348
"49000","Utah","7","SA25N 1/","537","322","          Paper manufacturing",2682,2813,2813,2730,2795,2740,2808,2769,2888,2839,2782,2669,2692,2739,2779,2828,2752,2657,2596
"49000","Utah","7","SA25N 1/","538","323","          Printing and related support activities",9433,8502,8501,7832,7336,7253,7492,7172,7568,7335,7243,6479,6167,5931,5645,5551,5483,5447,5651
"49000","Utah","7","SA25N 1/","539","324","          Petroleum and coal products manufacturing",1093,1098,995,992,992,937,953,976,1057,1138,1215,1237,1233,1302,1373,1431,1522,1520,1534
"49000","Utah","7","SA25N 1/","541","325","          Chemical manufacturing",6908,7638,7517,7208,7162,7242,7828,7970,8121,8374,8589,8315,8147,8087,8186,8683,9042,9496,9807
"49000","Utah","7","SA25N 1/","542","326","          Plastics and rubber products manufacturing",3876,3843,3902,3693,3483,3792,4033,4335,4724,4811,4705,4092,4158,4334,4608,5039,5040,5025,5237
"49000","Utah","7","SA25N 1/","600","42","      Wholesale trade",42680,44068,45542,45986,45053,44872,46598,49609,51413,53435,54159,51346,49861,52497,53980,54498,58311,60262,61486
"49000","Utah","7","SA25N 1/","700","44-45","      Retail trade",159049,158739,161535,159561,161201,162366,165676,170565,177434,185797,186329,179186,172462,174994,179726,184981,190495,198620,206634
"49000","Utah","7","SA25N 1/","701","441","        Motor vehicle and parts dealers",17092,17129,17423,17316,18222,17989,18613,19089,19552,20849,20851,18806,17998,18246,18961,20143,20932,22021,23047
"49000","Utah","7","SA25N 1/","702","442","        Furniture and home furnishings stores",5537,5647,5716,5548,5671,5750,6085,6251,6551,7155,6758,5635,5280,5254,5358,5452,5708,6280,6723
"49000","Utah","7","SA25N 1/","703","443","        Electronics and appliance stores",5386,5254,5342,5090,5257,4987,5227,5243,5367,5726,5663,5058,5615,6027,5793,5537,5240,5502,5254
"49000","Utah","7","SA25N 1/","704","444","        Building material and garden equipment and supplies dealers",10863,11444,11578,11486,12018,11679,12063,12671,13787,14942,14001,12405,11924,11628,11904,12156,12678,12928,13401
"49000","Utah","7","SA25N 1/","705","445","        Food and beverage stores",24291,25064,25166,24628,23589,23283,23287,23511,24211,24844,25768,25236,23949,23139,23388,23683,24384,25134,26374
"49000","Utah","7","SA25N 1/","706","446","        Health and personal care stores",7005,6750,6918,6849,7395,7768,7804,7482,8021,8263,8174,7959,7619,7544,7876,8444,9113,9798,10376
"49000","Utah","7","SA25N 1/","707","447","        Gasoline stations",11096,11354,11301,10756,10401,10045,10098,9952,10026,10407,10322,9658,9153,9069,9275,9554,9863,9910,10267
"49000","Utah","7","SA25N 1/","708","448","        Clothing and clothing accessories stores",10594,10631,10598,10989,11258,11469,11455,11957,12747,13663,13496,13195,12227,12209,13281,13695,13477,13363,13693
"49000","Utah","7","SA25N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",10269,10342,10734,10562,10582,10370,10551,10639,10953,11322,11267,10532,9963,9857,10006,10470,10676,11057,11001
"49000","Utah","7","SA25N 1/","711","452","        General merchandise stores",22629,22744,23319,24392,25027,25227,26915,27027,27711,28390,29340,29585,29258,30339,30828,30338,30149,30722,31262
"49000","Utah","7","SA25N 1/","712","453","        Miscellaneous store retailers",12223,12136,12706,13331,13418,13787,13260,13328,13618,14789,14330,14430,14375,13748,13841,14109,14856,14904,15214
"49000","Utah","7","SA25N 1/","713","454","        Nonstore retailers",22064,20244,20734,18614,18363,20012,20318,23415,24890,25447,26359,26687,25101,27934,29215,31400,33419,37001,40022
"49000","Utah","7","SA25N 1/","800","48-49","      Transportation and warehousing",46085,45128,47041,48226,47000,45898,47431,50613,53099,55401,55447,52521,50989,53329,55267,55950,57574,62224,64581
"49000","Utah","7","SA25N 1/","801","481","        Air transportation",6537,6891,6927,7271,7278,6023,6129,6949,6870,7300,7121,6630,6775,6974,6700,6344,6530,6488,6581
"49000","Utah","7","SA25N 1/","802","482","        Rail transportation",1951,1918,1784,1805,1770,1726,1857,1983,2035,1971,1874,"(D)",1641,1654,"(D)","(D)",1685,1669,1488
"49000","Utah","7","SA25N 1/","803","483","        Water transportation","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",40,"(D)"
"49000","Utah","7","SA25N 1/","804","484","        Truck transportation",21514,20096,21131,21185,20190,20180,20950,21850,23156,24055,24020,23109,22106,23453,24535,24688,25011,26236,27191
"49000","Utah","7","SA25N 1/","805","485","        Transit and ground passenger transportation",1748,1649,1681,1788,1877,1746,1762,1947,2126,2347,2405,2209,2068,2160,2329,2410,2871,4302,4533
"49000","Utah","7","SA25N 1/","806","486","        Pipeline transportation",394,401,281,154,247,282,279,280,274,281,297,300,282,284,277,269,279,276,247
"49000","Utah","7","SA25N 1/","807","487","        Scenic and sightseeing transportation","(T)","(T)","(T)",114,153,143,142,152,141,"(D)","(D)",191,"(D)","(D)",229,213,"(D)",223,"(D)"
"49000","Utah","7","SA25N 1/","808","488","        Support activities for transportation",2974,3278,3306,3812,4026,4125,4458,4421,4559,4647,4513,4095,3939,3946,4070,4379,4908,5448,5848
"49000","Utah","7","SA25N 1/","809","492","        Couriers and messengers",6000,5871,6033,"(D)","(D)","(D)","(D)","(D)","(D)",7152,7183,6728,6475,6930,6974,7151,7069,7420,7355
"49000","Utah","7","SA25N 1/","811","493","        Warehousing and storage",4743,4825,5711,5820,5579,5687,5675,6597,7121,7385,7749,7497,7510,7703,8485,8809,8987,10122,11065
"49000","Utah","7","SA25N 1/","900","51","      Information",33874,36396,39417,36945,33757,33702,34957,37292,37780,35704,36000,34739,34345,34877,36627,38086,39300,39793,42199
"49000","Utah","7","SA25N 1/","901","511","        Publishing industries (except Internet)",9663,10339,10915,10429,9516,9835,9901,10436,10570,11239,11230,10556,10306,10308,11449,11597,12279,12957,13858
"49000","Utah","7","SA25N 1/","902","512","        Motion picture and sound recording industries",5452,6039,5509,5519,5465,5538,5177,5455,5335,4857,5023,4845,4646,4608,4920,5151,5322,5397,5797
"49000","Utah","7","SA25N 1/","903","515","        Broadcasting (except Internet)",2993,2990,3203,3413,3344,3060,3257,3314,3401,3487,3451,3225,2513,2562,2599,2555,2740,2633,2549
"49000","Utah","7","SA25N 1/","904","516","        Internet publishing and broadcasting 3/",518,647,1017,791,640,540,624,660,725,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"49000","Utah","7","SA25N 1/","905","517","        Telecommunications",7395,7998,8854,7877,6835,6633,7512,8006,8514,7571,7402,7077,6775,6880,7482,8006,8329,8607,9436
"49000","Utah","7","SA25N 1/","906","518","        Data processing, hosting, and related services",7469,8009,9549,8548,7592,7693,8052,9018,8761,6106,6529,7042,7827,8084,7388,7623,7200,6646,6716
"49000","Utah","7","SA25N 1/","907","519","        Other information services 3/",384,374,370,368,365,403,434,403,474,2444,2365,1994,2278,2435,2789,3154,3430,3553,3843
"49000","Utah","7","SA25N 1/","1000","52","      Finance and insurance",76787,76611,79795,81004,82393,83476,83957,86807,90096,102884,112025,119747,111573,118862,117147,119326,116530,122184,123303
"49000","Utah","7","SA25N 1/","1001","521","        Monetary Authorities-central bank","(T)","(T)","(T)","(D)","(D)","(D)","(D)",158,133,139,143,126,116,119,114,120,"(D)","(D)","(D)"
"49000","Utah","7","SA25N 1/","1002","522","        Credit intermediation and related activities",28387,29234,29894,31795,33848,35907,34655,35501,36793,38730,40182,40447,36712,35850,36132,36271,38041,39997,41341
"49000","Utah","7","SA25N 1/","1003","523","        Securities, commodity contracts, and other financial investments and related activities",24307,23973,26669,25438,24357,23008,24165,24193,25609,33383,40873,45404,41667,47438,46687,47911,44740,46521,45219
"49000","Utah","7","SA25N 1/","1004","524","        Insurance carriers and related activities",19488,18811,18030,18423,19456,20250,20477,21881,22540,23596,23219,23153,23293,24581,24428,24594,25453,26589,27814
"49000","Utah","7","SA25N 1/","1005","525","        Funds, trusts, and other financial vehicles",4436,4447,5051,"(D)","(D)","(D)","(D)",5074,5021,7036,7608,10617,9785,10874,9786,10430,"(D)","(D)","(D)"
"49000","Utah","7","SA25N 1/","1100","53","      Real estate and rental and leasing",50825,47801,53471,55486,57381,61074,67073,76555,84174,93684,94027,91413,93612,96480,95388,99126,103806,106478,110657
"49000","Utah","7","SA25N 1/","1101","531","        Real estate",43016,40247,45500,47074,49365,52957,58586,67668,74844,84619,84267,82376,84497,87932,86770,90099,95499,97981,101938
"49000","Utah","7","SA25N 1/","1102","532","        Rental and leasing services",7607,7382,7774,8159,7712,7830,8212,8575,9013,8755,9467,8795,8872,8324,8396,8764,7995,8202,8385
"49000","Utah","7","SA25N 1/","1103","533","        Lessors of nonfinancial intangible assets (except copyrighted works)","(T)","(T)","(T)",253,304,287,275,312,317,310,293,242,243,224,222,263,312,295,334
"49000","Utah","7","SA25N 1/","1200","54","      Professional, scientific, and technical services",68028,72235,77140,79536,79821,82307,86055,90790,97702,105678,109478,106983,107102,110434,115315,122918,129588,137659,143394
"49000","Utah","7","SA25N 1/","1300","55","      Management of companies and enterprises",24903,24211,23645,22309,22697,19100,19301,20073,20845,21835,24757,23507,22691,22889,23567,23737,25177,26333,27703
"49000","Utah","7","SA25N 1/","1400","56","      Administrative and support and waste management and remediation services",68569,75748,80371,78496,76953,77381,83301,87415,93508,98431,93681,86139,89863,93382,96320,100564,103419,106190,109709
"49000","Utah","7","SA25N 1/","1401","561","        Administrative and support services",65844,73005,77745,75712,73960,74372,80188,84074,89929,94533,89968,82374,85892,89316,92373,97005,100225,103117,106608
"49000","Utah","7","SA25N 1/","1402","562","        Waste management and remediation services",2725,2743,2626,2784,2993,3009,3113,3341,3579,3898,3713,3765,3971,4066,3947,3559,3194,3073,3101
"49000","Utah","7","SA25N 1/","1500","61","      Educational services",25594,27404,29138,31041,33540,33272,35594,38163,40727,42846,44862,46734,48959,49960,51363,53396,55892,58462,62013
"49000","Utah","7","SA25N 1/","1600","62","      Health care and social assistance",89536,92807,96274,100214,103541,107863,111722,115480,120299,126247,131680,134554,137198,139998,142959,148422,150577,157235,163784
"49000","Utah","7","SA25N 1/","1601","621","        Ambulatory health care services",34731,35823,36734,38369,40135,41834,43788,45718,49471,52421,55306,57066,58502,60704,62380,64516,65226,67767,70662
"49000","Utah","7","SA25N 1/","1602","622","        Hospitals",25998,26412,26633,26098,27016,27961,28558,29348,28927,29944,31270,31774,32363,33031,33725,34238,34433,35992,37499
"49000","Utah","7","SA25N 1/","1603","623","        Nursing and residential care facilities",13959,14430,15221,16458,17047,17814,18623,19417,20106,21057,22120,22739,23022,23293,23658,24300,25085,26358,26991
"49000","Utah","7","SA25N 1/","1604","624","        Social assistance",14848,16142,17686,19289,19343,20254,20753,20997,21795,22825,22984,22975,23311,22970,23196,25368,25833,27118,28632
"49000","Utah","7","SA25N 1/","1700","71","      Arts, entertainment, and recreation",21953,23657,26267,27728,28949,27838,28750,30134,31631,33702,34032,34182,34500,35492,37383,37832,39773,40511,42590
"49000","Utah","7","SA25N 1/","1701","711","        Performing arts, spectator sports, and related industries",10168,11424,12651,12949,14166,12975,13294,14254,15097,16157,16669,17117,17283,17613,18505,18673,19764,21485,22505
"49000","Utah","7","SA25N 1/","1702","712","        Museums, historical sites, and similar institutions",630,669,810,885,815,635,657,782,794,866,969,964,904,928,1028,1049,1220,1305,1372
"49000","Utah","7","SA25N 1/","1703","713","        Amusement, gambling, and recreation industries",11155,11564,12806,13894,13968,14228,14799,15098,15740,16679,16394,16101,16313,16951,17850,18110,18789,17721,18713
"49000","Utah","7","SA25N 1/","1800","72","      Accommodation and food services",81737,83337,85074,87244,89396,89768,91906,93436,97114,100878,103620,100139,99774,102914,106172,111017,115707,120388,123761
"49000","Utah","7","SA25N 1/","1801","721","        Accommodation",16377,16939,17169,17356,18020,17675,17668,18135,18971,19311,20477,18978,19026,19590,20018,20329,21321,21948,22192
"49000","Utah","7","SA25N 1/","1802","722","        Food services and drinking places",65360,66398,67905,69888,71376,72093,74238,75301,78143,81567,83143,81161,80748,83324,86154,90688,94386,98440,101569
"49000","Utah","7","SA25N 1/","1900","81","      Other services (except public administration)",66344,69493,70647,72477,76771,77058,79245,80377,82792,85791,86367,84945,83025,85791,88701,89872,95988,98090,100109
"49000","Utah","7","SA25N 1/","1901","811","        Repair and maintenance",17889,18835,18891,19443,20056,19738,20087,20701,22027,22095,21652,20797,20180,20897,21689,22634,23197,23851,23874
"49000","Utah","7","SA25N 1/","1902","812","        Personal and laundry services",19702,21428,21844,22882,23886,23899,25165,26074,26248,29119,29920,29603,29089,31049,31955,32602,33494,37034,39762
"49000","Utah","7","SA25N 1/","1903","813","        Religious, grantmaking, civic, professional, and similar organizations",22590,22784,23161,23529,25734,26233,26657,26273,27135,26828,27040,26880,26881,26515,26346,25989,29736,27759,27583
"49000","Utah","7","SA25N 1/","1904","814","        Private households",6163,6446,6751,6623,7095,7188,7336,7329,7382,7749,7755,7665,6875,7330,8711,8647,9561,9446,8890
"49000","Utah","7","SA25N 1/","2000","...","    Government and government enterprises",193817,197384,203717,207063,212747,214493,217464,220214,222818,225496,228578,231624,234445,239417,241342,241007,242651,244661,250121
"49000","Utah","7","SA25N 1/","2001","...","      Federal, civilian",30575,30639,32499,32982,35756,35785,34882,35346,35941,35611,35409,36426,38035,36677,35448,34595,34318,35133,36195
"49000","Utah","7","SA25N 1/","2002","...","      Military",16033,15922,16222,16761,17334,17918,17500,17608,17326,16768,16540,16959,16886,16896,16570,16432,16211,16181,16147
"49000","Utah","7","SA25N 1/","2010","...","      State and local",147209,150823,154996,157320,159657,160790,165082,167260,169551,173117,176629,178239,179524,185844,189324,189980,192122,193347,197779
"49000","Utah","7","SA25N 1/","2011","...","        State government",58837,60388,61687,61942,61523,61290,63828,64371,65306,66674,66279,65704,66636,69552,71598,71390,71591,72443,74378
"49000","Utah","7","SA25N 1/","2012","...","        Local government",88372,90435,93309,95378,98134,99500,101254,102889,104245,106443,110350,112535,112888,116292,117726,118590,120531,120904,123401
"Note: See the included footnote file."
