"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"56000","Wyoming","7","SA25N 1/","10","...","Total employment (number of jobs)",310629,314050,324018,330154,334232,337010,343853,354786,370803,389074,399728,388641,385217,390568,396774,400424,406281,405856,396541
"56000","Wyoming","7","SA25N 1/","20","...","  Wage and salary employment",240390,245126,251864,257281,260335,262305,267245,274823,287465,298350,306842,294731,290162,294099,298341,299528,304062,302630,291331
"56000","Wyoming","7","SA25N 1/","40","...","  Proprietors employment",70239,68924,72154,72873,73897,74705,76608,79963,83338,90724,92886,93910,95055,96469,98433,100896,102219,103226,105210
"56000","Wyoming","7","SA25N 1/","50","...","    Farm proprietors employment",8857,8813,8948,8928,9550,8767,8518,8416,8116,9745,9865,9998,10216,10412,10296,10185,10368,10390,10383
"56000","Wyoming","7","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",61382,60111,63206,63945,64347,65938,68090,71547,75222,80979,83021,83912,84839,86057,88137,90711,91851,92836,94827
"56000","Wyoming","7","SA25N 1/","70","111-112","  Farm employment",12278,12016,12726,12447,13159,12125,11837,11524,11179,12583,12855,12803,13053,13683,14007,13873,13934,14212,14254
"56000","Wyoming","7","SA25N 1/","80","...","  Nonfarm employment",298351,302034,311292,317707,321073,324885,332016,343262,359624,376491,386873,375838,372164,376885,382767,386551,392347,391644,382287
"56000","Wyoming","7","SA25N 1/","90","113-814","    Private nonfarm employment",235890,238927,246366,252437,254740,257720,264367,274753,291105,306263,315345,301908,297110,301827,307087,310787,316976,315780,306256
"56000","Wyoming","7","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",2984,2799,2644,2608,2880,2514,2613,2563,2540,2680,2819,2872,2819,2855,2897,2935,3117,2909,2844
"56000","Wyoming","7","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",381,309,249,243,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"56000","Wyoming","7","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",364,452,375,459,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"56000","Wyoming","7","SA25N 1/","103","115","        Support activities for agriculture and forestry",2079,1946,1837,1863,2119,1890,1911,1828,1803,1948,2075,2185,2163,2213,2213,2191,2364,2208,2160
"56000","Wyoming","7","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",18502,17705,18652,20719,20139,21293,22891,25325,29759,31252,34569,30171,30903,32375,35186,34092,34708,31528,26555
"56000","Wyoming","7","SA25N 1/","201","211","        Oil and gas extraction",4655,4517,4722,5267,4859,5263,5253,5758,6399,6617,8235,7651,8772,8041,9551,10302,10123,10019,9398
"56000","Wyoming","7","SA25N 1/","202","212","        Mining (except oil and gas)",7724,7592,7244,7303,7521,7474,7626,7888,8909,9496,10148,10007,9999,10248,10824,10140,10011,10141,9181
"56000","Wyoming","7","SA25N 1/","203","213","        Support activities for mining",6123,5596,6686,8149,7759,8556,10012,11679,14451,15139,16186,12513,12132,14086,14811,13650,14574,11368,7976
"56000","Wyoming","7","SA25N 1/","300","22","      Utilities",2336,2301,2156,"(D)","(D)",2172,2240,2337,2376,2553,2613,2585,2593,2560,2555,2575,2589,2670,2704
"56000","Wyoming","7","SA25N 1/","400","23","      Construction",23690,24906,25677,27179,"(D)",27320,27389,29396,33187,36402,38007,33243,30642,28867,29345,29724,31687,30951,28647
"56000","Wyoming","7","SA25N 1/","401","236","        Construction of buildings",5314,5914,6139,6406,"(D)",5775,5810,6248,6879,6881,6975,6391,5457,5172,5339,5512,5652,6022,5943
"56000","Wyoming","7","SA25N 1/","402","237","        Heavy and civil engineering construction",5047,5602,5726,6112,6161,6464,5991,6715,8333,10206,10761,8481,8149,7192,7369,6732,8006,6941,5858
"56000","Wyoming","7","SA25N 1/","403","238","        Specialty trade contractors",13329,13390,13812,14661,14571,15081,15588,16433,17975,19315,20271,18371,17036,16503,16637,17480,18029,17988,16846
"56000","Wyoming","7","SA25N 1/","500","31-33","      Manufacturing",11381,11374,11292,11419,"(D)",10660,10877,11202,11763,11869,11598,10929,10458,11031,11280,11616,11776,11927,11447
"56000","Wyoming","7","SA25N 1/","510","321,327-339","        Durable goods manufacturing",6081,6050,5955,5931,"(D)","(D)","(D)",6156,6531,6587,6293,5857,5439,5828,5941,6059,6097,6119,5600
"56000","Wyoming","7","SA25N 1/","511","321","          Wood product manufacturing",1180,1163,1110,1049,1109,1010,1035,1040,1061,948,724,565,492,523,560,690,659,684,625
"56000","Wyoming","7","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",871,910,913,887,912,927,924,950,985,1002,984,1002,948,983,985,931,888,906,906
"56000","Wyoming","7","SA25N 1/","513","331","          Primary metal manufacturing","(T)","(T)","(T)",184,131,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",100,"(D)","(D)",105,"(D)","(D)",109
"56000","Wyoming","7","SA25N 1/","514","332","          Fabricated metal product manufacturing",1246,1308,1174,1395,1329,1388,1438,1696,1813,1890,1859,1654,1480,1723,1799,1697,1834,1842,1642
"56000","Wyoming","7","SA25N 1/","515","333","          Machinery manufacturing",550,492,502,567,531,416,452,476,543,613,626,691,619,684,843,915,835,741,675
"56000","Wyoming","7","SA25N 1/","516","334","          Computer and electronic product manufacturing",506,413,416,"(D)",393,354,347,301,324,328,258,232,175,174,184,"(D)","(D)",294,211
"56000","Wyoming","7","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing","(T)","(T)","(T)",249,143,140,155,172,193,184,282,294,272,304,302,288,288,323,224
"56000","Wyoming","7","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",380,416,454,"(D)","(D)",395,426,"(D)","(D)","(D)",404,"(D)","(D)","(D)","(D)",232,207,155,143
"56000","Wyoming","7","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing","(T)","(T)","(T)","(D)","(D)",115,109,"(D)","(D)","(D)",117,"(D)","(D)","(D)","(D)","(D)",86,126,124
"56000","Wyoming","7","SA25N 1/","521","337","          Furniture and related product manufacturing","(T)","(T)","(T)",483,427,448,458,426,448,452,467,421,386,351,329,349,355,357,360
