"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"28000","Mississippi","5","SA25 1/","10","...","Total employment (number of jobs)",908677,916796,938968,978740,1019427,1031293,1000814,1038827,1070753,1100550,1114375,1111313,1106596,1079218,1087581,1117040,1123930,1130753,1141343,1169037,1188891,1202603,1210948,1233701,1286919,1334700,1365437,1389237,1415330,1445364,1469955,1476305,1456000
"28000","Mississippi","5","SA25 1/","20","...","  Wage and salary employment",749337,754792,771358,806528,847732,857817,825346,859988,892932,922020,936460,932016,923751,894553,895346,921503,926879,933550,949669,978758,1000335,1013649,1014263,1037882,1081777,1131327,1152491,1167574,1187361,1214368,1233957,1232416,1207480
"28000","Mississippi","5","SA25 1/","40","...","  Proprietors employment",159340,162004,167610,172212,171695,173476,175468,178839,177821,178530,177915,179297,182845,184665,192235,195537,197051,197203,191674,190279,188556,188954,196685,195819,205142,203373,212946,221663,227969,230996,235998,243889,248520
"28000","Mississippi","5","SA25 1/","50","...","    Farm proprietors employment",69997,69296,67791,65982,65216,65025,64114,62758,57861,55618,55660,54695,55573,52623,54168,52649,50610,48068,45684,43327,42677,41580,41490,40610,41480,41149,42213,42796,43042,43820,44638,44711,43491
"28000","Mississippi","5","SA25 1/","60","...","    Nonfarm proprietors employment 2/",89343,92708,99819,106230,106479,108451,111354,116081,119960,122912,122255,124602,127272,132042,138067,142888,146441,149135,145990,146952,145879,147374,155195,155209,163662,162224,170733,178867,184927,187176,191360,199178,205029
"28000","Mississippi","5","SA25 1/","70","[01-02]","  Farm employment",106494,110171,108768,102224,101809,103896,93815,97551,91717,83618,81654,86663,84822,79363,83063,78658,67677,62853,59643,59163,56595,55294,54521,52788,53795,51235,53453,54435,55498,54110,55028,55096,53208
"28000","Mississippi","5","SA25 1/","80","...","  Nonfarm employment",802183,806625,830200,876516,917618,927397,906999,941276,979036,1016932,1032721,1024650,1021774,999855,1004518,1038382,1056253,1067900,1081700,1109874,1132296,1147309,1156427,1180913,1233124,1283465,1311984,1334802,1359832,1391254,1414927,1421209,1402792
"28000","Mississippi","5","SA25 1/","90","...","    Private nonfarm employment",615191,622491,641453,682955,715020,722709,700346,736666,770957,803339,812069,797659,796467,778614,784651,816493,831384,841043,851691,878324,897355,909510,919461,939289,987862,1033546,1058208,1078863,1101066,1126439,1146372,1147588,1128007
"28000","Mississippi","5","SA25 1/","100","[07-08]","      Agricultural services, forestry, and fishing",5584,5516,5842,5928,5765,6014,6792,6837,7127,7848,8155,8269,7798,7760,8040,9062,9551,9727,11811,11647,11594,11950,12293,12113,13363,13547,14161,15381,16260,17291,19149,19228,19403
"28000","Mississippi","5","SA25 1/","110","07","        Agricultural services",3955,4053,4193,4170,4401,4508,4790,4890,5273,6059,6217,6341,5900,5920,6135,6848,7323,7251,8729,8403,8459,8819,9539,9425,10435,10486,11156,11731,12400,12964,14123,13709,"(NA)"
"28000","Mississippi","5","SA25 1/","120","...","        Forestry and fishing",1629,1463,1649,1758,1364,1506,2002,1947,1854,1789,1938,1928,1898,1840,1905,2214,2228,2476,3082,3244,3135,3131,2754,2688,2928,3061,3005,3650,3860,4327,5026,5519,"(NA)"
"28000","Mississippi","5","SA25 1/","121","08","          Forestry",717,731,909,1008,710,919,1329,1215,1131,1015,1136,1102,1074,1053,1115,1353,1325,1547,1779,1814,1671,1734,1539,1585,1657,2010,1950,2445,2656,3104,3623,4018,"(NA)"
"28000","Mississippi","5","SA25 1/","122","...","          Fishing",912,732,740,750,654,587,673,732,723,774,802,826,824,787,790,861,903,929,1303,1430,1464,1397,1215,1103,1271,1051,1055,1205,1204,1223,1403,1501,"(NA)"
"28000","Mississippi","5","SA25 1/","200","B","      Mining",7975,8366,8529,8384,7971,8309,8761,9380,10284,11503,12571,14738,18640,17862,15986,16543,16687,13319,10947,10869,10303,9738,9596,8828,8881,9156,8539,8217,9272,9415,8325,7562,9126
"28000","Mississippi","5","SA25 1/","210","10","        Metal mining",0,15,15,17,50,57,50,74,65,25,33,30,34,32,46,42,38,36,"(L)","(L)","(L)","(L)","(L)",10,"(D)","(L)",14,16,20,12,12,13,"(NA)"
"28000","Mississippi","5","SA25 1/","220","12","        Coal mining",12,10,10,"(L)","(L)",10,"(L)",10,"(L)","(L)","(L)",15,15,12,"(L)",12,13,11,"(L)","(D)","(L)","(L)","(L)","(L)","(D)","(L)","(L)","(L)",22,"(D)",71,"(D)","(NA)"
"28000","Mississippi","5","SA25 1/","230","13","        Oil and gas extraction",7036,7372,7441,7235,6654,6961,7455,8084,9007,10169,11219,13559,17518,16891,15199,15717,15858,12506,10236,10183,9624,8995,8816,8000,8120,8371,7694,7381,8436,8507,7381,6614,"(NA)"
"28000","Mississippi","5","SA25 1/","240","14","        Nonmetallic minerals, except fuels",927,969,1063,1124,1259,1281,1248,1212,1205,1304,1310,1134,1073,927,734,772,778,766,698,"(D)",667,731,771,809,754,778,824,812,794,"(D)",861,"(D)","(NA)"
"28000","Mississippi","5","SA25 1/","300","C","      Construction",43255,43797,42861,48573,54334,56893,49585,51964,54622,59683,61612,57776,56885,54400,51780,54286,54042,53285,52214,53883,54977,55896,54014,57205,63767,67286,71553,74895,78280,83500,85765,85291,83684
"28000","Mississippi","5","SA25 1/","310","15","        General building contractors",12529,13878,13755,15655,18213,17688,13609,13081,12982,14836,15539,14849,14580,12194,11710,14330,15224,14527,13971,15039,15425,14962,13725,14027,16755,16955,16860,17488,17812,19873,20408,19596,"(NA)"
"28000","Mississippi","5","SA25 1/","320","16","        Heavy construction contractors",10556,10199,9568,9837,10875,13045,13103,14955,15516,17350,18181,17464,17888,18610,16271,12636,10601,10331,9791,9529,9433,9926,9235,9524,9936,10292,12011,11998,12563,13594,13048,14332,"(NA)"
"28000","Mississippi","5","SA25 1/","330","17","        Special trade contractors",20170,19720,19538,23081,25246,26160,22873,23928,26124,27497,27892,25463,24417,23596,23799,27320,28217,28427,28452,29315,30119,31008,31054,33654,37076,40039,42682,45409,47905,50033,52309,51363,"(NA)"
"28000","Mississippi","5","SA25 1/","400","D","      Manufacturing",187955,187898,194713,213150,225975,225097,207048,224563,235995,241178,242238,229902,227004,210117,211804,226416,230081,232138,234287,244253,249659,251922,253130,256928,261038,266145,262922,251322,247038,250067,248156,238005,217447
"28000","Mississippi","5","SA25 1/","410","...","        Durable goods manufacturing",99166,98704,103598,118676,127906,126470,116433,127403,137449,141560,141066,128933,127400,116101,116373,127196,131927,132836,132962,139542,142620,143912,143036,144841,147796,155046,155276,150968,150288,155250,156053,150126,135442
