"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"94000","Plains","4","SA25 1/","10","...","Total employment (number of jobs)",7505929,7515685,7544238,7730682,8064620,8219329,8180642,8438457,8656898,8952740,9231708,9227034,9179615,9050226,9163323,9469948,9612034,9701239,9948963,10155661,10356893,10544130,10597216,10707957,10934005,11229940,11537241,11760554,11980349,12239668,12406762,12603586,12601156
"94000","Plains","4","SA25 1/","20","...","  Wage and salary employment",5937618,5958540,5975684,6110880,6395761,6561172,6534156,6747304,6956482,7259647,7495230,7422348,7364104,7187628,7228064,7525174,7644967,7723499,7937090,8175242,8387540,8533379,8532054,8670436,8850788,9098161,9340113,9526715,9730849,9948328,10122057,10253595,10233694
"94000","Plains","4","SA25 1/","40","...","  Proprietors employment",1568311,1557145,1568554,1619802,1668859,1658157,1646486,1691153,1700416,1693093,1736478,1804686,1815511,1862598,1935259,1944774,1967067,1977740,2011873,1980419,1969353,2010751,2065162,2037521,2083217,2131779,2197128,2233839,2249500,2291340,2284705,2349991,2367462
"94000","Plains","4","SA25 1/","50","...","    Farm proprietors employment",652384,643442,636447,625676,621636,617105,610045,599699,594161,587746,581381,577483,573894,566378,595903,574811,562367,543943,532011,522842,521064,515841,509051,508217,504032,494824,490111,478397,476036,482170,477826,473757,465906
"94000","Plains","4","SA25 1/","60","...","    Nonfarm proprietors employment 2/",915927,913703,932107,994126,1047223,1041052,1036441,1091454,1106255,1105347,1155097,1227203,1241617,1296220,1339356,1369963,1404700,1433797,1479862,1457577,1448289,1494910,1556111,1529304,1579185,1636955,1707017,1755442,1773464,1809170,1806879,1876234,1901556
"94000","Plains","4","SA25 1/","70","[01-02]","  Farm employment",784664,776513,779972,763331,774282,783844,783130,778782,756567,750046,744142,738622,726882,711345,752809,715900,690150,657247,646958,641027,629614,615573,601204,596449,586999,577620,577727,573488,567358,565994,560390,553460,546959
"94000","Plains","4","SA25 1/","80","...","  Nonfarm employment",6721265,6739172,6764266,6967351,7290338,7435485,7397512,7659675,7900331,8202694,8487566,8488412,8452733,8338881,8410514,8754048,8921884,9043992,9302005,9514634,9727279,9928557,9996012,10111508,10347006,10652320,10959514,11187066,11412991,11673674,11846372,12050126,12054197
"94000","Plains","4","SA25 1/","90","...","    Private nonfarm employment",5491253,5475038,5479825,5684478,6001186,6123928,6060989,6322995,6563421,6846985,7098708,7077628,7065546,6962357,7031609,7353010,7489363,7591599,7825795,8012202,8203131,8368498,8425231,8515172,8733479,9019781,9313319,9529485,9747813,9998460,10149150,10321275,10316534
"94000","Plains","4","SA25 1/","100","[07-08]","      Agricultural services, forestry, and fishing",44132,45997,46419,46164,47356,48275,44669,46377,48513,56453,58255,60703,61476,61050,64998,69897,73865,76008,94779,89013,87729,94939,99228,95752,104738,111492,112492,117709,123489,"(D)",136850,137106,137481
"94000","Plains","4","SA25 1/","110","07","        Agricultural services",42584,44146,44456,43599,44992,45689,41446,42970,45161,52896,54362,55887,56197,55500,59776,64307,67444,68655,90307,84897,84470,91743,96260,93075,101339,107833,109164,113991,119478,"(D)",130636,130136,"(NA)"
"94000","Plains","4","SA25 1/","120","...","        Forestry and fishing",1548,1851,1963,2565,2364,2586,3223,3407,3352,3557,3893,4816,5279,5550,5222,5590,6421,7353,4472,4116,3259,3196,2968,2677,3399,3659,3328,3718,4011,5245,6214,6970,"(NA)"
"94000","Plains","4","SA25 1/","121","08","          Forestry",1016,1355,1399,1673,1288,1674,2061,1855,1784,2002,2313,3132,3446,3735,3666,3977,4573,5261,2010,2182,1984,1845,1628,1681,1815,2132,1966,2095,2328,2906,3471,4008,"(NA)"
"94000","Plains","4","SA25 1/","122","...","          Fishing",532,496,564,892,1076,912,1162,1552,1568,1555,1580,1684,1833,1815,1556,1613,1848,2092,2462,1934,1275,1351,1340,996,1584,1527,1362,1623,1683,2339,2743,2962,"(NA)"
"94000","Plains","4","SA25 1/","200","B","      Mining",57238,56343,53462,50763,51427,52623,53729,56165,58729,66456,73260,78698,92152,89178,87637,91347,89565,71858,67915,65073,62068,61305,59650,54457,57357,54856,52854,48474,50585,"(D)",46932,46105,46941
"94000","Plains","4","SA25 1/","210","10","        Metal mining",19272,19284,18613,17040,17502,18039,18081,18566,16646,19206,20313,19043,18674,13809,11909,11568,10380,8695,7562,8558,9055,9489,9134,9398,8793,8404,8803,8824,8716,"(D)",7497,7464,"(NA)"
"94000","Plains","4","SA25 1/","220","12","        Coal mining",1627,1825,1909,1996,2133,2251,2553,2849,3190,3550,3996,3389,3420,3786,3634,4099,4025,3545,"(D)",2858,2556,2479,2413,2464,1946,1867,1842,1661,1568,1569,"(D)",1688,"(NA)"
"94000","Plains","4","SA25 1/","230","13","        Oil and gas extraction",23923,23468,21534,20637,20331,20376,20842,23087,27407,31880,36686,45092,59923,61870,61999,65034,64488,49204,46199,42915,39765,38400,37606,31774,36017,33503,30925,26688,28861,"(D)",26253,25533,"(NA)"
"94000","Plains","4","SA25 1/","240","14","        Nonmetallic minerals, except fuels",12416,11766,11406,11090,11461,11957,12253,11663,11486,11820,12265,11174,10135,9713,10095,10646,10672,10414,"(D)",10742,10692,10937,10497,10821,10601,11082,11284,11301,11440,12038,"(D)",11420,"(NA)"
"94000","Plains","4","SA25 1/","300","C","      Construction",360628,353079,351953,359668,377101,386365,386321,412511,432747,469175,481108,440587,417427,397584,405170,438094,440771,456392,463540,455918,460338,468972,462157,490129,509172,545576,566233,585118,604870,633800,666274,678117,691283
"94000","Plains","4","SA25 1/","310","15","        General building contractors",103551,95160,94515,99591,109637,112168,107377,114751,120849,131927,136229,118052,105487,98079,101784,114679,109375,116250,113100,113865,108702,108842,101940,106099,113248,120147,119402,120898,125822,135580,144683,150044,"(NA)"
"94000","Plains","4","SA25 1/","320","16","        Heavy construction contractors",60056,62358,60668,61115,58816,59126,59335,60879,64750,72797,77215,71759,68551,62231,63539,62600,59377,57742,56961,50963,50905,52040,50568,53615,58602,60344,65143,62981,64404,66877,71261,72029,"(NA)"
"94000","Plains","4","SA25 1/","330","17","        Special trade contractors",197021,195561,196770,198962,208648,215071,219609,236881,247148,264451,267664,250776,243389,237274,239847,260815,272019,282400,293479,291090,300731,308090,309649,330415,337322,365085,381688,401239,414644,431343,450330,456044,"(NA)"
"94000","Plains","4","SA25 1/","400","D","      Manufacturing",1303914,1249063,1198225,1250523,1336776,1360286,1255607,1301860,1354512,1417304,1477276,1418239,1384298,1288017,1275610,1362165,1352207,1340483,1362138,1414659,1443101,1449956,1422084,1416955,1436655,1480432,1514008,1520561,1546377,1568043,1555097,1544152,1483501
"94000","Plains","4","SA25 1/","410","...","        Durable goods manufacturing",743660,696095,656981,702423,775949,796409,719687,751528,792928,844335,890996,837528,810918,733905,722255,789970,779430,765336,779070,815454,826802,822423,794883,787329,797479,829690,856401,869203,895932,915711,908346,905052,862755
