"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"27000","Minnesota","4","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",2641823,2703900,2756409,2758536,2740683,2734987,2758166,2795386,2827078,2843408,2831328,2728923,2710413,2751062,2791399,2834955,2875955,2925540,2961350
"27000","Minnesota","4","SA27N 1/","70","111-112","  Farm wage and salary employment",17286,19195,18960,18028,17116,18831,17470,17613,15624,15277,13546,19099,19300,16872,17591,15802,14250,17516,15630
"27000","Minnesota","4","SA27N 1/","80","...","  Nonfarm wage and salary employment",2624537,2684705,2737449,2740508,2723567,2716156,2740696,2777773,2811454,2828131,2817782,2709824,2691113,2734190,2773808,2819153,2861705,2908024,2945720
"27000","Minnesota","4","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",2229084,2284898,2330785,2332322,2313219,2307890,2331747,2362436,2391665,2408629,2397728,2291368,2270160,2319008,2357002,2401595,2442158,2486165,2520091
"27000","Minnesota","4","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",5287,5190,4975,4705,4616,4753,5010,5129,5200,5177,5347,5532,5641,5690,5798,5955,6060,6389,6313
"27000","Minnesota","4","SA27N 1/","101","113","        Forestry and logging",998,981,1003,864,832,859,908,880,853,827,825,832,837,875,860,840,850,939,936
"27000","Minnesota","4","SA27N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",74,77,100,109,102,116,116,117,112,104,115,119,118,145,154,145
"27000","Minnesota","4","SA27N 1/","103","115","        Support activities for agriculture and forestry",4134,4077,3845,3767,3707,3794,3993,4147,4231,4234,4405,4588,4700,4700,4819,4997,5065,5296,5232
"27000","Minnesota","4","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",7579,7328,7227,5967,5657,5268,5251,5140,5179,5231,5549,4423,5220,5810,6247,6219,6370,6164,5361
"27000","Minnesota","4","SA27N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",46,42
"27000","Minnesota","4","SA27N 1/","202","212","        Mining (except oil and gas)",7550,7293,7183,5939,5629,5238,5217,5102,5132,5157,5436,4349,5087,5597,6000,5991,6165,5992,5238
"27000","Minnesota","4","SA27N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",126,81
"27000","Minnesota","4","SA27N 1/","300","22","      Utilities",12796,12910,12649,12542,12198,11959,11891,11881,11916,12065,12515,12728,12687,12804,12707,13012,12863,12788,12504
"27000","Minnesota","4","SA27N 1/","400","23","      Construction",105197,116731,124342,127252,129158,130156,133828,134457,131221,124772,114746,97771,90671,94676,97751,103549,110644,118323,119225
"27000","Minnesota","4","SA27N 1/","401","236","        Construction of buildings",24547,26978,28828,30458,31205,31090,31935,32766,31685,30028,27423,22210,20993,21717,22112,23619,25444,26212,26260
"27000","Minnesota","4","SA27N 1/","402","237","        Heavy and civil engineering construction",14093,15006,15337,15348,15936,15781,16269,15561,15460,15003,14474,13850,13079,13310,14060,14910,15954,17191,16700
"27000","Minnesota","4","SA27N 1/","403","238","        Specialty trade contractors",66557,74747,80177,81446,82017,83285,85624,86130,84076,79741,72849,61711,56599,59649,61579,65020,69246,74920,76265
"27000","Minnesota","4","SA27N 1/","500","31-33","      Manufacturing",397116,396615,396636,378425,357094,345765,343681,347014,346346,341459,335148,300072,292370,301283,305864,307543,312320,317575,317991
"27000","Minnesota","4","SA27N 1/","510","321,327-339","        Durable goods manufacturing",255394,254650,255268,242706,226341,217582,219929,224088,224641,220130,215460,188561,183344,190230,194502,195236,198810,202775,201767
"27000","Minnesota","4","SA27N 1/","511","321","          Wood product manufacturing",15925,16595,16949,16241,16521,16782,17128,17201,16387,14781,13024,11320,10621,10590,10610,10437,10761,10899,11227
"27000","Minnesota","4","SA27N 1/","512","327","          Nonmetallic mineral product manufacturing",10106,10164,10496,10410,10065,9765,10183,10291,10194,10366,9638,8266,7817,8073,8537,8907,9047,9684,10259
"27000","Minnesota","4","SA27N 1/","513","331","          Primary metal manufacturing",7104,7052,6947,6931,6589,6440,6691,6862,6774,6588,6752,5048,5288,5892,6202,6031,6087,6320,6053
"27000","Minnesota","4","SA27N 1/","514","332","          Fabricated metal product manufacturing",49748,49189,49930,46819,42465,40598,41499,42687,43588,43765,43114,37651,36776,38894,41103,41560,42556,42704,42307
"27000","Minnesota","4","SA27N 1/","515","333","          Machinery manufacturing",44628,43703,43833,41166,36740,34728,34311,34467,34041,33946,34001,29681,29052,30460,32001,32215,32378,33265,32897
"27000","Minnesota","4","SA27N 1/","516","334","          Computer and electronic product manufacturing",68879,67434,65773,61821,57028,53427,53619,54254,54765,52117,52090,47253,45638,46068,45625,44758,45128,45797,45638
"27000","Minnesota","4","SA27N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",9246,9300,9803,9147,8151,7586,7953,7960,8245,8539,9008,8436,7976,8382,8772,8714,8842,8765,8411
"27000","Minnesota","4","SA27N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",8954,9815,10070,9321,8932,8433,7293,7433,6787,6340,5866,4774,4719,"(D)","(D)","(D)","(D)","(D)","(D)"
"27000","Minnesota","4","SA27N 1/","519","3364-3369","          Other transportation equipment manufacturing",6989,7185,7309,7549,7760,7764,7711,8096,7845,7360,7248,5172,4849,"(D)","(D)","(D)","(D)","(D)","(D)"
"27000","Minnesota","4","SA27N 1/","521","337","          Furniture and related product manufacturing",13222,14102,14229,13456,12711,12489,12758,13173,13055,12378,11304,8773,8084,8512,8674,9084,9386,9627,9571
"27000","Minnesota","4","SA27N 1/","522","339","          Miscellaneous manufacturing",20593,20111,19929,19845,19379,19570,20783,21664,22960,23950,23415,22187,22524,22754,22593,22475,23093,23938,24430
