"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"39000","Ohio","3","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",5649915,5726183,5781879,5709491,5621521,5573517,5583386,5588308,5599652,5597110,5524882,5232886,5168965,5228768,5319551,5371183,5445180,5524484,5589230
"39000","Ohio","3","SA27N 1/","70","111-112","  Farm wage and salary employment",15679,17128,17956,17701,13876,15724,14954,14541,15595,17158,12612,13609,13347,13254,19593,16081,12576,18013,20093
"39000","Ohio","3","SA27N 1/","80","...","  Nonfarm wage and salary employment",5634236,5709055,5763923,5691790,5607645,5557793,5568432,5573767,5584057,5579952,5512270,5219277,5155618,5215514,5299958,5355102,5432604,5506471,5569137
"39000","Ohio","3","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",4831121,4902135,4941085,4857375,4758800,4706960,4717895,4730741,4741883,4735299,4668375,4380207,4330575,4407972,4500698,4559821,4637799,4712245,4767438
"39000","Ohio","3","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",3988,4019,3842,3794,3917,4058,4272,4106,4099,4176,4292,4457,4603,4600,4885,5111,5260,5438,5417
"39000","Ohio","3","SA27N 1/","101","113","        Forestry and logging",838,793,738,638,690,680,720,521,507,476,414,381,389,367,378,380,351,352,293
"39000","Ohio","3","SA27N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",30,31,33,35,30,24,26,24,29,33,30,30,30,35,38,39
"39000","Ohio","3","SA27N 1/","103","115","        Support activities for agriculture and forestry",3083,3164,3044,3126,3196,3345,3517,3555,3568,3674,3854,4047,4181,4203,4477,4701,4874,5048,5085
"39000","Ohio","3","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",13144,12842,12334,12497,11707,11031,11058,10841,10994,11291,11681,11450,10897,11375,12214,12134,14398,13721,11017
"39000","Ohio","3","SA27N 1/","201","211","        Oil and gas extraction",2657,2704,2564,2656,2494,2513,2499,2335,2386,2573,2690,2718,2763,2875,3091,2007,2329,2020,1649
"39000","Ohio","3","SA27N 1/","202","212","        Mining (except oil and gas)",8631,8455,8008,7877,6995,6346,6315,6151,6045,5835,5879,5889,5613,5675,5775,5581,5664,5326,4666
"39000","Ohio","3","SA27N 1/","203","213","        Support activities for mining",1856,1683,1762,1964,2218,2172,2244,2355,2563,2883,3112,2843,2521,2825,3348,4546,6405,6375,4702
"39000","Ohio","3","SA27N 1/","300","22","      Utilities",24882,24776,24433,24250,22020,21405,20466,20405,20779,21098,21718,21323,19951,19308,19109,18799,18217,19209,19230
"39000","Ohio","3","SA27N 1/","400","23","      Construction",239792,248648,255276,248708,246915,242167,245182,241569,239155,233223,219914,189612,174975,181890,186456,191406,201090,206008,211615
"39000","Ohio","3","SA27N 1/","401","236","        Construction of buildings",57341,59718,59635,58049,59689,58757,59425,58805,57319,55134,52454,43709,40181,41804,41903,43145,44667,44972,46427
"39000","Ohio","3","SA27N 1/","402","237","        Heavy and civil engineering construction",27585,27699,28820,27396,25357,24963,24904,25155,25553,25018,23862,23289,20757,21723,22515,26102,28267,28449,27869
"39000","Ohio","3","SA27N 1/","403","238","        Specialty trade contractors",154866,161231,166821,163263,161869,158447,160853,157609,156283,153071,143598,122614,114037,118363,122038,122159,128156,132587,137319
"39000","Ohio","3","SA27N 1/","500","31-33","      Manufacturing",1038845,1030256,1028059,953489,883221,842011,823206,813326,798189,773744,740086,630766,621524,638976,657622,663376,675271,686618,686061
"39000","Ohio","3","SA27N 1/","510","321,327-339","        Durable goods manufacturing",735744,727770,725388,671451,609655,576904,565537,559746,550761,531324,506724,419602,412151,429033,444884,449296,459986,467591,463060
"39000","Ohio","3","SA27N 1/","511","321","          Wood product manufacturing",21893,22475,23060,21285,19064,18421,18340,17032,16602,15804,14161,11482,11185,10987,11253,11581,11961,12270,12990
"39000","Ohio","3","SA27N 1/","512","327","          Nonmetallic mineral product manufacturing",41951,42743,42957,40890,38102,35293,33248,32089,31775,30624,28773,24627,24523,24844,25358,25190,25496,25427,27204
"39000","Ohio","3","SA27N 1/","513","331","          Primary metal manufacturing",85880,81991,79379,70721,61710,57608,54430,54251,53014,50423,47974,37220,37089,39444,40115,39082,38943,38700,36933
"39000","Ohio","3","SA27N 1/","514","332","          Fabricated metal product manufacturing",141089,138661,141122,130019,118782,115118,117203,116506,117323,117732,115631,96142,94291,99873,103648,102465,103213,103350,98594
"39000","Ohio","3","SA27N 1/","515","333","          Machinery manufacturing",116897,112416,110631,101208,88431,84188,83059,83877,84037,82771,80901,68424,66556,70962,74083,75697,77848,78920,76975
"39000","Ohio","3","SA27N 1/","516","334","          Computer and electronic product manufacturing",41076,40038,40563,38016,30405,25756,23793,23192,22509,22417,22317,20626,20148,20637,20524,19990,19395,20883,20414
"39000","Ohio","3","SA27N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",44550,43154,43404,40737,38405,36096,34156,32591,31816,32139,30830,26594,25545,26427,27655,27635,28020,28178,27419
"39000","Ohio","3","SA27N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",163605,167134,164452,150834,142654,136516,134554,133148,127508,114318,101671,76752,78701,82450,88184,93390,100446,104159,105565
"39000","Ohio","3","SA27N 1/","519","3364-3369","          Other transportation equipment manufacturing",22364,21291,20689,20476,18452,17340,17734,18230,19208,19848,20605,19516,18169,17892,17823,17662,17872,18947,19932
"39000","Ohio","3","SA27N 1/","521","337","          Furniture and related product manufacturing",24569,25772,26550,25459,23619,22955,22396,22070,21332,21164,19977,16449,14978,13831,13891,14215,14747,14949,15576
"39000","Ohio","3","SA27N 1/","522","339","          Miscellaneous manufacturing",31870,32095,32581,31806,30031,27613,26624,26760,25637,24084,23884,21770,20966,21686,22350,22389,22045,21808,21458
"39000","Ohio","3","SA27N 1/","530","311-316,322-326","        Nondurable goods manufacturing",303101,302486,302671,282038,273566,265107,257669,253580,247428,242420,233362,211164,209373,209943,212738,214080,215285,219027,223001
"39000","Ohio","3","SA27N 1/","531","311","          Food manufacturing",55958,56770,57433,58127,57466,56129,54557,54102,53733,54550,53945,53410,53663,54603,56296,57103,57162,58466,59941
"39000","Ohio","3","SA27N 1/","532","312","          Beverage and tobacco product manufacturing",7194,6998,6862,6853,7485,7363,7345,7283,7077,7183,7040,6731,6563,6616,6566,6931,6911,7571,8439
"39000","Ohio","3","SA27N 1/","533","313","          Textile mills",3949,3937,3944,3661,3467,3452,3281,3072,2824,2635,2398,1970,1858,1937,2135,2370,2172,2034,1821
"39000","Ohio","3","SA27N 1/","534","314","          Textile product mills",5536,5505,5577,5233,5107,5006,4618,4579,4421,4650,4310,3404,3259,3122,3065,2920,2927,3003,2514
"39000","Ohio","3","SA27N 1/","535","315","          Apparel manufacturing",4088,3775,3522,3015,3200,3482,2978,2861,2856,2393,2223,2030,1686,1519,1501,1579,1677,1700,1707
"39000","Ohio","3","SA27N 1/","536","316","          Leather and allied product manufacturing",1459,1368,1317,991,786,769,676,591,612,614,561,519,470,475,487,500,496,471,1013
"39000","Ohio","3","SA27N 1/","537","322","          Paper manufacturing",33817,33089,32456,30104,28565,27076,26097,25646,24736,24035,23093,20511,20122,20045,19202,18951,19274,19814,19852
"39000","Ohio","3","SA27N 1/","538","323","          Printing and related support activities",42108,41405,41169,37723,35784,34353,33147,32698,31461,31260,28991,25442,23440,22331,21841,21326,21434,21485,21649
"39000","Ohio","3","SA27N 1/","539","324","          Petroleum and coal products manufacturing",5578,5541,5399,5034,4697,4631,4693,4745,4559,4607,4522,4333,4310,4430,4503,4827,4868,4791,5042
"39000","Ohio","3","SA27N 1/","541","325","          Chemical manufacturing",53993,53290,53264,51086,49399,48038,47898,46981,46786,46437,45907,42880,43205,43246,44122,43583,43284,43685,44294
"39000","Ohio","3","SA27N 1/","542","326","          Plastics and rubber products manufacturing",89421,90808,91728,80211,77610,74808,72379,71022,68363,64056,60372,49934,50797,51619,53020,53990,55080,56007,56729
"39000","Ohio","3","SA27N 1/","600","42","      Wholesale trade",243354,247111,250487,247882,238776,235403,234927,239084,240862,241687,239188,223539,218050,219727,225351,228901,233872,237168,236773
