"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"04000","Arizona","6","SA30","10","...","Personal income (thousands of dollars)",2358531,2599848,2833481,3086456,3322188,3493419,3746979,3977948,4336766,4719704,5413703,6309880,7180112,8206023,9404333,10860099,12242125,13161612,14661840,16480188,19438384,22885921,26363186,30118690,31884829,35029874,39699293,44054015,48294793,52226134,56265019,60486975,63383028,66575466,70987974,76430689,83859970,91282721,98948614,107437212,117552632,124514127,135372547,141148475,146532203,155206313,169446981,188531565,209240727,220503346,224317885,214058229,215052605,225838885,236220305,242181504,255696365,270258279,280120037
"04000","Arizona","6","SA30","45","...","Net earnings by place of residence",1868645,2046414,2216802,2382134,2569012,2680238,2867455,3022040,3322777,3572390,4053069,4641890,5180714,5896822,6792768,7805507,8648037,8840258,9948515,11287999,13358799,15805982,17714772,19589762,20271996,22130243,25274155,28114721,30898188,33542606,36323132,37553845,39360717,41799743,44970914,48531852,53214017,58246331,63551169,69273908,77008156,82636078,90533423,94243732,97283115,102319365,111523057,122924157,136708086,142183936,140930421,131886581,129691120,137005877,143647887,147474978,153664437,161193266,168545930
"04000","Arizona","6","SA30","50","...","Personal current transfer receipts",134953,152934,166061,193905,211810,230912,249580,282189,304929,377143,435425,491894,592046,709731,815975,983180,1187963,1660226,1828012,1927572,2172497,2472375,2975893,3495636,3901700,4271276,4577983,4968051,5450399,5953841,6535772,7580048,8402999,9383258,10684403,11524979,12306431,13116719,13969395,14577465,15130035,16115609,17027888,19315151,21494559,23478027,25701440,28737448,31425166,34117970,39756262,44421949,48316104,48322923,48070799,49804214,53409419,56392670,58071967
"04000","Arizona","6","SA30","60","...","  Income maintenance benefits 1/",19174,22003,24271,26321,27224,28645,29018,29418,30134,30873,30973,33241,44350,51160,62066,73902,99256,126962,152167,145598,138107,175516,249110,277484,300733,330760,335263,333408,366723,397785,481592,583792,715962,880865,1097653,1205604,1306531,1427785,1446871,1489880,1447328,1471749,1514425,1604640,1925971,2178825,2377636,2630516,2722404,2932291,3290534,4220947,4640652,4875546,4983668,5004503,4946597,5043315,4991210
"04000","Arizona","6","SA30","70","...","  Unemployment insurance compensation",14124,12690,12390,19737,15321,14496,17065,19506,11737,15256,13352,10833,19695,30180,31422,26928,54180,173448,143099,74012,62191,51645,95211,99047,206203,201053,100459,101111,125911,136334,121881,130958,163853,226955,337687,298907,200708,174126,177949,159131,172812,189545,188484,297293,503942,511716,358773,293691,252222,312147,564204,1627209,1901064,1325038,933614,590188,393233,351022,333983
"04000","Arizona","6","SA30","80","...","  Retirement and other",101655,118241,129400,147847,169265,187771,203497,233265,263058,331014,391100,447820,528001,628391,722487,882350,1034527,1359816,1532746,1707962,1972199,2245214,2631572,3119105,3394764,3739463,4142261,4533532,4957765,5419722,5932299,6865298,7523184,8275438,9249063,10020468,10799192,11514808,12344575,12928454,13509895,14454315,15324979,17413218,19064646,20787486,22965031,25813241,28450540,30873532,35901524,38573793,41774388,42122339,42153517,44209523,48069589,50998333,52746774
"04000","Arizona","6","SA30","90","...","Dividends, interest, and rent",354933,400500,450618,510417,541366,582269,629944,673719,709060,770171,925209,1176096,1407352,1599470,1795590,2071412,2406125,2661128,2885313,3264617,3907088,4607564,5672521,7033292,7711133,8628355,9847155,10971243,11946206,12729687,13406115,15353082,15619312,15392465,15332657,16373858,18339522,19919671,21428050,23585839,25414441,25762440,27811236,27589592,27754529,29408921,32222484,36869960,41107475,44201440,43631202,37749699,37045381,40510085,44501619,44902312,48622509,52672343,53502140
"04000","Arizona","6","SA30","91","...","  Personal dividend income",53636,61541,72797,77681,86251,99986,117744,137887,138987,143566,199602,214862,228168,247652,278853,322088,367492,367783,451928,534548,640559,757139,864377,1012347,1062322,1184237,1298485,1442229,1597418,1713129,1917409,2288285,2399341,2620388,2717826,2966950,3471091,3928743,4776335,5470024,5726475,5444305,6067533,5872688,6432296,6995697,9608190,10607555,13338362,14880735,13075270,8617297,8851090,10931400,13167177,12564301,14785628,16185751,15334726
"04000","Arizona","6","SA30","92","...","  Personal interest income",182443,215088,243220,269330,303476,326991,353575,370946,398367,446676,546277,744291,942271,1097224,1249335,1478487,1781511,2043796,2200056,2544906,3062455,3652042,4573493,5713743,6344264,7077219,8183999,9117155,9999150,10688972,11111181,12694595,12759051,12140203,11735880,12096192,13126072,14080586,14572710,15771650,16987210,17319384,18579090,18150597,17520236,18273305,18027458,21552370,23454486,25710120,25430859,22614131,20801220,21086551,22251671,22079779,22700142,24291177,25121615
"04000","Arizona","6","SA30","93","...","    Imputed interest receipts 2/",86151,99044,108344,122998,134842,151989,168818,184341,199755,229454,260739,344509,455685,542579,626373,716284,845121,1044200,1104457,1255182,1503389,1637714,1925135,2196468,2593055,3282752,3545927,4212130,4779907,5339735,5550253,6030980,6203452,6338579,6583434,7078042,7673486,8283862,8533678,9421016,9618299,10087676,10613544,10317186,10661941,11317371,12026977,13008473,13504982,14297585,14878146,14534243,14190890,14310864,14647088,15140140,15257981,16430932,17086863
