"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"38000","North Dakota","4","SA30","10","...","Personal income (thousands of dollars)",1171901,1086917,1211691,1111286,1556893,1449804,1441340,1678052,1698142,1699418,1775378,1994339,2104730,2426531,2889855,4038581,4003286,4200486,4117225,4276480,5370965,5513744,5279606,6914367,7487357,7887475,8492880,8782366,8910617,9161561,8473720,9506913,10290342,10410081,11411372,11562828,12545156,12578798,14071088,13808529,15147076,15335245,16695390,17036787,17427613,18918969,19195772,20365614,21301444,23713934,27100616,26687878,29450250,33306563,39449209,40296443,42991436,42002831,41404978
"38000","North Dakota","4","SA30","45","...","Net earnings by place of residence",915585,831019,938289,840972,1230323,1124032,1098766,1299556,1308886,1284052,1322192,1480260,1527503,1772315,2164905,3195181,3026583,3048687,2863663,2876095,3821791,3787335,3175296,4313346,4465927,4746404,5152277,5306262,5338826,5631484,4957351,5660188,6251209,6362121,7183338,7136989,7970651,7694380,8979340,8387768,9528023,9686198,10644302,10844653,11127207,12563593,12707488,13574873,14061961,15686511,17843200,17532295,19585381,22298550,27453041,27417047,28931617,27828533,27006039
"38000","North Dakota","4","SA30","50","...","Personal current transfer receipts",72549,78413,82913,90450,94281,98108,104289,114284,123219,147075,164361,182521,211671,248009,275816,310405,355582,420180,464519,506615,553419,613288,724642,831111,931775,1036127,1110745,1180035,1286828,1345824,1353121,1474312,1578429,1605443,1771908,1866772,1901213,2010187,2092472,2181735,2209291,2304238,2472211,2562301,2688174,2767442,2925895,3143250,3293725,3550901,4022298,4200357,4546887,4658980,4709282,4856884,5077172,5342411,5520871
"38000","North Dakota","4","SA30","60","...","  Income maintenance benefits 1/",10096,9264,9433,9552,9129,8853,9250,10144,10572,12035,12847,13247,17419,21302,21507,21546,23595,25943,30350,32101,32501,36920,52952,55226,58862,62726,67237,71211,77708,77673,87462,95264,101144,110321,129826,137618,143331,150376,157795,172217,151834,161584,163942,164864,181192,208857,214521,229569,235792,282616,320944,376283,420817,423192,420623,417909,432526,439809,435985
"38000","North Dakota","4","SA30","70","...","  Unemployment insurance compensation",6495,6680,6965,8256,6658,6118,7045,6720,6467,5559,5466,5102,5758,9673,12201,10796,11831,17632,23337,31323,26463,25237,37882,36008,48973,64426,46226,47800,52799,38606,29807,28314,25212,30898,42972,40197,31024,30122,31365,31827,29230,34379,33476,36449,59537,59155,44919,44468,44808,47938,58470,126346,119336,94801,83856,100994,80107,115093,147234
"38000","North Dakota","4","SA30","80","...","  Retirement and other",55958,62469,66515,72642,78494,83137,87994,97420,106180,129481,146048,164172,188494,217034,242108,278063,320156,376605,410832,443191,494455,551131,633808,739877,823940,908975,997282,1061024,1156321,1229545,1235852,1350734,1452073,1464224,1599110,1688957,1726858,1829689,1903312,1977691,2028227,2108275,2274793,2360988,2447445,2499430,2666455,2869213,3013125,3220347,3642884,3697728,4006734,4140987,4204803,4337981,4564539,4787509,4937652
"38000","North Dakota","4","SA30","90","...","Dividends, interest, and rent",183767,177485,190489,179864,232289,227664,238285,264212,266037,268291,288825,331558,365556,406207,449134,532995,621121,731619,789043,893770,995755,1113121,1379668,1769910,2089655,2104944,2229858,2296069,2284963,2184253,2163248,2372413,2460704,2442517,2456126,2559067,2673292,2874231,2999276,3239026,3409762,3344809,3578877,3629833,3612232,3587934,3562389,3647491,3945758,4476522,5235118,4955226,5317982,6349033,7286886,8022512,8982647,8831887,8878068
"38000","North Dakota","4","SA30","91","...","  Personal dividend income",12381,15818,15237,15721,15599,18720,20390,23662,23076,27136,24609,23258,24706,26652,29591,36858,45025,50922,58856,66594,77257,88989,99971,117131,156789,128184,128425,141072,162597,181952,196361,246209,267846,296432,314474,355030,412620,455343,518066,604010,633383,628082,687222,683491,772862,837541,990280,1028448,1209203,1483237,1755919,1401076,1561811,2061566,2552469,2945926,3391647,3278788,3080194
"38000","North Dakota","4","SA30","92","...","  Personal interest income",61982,66567,75080,82172,94038,104738,117059,137035,148354,158576,183451,224992,272905,301875,331346,386799,458615,557843,615678,722159,804083,910013,1138855,1427781,1653541,1760131,1897255,1943439,1982325,1873795,1839298,1996804,2046300,1978765,1936436,1937889,1925641,2078615,2145532,2248808,2385277,2311922,2488083,2477341,2339755,2285113,2050541,2090002,2253826,2525913,2799791,2760413,2617494,2711985,2895193,2931776,2937725,3137608,3239311
"38000","North Dakota","4","SA30","93","...","    Imputed interest receipts 2/",27577,32752,38366,44825,50753,55254,60047,66313,71446,74936,78119,100068,128745,144176,159800,179800,206895,266624,283811,318699,357307,366054,425347,483618,592003,740624,746285,841355,896441,910883,897792,938307,973081,1001453,1048003,1105331,1113843,1208419,1233978,1324023,1330396,1338289,1400832,1373152,1404819,1421807,1398187,1333808,1368559,1467962,1659254,1769802,1790961,1848683,1930625,2034827,2017464,2165297,2246255
