"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"36000","New York","2","SA30","10","...","Personal income (thousands of dollars)",43604040,46206770,48288166,50449273,53148456,55348870,59120726,62756914,67354557,72614806,80125413,83912716,90165190,96393345,103115394,109639324,118077927,127411999,134872187,145585536,158660143,173524889,193182470,215239003,233470201,251847877,279011598,298868264,318949769,340487199,373992930,404342796,432392237,432623921,457406830,469767241,484813019,511629875,538196850,568314287,599910544,635108291,682613900,709589003,709926775,723980267,759622890,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1109516679,1155937626,1176080244
"36000","New York","2","SA30","45","...","Net earnings by place of residence",34717125,36680098,38158506,39513270,41385017,42652597,45335746,47880761,51241874,54634677,59840356,62399474,66628470,70367377,75089612,79068076,83362900,87496713,92674514,100280511,110040065,120308698,131257273,142670486,152430666,164578335,181257487,195896364,211688450,230471023,254047076,269632890,289839546,283597732,301824122,309570972,316975220,330619268,348800469,372744947,395583568,427660359,462757433,485479746,485730413,491033209,510122396,521381572,552279814,580391217,588303183,574670767,592645723,627020860,664008506,670301509,691789061,715761904,729107783
"36000","New York","2","SA30","50","...","Personal current transfer receipts",2597291,2720894,2793567,3206585,3295223,3548873,3723368,4015594,4635712,5899634,7213418,7735011,8908863,10744444,11993488,13288688,15417976,19505937,20800119,21758731,22786351,24336744,27990635,31588108,34555281,37377372,39559098,41754843,44245838,45387119,48294931,53022952,58165404,64743574,72363763,76853613,80601199,85774610,89434649,89338318,93327732,96166747,100646255,107378084,116669231,121505181,130900342,130232745,137594917,143736249,157139160,172112158,182437511,185743179,184833018,186785245,191216596,201308911,205911672
"36000","New York","2","SA30","60","...","  Income maintenance benefits 1/",306275,316202,323320,325520,332175,369129,432159,494889,599140,792353,1130161,1270512,1564440,1913168,2026233,2023262,2501121,2937891,3235758,3456522,3536549,3599796,4187608,4398772,4680888,4993528,5200180,5406663,5761364,5809080,6291915,6733939,7513488,8513768,9662563,10631590,11389445,11979176,11668881,10650547,11493455,11641880,11566811,12110574,12928149,13411749,14314661,15128888,15630666,15851515,16528903,19651003,21098565,21307653,21821987,22112384,22302198,22125207,21729374
"36000","New York","2","SA30","70","...","  Unemployment insurance compensation",577356,468008,423185,593868,452298,472942,425032,380856,329181,323037,289221,323488,531536,823112,839138,602403,837736,2164795,2073534,1636742,1326857,1045034,1309662,1091555,1293392,1490692,1306507,1250554,1194832,1054934,1044938,1320719,1790700,2630706,4715710,3434806,2297609,2172412,1980482,1758035,1595581,1621989,1676162,2657539,4271086,3947914,2642862,2435800,2258260,2179608,3330207,8421079,9273762,7491386,6948281,4984747,2546078,2313412,2177650
"36000","New York","2","SA30","80","...","  Retirement and other",1713660,1936684,2047062,2287197,2510750,2706802,2866177,3139849,3707391,4784244,5794036,6141011,6812887,8008164,9128117,10663023,12079119,14403251,15490827,16665467,17922945,19691914,22493365,26097781,28581001,30893152,33052411,35097626,37289642,38523105,40958078,44968294,48861216,53599100,57985490,62787217,66914145,71623022,75785286,76929736,80238696,82902878,87403282,92609971,99469996,104145518,113942819,112668057,119705991,125705126,137280050,144040076,152065184,156944140,156062750,159688114,166368320,176870292,182004648
"36000","New York","2","SA30","90","...","Dividends, interest, and rent",6289624,6805778,7336093,7729418,8468216,9147400,10061612,10860559,11476971,12080495,13071639,13778231,14627857,15281524,16032294,17282560,19297051,20409349,21397554,23546294,25833727,28879447,33934562,40980409,46484254,49892170,58195013,61217057,63015481,64629057,71650923,81686954,84387287,84282615,83218945,83342656,87236600,95235997,99961732,106231022,110999244,111281185,119210212,116731173,107527131,111441877,118600152,141561754,159297456,184035482,182446092,159018424,159187028,178588268,204819259,215038351,226511022,238866811,241060789
"36000","New York","2","SA30","91","...","  Personal dividend income",2144669,2323774,2455382,2481476,2614732,2790606,3088188,3405916,3398016,3455509,3791387,3828144,3615472,3506490,3541887,3819745,4123069,3868218,4481121,5033351,5516226,6080097,6688045,7615285,7865518,8333070,9077719,9338795,9858867,9935828,11300525,13678114,14264525,14749299,15274301,15893946,17600935,19000893,22105281,24922953,25439891,24726127,27748705,26375926,27380235,28938320,36618368,39448881,52295862,62102438,61594975,40623522,39412954,48809289,59713968,58768615,69430208,74710761,70077031
"36000","New York","2","SA30","92","...","  Personal interest income",3196714,3457604,3772038,4056221,4602143,5021979,5598707,6021843,6576112,7044459,7698156,8551554,9647752,10382167,11093839,12057590,13808633,15260390,15774551,17629839,19484858,22032030,26359937,32300978,37618387,40323443,47720547,50368752,51979206,53581612,58885768,66643644,68334156,67060046,63834001,61263773,62292423,68240340,68484559,72049835,75195982,75494544,80426647,78112717,67093817,67919247,66251423,87499699,94384384,110741742,104109465,95066581,93357898,97624931,109898158,118068858,116274542,120435862,124303533
"36000","New York","2","SA30","93","...","    Imputed interest receipts 2/",1421289,1578678,1709843,1808445,1905342,1915769,2109964,2189732,2350638,2524681,2805070,3430079,4008547,4430517,4809605,5061838,5784166,7131716,7117717,7732281,8537980,8749402,10114337,11520705,13785358,17390578,19041807,21898625,23857737,26018540,28015780,30279159,31490675,32479260,33176661,33666948,34373534,37445309,37210139,40178829,39515801,41004416,42584333,40648101,38444164,39957132,42136873,48966111,50091171,55985165,56056027,56351603,58792039,60491067,65014676,72562968,70306428,74048742,76876659
