"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"97000","Rocky Mountain","7","SA30","10","...","Personal income (thousands of dollars)",8718172,9200110,9730682,10317776,11118554,11482250,12010432,12900036,13685709,14544114,15795980,17681026,19781320,22014241,24946229,28497043,32098765,35410907,39140516,43634667,50520135,57113131,64817811,73772157,79644087,84859641,91953954,96902167,100406091,103882866,109756816,119199729,127352543,135140768,146514405,158589533,169886195,183629289,197211262,210999331,230362190,246048213,269392776,282517131,288132142,297052625,312466239,336313433,367112638,392944275,410768622,391208750,400125759,433315163,461347229,479685748,513397510,542453905,556451281
"97000","Rocky Mountain","7","SA30","45","...","Net earnings by place of residence",6888213,7213993,7617104,8049715,8688628,8932535,9313642,10004775,10589762,11147208,12147019,13499379,14898150,16477991,18817564,21433657,23908830,25895433,28746841,32148733,37471824,42178769,46974756,52220860,55074454,58277845,63058738,66133438,68363366,70854105,75031686,80262326,86080727,91663348,100206865,108899929,115927537,123627559,132994240,143152558,158051790,171928563,188743648,197678063,200922681,205514644,215922524,230283013,249132662,263256336,270593262,255993123,259932472,278819441,295749311,311067288,331465116,347397088,356858743
"97000","Rocky Mountain","7","SA30","50","...","Personal current transfer receipts",531343,594015,623974,690018,720874,757579,776998,839956,901773,1069161,1214936,1345043,1601382,1870531,2090153,2441802,2837538,3529523,3888561,4154464,4541821,5156617,6056439,7074253,8047759,8845124,9231366,9789104,10507970,11147109,11754568,12976475,14032235,15469972,17220785,18539220,19492400,21461440,22463778,23032341,23750418,24972186,26797814,29352245,32240877,34028352,35910376,38723428,41776371,44935560,52296598,57656264,64243495,65736813,66170575,68467879,72153791,77059132,80156467
"97000","Rocky Mountain","7","SA30","60","...","  Income maintenance benefits 1/",87031,109520,109049,109258,107563,109262,109544,109292,112354,122313,123730,130515,183621,219854,240458,237408,285520,336215,381329,381102,378025,425323,581620,643012,665646,749026,773500,799259,875803,904158,1017563,1132364,1235271,1414814,1658302,1785978,1918741,2111278,2239939,2277092,2246505,2273844,2290706,2276996,2581611,2942224,3188575,3540595,3597204,3996134,4443364,5641672,6395282,6683282,6738135,6787803,6619300,6566411,6459234
"97000","Rocky Mountain","7","SA30","70","...","  Unemployment insurance compensation",65396,57216,61775,80477,67571,64551,52798,48184,37839,43036,39695,40849,58235,86423,95728,84079,121711,265810,262416,239170,193461,205635,326151,370950,637458,740905,437044,464324,554372,518839,401755,357999,370673,471912,681564,663856,493093,467751,493653,456191,457336,472763,483147,769320,1408989,1416682,898283,703382,622111,671074,1184572,3593095,4129545,3167013,2294771,1697497,1033538,1032182,1053885
"97000","Rocky Mountain","7","SA30","80","...","  Retirement and other",378916,427279,453150,500283,545740,583766,614656,682480,751580,903812,1051511,1173679,1359526,1564254,1753967,2120315,2430307,2927498,3244816,3534192,3970335,4525659,5148668,6060291,6744655,7355193,8020822,8525521,9077795,9724112,10335250,11486112,12426291,13583246,14880919,16089386,17080566,18882411,19730186,20299058,21046577,22225579,24023961,26305929,28250277,29669446,31823518,34479451,37557056,40268352,46668662,48421497,53718668,55886518,57137669,59982579,64500953,69460539,72643348
"97000","Rocky Mountain","7","SA30","90","...","Dividends, interest, and rent",1298616,1392102,1489604,1578043,1709052,1792136,1919792,2055305,2194174,2327745,2434025,2836604,3281788,3665719,4038512,4621584,5352397,5985951,6505114,7331470,8506490,9777745,11786616,14477044,16521874,17736672,19663850,20979625,21534755,21881652,22970562,25960928,27239581,28007448,29086755,31150384,34466258,38540290,41753244,44814432,48559982,49147464,53851314,55486823,54968584,57509629,60633339,67306992,76203605,84752379,87878762,77559363,75949792,88758909,99427343,100150581,109778603,117997685,119436071
"97000","Rocky Mountain","7","SA30","91","...","  Personal dividend income",199401,223156,235643,253688,275172,292895,324444,369086,386772,402980,381678,412290,428360,455731,503155,590800,686540,725672,874016,1021191,1210668,1415841,1591512,1850087,1975620,2080185,2201281,2435447,2650767,2878133,3396491,4219481,4686843,5193123,5634601,6363242,7674801,8648425,10355298,11569984,12272544,12426447,13964050,13866368,14646447,15742854,20211616,21964575,28237572,32606209,31730817,21879467,20973238,27713427,33569657,32171289,37760787,40987374,38733441
"97000","Rocky Mountain","7","SA30","92","...","  Personal interest income",677439,725141,789861,857117,945449,1007978,1093376,1172659,1276275,1386388,1515523,1800059,2199490,2499895,2791608,3249675,3874968,4519815,4934768,5747412,6684989,7756594,9457682,11644881,13482500,14569928,16390746,17395442,18040070,18247546,18736110,20918985,21582646,21535788,21628125,21959616,23187442,25703901,26449720,28041567,30377103,30291896,33077323,34019833,32496130,33298829,31820267,37269340,40797192,45702173,46607225,43505104,40084215,42718733,46000498,46110095,47911299,51060441,52988257
"97000","Rocky Mountain","7","SA30","93","...","    Imputed interest receipts 2/",303173,335492,375623,420297,459936,490400,541566,575252,619073,679667,743212,889587,1131547,1312710,1482762,1667543,1945788,2415171,2578446,2932855,3417590,3651060,4233685,4825554,5760233,7049027,7475115,8481590,9153368,9726278,9977441,10687905,11211276,11855668,12626880,13406502,14182677,15618580,15953539,17288636,17742658,18257672,19416980,19601897,20096881,21001545,21661378,23054578,24002892,25829294,27527358,27963861,27513271,28882630,30069747,31418929,31995063,34377601,35934486
