"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"46000","South Dakota","4","SA30","10","...","Personal income (thousands of dollars)",1186491,1079852,1323454,1331620,1517169,1471232,1442610,1623335,1755443,1782696,1909887,2080125,2262517,2478189,2860912,3609714,3621033,4000855,3954043,4485097,5164776,5679834,5719001,6647391,7034068,7326712,8291305,8517981,8896433,9364373,9759935,10516247,11513251,11992985,12991533,13585823,14630902,14934328,16504345,16852186,18121187,19027288,20262966,21096085,21170798,23124408,24781741,26189694,27564810,30658501,33012790,31898690,33520714,36791498,37583819,37709126,39150683,40892772,41398241
"46000","South Dakota","4","SA30","45","...","Net earnings by place of residence",945972,827704,1041995,1035945,1202012,1139188,1099548,1249205,1362588,1355290,1457171,1562860,1673957,1823396,2136476,2776014,2631932,2837656,2694660,3094834,3622962,3944390,3622597,4117874,4146187,4302482,5073142,5159414,5403998,5856761,6114149,6494499,7260860,7558366,8315260,8683674,9495986,9322781,10516765,10617103,11487248,12119019,12894077,13256204,13210599,14840095,16131387,17090649,17530899,19466017,20804102,20127916,21093136,23718973,23769846,24348440,25015199,25741531,25937428
"46000","South Dakota","4","SA30","50","...","Personal current transfer receipts",73493,81679,85721,94389,99737,105663,108886,118787,129050,154233,177255,194204,221865,255218,282359,327384,382583,456344,502826,530000,575072,649243,760734,871627,968745,1042219,1101817,1171179,1219720,1259619,1317643,1444809,1539720,1656276,1800195,1894834,2004622,2141980,2262009,2321369,2388888,2483412,2657796,2874018,3063376,3162095,3336377,3574956,3881892,4154387,4736796,4974134,5377181,5470638,5480290,5611878,5853419,6085172,6298492
"46000","South Dakota","4","SA30","60","...","  Income maintenance benefits 1/",10834,11653,12038,11939,11532,11821,11612,11140,11118,12318,13192,14412,19440,21601,24882,24483,34461,37453,43920,43137,41076,49350,68770,67007,72483,79548,79562,84437,93107,94412,104189,112244,118736,131768,151595,161545,167058,182194,196538,195110,192514,195901,199250,209835,231342,257384,275777,302055,313550,352129,373773,451163,525535,537493,531595,544021,545528,538109,529183
"46000","South Dakota","4","SA30","70","...","  Unemployment insurance compensation",3199,3185,3622,4548,4337,4876,4479,3710,2544,2300,3917,4425,3712,5378,6461,5452,7091,15253,16383,15268,12765,13342,20910,18271,23202,19640,13860,18549,17690,14383,14866,11592,12192,14003,17871,16821,14347,14577,16831,16479,15035,15083,16497,22918,36262,39064,33288,29292,26520,24723,31909,86873,85890,61390,49474,40104,31804,31278,33934
"46000","South Dakota","4","SA30","80","...","  Retirement and other",59460,66841,70061,77902,83868,88966,92795,103937,115388,139615,160146,175367,198713,228239,251016,297449,341031,403638,442523,471595,521231,586551,671054,786349,873060,943031,1008395,1068193,1108923,1150824,1198588,1320973,1408792,1510505,1630729,1716468,1823217,1945209,2048640,2109780,2181339,2272428,2442049,2641265,2795772,2865647,3027312,3243609,3541822,3777535,4331114,4436098,4765756,4871755,4899221,5027753,5276087,5515785,5735375
"46000","South Dakota","4","SA30","90","...","Dividends, interest, and rent",167026,170469,195738,201286,215420,226381,234176,255343,263805,273173,275461,323061,366695,399575,442077,506316,606518,706855,756557,860263,966742,1086201,1335670,1657890,1919136,1982011,2116346,2187388,2272715,2247993,2328143,2576939,2712671,2778343,2876078,3007315,3130294,3469567,3725571,3913714,4245051,4424857,4711093,4965863,4896823,5122218,5313977,5524089,6152019,7038097,7471892,6796640,7050397,7601887,8333683,7748808,8282065,9066069,9162321
"46000","South Dakota","4","SA30","91","...","  Personal dividend income",10239,14064,15666,19567,19922,21961,24710,31067,31652,33314,34456,32986,34071,36001,39267,49087,59938,65683,76075,85980,98074,111368,123255,141245,148486,148731,153845,174695,219480,243693,304127,365614,401282,452356,477132,552848,657891,730414,886222,977562,1109521,1183784,1317150,1421813,1434525,1657666,2019378,2209558,2613811,3120893,3231462,2431145,2346848,2418472,2977926,2606573,2991611,3466048,3279045
"46000","South Dakota","4","SA30","92","...","  Personal interest income",79751,90558,100158,105431,110706,122936,138831,151911,163173,176820,179941,223159,265954,295887,325071,378271,453725,546314,597049,698785,785719,892962,1111014,1376599,1608183,1721714,1846734,1893234,1965408,1919488,1928702,2112306,2195032,2179651,2184559,2190079,2188756,2382873,2445901,2557121,2740932,2823297,2961372,3037366,2923239,2889838,2720140,2746929,3016357,3419823,3566356,3549507,3659682,3864179,3882271,3549524,3634209,3770773,3910826
"46000","South Dakota","4","SA30","93","...","    Imputed interest receipts 2/",36537,41027,43462,47298,50658,55833,60536,64058,68447,71794,75734,96494,120541,137663,153730,170574,200559,258714,273433,308671,351445,361864,420692,467654,570547,717064,721893,815596,883909,925995,933954,984902,1039278,1096885,1175011,1239907,1254680,1363104,1381688,1483552,1510434,1601989,1651010,1656978,1710246,1742525,1789336,1688878,1756306,1907376,2069119,2210980,2388309,2488434,2443857,2376080,2394124,2516172,2629368
