"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"17000","Illinois","3","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",85611,86948,166831,124221,129144,129913,143083,212334,138867,141060,162265,192891,191111,210060,190909,224582,377670,632289,679294,701224,605229,724834,610416,633087,671360,801350,873605,929278,1087063,1350427,1407376,1472037,1699153,1763355,1815421,1847145,1980764,2144734,2555091,2993380,3236192,3837259,4590286,5167158,6146906,7008493,8984004,9927204,10384338,11047870,12032364,14609829,16781548,18426132,19724878,20091318,20964862,21727199,22175204,22953215,24385048,26622388,28684002,32823850,34423910,35676323,38054198,40024144,40767747,41558559,42210110,44889486,48436278,52076636,54300346,56262216,61751849,62786162,69334125,76328260,85729505,93214194,89309835,89485066,93315844,94925682,99890027,100687001
"17000","Illinois","3","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",651236,558417,665832,532666,563405,600835,751939,799098,833184,977891,1251442,1300534,1366921,1591110,1638748,1669522,1676909,1799505,1961293,2350602,2751239,2981479,3588708,4346384,4896787,5836832,6637911,8478305,9383657,9927118,10445028,11338834,13873175,15930164,17572555,18806956,18861415,19633460,20342757,20925207,21687900,22987845,25279422,27515377,31688826,33351381,34628170,36748979,38524409,39434239,39916353,40185944,42466248,45755639,49902160,52435530,54794539,59910012,61125089,67300932,74001755,83264670,90574639,86369559,86816397,90717398,92151008,96857320,97506545
"17000","Illinois","3","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",57226,67930,89452,150715,179550,232026,277800,363234,413066,520411,593899,704101,765436,852195,946920,998068,1039814,1151472,1247644,1317812,1528607,1620237,1904307,2212159,2441029,3023937,3343018,3812162,4241601,4673160,5074231,5627533,6421689,7540023,8268285,8775236,9189365,9649918,10132502,10436254,11032369,11562540,12351946,13192661,13944509,14589220,15099460,15611325,16095148,16602528,17039643,17359661,18174417,19053990,19949206,20550581,21294012,22258437,23377201,24474242,25487674,27697205,28488412,29165337,30864085,32050334,33253066,34463432,35042574
"17000","Illinois","3","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",37546,45293,64797,124867,144111,194699,236275,319159,364193,466678,536412,639116,692795,775782,867434,916476,956258,1064622,1155380,1216807,1416103,1500489,1764400,2033380,2236224,2750282,3061755,3497227,3905040,4323748,4706969,5197679,5955963,7050137,7757052,8248381,8659812,9120871,9595954,9892704,10470596,10991471,11765868,12586955,13314500,13960279,14470711,14983560,15456955,15970000,16407505,16724083,17545729,18406233,19211283,19764019,20472796,21386532,22469982,23564789,24583835,26778038,27546677,28202616,29876910,31084125,32197232,33343755,34022515
"17000","Illinois","3","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",19680,22637,24655,25848,35439,37327,41525,44075,48873,53733,57487,64985,72641,76413,79486,81592,83556,86850,92264,101005,112504,119748,139907,178779,204805,273655,281263,314935,336561,349412,367262,429854,465726,489886,511233,526855,529553,529047,536548,543550,561773,571069,586078,605706,630009,628941,628749,627765,638193,632528,632138,635578,628688,647757,737923,786562,821216,871905,907219,909453,903839,919167,941735,962721,987175,966209,1055834,1119677,1020059
"17000","Illinois","3","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",18905,21812,23409,24232,33556,35349,39475,41887,46553,51230,54665,62125,69989,73626,76634,78613,80466,83715,88768,97122,108190,114742,130074,149703,160542,189734,204987,237901,256658,270308,282329,301653,332482,363565,392638,407526,412532,417132,422924,431159,443823,458181,472529,490792,506986,511052,516862,518805,522445,529084,530367,525737,527568,534963,552872,560003,566231,574000,589975,604946,617042,651214,657881,669570,697037,712393,729279,745767,753911
"17000","Illinois","3","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",715,705,1119,1550,1822,1900,1988,2126,2261,2450,2769,2810,2602,2742,2811,2939,3073,3118,3480,3867,4298,4989,6124,7074,8166,10086,11996,15047,18073,18484,21082,23903,28506,25027,21135,21755,23074,26145,27804,27848,30666,33851,35908,39359,44734,43331,42385,44593,47807,47823,48999,51477,56511,65109,75080,75377,81383,92543,100797,113342,125079,123562,136171,142455,144523,145695,151170,149676,151727
"17000","Illinois","3","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",60,120,127,66,61,78,62,62,59,53,53,50,50,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",3709,22002,36097,73835,64280,61987,61830,60620,63851,104298,104738,101294,97460,97574,93947,85770,85820,84543,87284,79037,77641,75555,78289,74558,69502,64367,67941,55621,52772,58364,44609,47685,109971,151182,173602,205362,216447,191165,161718,144391,147683,150696,145615,108121,175385,224234,114421
"17000","Illinois","3","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",15146,17485,20751,24321,27546,30141,40490,53044,58647,63754,71015,70793,79706,99094,175385,415027,535301,586548,644713,745657,903048,1141878,1366490,1680587,1936933,2150778,2568151,2844977,3503804,3979938,4352339,4664906,5352069,5519768,5696115,6099789,6293672,6823295,7740659,8313388,10786726,11642328,12759425,14101376,14933336,15446482,15389245,15417930,16864545,18290146,19933901,21430712,23014815,26374003,26001677,30905278,30726716,34484419,37347401,33874952,36018579,39083364,40384068,43498357,43537606
"17000","Illinois","3","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",58794,274078,345419,390078,404857,420840,480820,543923,665911,849396,1046594,1188568,1474512,1675017,2077558,2429943,2712176,3042547,3441624,3619083,3813398,4031798,4156827,4393511,5032158,5299292,5994262,6545571,7351352,7923551,8399865,8730513,8693676,8807918,9183581,10226235,10852357,11500132,12657651,13766850,16465199,17518342,18719227,19940390,20579791,21283856,21921976,22457246,23456362,24534771,25396890
"17000","Illinois","3","SA35","2220","...","      Public assistance medical care benefits 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",15146,17485,20751,24321,27546,30141,40490,53044,58647,63754,71015,70793,79706,99094,116591,138008,185665,191064,233513,317763,414332,589497,691714,821913,880921,952457,1083439,1158146,1413057,1534406,1621643,1601161,1887055,1873853,1854544,2033096,2102388,2376258,2646953,2946481,4723719,5038889,5361009,6133789,6488745,6671645,6648389,6559323,7624218,7997779,9006549,9844519,10251426,12495895,9402469,13229320,11833293,14347381,16563597,12383013,13889867,16439455,16726947,18753434,17941170
"17000","Illinois","3","SA35","2221","...","        Medicaid 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",209115,294070,392205,558555,648697,758302,814052,880537,1004482,1079305,1277530,1381809,1473306,1490676,1785972,1742996,1711572,1883940,1949375,2214052,2462398,2748585,4636306,4976934,5316975,6094079,6449884,6632622,6608789,6514891,7567178,7829100,8854902,9697131,9839430,11952720,8948422,12633182,11503128,14061820,16289732,12152229,13615168,16151022,16454780,18443793,17658789
"17000","Illinois","3","SA35","2222","...","        Other medical care benefits 4/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",24398,23693,22127,30942,43017,63611,66869,71920,78957,78841,135527,152597,148337,110485,101083,130857,142972,149156,153013,162206,184555,197896,87413,61955,44034,39710,38861,39023,39600,44432,57040,168679,151647,147388,411996,543175,454047,596138,330165,285561,273865,230784,274699,288433,272167,309641,282381
"17000","Illinois","3","SA35","2230","...","      Military medical insurance benefits 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2941,4217,5406,6343,7054,7896,8458,8865,9278,9418,9753,10200,11814,13189,15589,18520,21198,23390,26832,28173,34895,34457,53526,61548,67615,68745,57868,47064,44036,44726,44324,47180,50689,56746,66132,74995,86061,105738,111258,134009,157616,174196,196648,204013,208083,206736,186663,200759,210152,199546
"17000","Illinois","3","SA35","2300","...","    Income maintenance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",105469,123349,118101,114465,108256,101104,108700,114587,116372,123764,145982,170589,173812,202825,229280,212045,208617,211759,217131,237724,276585,337456,468247,686738,791069,974585,1104719,1333119,1432934,1435164,1370864,1448701,1724787,1981967,2054195,2206917,2301622,2419038,2507833,2495517,2566857,2698789,3039064,3435068,3764446,3996608,4229484,4458445,4766585,4695243,4762745,4524228,4493472,4615255,4984759,5382364,6182598,7234938,7681337,7488027,8028725,9404760,10112557,10596881,10893416,11153492,11220066,11460217,11263773
"17000","Illinois","3","SA35","2310","...","      Supplemental security income (SSI) benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",56153,55365,53816,54418,60877,58895,55178,56415,57427,59797,63443,73362,78701,94770,122571,141819,172582,198969,205143,203418,200515,210717,233028,261551,274276,295030,342033,386270,449361,489422,527044,573525,652154,756177,942230,1097837,1193415,1209930,1231651,1176614,1208564,1206323,1203687,1237918,1276436,1296819,1347375,1366794,1423148,1477870,1537539,1654302,1697873,1749246,1811303,1833869,1848438,1868471,1862436
