"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"21000","Kentucky","5","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",18909,19734,39635,27578,23201,23479,24541,43453,24514,28805,28520,30145,30326,31200,31183,41574,82384,182116,168030,157632,179673,228692,192541,199558,213564,251932,264522,272429,319897,379040,393254,429037,554615,503914,504201,529564,578562,626821,746066,843148,944038,1104788,1298263,1441136,1719542,2051383,2583638,2831327,2967641,3177704,3703673,4468451,5038977,5499198,5953152,6228497,6516943,6824194,7057145,7494501,8234712,9010238,10245268,11248255,11702430,12273881,13202199,13981986,14776770,15170992,15736372,16908164,18421031,19717796,20336823,21891662,23186841,24984375,26877317,30311953,33434166,35402776,35908886,35977509,36809045,39992685,42128619,42315864
"21000","Kentucky","5","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",147959,169985,215573,176306,183694,199031,241644,250172,255421,299984,359628,372869,409485,534372,481601,477494,497312,542457,589217,703007,791839,869173,1030587,1226958,1361451,1627270,1939770,2429354,2663344,2825148,2988308,3483597,4233573,4767074,5225266,5657353,5831998,6087372,6377675,6654658,7087473,7786294,8578584,9870352,10884276,11357602,11936553,12781192,13497806,14345585,14639329,15080386,16121264,17550538,19010294,19727877,21410379,22578617,24432718,26198797,29532968,32607137,34514247,34915991,35074750,35927820,39047043,41090345,41220394
"21000","Kentucky","5","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",13298,15821,20248,33332,40810,52915,63858,83396,95885,125345,148871,180822,198248,226144,258628,274748,287388,323074,351415,373528,423744,453334,540266,648283,739582,956694,1082681,1215935,1368471,1495950,1627223,1897386,2165211,2474512,2714763,2904677,3035741,3179112,3337095,3455909,3610579,3849591,4121897,4415633,4713331,4989721,5235382,5552120,5806142,6020002,6272434,6449468,6690289,7065489,7436854,7739105,8145136,8618749,9149768,9687227,10191244,11187078,11636362,11991902,12720228,13205715,13688332,14193742,14495321
"21000","Kentucky","5","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7264,8683,12485,25024,29433,40758,50040,68425,79612,107557,129438,159180,174450,200742,231606,246201,257268,290599,317629,335918,381339,406875,481532,556834,625842,773467,892566,1004276,1139007,1264520,1380625,1559951,1804501,2087962,2318992,2492416,2624940,2774437,2926857,3040568,3191788,3405826,3657844,3945090,4219381,4481776,4715437,5028605,5278443,5493405,5707356,5892222,6207781,6581515,6939290,7250654,7662482,8138111,8660702,9193671,9694522,10647926,11052652,11384643,12090216,12586133,13058788,13556807,13863816
"21000","Kentucky","5","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6034,7138,7763,8308,11377,12157,13818,14971,16273,17788,19433,21642,23798,25402,27022,28547,30120,32475,33786,37610,42405,46459,58734,91449,113740,183227,190115,211659,229464,231430,246598,337435,360710,386550,395771,412261,410801,404675,410238,415341,418791,443765,464053,470543,493950,507945,519945,523515,527699,526597,565078,557246,482508,483974,497564,488451,482654,480638,489066,493556,496722,539152,583710,607259,630012,619582,629544,636935,631505
"21000","Kentucky","5","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5373,6426,6812,7085,9938,10516,12137,13232,14416,15837,17289,19479,21611,22889,24137,24821,25875,27364,28866,31844,36065,37858,42759,49472,53024,62833,67856,78432,84421,88799,92603,99027,110096,121491,131959,137419,140939,143737,145117,150942,154526,162391,169512,176945,185092,187734,191988,195619,199874,203715,207682,208523,211504,217641,227784,234267,240649,248005,259031,269232,277616,293229,298878,304005,315661,320592,324608,328590,331625
"21000","Kentucky","5","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",640,669,906,1199,1418,1614,1658,1714,1832,1929,2123,2142,2166,2491,2861,3701,4233,5097,4905,5753,6329,8590,9349,13334,14246,18802,26162,31378,38231,35919,38465,43777,50412,66586,73694,77211,77470,76959,84567,88594,90586,109808,127777,129435,144052,158243,171059,179694,183160,184557,230324,215365,147018,148268,149254,135922,129076,127837,127698,129242,130711,163095,203913,223788,238532,230491,230851,229792,231870
"21000","Kentucky","5","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",6626,28643,46470,101592,96097,101849,106812,106712,115530,194631,200202,198473,190118,197631,192392,183979,180554,175805,173679,171566,166764,164163,164806,161968,156898,148202,144665,138325,127072,133358,123986,118065,120526,118262,112929,104796,102337,95082,88395,82828,80919,79466,75819,68499,74085,78553,68010
"21000","Kentucky","5","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",0,0,0,0,0,0,0,0,0,2157,4624,8653,13072,20590,35686,96284,123476,148636,158281,179528,195872,214688,255979,327284,405781,456593,516797,625897,767156,930472,1034985,1157094,1350518,1474286,1590568,1792180,1984314,2316415,2674791,3409830,3855192,3985541,4337697,4730951,5043239,5631718,5630543,5826311,6538057,7174844,7795392,7903319,9053873,9535739,10641195,11521749,12193113,13426794,13786146,14249908,14438450,14950880,17977868,19563509,19365959
"21000","Kentucky","5","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",13608,63436,77489,87752,91069,100287,103066,123437,152744,183882,226749,260961,293852,354335,443340,554666,631928,712268,802001,892051,993741,1110395,1209635,1385314,1542741,1712002,1924294,2104901,2350179,2560242,2757338,2980088,2950039,2974128,3164133,3587208,3853351,4115060,4552091,5024539,6130370,6630301,7152290,7542730,7933950,8273776,8526774,8732207,9065235,9489735,9820171
