"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"27000","Minnesota","4","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",22911,24007,50973,36336,34163,40224,42027,75129,51489,59044,61972,65819,63456,59804,56103,67322,114063,203327,198702,186780,211412,282748,204833,218467,233651,270197,302166,323061,381062,463912,487972,506543,570933,589924,625197,651255,707723,760884,925040,1057972,1161533,1373220,1593536,1762357,2065726,2423459,2923711,3214283,3380243,3627458,4055520,4866121,5583161,6276910,6766119,7096596,7540154,7879079,8128374,8587737,9350707,10050774,10804864,11748112,12395052,13037165,13817022,14464223,14691630,15205858,15987544,17128267,19221527,20870086,21892960,23007525,24110119,26558395,29064398,32988456,36195977,39026523,39376763,39431524,40871245,42969263,44319914,45579302
"27000","Minnesota","4","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",174871,200859,269068,186583,199686,217733,258739,284779,301121,356189,440413,462481,480455,542539,557898,587538,606177,657791,710514,865867,988086,1073613,1288527,1509421,1669214,1958448,2294948,2747600,3024390,3220225,3415757,3809684,4602149,5276329,5967217,6431904,6647075,7049807,7366029,7662126,8109027,8817878,9534574,10355092,11310745,11980462,12630706,13309433,13878880,14169185,14560232,15187506,16164876,18153860,20000635,21144321,22415745,23363712,25881217,28231733,32032478,35180625,37937047,38156684,38318453,39780146,41795047,43026258,44208627
"27000","Minnesota","4","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",15722,18338,23583,39375,48204,65112,79742,105342,121640,161052,188657,226284,249299,278586,310751,330786,346586,386430,422102,450876,512677,544098,639012,739615,814352,998775,1145446,1279819,1423634,1577245,1721052,1952939,2234208,2578854,2887238,3077425,3191486,3371695,3552474,3702428,3940139,4157622,4443747,4779255,5072267,5329602,5560355,5792790,5993014,6249350,6454467,6634812,6994325,7417088,7822664,8122146,8481331,8939885,9535245,10121351,10643489,11657991,12113282,12532628,13419252,14107894,14770467,15437223,15861314
"27000","Minnesota","4","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",8369,10012,14582,29907,35324,51195,63924,88234,102932,140251,166604,201452,220659,248536,279121,298660,313448,352094,386108,411698,468928,498057,586535,680934,750976,922763,1060176,1177838,1312242,1456718,1589975,1800797,2068206,2398406,2692049,2858525,2964895,3123972,3290216,3404088,3632901,3840468,4103042,4430366,4712866,4965741,5191804,5433734,5634625,5889693,6093110,6272263,6638776,7051339,7422532,7716747,8086354,8533090,9131556,9712558,10235447,11241641,11699344,12128363,13003971,13678998,14321433,14975083,15415820
"27000","Minnesota","4","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7353,8326,9001,9468,12880,13917,15818,17108,18708,20801,22053,24832,28640,30050,31630,32126,33138,34336,35994,39178,43749,46041,52477,58681,63376,76012,85270,101981,111392,120527,131077,152142,166002,180448,195189,218900,226591,247723,262258,298340,307238,317154,340705,348889,359401,363861,368551,359056,358389,359657,361357,362549,355549,365749,400132,405399,394977,406795,403689,408793,408042,416350,413938,404265,415281,428896,449034,462140,445494
"27000","Minnesota","4","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7065,8008,8529,8927,12230,13157,15032,16253,17745,19770,20896,23719,27644,29081,30629,31056,32014,33168,34676,37709,42095,43908,49462,55541,59465,70479,77070,90549,98861,105665,111556,121379,136008,150884,164649,171613,173076,178039,181416,186341,192354,199443,207661,218319,225419,228586,235795,238453,238110,240854,241232,239286,238709,240612,246390,249235,251026,253787,261611,269459,274495,289433,288929,293444,304703,311748,319359,324094,326112
"27000","Minnesota","4","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",274,290,442,525,636,741,769,837,947,1017,1141,1098,982,956,989,1059,1118,1162,1313,1464,1649,2127,2985,3077,3794,5283,7998,11228,12319,14642,19198,30196,29374,28955,29781,46356,52512,68532,79213,109844,111265,115542,130505,128161,130601,130958,125183,112874,110956,112225,113157,111847,111050,119651,132639,121981,106033,108541,100960,103208,103671,100781,99006,84934,85479,99032,99511,99004,99943
"27000","Minnesota","4","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",63,117,250,202,204,212,220,323,567,620,609,759,931,1003,1152,1629,2155,3619,2169,2539,2409,3381,4317,7573,7729,9323,6578,6968,11416,5790,5486,21103,34183,37918,44467,41118,36126,29876,26136,26003,25887,25099,18116,30164,39042,19439
"27000","Minnesota","4","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6054,7451,8754,10535,12226,13425,19136,25813,28556,31903,40124,44258,50431,59470,82054,183621,226992,254210,278696,316354,346449,432261,517176,613299,718684,805594,927834,1029566,1239597,1468913,1647370,1844520,2064563,2193327,2284898,2427754,2577150,2949838,3267877,3584370,4042398,4392102,4821197,5233101,5521740,5597588,5815830,6129116,6643650,7740817,8623051,9297017,10413179,10753326,12429900,13333527,14067304,15186850,15945734,16673856,17212909,18126237,19637590,20174023,20829535
"27000","Minnesota","4","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",24636,114844,132185,147936,159635,178982,188544,217157,271079,307071,355726,399101,458749,498774,604546,726044,808200,906404,1026174,1080626,1140328,1207502,1246977,1503277,1575958,1666923,1850167,1960359,2128844,2361750,2554992,2703460,2750932,2841427,3025418,3440916,3729833,3970512,4431445,4917677,6159658,6588422,7069270,7478488,7784564,8101229,8380637,8604368,8982104,9477942,9806254
