"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"34000","New Jersey","2","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",39176,40270,78008,60387,62543,72754,84187,106173,65524,70565,83291,83074,84052,89718,76776,95864,200804,368188,323777,269045,317163,404446,337455,358656,401959,488475,545348,604899,717976,846560,854762,896042,1024069,1078550,1159197,1204893,1285495,1385254,1642438,1963954,2212497,2689256,3276771,3663237,4131429,4847487,6337577,6853192,7228808,7688683,8550210,9781457,10980385,12034753,12991979,13547479,14199274,14867496,15359553,16355079,17526799,19331290,22248686,25763848,26922275,27303279,29170442,30102256,30864914,31714878,33039275,35261621,39190314,42373188,42856533,43443173,45731189,49668144,52017954,58745574,65257717,70688578,71490852,70253007,70908450,73703211,76433818,79080242
"34000","New Jersey","2","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",248885,296405,374728,298697,323890,367704,463719,507254,553881,659161,795107,799705,841154,965381,1010404,1076867,1107116,1181017,1279149,1523725,1821409,2048620,2529029,3118851,3487489,3929781,4606514,6009257,6501834,6934418,7300715,8102491,9306019,10428926,11479241,12391081,12737293,13315223,13940186,14517393,15497956,16580217,18420574,21458776,24998468,26199991,26597715,28291181,29091192,29964478,30604523,31668480,33616865,37361868,40884037,41575429,42433437,44463616,48527005,50624291,57151544,63567040,68874644,69465366,68408812,69108536,71774277,74317756,76851873
"34000","New Jersey","2","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",35755,45412,61097,102136,119767,156941,185975,241402,278231,347988,391170,455504,491908,548261,614895,649759,682345,763497,826965,878212,1037141,1112861,1315857,1520138,1689742,2082093,2320548,2677434,3013723,3368952,3676737,4084171,4686455,5391384,5917630,6392523,6640585,6991356,7332181,7548612,8073773,8475844,9059935,9787517,10411663,10951869,11455570,11871781,12330259,12783100,13171005,13514226,14320340,15072401,15740881,16163686,16753583,17476938,18300049,19144184,19943310,21714190,22437811,23024273,24388414,25363858,26353992,27304912,27801323
"34000","New Jersey","2","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",26111,31217,44196,83888,96416,129321,156700,210990,243487,309731,351114,411969,445517,498584,557653,589632,619275,697528,756793,800967,942498,1005041,1191811,1384073,1541403,1908257,2135629,2477847,2796739,3129116,3423849,3800866,4372006,5061407,5567406,6033600,6240621,6567158,6884869,7080095,7563875,7935445,8465219,9178644,9773931,10297640,10753053,11171617,11621494,12074577,12454748,12760115,13531120,14227129,14847483,15239724,15789948,16491134,17279008,18113910,18908494,20631281,21285542,21874550,23237588,24216357,25148795,26099950,26628330
"34000","New Jersey","2","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",9644,14195,16901,18248,23351,27620,29275,30412,34744,38257,40056,43535,46391,49677,57242,60127,63070,65969,70172,77245,94643,107820,124046,136065,148339,173836,184919,199587,216984,239836,252888,283305,314449,329977,350224,358923,399964,424198,447312,468517,509898,540399,594716,608873,637732,654229,702517,700164,708765,708523,716257,754111,789220,845272,893398,923962,963635,985804,1021041,1030274,1034816,1082909,1152269,1149723,1150826,1147501,1205197,1204962,1172993
"34000","New Jersey","2","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7777,8773,9462,9841,13777,14620,16204,17083,18740,20632,22279,25221,27752,29103,29396,30420,31532,32425,33834,36994,41237,42793,47476,53183,56813,66952,72000,83248,89741,94517,98532,105194,116083,127258,137391,142678,140049,141227,144159,141765,145141,146098,148725,153235,156022,155923,156141,155317,154439,154661,153652,151025,150630,151427,154287,153531,152492,152641,156735,160564,163999,172893,172517,175659,183241,188607,196396,202920,205908
"34000","New Jersey","2","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1798,1883,2327,2999,3495,3897,3987,4242,4627,5025,5705,6034,6223,6395,6656,7141,7446,7770,8749,10175,10962,12182,13507,14264,18050,20743,24252,27405,33291,35687,37624,45554,51824,60698,61846,65667,67638,74060,78675,85555,100691,114944,136990,150892,171516,184342,224904,207481,203358,206038,211238,219365,232319,262189,281792,286557,316388,327082,342910,352711,362487,377694,414886,410632,399927,398411,401296,399108,403019
"34000","New Jersey","2","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",69,3539,5112,5408,6079,9103,9084,9087,11377,12600,12072,12280,12416,14179,21190,22566,24092,25774,27589,30076,42444,52845,63063,68618,73476,86141,88667,88934,93952,109632,116732,132557,146542,142021,150987,150578,192277,208911,224478,241197,264066,279357,309001,304746,310194,313964,321472,337366,350968,347824,351367,383721,406271,431656,457319,483874,494755,506081,521396,516999,508330,532322,564866,563432,567658,560483,607505,602934,564066
"34000","New Jersey","2","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3263,3888,4591,5452,6253,6854,9496,12634,12690,14181,18221,22203,26643,30297,72135,199535,269786,310482,389886,483932,580727,658525,802338,980791,1153326,1314624,1473745,1744324,2001043,2385562,2787235,3189082,3545144,3755625,4137368,4565994,4898813,5375800,6147837,7675832,9318359,10289782,10751515,11862303,12052491,12825901,13038303,13765725,14902247,17234113,18487728,18451371,18013793,20415879,23291292,23931239,25226285,26432510,27725127,28803848,28912474,29742640,32611039,33964822,35486705
"34000","New Jersey","2","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",36401,169691,213667,240961,264472,288787,308306,365309,462186,572979,704757,823557,915050,1049031,1223664,1518993,1806574,2057791,2297481,2452231,2624033,2818891,2954657,3097879,3497167,3980980,4812238,5250710,5648076,6136117,6451909,7007918,7324305,7672360,8088031,9316988,9799418,9766571,10063264,10921273,12890705,14035031,14937630,15874385,16345566,16921515,17691515,18126209,18761485,19626468,20319253
