"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"02000","Alaska","8","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",71088,76200,91458,91323,95905,106962,122057,130888,139099,149880,156107,194329,241058,266539,292508,330382,384247,461659,516993,573434,660199,739893,831672,976923,1212702,1415128,1560759,1703942,1748624,1742700,1798200,2037374,2153977,2194118,2362015,2569253,2764919,2912227,3009926,3175201,3256321,3236069,3431739,3420202,3369667,3444989,3658733,3881209,4338504,4969613,5422891,5097582,5493322,6068524,6557774,6286156,6671928,7176974,7235774
"02000","Alaska","8","SA40","91","...","  Personal dividend income",2374,2399,3926,3830,4180,5492,6900,6898,7302,8868,6598,8222,10061,12005,14325,15509,19355,31007,37789,40581,46379,53277,66999,87842,127965,140705,145910,168100,186740,211740,233297,309213,355799,368470,389739,437242,534815,595052,661781,707149,683967,665178,721777,663450,653209,683357,920992,1003372,1279144,1589888,1788457,1382054,1477571,1790784,2082475,1809904,2143097,2372415,2229636
"02000","Alaska","8","SA40","92","...","  Personal interest income",61432,65370,77311,75991,78983,87606,98440,103989,108193,113646,119173,144768,194369,219363,243483,276405,323613,392237,439918,498603,577456,647395,716988,829201,1018392,1171117,1308283,1408049,1456617,1444820,1476664,1642053,1685953,1710396,1808564,1888715,1922567,2012925,2011682,2125999,2197981,2174557,2311003,2313547,2257113,2289825,2181713,2431300,2639362,2976313,3068100,2993554,3074814,3105690,3190255,3103070,3113837,3229575,3331578
"02000","Alaska","8","SA40","93","...","    Imputed interest receipts 1/",54130,57473,67859,65996,68005,73628,81971,84668,84354,90225,93795,114895,157496,175475,191801,212529,242859,295063,322900,358530,412317,441428,480095,535019,652274,780814,833790,911684,964248,982612,1001109,1090305,1130343,1186066,1285467,1367095,1389030,1452753,1441001,1528726,1511476,1525044,1567209,1558784,1634869,1712448,1724260,1792815,1886361,2038072,2123567,2248842,2365157,2402372,2454656,2468123,2438294,2538945,2625298
"02000","Alaska","8","SA40","94","...","    Monetary interest receipts",7302,7897,9452,9995,10978,13978,16469,19321,23839,23421,25378,29873,36873,43888,51682,63876,80754,97174,117018,140073,165139,205967,236893,294182,366118,390303,474493,496365,492369,462208,475555,551748,555610,524330,523097,521620,533537,560172,570681,597273,686505,649513,743794,754763,622244,577377,457453,638485,753001,938241,944533,744712,709657,703318,735599,634947,675543,690630,706280
"02000","Alaska","8","SA40","95","...","  Rental income of persons 2/",7282,8431,10221,11502,12742,13864,16717,20001,23604,27366,30336,41339,36628,35171,34700,38468,41279,38415,39286,34250,36364,39221,47685,59880,66345,103306,106566,127793,105267,86140,88239,86108,112225,115252,163712,243296,307537,304250,336463,342053,374373,396334,398959,443205,459345,471807,556028,446537,419998,403412,566334,721974,940937,1172050,1285044,1373182,1414994,1574984,1674560
"02000","Alaska","8","SA40","96","...","    Imputed rent",6174,7230,9109,10122,11155,11994,12543,13278,14241,15121,15114,19759,18974,20679,20561,19712,20362,19368,16752,9943,11109,9424,9030,10178,4307,3569,73,-3798,-11028,-11491,-1937,-1263,4040,13273,34924,73345,103445,116993,144922,151839,184477,212898,224036,250851,268639,283863,311409,257795,198610,149320,249980,393255,552365,708809,775890,853088,855578,925310,998873
"02000","Alaska","8","SA40","97","...","    Monetary rent",1108,1201,1112,1380,1587,1870,4174,6723,9363,12245,15222,21580,17654,14492,14139,18756,20917,19047,22534,24307,25255,29797,38655,49702,62038,99737,106493,131591,116295,97631,90176,87371,108185,101979,128788,169951,204092,187257,191541,190214,189896,183436,174923,192354,190706,187944,244619,188742,221388,254092,316354,328719,388572,463241,509154,520094,559416,649674,675687
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
