"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"05000","Arkansas","5","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",252548,269378,290693,319941,357554,389364,426690,487850,536130,576097,546246,662244,773464,866053,952973,1103903,1327446,1527843,1657142,1868664,2151927,2457314,3026955,3764228,4332755,4573785,5054460,5572655,5781227,5667776,6047613,6713849,7001199,6957688,7208278,7572212,7998326,8571386,9223440,9723460,10386048,10297181,10936108,11107345,10944723,11181280,11629998,12990930,14680941,16816821,18256158,16426941,15939617,19003107,22881264,20784509,23954422,25856914,25810296
"05000","Arkansas","5","SA40","91","...","  Personal dividend income",27261,29698,32134,35595,41368,49823,59175,68049,67080,65028,77342,84500,90701,99429,112280,133054,156022,165545,197220,229401,265494,305625,335362,382056,465106,424966,443565,518036,577973,626105,764783,902227,994060,1098224,1205855,1338625,1598461,1745809,2023446,2308361,2351863,2302099,2266886,2131612,2418106,2727020,3699167,4050384,5244258,6240981,6458877,4401590,4264998,6243275,8543957,7570734,9647967,10771191,10068392
"05000","Arkansas","5","SA40","92","...","  Personal interest income",132501,141940,160565,177343,203853,217188,245037,295944,339227,377109,341533,422643,523981,602517,677209,798797,971893,1161599,1275795,1489021,1723404,1989570,2501382,3122952,3590879,3912894,4373799,4800230,5019926,4868037,5070621,5590337,5738633,5525367,5540089,5608343,5645112,6007030,6243217,6489538,7010749,6911785,7523513,7617184,7092927,6907236,6423561,7459675,8138991,9433922,10219615,10040245,9181274,9723035,11044218,9732035,10554555,11049232,11432248
"05000","Arkansas","5","SA40","93","...","    Imputed interest receipts 1/",76763,81956,85666,96805,110066,114902,123903,130798,142110,154154,165470,199275,256147,300313,340517,385940,463930,593146,636934,721711,844983,895334,1055806,1202582,1447137,1800350,1904824,2219076,2417829,2505428,2597376,2754912,2887761,2976984,3159709,3325080,3392654,3623986,3722684,3967284,4050834,4116359,4350797,4344105,4366856,4395882,4445959,4713234,4886744,5381612,5999967,6363675,6205245,6466791,7000446,6601090,6922212,7314364,7601356
"05000","Arkansas","5","SA40","94","...","    Monetary interest receipts",55738,59984,74899,80538,93787,102286,121134,165146,197117,222955,176063,223368,267834,302204,336692,412857,507963,568453,638861,767310,878421,1094236,1445576,1920370,2143742,2112544,2468975,2581154,2602097,2362609,2473245,2835425,2850872,2548383,2380380,2283263,2252458,2383044,2520533,2522254,2959915,2795426,3172716,3273079,2726071,2511354,1977602,2746441,3252247,4052310,4219648,3676570,2976029,3256244,4043772,3130945,3632343,3734868,3830892
"05000","Arkansas","5","SA40","95","...","  Rental income of persons 2/",92786,97740,97994,107003,112333,122353,122478,123857,129823,133960,127371,155101,158782,164107,163484,172052,199531,200699,184127,150242,163029,162119,190211,259220,276770,235925,237096,254389,183328,173634,212209,221285,268506,334097,462334,625244,754753,818547,956777,925561,1023436,1083297,1145709,1358549,1433690,1547024,1507270,1480871,1297692,1141918,1577666,1985106,2493345,3036797,3293089,3481740,3751900,4036491,4309656
"05000","Arkansas","5","SA40","96","...","    Imputed rent",48791,53521,57979,63067,68689,72507,74578,77700,81963,86491,85185,114517,124182,130059,132937,127262,128939,118269,103760,69250,75941,68793,65867,71439,42850,36198,21161,8427,-11819,-5039,36985,54097,89280,139867,212328,317028,397745,421499,496072,510236,594858,668826,734748,916744,1017176,1113786,1063621,985754,776455,594660,882292,1307030,1656883,2049951,2322953,2443023,2539781,2866835,3097328
"05000","Arkansas","5","SA40","97","...","    Monetary rent",43995,44219,40015,43936,43644,49846,47900,46157,47860,47469,42186,40584,34600,34048,30547,44790,70592,82430,80367,80992,87088,93326,124344,187781,233920,199727,215935,245962,195147,178673,175224,167188,179226,194230,250006,308216,357008,397048,460705,415325,428578,414471,410961,441805,416514,433238,443649,495117,521237,547258,695374,678076,836462,986846,970136,1038717,1212119,1169656,1212328
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
