"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"08000","Colorado","7","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",611075,652446,691164,741016,811119,859454,913218,970342,1040178,1130038,1207153,1417468,1647987,1826020,2013538,2311545,2665073,2948764,3186123,3565260,4143946,4778490,5802446,7166229,8100923,8836869,9800287,10492613,10886166,11131576,11755206,13549457,14076821,14355070,14846130,16032647,17916331,20007240,21700384,23274391,25341750,25707474,28531667,29480308,28797617,29631266,30906365,34039185,38437440,43218664,44118647,39905993,38444673,45808310,50684288,51253332,56393169,60648666,61436552
"08000","Colorado","7","SA40","91","...","  Personal dividend income",106128,115609,116419,122487,135967,148764,165161,176054,176741,186629,202742,222930,231354,246234,271921,315665,362520,373423,448107,520849,624513,736991,840058,986236,1032874,1109553,1155229,1277677,1394161,1522278,1806739,2225501,2471053,2738458,2948805,3360817,4103657,4639452,5502560,6219115,6564315,6727366,7573674,7467326,7678917,7802409,9727910,10297123,13365788,15902569,15602458,11006354,10045998,13805171,16394589,15791515,18478883,20147583,19028361
"08000","Colorado","7","SA40","92","...","  Personal interest income",319057,342669,370151,408084,454806,485774,512681,548608,602518,673987,730441,878232,1091334,1237228,1395722,1633511,1942305,2234053,2415725,2791065,3245639,3768003,4628305,5732128,6579209,7184478,8115804,8620991,9049426,9223391,9530495,10929439,11143331,11021302,10990546,11231774,11935844,13144890,13506003,14238640,15558979,15472743,17220487,17872463,16848709,17140332,16502037,19541291,21423586,24120951,23618756,22619200,20729467,22493723,23978551,24111499,25223929,26715344,27700680
"08000","Colorado","7","SA40","93","...","    Imputed interest receipts 1/",144543,160192,179353,201456,223494,236530,262622,278726,301648,335495,374980,446107,579029,662203,756575,858445,994715,1214360,1287317,1458293,1693054,1814278,2108576,2414974,2876277,3523482,3758973,4257835,4639529,4966301,5116688,5566573,5794039,6094724,6465428,6898574,7317260,8011315,8173324,8824103,9112525,9364058,10117955,10286638,10426328,10802326,11192951,12010373,12506074,13494929,13966542,14488666,14217465,15138156,15633025,16399344,16813962,17984959,18775153
"08000","Colorado","7","SA40","94","...","    Monetary interest receipts",174514,182477,190798,206628,231312,249244,250059,269882,300870,338492,355461,432125,512305,575025,639147,775066,947590,1019693,1128408,1332772,1552585,1953725,2519729,3317154,3702932,3660996,4356831,4363156,4409897,4257090,4413807,5362866,5349292,4926578,4525118,4333200,4618584,5133575,5332679,5414537,6446454,6108685,7102532,7585825,6422381,6338006,5309086,7530918,8917512,10626022,9652214,8130534,6512002,7355567,8345526,7712155,8409967,8730385,8925527
"08000","Colorado","7","SA40","95","...","  Rental income of persons 2/",185890,194168,204594,210445,220346,224916,235376,245680,260919,269422,273970,316306,325299,342558,345895,362369,360248,341288,322291,253346,273794,273496,334083,447865,488840,542838,529254,593945,442579,385907,417972,394517,462437,595310,906779,1440056,1876830,2222898,2691821,2816636,3218456,3507365,3737506,4140519,4269991,4688525,4676418,4200771,3648066,3195144,4897433,6280439,7669208,9509416,10311148,11350318,12690357,13785739,14707511
"08000","Colorado","7","SA40","96","...","    Imputed rent",97800,108244,118052,126024,135177,140783,143036,147319,153816,160756,156820,193753,199784,214558,213489,205176,212118,199110,172916,101991,103976,83942,83909,84473,31565,19839,-10718,-47430,-108377,-107258,-31424,-23987,15994,84791,272346,671139,1017487,1202003,1524511,1617853,1990033,2316060,2462107,2684978,2900937,3298178,3268674,2642793,2049246,1451860,2503069,3907191,4974748,6187304,6804324,7574799,8157395,9257139,9996659
"08000","Colorado","7","SA40","97","...","    Monetary rent",88090,85924,86542,84421,85169,84133,92340,98361,107103,108666,117150,122553,125515,128000,132406,157193,148130,142178,149375,151355,169818,189554,250174,363392,457275,522999,539972,641375,550956,493165,449396,418504,446443,510519,634433,768917,859343,1020895,1167310,1198783,1228423,1191305,1275399,1455541,1369054,1390347,1407744,1557978,1598820,1743284,2394364,2373248,2694460,3322112,3506824,3775519,4532962,4528600,4710852
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
