"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"11000","District of Columbia","2","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",454908,472577,506082,517590,539830,565375,584663,620927,629356,638712,650313,649046,745978,860294,940248,986517,1072845,1111716,1182365,1293334,1464398,1623889,1855772,2119306,2253056,2257477,2485770,2656943,2742537,2785517,3083715,3714591,3580591,3508323,3695939,3786018,3875997,3902809,3891237,4380614,4614519,4602731,4932194,4790076,4628161,4781602,5161300,5722324,6629330,7151256,7627387,6455789,6348958,7482357,8286423,8348742,8886150,9377450,9557084
"11000","District of Columbia","2","SA40","91","...","  Personal dividend income",85611,92095,102619,103366,110445,117782,133501,148861,147066,138285,167149,167876,172705,182146,200300,198767,197403,171811,200839,225528,250248,278517,301503,337568,376520,359706,395193,384959,403336,379307,439643,522660,531124,554837,571543,570487,627383,619887,693849,795709,770735,733775,853622,792550,896755,910407,1302551,1240741,1658603,1841586,1809957,1004795,896922,1291318,1690326,1533464,1936787,2047099,1907232
"11000","District of Columbia","2","SA40","92","...","  Personal interest income",303623,312950,336173,346809,362024,378793,387732,412461,425460,445625,432774,439160,532951,634780,697324,746747,831231,895936,939564,1032636,1179783,1310350,1513106,1729386,1825042,1837896,2032459,2208652,2296047,2373461,2597780,3155772,3002468,2883689,2979996,3020819,3011642,2983868,2880953,3244088,3498979,3482102,3702215,3565772,3258895,3327514,3234383,3943790,4494417,4891628,5141093,4506130,4228671,4639510,4927547,4959674,5064808,5198269,5365188
"11000","District of Columbia","2","SA40","93","...","    Imputed interest receipts 1/",194437,203680,216925,226601,237782,251709,264638,282318,286103,297930,306333,277539,350144,435042,480058,503022,548613,618028,648782,710979,822978,879998,971684,1031030,1102696,1194631,1246938,1379210,1468772,1559826,1655124,1850676,1836973,1874397,2003680,2096776,2127563,2155292,2119908,2366886,2454170,2517401,2596204,2442972,2392107,2461297,2509428,2785356,3038174,3215805,3473601,3256474,3270608,3552975,3649055,3782649,3836468,3965673,4103318
"11000","District of Columbia","2","SA40","94","...","    Monetary interest receipts",109186,109270,119248,120208,124242,127084,123094,130143,139357,147695,126441,161621,182807,199738,217266,243725,282618,277908,290782,321657,356805,430352,541422,698356,722346,643265,785521,829442,827275,813635,942656,1305096,1165495,1009292,976316,924043,884079,828576,761045,877202,1044809,964701,1106011,1122800,866788,866217,724955,1158434,1456243,1675823,1667492,1249656,958063,1086535,1278492,1177025,1228340,1232596,1261870
"11000","District of Columbia","2","SA40","95","...","  Rental income of persons 2/",65674,67532,67290,67415,67361,68800,63430,59605,56830,54802,50390,42010,40322,43368,42624,41003,44211,43969,41962,35170,34367,35022,41163,52352,51494,59875,58118,63332,43154,32749,46292,36159,46999,69797,144400,194712,236972,299054,316435,340817,344805,386854,376357,431754,472511,543681,624366,537793,476310,418042,676337,944864,1223365,1551529,1668550,1855604,1884555,2132082,2284664
"11000","District of Columbia","2","SA40","96","...","    Imputed rent",38830,41031,43005,43836,45291,45374,44493,44313,44824,45385,43317,35183,34236,35968,34346,32025,32239,29672,24841,12220,10858,7208,7380,6960,-489,-3203,-9732,-19165,-36334,-39952,-24368,-27807,-22805,-10579,28175,87889,126860,141843,173102,176814,213314,243152,248021,287183,328074,391228,468354,394793,337611,229140,413719,657167,884116,1135696,1240856,1429197,1437465,1610325,1738002
"11000","District of Columbia","2","SA40","97","...","    Monetary rent",26844,26501,24285,23579,22070,23426,18937,15292,12006,9417,7073,6827,6086,7400,8278,8978,11972,14297,17121,22950,23509,27814,33783,45392,51983,63078,67850,82497,79488,72701,70660,63966,69804,80376,116225,106823,110112,157211,143333,164003,131491,143702,128336,144571,144437,152453,156012,143000,138699,188902,262618,287697,339249,415833,427694,426407,447090,521757,546662
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
