"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"12000","Florida","5","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",1709990,1869088,2030435,2204482,2390111,2598591,2824776,3129393,3421711,3794661,4538070,5556691,6574612,7440229,8366350,9710877,11431527,12728825,13826726,15755779,18596244,21778916,26929854,33523184,36398545,40645065,46417839,51823627,55706346,58748658,64282535,77595202,81697337,81539938,81103112,84640203,88366417,96310656,102179114,109206713,118555799,119224318,127998945,130534776,129347578,132216018,149923507,166763805,192241325,208082174,207542226,175868747,187291600,211460967,217158953,211746727,233785790,256979824,257805649
"12000","Florida","5","SA40","91","...","  Personal dividend income",385028,418429,443828,472906,526179,578318,657948,739764,796302,867487,1150758,1257697,1341692,1460285,1651327,1896305,2148721,2159352,2601991,3005418,3594064,4235098,4955911,5885398,5729361,6664075,7218651,8064484,9014536,9731931,11193671,13711575,14740480,15756292,16308880,17777687,20046709,21832571,25441325,28280923,30731039,30624236,34167778,34680474,37744776,41728103,55181473,61102309,72964391,80020111,73079355,48513452,48260368,63606235,77079184,72514330,86294901,96803119,91029279
"12000","Florida","5","SA40","92","...","  Personal interest income",886167,986981,1078813,1193318,1284790,1412598,1536861,1730684,1934195,2196064,2646347,3512598,4439201,5117086,5810354,6918773,8439544,9724837,10462759,12121461,14342207,16869285,21127212,26481299,29425985,32712418,37927502,42186361,45277899,47659704,51521816,62323096,64976571,63042811,61154705,61733490,62204291,67782736,69058956,73068709,78979025,78911230,83853786,84578954,79312568,76738515,79401205,90116317,105051859,115867857,117944520,106762962,116014177,121231763,111362073,107783763,113395118,121756133,125766298
"12000","Florida","5","SA40","93","...","    Imputed interest receipts 1/",359871,398322,441144,487190,532088,602760,684154,765323,854862,965190,1109054,1533040,2017342,2351552,2701108,3070736,3679109,4634152,4859744,5492385,6494764,6859839,8088718,9232692,10851414,13957427,14970038,18012649,20130833,22378664,23922958,27124046,28743148,29810709,31220069,33346804,33897272,36865278,37474296,40828464,41612226,43080534,45002497,44438137,44871971,44760525,49991422,51466147,56273157,59652554,63247862,62374133,65016665,73268548,66193456,67670447,69762307,75783295,78765933
"12000","Florida","5","SA40","94","...","    Monetary interest receipts",526296,588659,637669,706128,752702,809838,852707,965361,1079333,1230874,1537293,1979558,2421859,2765534,3109246,3848037,4760435,5090685,5603015,6629076,7847443,10009446,13038494,17248607,18574571,18754991,22957464,24173712,25147066,25281040,27598858,35199050,36233423,33232102,29934636,28386686,28307019,30917458,31584660,32240245,37366799,35830696,38851289,40140817,34440597,31977990,29409783,38650170,48778702,56215303,54696658,44388829,50997512,47963215,45168617,40113316,43632811,45972838,47000365
"12000","Florida","5","SA40","95","...","  Rental income of persons 2/",438795,463678,507794,538258,579142,607675,629967,658945,691214,731110,740965,786396,793719,862858,904669,895799,843262,844636,761976,628900,659973,674533,846731,1156487,1243199,1268572,1271686,1572782,1413911,1357023,1567048,1560531,1980286,2740835,3639527,5129026,6115417,6695349,7678833,7857081,8845735,9688852,9977381,11275348,12290234,13749400,15340829,15545179,14225075,12194206,16518351,20592333,23017055,26622969,28717696,31448634,34095771,38420572,41010072
"12000","Florida","5","SA40","96","...","    Imputed rent",310055,348053,383915,411583,442264,462560,471884,488244,511855,534980,525735,571999,566618,607310,596936,566523,579985,545211,466378,275887,301611,252727,240757,279702,128978,116307,20080,-81227,-278075,-285161,19435,65461,272078,620546,1314724,2398815,3211479,3530318,4281308,4446456,5314017,6077118,6446639,7475316,8581521,9820918,11263577,11085158,9331130,6510450,9807483,13563998,15460297,17834735,19431255,21776938,23498202,26398319,28504965
"12000","Florida","5","SA40","97","...","    Monetary rent",128740,115625,123879,126675,136878,145115,158083,170701,179359,196130,215230,214397,227101,255548,307733,329276,263277,299425,295598,353013,358362,421806,605974,876785,1114221,1152265,1251606,1654009,1691986,1642184,1547613,1495070,1708208,2120289,2324803,2730211,2903938,3165031,3397525,3410625,3531718,3611734,3530742,3800032,3708713,3928482,4077252,4460021,4893945,5683756,6710868,7028335,7556758,8788234,9286441,9671696,10597569,12022253,12505107
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
