"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"98000","Far West","8","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",8193315,8835551,9603850,10158612,10988425,11767649,12870536,13988534,14994372,16020128,16985724,19528522,21909226,23747474,25776189,28771108,32958282,36325450,39098858,43484587,50606224,58392454,70476506,86418444,95053586,104364814,118801778,126895501,132880950,137331723,148155146,168528408,178900492,180012669,183238648,189612130,200787263,217766415,232868717,248111700,267503242,269689569,294207069,297249660,293079871,309328979,338178975,369724505,418508944,450791601,465449400,411929357,407471149,457126560,514062706,510636806,569525464,625378478,636503574
"98000","Far West","8","SA40","91","...","  Personal dividend income",1443641,1563412,1671043,1744185,1897830,2037647,2277658,2558871,2640311,2774723,3036013,3177896,3213727,3330501,3596251,4037904,4531325,4633713,5542479,6432165,7394749,8458869,9670284,11352725,11197823,12704986,14133516,15031737,16594968,17658295,20296988,24964589,27017195,28926464,29879709,32076740,36582999,40276477,47689244,54215285,56984096,56636187,63334653,60277362,65068655,73065647,102456527,102312198,130894032,146089333,141875475,95010096,94086182,119446341,148270070,141577386,172481030,192453327,181880833
"98000","Far West","8","SA40","92","...","  Personal interest income",4409463,4786226,5287955,5682298,6219311,6774384,7535063,8241183,9005767,9742512,10452299,12582785,14950395,16364082,17876670,20212387,23785929,27114317,29283769,33727404,39702621,46376135,56463861,69533496,78171265,85470671,98204818,105055726,110649903,114579054,121666920,137635817,144113917,140453047,136719393,133694419,135184958,145724631,148559641,156055784,168032754,167231099,184197526,186673670,175037322,177339247,170443977,204474078,231925521,255012479,254198514,231842930,211492651,217288630,235446337,227950609,242040625,257935076,268183301
"98000","Far West","8","SA40","93","...","    Imputed interest receipts 1/",1870410,2100097,2328717,2603110,2827154,3080242,3410321,3630473,3915270,4310610,4747596,6081096,7587534,8389489,9265501,10109925,11708800,14364296,15124981,16978409,19861191,21136947,24454197,27710152,32210719,39959266,42868473,49300552,54120638,58971257,62038936,67216381,71271323,73618217,76426949,78359285,79828031,85785542,86619729,93142770,94587140,97220363,104013931,103431352,104824874,109005570,112999834,121651184,130095676,137818362,143928247,144311139,140816072,143194467,149778046,152195845,157414985,169611654,177853973
"98000","Far West","8","SA40","94","...","    Monetary interest receipts",2539053,2686129,2959238,3079188,3392157,3694142,4124742,4610710,5090497,5431902,5704703,6501689,7362861,7974593,8611169,10102462,12077129,12750021,14158788,16748995,19841430,25239188,32009664,41823344,45960546,45511405,55336345,55755174,56529265,55607797,59627984,70419436,72842594,66834830,60292444,55335134,55356927,59939089,61939912,62913014,73445614,70010736,80183595,83242318,70212448,68333677,57444143,82822894,101829845,117194117,110270267,87531791,70676579,74094163,85668291,75754764,84625640,88323422,90329328
"98000","Far West","8","SA40","95","...","  Rental income of persons 2/",2340211,2485913,2644852,2732129,2871284,2955618,3057815,3188480,3348294,3502893,3497412,3767841,3745104,4052891,4303268,4520817,4641028,4577420,4272610,3325018,3508854,3557450,4342361,5532223,5684498,6189157,6463444,6808038,5636079,5094374,6191238,5928002,7769380,10633158,16639546,23840971,29019306,31765307,36619832,37840631,42486392,45822283,46674890,50298628,52973894,58924085,65278471,62938229,55689391,49689789,69375411,85076331,101892316,120391589,130346299,141108811,155003809,174990075,186439440
"98000","Far West","8","SA40","96","...","    Imputed rent",1482523,1639396,1794550,1925762,2077429,2170360,2210799,2281025,2384282,2484643,2436938,2659697,2577530,2843693,2879511,2817404,2963576,2868416,2535154,1417583,1428471,1110483,1142069,1129824,252288,21397,-592082,-1374818,-2752253,-2885981,-1387928,-1446060,-785136,496973,3900372,9435871,13436041,15107860,18554279,19208329,23191388,26576068,27798987,29640687,32506159,38057074,43482637,39424505,31094279,22003057,35025126,50028143,60823190,73842804,79158914,91200953,102609087,113929618,123052076
"98000","Far West","8","SA40","97","...","    Monetary rent",857688,846517,850302,806367,793855,785258,847016,907455,964012,1018250,1060474,1108144,1167574,1209198,1423757,1703413,1677452,1709004,1737456,1907435,2080383,2446967,3200292,4402399,5432210,6167760,7055526,8182856,8388332,7980355,7579166,7374062,8554516,10136185,12739174,14405100,15583265,16657447,18065553,18632302,19295004,19246215,18875903,20657941,20467735,20867011,21795834,23513724,24595112,27686732,34350285,35048188,41069126,46548785,51187385,49907858,52394722,61060457,63387364
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
