"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"15000","Hawaii","8","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",187734,210409,268139,300463,327976,351008,387503,430486,455983,501500,534099,623655,758680,839886,922855,1050078,1191404,1303554,1359068,1475751,1724381,1953381,2261961,2627308,2642106,3097134,3472384,3707485,3884545,4018984,4326260,4959629,5210973,5388938,5809508,6128093,6378514,6608952,6562649,6950510,7195366,7344607,7736148,7702304,7500332,7478328,8246589,8876797,10211674,11261107,11988335,11778634,11647942,11705201,12753830,12906809,13810126,14892094,15250396
"15000","Hawaii","8","SA40","91","...","  Personal dividend income",31434,34674,48560,49487,49115,51622,59346,69402,71764,82283,75428,83238,86984,92400,101844,116474,132398,135154,151618,166616,194003,223600,249614,286462,253966,321346,351846,363727,402579,434177,508020,652384,714273,766615,783920,814872,910878,989386,1055156,1214764,1148707,1218731,1367651,1292988,1422197,1394425,1999240,2135416,2836571,3289002,3354319,2280022,2206830,2306301,2763585,2654697,3141183,3336530,3161396
"15000","Hawaii","8","SA40","92","...","  Personal interest income",112003,124045,151505,171397,187538,205426,228430,253922,269353,295033,331499,412885,541530,605503,684035,791981,927694,1053532,1103474,1225676,1451217,1650889,1917494,2233777,2289243,2625401,2965925,3166869,3356723,3483362,3689576,4189524,4327814,4380348,4578724,4667690,4676555,4770035,4616314,4721245,4926692,4974857,5229111,5215387,4879218,4797488,4725573,5239876,6019597,6781190,6879366,7242295,6549432,5974441,6255198,6281294,6592788,6732658,6940426
"15000","Hawaii","8","SA40","93","...","    Imputed interest receipts 1/",82616,92250,109022,123280,135011,149053,164700,178809,182090,194813,215423,264753,360690,397973,449449,508408,581373,681048,707781,774596,914305,966062,1079337,1159774,1275873,1534262,1638771,1827451,1989239,2148420,2255622,2458431,2584868,2713997,2946078,3092462,3133571,3210062,3117339,3274134,3276439,3381128,3480455,3447801,3488144,3528396,3656766,3783426,4108999,4433629,4629491,5056485,4888697,4628176,4767417,4919846,5078179,5262450,5436803
"15000","Hawaii","8","SA40","94","...","    Monetary interest receipts",29387,31795,42483,48117,52527,56373,63730,75113,87263,100220,116076,148132,180840,207530,234586,283573,346321,372484,395693,451080,536912,684827,838157,1074003,1013370,1091139,1327154,1339418,1367484,1334942,1433954,1731093,1742946,1666351,1632646,1575228,1542984,1559973,1498975,1447111,1650253,1593729,1748656,1767586,1391074,1269092,1068807,1456450,1910598,2347561,2249875,2185810,1660735,1346265,1487781,1361448,1514609,1470208,1503623
"15000","Hawaii","8","SA40","95","...","  Rental income of persons 2/",44297,51690,68074,79579,91323,93960,99727,107162,114866,124184,127172,127532,130166,141983,136976,141623,131312,114868,103976,83459,79161,78892,94853,107069,98897,150387,154613,176889,125243,101445,128664,117721,168886,241975,446864,645531,791081,849531,891179,1014501,1119967,1151019,1139386,1193929,1198917,1286415,1521776,1501505,1355506,1190915,1754650,2256317,2891680,3424459,3735047,3970818,4076155,4822906,5148574
"15000","Hawaii","8","SA40","96","...","    Imputed rent",26534,31480,42322,47717,53694,57921,60578,63881,68022,72080,71698,73567,70492,74946,72762,68555,69118,63738,54136,27882,25285,17709,18338,17664,993,-5022,-20612,-42911,-83564,-92323,-55729,-63148,-50328,-19657,78186,235826,344387,388782,477951,491709,596259,683251,703632,716643,732054,826599,1031720,972916,784582,553822,979495,1480276,1985138,2347745,2603882,2783572,2796165,3310941,3575240
"15000","Hawaii","8","SA40","97","...","    Monetary rent",17763,20210,25752,31862,37629,36039,39149,43281,46844,52104,55474,53965,59674,67037,64214,73068,62194,51130,49840,55577,53876,61183,76515,89405,97904,155409,175225,219800,208807,193768,184393,180869,219214,261632,368678,409705,446694,460749,413228,522792,523708,467768,435754,477286,466863,459816,490056,528589,570924,637093,775155,776041,906542,1076714,1131165,1187246,1279990,1511965,1573334
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
