"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"19000","Iowa","4","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",752879,824796,857336,922403,960739,1030754,1108990,1187861,1263155,1254762,1450647,1642496,1830551,1992596,2193119,2525136,2886597,3286286,3534916,4006724,4457835,5027339,6032717,7386206,8542641,8933145,9577669,9729301,9832666,9617622,9744352,10581143,11001157,11038980,11154514,11284233,11690014,12921181,13877086,14854214,15784387,15333307,16351452,16458581,16261682,16017484,16544565,16298806,17718384,19917599,20980772,19640750,19334885,21800512,23993120,23610101,24847869,26261571,26636334
"19000","Iowa","4","SA40","91","...","  Personal dividend income",85322,101311,111885,120849,123955,130647,137019,154881,154518,160059,175488,190722,197148,208303,227640,267334,311716,330084,394008,457685,520767,591616,652340,744849,787482,836175,872379,900591,992562,1073307,1209344,1513769,1615216,1759925,1866046,2040559,2341477,2546077,2979828,3500113,3606192,3446441,3596929,3625487,3953235,3929229,5098510,4942365,6082113,7222890,7243199,5282287,5239781,6540763,7922316,7609493,8625916,9100940,8627026
"19000","Iowa","4","SA40","92","...","  Personal interest income",322675,362403,393291,417786,440349,472874,534559,597765,645112,666249,826695,1051445,1225685,1356681,1480773,1708766,2048610,2469575,2689741,3148374,3507466,4011027,4884608,6025798,7105947,7665281,8248811,8378170,8539175,8268813,8221358,8750343,9021293,8812680,8636882,8347384,8258586,9096345,9378994,9862664,10579459,10186978,11011800,10877138,10367309,10009217,9262016,9282594,9790148,11011295,11465777,11432515,10452300,10704336,10975956,10565537,10574225,11072217,11482096
"19000","Iowa","4","SA40","93","...","    Imputed interest receipts 1/",125236,138440,151994,167799,179772,192181,215265,237776,262310,285879,312332,397620,475944,540034,595781,655458,779909,1051667,1105186,1252821,1394014,1426254,1663848,1877524,2326901,2998170,3008222,3394090,3631248,3775880,3774584,3891825,4068181,4225718,4431490,4542277,4559178,5002296,5104822,5518826,5579030,5589987,5873249,5694384,5853698,5855176,5928971,5519007,5558323,6001235,6556238,7081750,6913177,7009015,7010250,7085477,6956708,7368824,7698087
"19000","Iowa","4","SA40","94","...","    Monetary interest receipts",197439,223963,241297,249987,260577,280693,319294,359989,382802,380370,514363,653825,749741,816647,884992,1053308,1268701,1417908,1584555,1895553,2113452,2584773,3220760,4148274,4779046,4667111,5240589,4984080,4907927,4492933,4446774,4858518,4953112,4586962,4205392,3805107,3699408,4094049,4274172,4343838,5000429,4596991,5138551,5182754,4513611,4154041,3333045,3763587,4231825,5010060,4909539,4350765,3539123,3695321,3965706,3480060,3617517,3703393,3784009
"19000","Iowa","4","SA40","95","...","  Rental income of persons 2/",344882,361082,352160,383768,396435,427233,437412,435215,463525,428454,448464,400329,407718,427612,484706,549036,526271,486627,451167,400665,429602,424696,495769,615559,649212,431689,456479,450540,300929,275502,313650,317031,364648,466375,651586,896290,1089951,1278759,1518264,1491437,1598736,1699888,1742723,1955956,1941138,2079038,2184039,2073847,1846123,1683414,2271796,2925948,3642804,4555413,5094848,5435071,5647728,6088414,6527212
"19000","Iowa","4","SA40","96","...","    Imputed rent",124978,135748,145705,152330,160409,164475,164958,168215,174202,179821,175455,218113,224246,233901,234673,221258,225453,212761,191909,144300,142519,119335,118518,112291,61177,38115,10423,-19535,-58495,-52115,-26,14822,46186,87117,171428,328673,457839,514968,632427,648751,774303,880203,951215,1107914,1129444,1270831,1348072,1189294,948746,729174,1089706,1683748,2150766,2731054,3066051,3305636,3421317,3606452,3926311
"19000","Iowa","4","SA40","97","...","    Monetary rent",219904,225334,206455,231438,236026,262758,272454,267000,289323,248633,273009,182216,183472,193711,250033,327778,300818,273866,259258,256365,287083,305361,377251,503268,588035,393574,446056,470075,359424,327617,313676,302209,318462,379258,480158,567617,632112,763791,885837,842686,824433,819685,791508,848042,811694,808207,835967,884553,897377,954240,1182090,1242200,1492038,1824359,2028797,2129435,2226411,2481962,2600901
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
