"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"29000","Missouri","4","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",1180930,1282928,1355669,1410051,1489253,1591544,1708261,1834844,1971795,2067004,2288272,2422623,2717811,2945135,3190349,3562171,4099216,4533355,4872066,5441504,6093488,6893070,8454394,10441208,12310116,13152871,14762017,15622953,16350804,16666416,17567196,18994186,19980257,20603777,21682326,22709395,23777395,24592037,25759822,27684554,29183519,28717706,31013938,30636702,29791813,31128985,31677501,32401100,35988380,39290466,41054196,36286101,36116657,38394597,44446052,41223862,45047657,47055709,47380474
"29000","Missouri","4","SA40","91","...","  Personal dividend income",261295,301171,315370,328049,344621,374565,412039,449866,458703,471144,545294,558142,560061,577045,618220,691385,769584,747967,884287,1009495,1126359,1259714,1371198,1548302,1648159,1748030,1887875,2024718,2197042,2364848,2760278,3326021,3502538,3720208,3958217,4259394,4926498,5405464,6164088,6763743,6964321,6408337,6756678,6379009,7150003,8248241,10570128,10452475,12659402,14140246,14320292,9707993,9695108,11484264,14922455,13494838,16460882,17540176,16561269
"29000","Missouri","4","SA40","92","...","  Personal interest income",543177,593867,652352,681261,732841,786998,880628,960777,1084659,1176736,1323245,1462857,1728959,1918902,2099821,2391239,2843604,3320210,3564984,4095488,4616554,5286401,6690549,8399924,10178568,10965638,12411398,13140010,13831552,13991162,14413778,15270036,15950116,16167575,16690178,17032080,17036593,17249394,17525361,18632342,19637417,19523548,21372890,20977640,19276689,19228238,17309712,18635538,20527473,22729197,23351339,22060802,20873228,20209560,22366790,20121460,20624810,20803430,21491470
"29000","Missouri","4","SA40","93","...","    Imputed interest receipts 1/",264246,292796,318080,343598,358884,379691,418280,450872,495017,534437,582463,659229,807565,913799,1009005,1099534,1292120,1637703,1712411,1910543,2148040,2241572,2675978,3074826,3719813,4696448,4974852,5734084,6298270,6767225,6956837,7162917,7582579,8055431,8748622,9351265,9473421,9733571,9861728,10741824,10717947,11034776,11765793,11387807,11330726,11554524,11405238,11292164,11785879,12575378,13584471,13931078,13921576,13495129,14293083,13695324,13738862,14118346,14653255
"29000","Missouri","4","SA40","94","...","    Monetary interest receipts",278931,301071,334272,337663,373957,407307,462348,509905,589642,642299,740782,803628,921394,1005103,1090816,1291705,1551484,1682507,1852573,2184945,2468514,3044829,4014571,5325098,6458755,6269190,7436546,7405926,7533282,7223937,7456941,8107119,8367537,8112144,7941556,7680815,7563172,7515823,7663633,7890518,8919470,8488772,9607097,9589833,7945963,7673714,5904474,7343374,8741594,10153819,9766868,8129724,6951652,6714431,8073707,6426136,6885948,6685084,6838215
"29000","Missouri","4","SA40","95","...","  Rental income of persons 2/",376458,387890,387947,400741,411791,429981,415594,424201,428433,419124,419733,401624,428791,449188,472308,479547,486028,465178,422795,336521,350575,346955,392647,492982,483389,439203,462744,458225,322210,310406,393140,398129,527603,715994,1033931,1417921,1814304,1937179,2070373,2288469,2581781,2785821,2884370,3280053,3365121,3652506,3797661,3313087,2801505,2421023,3382565,4517306,5548321,6700773,7156807,7607564,7961965,8712103,9327735
"29000","Missouri","4","SA40","96","...","    Imputed rent",202991,222582,240980,252023,265800,272303,272652,277159,285905,294360,285836,295087,305063,323156,321225,304631,311396,286100,247276,155072,162090,139055,137220,139462,67376,48044,5522,-42973,-121397,-118793,-14739,3663,67422,166809,372993,715308,976194,1082202,1313502,1350827,1610370,1836407,1966801,2303798,2408381,2626960,2820933,2309281,1803994,1324542,2064341,3196993,3987135,4865105,5247798,5620274,5882487,6332092,6846007
"29000","Missouri","4","SA40","97","...","    Monetary rent",173467,165308,146967,148718,145991,157678,142942,147042,142528,124764,133897,106537,123728,126032,151083,174916,174632,179078,175519,181449,188485,207900,255427,353520,416013,391159,457222,501198,443607,429199,407879,394466,460181,549185,660938,702613,838110,854977,756871,937642,971411,949414,917569,976255,956740,1025546,976728,1003806,997511,1096481,1318224,1320313,1561186,1835668,1909009,1987290,2079478,2380011,2481728
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
