"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"36000","New York","2","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",6289624,6805778,7336093,7729418,8468216,9147400,10061612,10860559,11476971,12080495,13071639,13778231,14627857,15281524,16032294,17282560,19297051,20409349,21397554,23546294,25833727,28879447,33934562,40980409,46484254,49892170,58195013,61217057,63015481,64629057,71650923,81686954,84387287,84282615,83218945,83342656,87236600,95235997,99961732,106231022,110999244,111281185,119210212,116731173,107527131,111441877,118600152,141561754,159297456,184035482,182446092,159018424,159187028,178588268,204819259,215038351,226511022,238866811,241060789
"36000","New York","2","SA40","91","...","  Personal dividend income",2144669,2323774,2455382,2481476,2614732,2790606,3088188,3405916,3398016,3455509,3791387,3828144,3615472,3506490,3541887,3819745,4123069,3868218,4481121,5033351,5516226,6080097,6688045,7615285,7865518,8333070,9077719,9338795,9858867,9935828,11300525,13678114,14264525,14749299,15274301,15893946,17600935,19000893,22105281,24922953,25439891,24726127,27748705,26375926,27380235,28938320,36618368,39448881,52295862,62102438,61594975,40623522,39412954,48809289,59713968,58768615,69430208,74710761,70077031
"36000","New York","2","SA40","92","...","  Personal interest income",3196714,3457604,3772038,4056221,4602143,5021979,5598707,6021843,6576112,7044459,7698156,8551554,9647752,10382167,11093839,12057590,13808633,15260390,15774551,17629839,19484858,22032030,26359937,32300978,37618387,40323443,47720547,50368752,51979206,53581612,58885768,66643644,68334156,67060046,63834001,61263773,62292423,68240340,68484559,72049835,75195982,75494544,80426647,78112717,67093817,67919247,66251423,87499699,94384384,110741742,104109465,95066581,93357898,97624931,109898158,118068858,116274542,120435862,124303533
"36000","New York","2","SA40","93","...","    Imputed interest receipts 1/",1421289,1578678,1709843,1808445,1905342,1915769,2109964,2189732,2350638,2524681,2805070,3430079,4008547,4430517,4809605,5061838,5784166,7131716,7117717,7732281,8537980,8749402,10114337,11520705,13785358,17390578,19041807,21898625,23857737,26018540,28015780,30279159,31490675,32479260,33176661,33666948,34373534,37445309,37210139,40178829,39515801,41004416,42584333,40648101,38444164,39957132,42136873,48966111,50091171,55985165,56056027,56351603,58792039,60491067,65014676,72562968,70306428,74048742,76876659
"36000","New York","2","SA40","94","...","    Monetary interest receipts",1775425,1878926,2062195,2247776,2696801,3106210,3488743,3832111,4225474,4519778,4893086,5121475,5639205,5951650,6284234,6995752,8024467,8128674,8656834,9897558,10946878,13282628,16245600,20780273,23833029,22932865,28678740,28470127,28121469,27563072,30869988,36364485,36843481,34580786,30657340,27596825,27918889,30795031,31274420,31871006,35680181,34490128,37842314,37464616,28649653,27962115,24114550,38533588,44293213,54756577,48053438,38714978,34565859,37133864,44883482,45505890,45968114,46387120,47426874
"36000","New York","2","SA40","95","...","  Rental income of persons 2/",948241,1024400,1108673,1191721,1251341,1334815,1374717,1432800,1502843,1580527,1582096,1398533,1364633,1392867,1396568,1405225,1365349,1280741,1141882,883104,832643,767320,886580,1064146,1000349,1235657,1396747,1509510,1177408,1111617,1464630,1365196,1788606,2473270,4110643,6184937,7343242,7994764,9371892,9258234,10363371,11060514,11034860,12242530,13053079,14584310,15730361,14613174,12617210,11191302,16741652,23328321,26416176,32154048,35207133,38200878,40806272,43720188,46680225
"36000","New York","2","SA40","96","...","    Imputed rent",773542,850466,923329,974989,1038456,1071228,1078991,1101892,1141180,1180409,1148459,920161,883777,923566,887922,823562,823032,747962,621250,326430,304041,220068,212438,222246,43790,-15595,-178973,-410467,-841574,-938148,-524545,-596224,-432103,-56659,996319,2568334,3585469,3945833,4761637,4846803,5801404,6585689,6762940,7633267,8525868,9929641,10883366,9473002,7280949,5108383,9353062,14710558,18214147,22512085,25141810,27684121,29341771,30763958,33204075
"36000","New York","2","SA40","97","...","    Monetary rent",174699,173934,185344,216732,212885,263587,295726,330908,361663,400118,433637,478372,480856,469301,508646,581663,542317,532779,520632,556674,528602,547252,674142,841900,956559,1251252,1575720,1919977,2018982,2049765,1989175,1961420,2220709,2529929,3114324,3616603,3757773,4048931,4610255,4411431,4561967,4474825,4271920,4609263,4527211,4654669,4846995,5140172,5336261,6082919,7388590,8617763,8202029,9641963,10065323,10516757,11464501,12956230,13476150
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
