"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"39000","Ohio","3","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",2695625,2861775,3085796,3242812,3493184,3692823,3962634,4225348,4524641,4749235,5193043,5547765,6058847,6521441,6953380,7682645,8726521,9471568,10070699,11140242,12393287,13942204,16914105,20741957,23001461,24979456,27828157,29193600,30357430,30856517,33000068,37211377,39164782,38705202,39555176,41249831,43253183,46246007,49265932,52745015,55906845,55041541,57160231,56599144,54440584,54473227,54732928,56553464,62203426,67370691,68180363,60498138,58918372,65917152,72986611,70765799,76665644,80969552,81772092
"39000","Ohio","3","SA40","91","...","  Personal dividend income",575609,615055,639892,669205,731132,780858,873526,958904,1002874,1027949,1241819,1251026,1237863,1258873,1333501,1475812,1626834,1561834,1838690,2101634,2347457,2625527,2814145,3142337,3123531,3638094,3876564,4187070,4548409,4843390,5590781,6803110,7215572,7705363,8081603,8803381,10101858,11026072,12595610,13566721,13939022,12742662,13057284,12765222,14041973,14772156,18156385,17990523,21879449,24448023,23880916,16615934,16519044,20527012,24955961,23867683,28133148,30055734,28426999
"39000","Ohio","3","SA40","92","...","  Personal interest income",1237820,1326092,1484599,1593990,1749042,1878226,2056026,2211939,2433175,2635571,2878865,3330179,3839658,4200488,4534417,5132125,6047532,6896509,7331554,8368772,9365349,10675369,13375464,16740142,19062701,20431693,23085150,24088139,25177340,25421149,26632741,29654976,30991550,29685220,29560144,29523412,29464854,31006220,32077876,34119093,36257954,36049119,37703774,36735921,33377494,32096374,28992913,31981259,34889007,38323752,37828376,35266546,31586291,31973447,33155643,31485122,32460055,33702929,34929876
"39000","Ohio","3","SA40","93","...","    Imputed interest receipts 1/",564891,611210,669170,717164,763578,799300,882272,949525,1044237,1135339,1235522,1390533,1658444,1855834,2020314,2206915,2576700,3238780,3350969,3726438,4191308,4360727,5189826,5972521,7144429,8924174,9515930,10772514,11766951,12612712,13143677,13998927,14812784,15080487,15928126,16654789,16850752,17825101,18200416,19757802,19751105,20263826,20742656,19992229,19793319,19658393,19376902,19499049,20164733,21312698,22300129,22709704,21734006,21844533,22084486,21961161,22070753,23200298,24182613
"39000","Ohio","3","SA40","94","...","    Monetary interest receipts",672929,714882,815429,876826,985464,1078926,1173754,1262414,1388938,1500232,1643343,1939646,2181214,2344654,2514103,2925210,3470832,3657729,3980585,4642334,5174041,6314642,8185638,10767621,11918272,11507519,13569220,13315625,13410389,12808437,13489064,15656049,16178766,14604733,13632018,12868623,12614102,13181119,13877460,14361291,16506849,15785293,16961118,16743692,13584175,12437981,9616011,12482210,14724274,17011054,15528247,12556842,9852285,10128914,11071157,9523961,10389302,10502631,10747263
"39000","Ohio","3","SA40","95","...","  Rental income of persons 2/",882196,920628,961305,979617,1013010,1033739,1033082,1054505,1088592,1085715,1072359,966560,981326,1062080,1085462,1074708,1052155,1013225,900455,669836,680481,641308,724496,859478,815229,909669,866443,918391,631681,591978,776546,753291,957660,1314619,1913429,2923038,3686471,4213715,4592446,5059201,5709869,6249760,6399173,7098001,7021117,7604697,7583630,6581682,5434970,4598916,6471071,8615658,10813037,13416693,14875007,15412994,16072441,17210889,18415217
"39000","Ohio","3","SA40","96","...","    Imputed rent",615737,676048,732781,761895,800018,815569,812878,822449,844687,866907,837575,739454,771494,816303,792849,743714,749106,689040,587092,337090,326421,252029,244177,235593,72805,31498,-63765,-174722,-359812,-356637,-128015,-109474,3688,174811,618966,1419381,2042177,2326313,2882616,3004663,3655131,4209171,4430034,4931329,5081796,5579745,5649776,4613336,3450495,2438321,3973290,6061097,7792930,9557303,10415979,11198009,11572168,12375776,13380588
"39000","Ohio","3","SA40","97","...","    Monetary rent",266459,244580,228524,217722,212992,218170,220204,232056,243905,218808,234784,227106,209832,245777,292613,330994,303049,324185,313363,332746,354060,389279,480319,623885,742424,878171,930208,1093113,991493,948615,904561,862765,953972,1139808,1294463,1503657,1644294,1887402,1709830,2054538,2054738,2040589,1969139,2166672,1939321,2024952,1933854,1968346,1984475,2160595,2497781,2554561,3020107,3859390,4459028,4214985,4500273,4835113,5034629
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
