"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"41000","Oregon","8","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",515997,563255,592218,632303,678643,719011,768588,818203,875400,954695,1026589,1217423,1387216,1529690,1673859,1880807,2193820,2475314,2713971,3091342,3626535,4222378,5083279,6219290,6724964,7192562,7944892,8281398,8684733,8848787,9462453,10943244,11510023,11782972,12072323,13008877,14169513,15718259,16913226,17707744,18741920,18326468,19841198,19702004,19282491,20232279,21566234,22154655,25630442,27241629,28953382,25813386,25244432,27915754,30281325,30515672,33237250,36120266,36782728
"41000","Oregon","8","SA40","91","...","  Personal dividend income",88436,93091,88052,97718,108937,117190,129152,140602,150763,168328,161859,173942,179240,189499,207943,245736,287314,297860,359999,422547,500265,584110,653462,752449,739250,796656,905890,947361,1068904,1179361,1386712,1777435,1924159,2088661,2227952,2540451,3007990,3394392,4075735,4347546,4286867,3880745,4190767,3856650,4216876,4873111,6715268,6802995,8740735,9544115,9558215,6357310,6132841,7513201,9033718,8826753,10518332,11495141,10905323
"41000","Oregon","8","SA40","92","...","  Personal interest income",275318,310215,339095,363489,393583,421569,455689,486759,525518,580998,662463,810851,955382,1064211,1172636,1340862,1597292,1884572,2078599,2445920,2874782,3386555,4141627,5116159,5637597,6013578,6671454,6930366,7249365,7313604,7668708,8750837,9084160,9018446,8933815,9170803,9500255,10446407,10630262,11115298,11956171,11746580,12783646,12662484,11773624,11910535,11242574,11961441,13814131,14888837,15539970,14371927,13375756,13486994,14049621,13909932,14410576,15133723,15746580
"41000","Oregon","8","SA40","93","...","    Imputed interest receipts 1/",96300,109777,120885,135246,148015,161993,181723,199609,218889,245224,273487,337082,412872,473072,531525,586468,695031,896542,959985,1096483,1286621,1371064,1594170,1805374,2105285,2613775,2718088,3073495,3355581,3593133,3755558,4091886,4327945,4555256,4823857,5175591,5398475,5919062,5998855,6443735,6522694,6638990,7025275,6846279,6878731,7123775,7318112,7180436,7792096,8132571,8860614,8970228,8879253,8896673,8999710,9305635,9429213,10038429,10536985
"41000","Oregon","8","SA40","94","...","    Monetary interest receipts",179018,200438,218210,228243,245568,259576,273966,287150,306629,335774,388976,473769,542510,591139,641111,754394,902261,988030,1118614,1349437,1588161,2015491,2547457,3310785,3532312,3399803,3953366,3856871,3893784,3720471,3913150,4658951,4756215,4463190,4109958,3995212,4101780,4527345,4631407,4671563,5433477,5107590,5758371,5816205,4894893,4786760,3924462,4781005,6022035,6756266,6679356,5401699,4496503,4590321,5049911,4604297,4981363,5095294,5209595
"41000","Oregon","8","SA40","95","...","  Rental income of persons 2/",152243,159949,165071,171096,176123,180252,183747,190842,199119,205369,202267,232630,252594,275980,293280,294209,309214,292882,275373,222875,251488,251713,288190,350682,348117,382328,367548,403671,366464,355822,407033,414972,501704,675865,910556,1297623,1661268,1877460,2207229,2244900,2498882,2699143,2866785,3182870,3291991,3448633,3608392,3390219,3075576,2808677,3855197,5084149,5735835,6915559,7197986,7778987,8308342,9491402,10130825
"41000","Oregon","8","SA40","96","...","    Imputed rent",97707,106345,114258,120934,128717,133253,134704,138198,143798,148983,145804,173395,186808,201343,203146,193051,196100,182978,159661,100088,109191,91089,88391,92539,46226,39876,16303,-7282,-44943,-36268,28208,48284,94452,178583,327376,585793,808774,911523,1119703,1173514,1404496,1611120,1761810,2044929,2193316,2335390,2507049,2231656,1897567,1483724,2217581,3256299,3795103,4596684,4797370,5278208,5633363,6383710,6896483
"41000","Oregon","8","SA40","97","...","    Monetary rent",54536,53604,50813,50162,47406,46999,49043,52644,55321,56386,56463,59235,65786,74637,90134,101158,113114,109904,115712,122787,142297,160624,199799,258143,301891,342452,351245,410953,411407,392090,378825,366688,407252,497282,583180,711830,852494,965937,1087526,1071386,1094386,1088023,1104975,1137941,1098675,1113243,1101343,1158563,1178009,1324953,1637616,1827850,1940732,2318875,2400616,2500779,2674979,3107692,3234342
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
