"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"94000","Plains","4","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",4377628,4692120,4973502,5194850,5508570,5852599,6244170,6728459,7096220,7315105,7984477,8930332,9966882,10825022,11799262,13360083,15416161,17380481,18608956,20871076,23295659,26273631,32029447,39590720,46616648,49058080,53902686,56366687,58236190,58497957,61044540,66532276,69978390,71464504,73637295,76084576,80248890,86391176,91626287,98351923,105255929,104560602,112585463,112439903,110088976,113445408,116045713,118872654,132728171,146385315,154339341,138048702,137377822,152164914,171293946,165194219,179729809,187839941,189394323
"94000","Plains","4","SA40","91","...","  Personal dividend income",675899,784134,834453,875193,908571,1000714,1099695,1230803,1233181,1276870,1383866,1443743,1466425,1526628,1648970,1891060,2156631,2216148,2613147,2991761,3385077,3829304,4230888,4838023,5281916,5421402,5749769,6247394,6914241,7529482,8903608,10789281,11620125,12643638,13583786,14809658,17364317,19118300,22083881,24779000,26479166,26036237,28039973,27260943,29081615,31882857,39598262,40195829,49291153,56066916,57352099,40533019,40064673,48342199,59843730,56343828,66470345,70710624,66827549
"94000","Plains","4","SA40","92","...","  Personal interest income",1936121,2132457,2329981,2460098,2644498,2867458,3217356,3558214,3879279,4172251,4735053,5627134,6622000,7318776,7994190,9164929,10922150,12930251,13953052,16143845,18079777,20634230,25656671,31967109,38357750,41240898,45707559,47651093,49656874,49428744,50349156,53949568,56157372,55966717,56009365,55628546,55896999,59519251,60959123,64535551,68765869,67713728,73413314,72541006,68024935,67620537,61824354,65185768,71801831,79968293,82577016,79067559,74311238,75302218,80204952,75387051,77475198,78876291,81628432
"94000","Plains","4","SA40","93","...","    Imputed interest receipts 1/",860945,954853,1047170,1153176,1224713,1298236,1435519,1539685,1669620,1812019,1986978,2410447,2946913,3322906,3669199,4024591,4733063,6115214,6398309,7179745,8060723,8367104,9873743,11270267,13762273,17365860,18048545,20585380,22415045,23767225,24212234,25137653,26510908,27869038,29655119,30993326,31514801,33666784,34205823,37093960,37325096,38089115,40211173,39134712,39667178,40477608,40466295,39355870,41083839,44011638,47675003,49613665,49481558,49769954,51262966,50860296,51131415,52954208,55125500
"94000","Plains","4","SA40","94","...","    Monetary interest receipts",1075176,1177604,1282811,1306922,1419785,1569222,1781837,2018529,2209659,2360232,2748075,3216687,3675087,3995870,4324991,5140338,6189087,6815037,7554743,8964100,10019054,12267126,15782928,20696842,24595477,23875038,27659014,27065713,27241829,25661519,26136922,28811915,29646464,28097679,26354246,24635220,24382198,25852467,26753300,27441591,31440773,29624613,33202141,33406294,28357757,27142929,21358059,25829898,30717992,35956655,34902013,29453894,24829680,25532264,28941986,24526755,26343783,25922083,26502932
"94000","Plains","4","SA40","95","...","  Rental income of persons 2/",1765608,1775529,1809068,1859559,1955501,1984427,1927119,1939442,1983760,1865984,1865558,1859455,1878457,1979618,2156102,2304094,2337380,2234082,2042757,1735470,1830805,1810097,2141888,2785588,2976982,2395780,2445358,2468200,1665075,1539731,1791776,1793427,2200893,2854149,4044144,5646372,6987574,7753625,8583283,9037372,10010894,10810637,11132176,12637954,12982426,13942014,14623097,13491057,11635187,10350106,14410226,18448124,23001911,28520497,31245264,33463340,35784266,38253026,40938342
"94000","Plains","4","SA40","96","...","    Imputed rent",711661,778449,840693,878482,925583,948039,949214,965183,996104,1025357,996396,1153601,1193077,1256827,1256167,1187197,1211757,1141141,1004633,678147,684096,585723,577860,571104,298482,203369,41893,-145580,-426132,-409511,-50597,21567,238251,553366,1233465,2427869,3359371,3758476,4587060,4717705,5641011,6434497,6896758,8028164,8511199,9460294,10028353,8580754,6713263,4973992,7749061,11667130,14786362,18383256,20074578,21652615,22760855,24611575,26691986
"94000","Plains","4","SA40","97","...","    Monetary rent",1053947,997080,968375,981077,1029918,1036388,977905,974259,987656,840627,869162,705854,685380,722791,899935,1116897,1125623,1092941,1038124,1057323,1146709,1224374,1564028,2214484,2678500,2192411,2403465,2613780,2091207,1949242,1842373,1771860,1962642,2300783,2810679,3218503,3628203,3995149,3996223,4319667,4369883,4376140,4235418,4609790,4471227,4481720,4594744,4910303,4921924,5376114,6661165,6780994,8215549,10137241,11170686,11810725,13023411,13641451,14246356
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
