"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"44000","Rhode Island","1","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",271079,281348,282599,306212,347126,381497,403741,439451,463586,499917,535859,596351,663383,698867,745282,810697,878801,928329,990584,1100186,1207567,1355017,1682670,2096588,2335051,2479632,2856847,2964919,3166903,3352928,3764643,4441442,4419656,4168448,4206411,4323910,4404247,4750254,5023453,5349014,5716492,5664469,6154779,6350943,6458005,6834087,6882786,6887843,7549503,8173692,8359549,7589574,7702207,8131936,8918054,8852995,9065937,9505397,9630943
"44000","Rhode Island","1","SA40","91","...","  Personal dividend income",72633,76933,73827,77378,83641,93568,96663,108227,107096,115702,129071,131755,130781,133300,141727,154300,167754,159608,187230,212457,230915,253196,276390,312657,349595,366009,403963,427752,474360,504695,595901,712095,732464,766149,829205,887584,987811,1077185,1289176,1398320,1402657,1338192,1535934,1687040,1987344,2304528,2526537,2355534,2651534,2968739,2898258,2131800,2281284,2504563,2947783,2660391,2825441,2956162,2794054
"44000","Rhode Island","1","SA40","92","...","  Personal interest income",147320,149864,149862,167752,198711,218136,235174,256232,277927,302005,324235,381318,454368,483726,522211,570924,623347,694454,735886,836649,928964,1055308,1346145,1705310,1906029,2043727,2383284,2462583,2637492,2798175,3084893,3648988,3583813,3268128,3127279,3054660,2949526,3193021,3216354,3381498,3678748,3647985,3921385,3905318,3657427,3555279,3298528,3562934,4099307,4541894,4531254,4186308,3890406,3811936,4080873,4182470,4175793,4305019,4440920
"44000","Rhode Island","1","SA40","93","...","    Imputed interest receipts 1/",80180,86720,87317,93837,106283,109379,117997,127744,138815,148983,164450,186709,237219,252468,275913,286331,287876,345012,356974,395010,442877,467073,557011,645175,764521,939476,1021719,1148844,1277534,1418784,1533956,1703997,1721827,1679888,1724091,1769383,1734330,1874784,1875812,2016176,2060230,2111707,2216260,2177125,2203075,2205508,2216778,2194501,2362989,2511123,2633530,2653692,2620936,2566900,2653270,2814480,2763975,2890870,2995327
"44000","Rhode Island","1","SA40","94","...","    Monetary interest receipts",67140,63144,62545,73915,92428,108757,117177,128488,139112,153022,159785,194609,217149,231258,246298,284593,335471,349442,378912,441639,486087,588235,789134,1060135,1141508,1104251,1361565,1313739,1359958,1379391,1550937,1944991,1861986,1588240,1403188,1285277,1215196,1318237,1340542,1365322,1618518,1536278,1705125,1728193,1454352,1349771,1081750,1368433,1736318,2030771,1897724,1532616,1269470,1245036,1427603,1367990,1411818,1414149,1445593
"44000","Rhode Island","1","SA40","95","...","  Rental income of persons 2/",51126,54551,58910,61082,64774,69793,71904,74992,78563,82210,82553,83278,78234,81841,81344,85473,87700,74267,67468,51080,47688,46513,60135,78621,79427,69896,69600,74584,55051,50058,83849,80359,103379,134171,249927,381666,466910,480048,517923,569196,635087,678292,697460,758585,813234,974280,1057721,969375,798662,663059,930037,1271466,1530517,1815437,1889398,2010134,2064703,2244216,2395969
"44000","Rhode Island","1","SA40","96","...","    Imputed rent",38932,42344,45513,48612,52246,54337,55119,56620,58968,60919,59863,57061,53310,56375,54308,50952,51546,47784,40333,20545,18834,12955,13135,13218,445,-4286,-16309,-34034,-66977,-74726,-44643,-51199,-40588,-14686,61320,171006,238372,260453,312257,315034,375501,424176,431517,486555,547179,671235,773663,677114,504131,345416,562353,889894,1086585,1306147,1380380,1482638,1490612,1574135,1698948
"44000","Rhode Island","1","SA40","97","...","    Monetary rent",12194,12207,13397,12470,12528,15456,16785,18372,19595,21291,22690,26217,24924,25466,27036,34521,36154,26483,27135,30535,28854,33558,47000,65403,78982,74182,85909,108618,122028,124784,128492,131558,143967,148857,188607,210660,228538,219595,205666,254162,259586,254116,265943,272030,266055,303045,284058,292261,294531,317643,367684,381572,443932,509290,509018,527496,574091,670081,697021
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
