"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"45000","South Carolina","5","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",360094,391324,423706,456569,494797,532205,563783,627299,672273,722250,770385,887484,1061716,1174167,1309220,1486134,1718028,1933239,2099349,2338821,2677303,3022158,3656797,4474859,5169607,5746436,6498130,7109655,7651218,8007768,8716902,9884767,10537242,10791893,11182803,11709792,12548296,13435709,14519163,15624433,16960692,16801787,18372279,18644074,18523420,18240745,19355467,20746721,23946263,26611733,26990005,24204685,23703603,26469073,28314190,28279291,30954255,33209584,33794855
"45000","South Carolina","5","SA40","91","...","  Personal dividend income",49717,56719,60775,65951,68927,74746,81413,100917,102348,117216,123213,135309,144072,156427,175679,204310,235730,236275,287302,339278,398120,461468,525600,616395,634361,735484,804405,906608,987865,1075638,1219551,1500542,1640657,1794431,1914431,2121373,2508436,2758615,3355304,3834395,4140243,3900953,4251558,3980954,4485614,4434294,5969916,6686450,8410446,9495897,8784527,5772476,5420156,6798092,8206900,7878034,9725439,10640995,10107338
"45000","South Carolina","5","SA40","92","...","  Personal interest income",198625,217573,241042,256291,277379,299601,323688,363821,404748,431324,484962,568190,723817,811139,916395,1060005,1281209,1496650,1631757,1859210,2130269,2418249,2967628,3646702,4326584,4802519,5476147,5956002,6439683,6705754,7204717,8074309,8493966,8435540,8497746,8539310,8768909,9296152,9583894,10076572,10894553,10837773,11935426,12057442,11305225,11007200,10367520,11511887,13342769,15106956,15405413,14735611,13750375,14052753,14209184,13884319,14478380,15225685,15812445
"45000","South Carolina","5","SA40","93","...","    Imputed interest receipts 1/",136839,157075,168310,181149,192265,207064,219442,242533,273758,292046,313875,356952,472511,528377,601711,671637,800515,967856,1040397,1153418,1334414,1439341,1666950,1900576,2226828,2682479,2910292,3285601,3652357,3963117,4209507,4564989,4837372,5035657,5307343,5516052,5678314,5999820,6103066,6544852,6713461,6886715,7319450,7296927,7387381,7452093,7539462,7743384,8407414,9116261,9695838,10066621,9916045,10073257,10072782,10269528,10458062,11107825,11599815
"45000","South Carolina","5","SA40","94","...","    Monetary interest receipts",61786,60498,72732,75142,85114,92537,104246,121288,130990,139278,171087,211238,251306,282762,314684,388368,480694,528794,591360,705792,795855,978908,1300678,1746126,2099756,2120040,2565855,2670401,2787326,2742637,2995210,3509320,3656594,3399883,3190403,3023258,3090595,3296332,3480828,3531720,4181092,3951058,4615976,4760515,3917844,3555107,2828058,3768503,4935355,5990695,5709575,4668990,3834330,3979496,4136402,3614791,4020318,4117860,4212630
"45000","South Carolina","5","SA40","95","...","  Rental income of persons 2/",111752,117032,121889,134327,148491,157858,158682,162561,165177,173710,162210,183985,193827,206601,217146,221819,201089,200314,180290,140333,148914,142441,163569,211762,208662,208433,217578,247045,223670,226376,292634,309916,402619,561922,770626,1049109,1270951,1380942,1579965,1713466,1925896,2063061,2185295,2605678,2732581,2799251,3018031,2548384,2193048,2008880,2800065,3696598,4533072,5618228,5898106,6516938,6750436,7342904,7875072
"45000","South Carolina","5","SA40","96","...","    Imputed rent",63765,70444,76699,85913,95707,103103,107880,114094,121894,129801,129281,150094,154958,164235,163996,154442,157509,146076,125332,78498,86462,75811,71015,82074,44411,43484,24716,9250,-21913,-14246,58608,84743,147128,254294,414007,638631,811109,868858,1033834,1073748,1257840,1425752,1560679,1925991,2066153,2129246,2262988,1859543,1438556,1153777,1756322,2627695,3284070,4127082,4344990,4908482,5091976,5439114,5876602
"45000","South Carolina","5","SA40","97","...","    Monetary rent",47987,46588,45190,48414,52784,54755,50802,48467,43283,43909,32929,33891,38869,42366,53150,67377,43580,54238,54958,61835,62452,66630,92554,129688,164251,164949,192862,237795,245583,240622,234026,225173,255491,307628,356619,410478,459842,512084,546131,639718,668056,637309,624616,679687,666428,670005,755043,688841,754492,855103,1043743,1068903,1249002,1491146,1553116,1608456,1658460,1903790,1998470
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
