"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"55000","Wisconsin","3","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",1061609,1141933,1222717,1277693,1344235,1421227,1525186,1680700,1802510,1901739,2111160,2416680,2708603,2929222,3154451,3504855,4000112,4424776,4695383,5187353,5775102,6513211,7913887,9719737,10890774,11777693,13167907,13870303,14475489,14624899,15418784,17442668,18198385,18343236,19164914,20018327,21383069,23073859,24818201,26386575,28830179,28432950,30764215,30591111,29575160,29799662,30965941,31737282,36285660,38425221,39908295,36138794,35707452,40003782,43882417,43124389,45808806,48561033,48973659
"55000","Wisconsin","3","SA40","91","...","  Personal dividend income",231738,249982,271663,280601,296357,303507,334675,377815,397072,414505,437704,456993,458684,472303,506156,565531,630981,627522,730516,829919,949393,1080944,1190125,1357553,1469533,1560734,1709843,1815257,2040662,2231974,2595440,3173481,3436443,3744588,4001011,4374677,5160608,5688872,6605592,7331729,7877969,7413989,8000325,7656116,8286843,8616223,10788373,10663578,13281619,14380511,14253672,10369026,10354265,12878088,15488184,15145811,17469119,18661534,17660837
"55000","Wisconsin","3","SA40","92","...","  Personal interest income",500255,545274,592390,626871,669745,718651,790592,895900,985987,1069974,1262388,1538920,1789637,1970131,2151974,2443540,2893278,3345287,3553833,4053754,4486738,5101450,6335340,7903947,8952157,9736181,10958212,11538496,11989668,11962350,12322858,13766533,14176812,13838688,14057179,14000940,14134590,15057412,15556090,16316911,17867046,17685107,19356768,19109224,17351426,17007585,15759799,16955639,19452434,20930509,21321232,20061798,18317218,18623149,19253699,18298617,18292453,19026822,19686146
"55000","Wisconsin","3","SA40","93","...","    Imputed interest receipts 1/",192612,212590,237709,259824,276799,295964,330071,361852,404331,447839,487343,591651,708814,796449,882859,961970,1132125,1464617,1511559,1673292,1864572,1926010,2291262,2626919,3225391,4100675,4324806,4949011,5391504,5726358,5885950,6282500,6592422,6833638,7363238,7714348,7874266,8416875,8584253,9243630,9471205,9703473,10318003,10028589,9939599,10054510,10155824,9975356,10726346,11159736,12030913,12382115,12068510,12160231,12201925,12204700,11965981,12617665,13131681
"55000","Wisconsin","3","SA40","94","...","    Monetary interest receipts",307643,332684,354681,367047,392946,422687,460521,534048,581656,622135,775045,947269,1080823,1173682,1269115,1481570,1761153,1880670,2042274,2380462,2622166,3175440,4044078,5277028,5726766,5635506,6633406,6589485,6598164,6235992,6436908,7484033,7584390,7005050,6693941,6286592,6260324,6640537,6971837,7073281,8395841,7981634,9038765,9080635,7411827,6953075,5603975,6980283,8726088,9770773,9290319,7679683,6248708,6462918,7051774,6093917,6326472,6409157,6554465
"55000","Wisconsin","3","SA40","95","...","  Rental income of persons 2/",329616,346677,358664,370221,378133,399069,399919,406985,419451,417260,411068,420767,460282,486788,496321,495784,475853,451967,411034,303680,338971,330817,388422,458237,469084,480778,499852,516550,445159,430575,500486,502654,585130,759960,1106724,1642710,2087871,2327575,2656519,2737935,3085164,3333854,3407122,3825771,3936891,4175854,4417769,4118065,3551607,3114201,4333391,5707970,7035969,8502545,9140534,9679961,10047234,10872677,11626676
"55000","Wisconsin","3","SA40","96","...","    Imputed rent",198792,217879,235796,248240,263574,271321,272804,278224,287801,297013,289062,299921,315817,337223,336004,320059,323911,301622,259400,158622,161486,132348,130763,125743,55617,30277,-11681,-62093,-139982,-135769,-38969,-25041,17732,88361,274323,626698,908814,1047318,1299289,1357830,1651459,1915130,2046407,2355010,2526333,2801764,2991399,2653527,2087141,1503093,2450106,3772226,4757675,5804017,6308489,6752996,6976187,7291414,7894594
"55000","Wisconsin","3","SA40","97","...","    Monetary rent",130824,128798,122868,121981,114559,127748,127115,128761,131650,120247,122006,120846,144465,149565,160317,175725,151942,150345,151634,145058,177485,198469,257659,332494,413467,450501,511533,578643,585141,566344,539455,527695,567398,671599,832401,1016012,1179057,1280257,1357230,1380105,1433705,1418724,1360715,1470761,1410558,1374090,1426370,1464538,1464466,1611108,1883285,1935744,2278294,2698528,2832045,2926965,3071047,3581263,3732082
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
