"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"02000","Alaska","8","SA45","10","...","Cash receipts from marketings (thousands of dollars)",4126,4890,4658,5155,5642,6708,9681,10442,11876,11911,12249,12098,14556,18077,24067,25348,25264,28290,29201,30384,28808,26698,26639,25735,29998,37925,37315,42799,48026,47818,49536,54055,51971,50318,31915,32810,34628,32949,33385,36997,37279,38564,38236,40902,37825,41482,40857,41716
"02000","Alaska","8","SA45","20","...","  Cash receipts: Livestock and products",3200,3381,3118,3252,3083,3827,4138,4665,4893,4805,4452,4505,5534,6828,7733,7303,8221,10465,10822,10096,9023,7467,6447,6036,14066,21246,18844,25424,29151,27874,28309,33240,29541,28336,7633,8016,8547,8418,7270,11872,12834,14156,14424,16880,14924,16305,16746,17030
"02000","Alaska","8","SA45","30","...","    Meat animals and other livestock",997,1024,837,742,771,902,994,1358,1467,1810,1555,1954,2374,3145,3300,3110,2786,2983,3283,4036,4356,4119,3780,3570,11668,18708,16443,22739,26259,25148,25638,30753,26761,24892,4419,5194,5977,6549,5446,9674,10706,11792,12099,14410,13071,14367,14854,15348
"02000","Alaska","8","SA45","31","...","      Cattle and calves",538,513,388,372,377,373,420,616,564,696,426,477,515,453,456,687,780,494,1057,1317,1475,992,622,640,661,121,1340,1828,2495,3307,1578,2064,1811,2406,1214,1793,2526,3090,2215,1967,2373,2882,3289,3667,2031,2933,3270,3786
"02000","Alaska","8","SA45","32","...","      Hogs and pigs",104,114,124,103,97,100,105,139,286,425,391,398,493,916,1166,629,226,369,69,56,"(L)",103,124,262,383,362,441,447,510,626,455,250,186,250,346,482,512,474,398,374,491,631,458,281,273,457,617,600
"02000","Alaska","8","SA45","33","...","      Sheep and other livestock",355,397,325,267,297,429,469,603,617,689,738,1079,1366,1776,1678,1794,1780,2120,2157,2663,2844,3024,3034,2668,10624,18225,14662,20464,23254,21215,23605,28439,24764,22236,2859,2919,2939,2985,2833,7333,7842,8279,8352,10462,10767,10977,10967,10962
"02000","Alaska","8","SA45","40","...","    Dairy products",1862,1994,1838,1963,2112,2449,2700,2725,2814,2463,2160,2118,2465,2791,2900,2778,4214,6141,6791,5969,4549,3254,2582,2391,2318,2465,2323,2608,2892,2726,2671,2487,2780,3444,3214,2822,2570,1869,1824,1392,1348,1610,1549,1296,660,723,682,701
"02000","Alaska","8","SA45","50","...","    Poultry and poultry products",341,363,443,547,200,476,444,582,612,532,737,433,695,892,1533,1415,1221,1341,748,91,118,94,85,75,80,73,78,77,0,0,0,0,0,0,0,0,0,0,0,806,780,754,776,1174,1193,1215,1210,981
"02000","Alaska","8","SA45","60","...","  Cash receipts: Crops",926,1509,1540,1903,2559,2881,5543,5777,6983,7106,7797,7593,9022,11249,16334,18045,17043,17825,18379,20288,19785,19231,20192,19699,15932,16679,18471,17375,18875,19944,21227,20815,22430,21982,24282,24794,26081,24531,26115,25125,24445,24408,23812,24022,22901,25177,24111,24686
"02000","Alaska","8","SA45","70","...","    Total grains","(L)","(L)","(L)",69,338,106,256,238,400,404,517,902,908,1091,1138,1646,567,395,509,594,753,346,757,380,517,615,1044,694,607,385,567,338,736,605,517,539,763,529,652,523,604,827,889,1067,772,954,959,968
"02000","Alaska","8","SA45","71","...","      Corn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","Alaska","8","SA45","72","...","      Oats","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",94,79,237,"(L)","(L)",67,63,107,50,114,"(L)",98,105,161,72,146,84,108,"(L)",134,115,70,69,118,55,118,"(L)","(L)",79,154,188,75,120,115,121
"02000","Alaska","8","SA45","73","...","      Sorghum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","Alaska","8","SA45","74","...","      Wheat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","Alaska","8","SA45","75","...","      Soybeans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","Alaska","8","SA45","76","...","      Other grains","(L)","(L)","(L)",54,298,87,225,217,364,364,496,886,869,997,1059,1409,557,373,442,531,646,296,643,362,419,510,883,622,461,301,459,325,602,490,447,470,645,474,534,493,569,748,735,879,697,834,844,847
"02000","Alaska","8","SA45","80","...","    Hay, silage, etc.",132,143,120,336,396,715,1794,1513,1391,1326,988,952,1876,1311,3960,2240,1860,1530,1705,2240,1275,1394,1715,1523,1869,2214,2376,1330,2831,2660,2457,1958,3150,2000,4268,4649,3960,3025,4698,3968,3754,3950,3755,4332,3590,4582,4078,4637
"02000","Alaska","8","SA45","100","...","    Vegetables",198,244,303,244,261,361,367,426,418,511,633,588,2148,2073,2392,2536,2220,2328,2288,2988,3020,2686,2476,2573,3102,2926,3591,3043,4100,3405,4360,4390,4162,4760,4742,4536,6203,5762,5610,5837,6064,6292,6519,6746,6599,6562,6114,6083
"02000","Alaska","8","SA45","110","...","    Fruits and nuts","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,213,260,231,387,387,387,387,387
"02000","Alaska","8","SA45","111","...","    Greenhouse, nursery and mushroom products",112,500,500,500,500,500,1800,2600,3802,4004,4506,3920,4020,6528,8533,11540,12049,13150,13248,13845,14458,14570,15080,15060,10135,10638,11140,12087,11099,13212,13478,13750,14020,14220,14330,14630,14630,14730,14630,13894,13158,12422,11686,10949,10958,12038,11925,11961
"02000","Alaska","8","SA45","112","...","    Forest and maple products","(L)",87,50,60,70,90,90,70,50,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02000","Alaska","8","SA45","113","...","    Tobacco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","Alaska","8","SA45","114","...","    Cotton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","Alaska","8","SA45","115","...","    Other crops",436,472,507,669,969,1084,1211,914,905,841,1128,1206,"(L)",246,311,83,347,422,629,621,279,235,164,163,309,286,320,221,238,282,365,379,362,397,425,440,525,485,525,702,652,657,732,541,595,654,648,650
"02000","Alaska","8","SA45","120","...","Other income",307,412,299,481,349,652,844,984,1070,1445,1482,1317,1861,2288,2061,2459,2943,3511,5004,4089,3665,3494,3199,3376,3434,2806,3138,2628,2717,2989,3741,3866,4785,5099,5845,9821,8633,7334,7485,11452,10071,14819,19411,22894,23931,20601,20501,24642
"02000","Alaska","8","SA45","130","...","  Government payments",123,84,117,197,75,59,84,151,127,192,270,194,352,411,240,181,309,791,2378,1760,1143,1117,1285,1694,1789,1348,1735,1258,1490,1404,1766,1672,2173,1831,2021,5720,5216,3383,4073,5013,5820,9598,11294,12358,12217,10043,11301,18058
"02000","Alaska","8","SA45","140","...","  Imputed and miscellaneous income received 1/",184,328,182,284,274,593,760,833,943,1253,1212,1123,1509,1877,1821,2278,2634,2720,2626,2329,2522,2377,1914,1682,1645,1458,1403,1370,1227,1585,1975,2194,2612,3268,3824,4101,3417,3951,3412,6439,4251,5221,8117,10536,11714,10558,9200,6584
"02000","Alaska","8","SA45","150","...","Production expenses",3751,3989,4083,4599,4882,6008,6797,7932,9350,9739,10698,13726,16483,18858,24877,26382,27012,25005,25363,24893,29050,24206,23793,23248,25706,31074,29762,33679,35576,37613,40111,40270,40527,39513,31272,33052,35283,36675,38149,61097,65641,63996,66960,65871,66834,71200,68485,72700
"02000","Alaska","8","SA45","160","...","  Feed purchased",809,859,787,768,1077,1457,1423,1470,1563,1665,1477,1525,2029,2293,2840,2112,2153,2941,2785,2463,2374,1775,1503,1581,1956,2312,1992,2325,2493,2572,2556,3292,3453,3784,2472,3269,3661,3953,4046,4871,4674,4715,5671,5107,5267,5377,4938,4982
"02000","Alaska","8","SA45","170","...","  Livestock purchased",246,204,212,199,188,163,179,484,453,569,402,766,705,507,534,569,707,540,386,343,369,94,137,314,338,331,680,1434,1291,1388,211,773,829,569,390,459,569,556,303,219,906,779,785,569,607,1136,1794,2450
