"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"08000","Colorado","7","SA45","10","...","Cash receipts from marketings (thousands of dollars)",1185918,1346832,1579798,1874179,2338003,2284442,2023171,2053257,2018373,2638504,3310561,3352675,3006073,3084177,3102054,3437679,3103485,3209788,3168006,3800264,4068845,4150305,3886710,4077297,4441657,4294979,4345177,4395881,4442377,4625314,4691473,5100912,5218531,5434357,5477003,5936567,5973366,6139635,6576278,6399593,5795538,6354427,7204459,7967196,7440806,8047218,7858794,6613723
"08000","Colorado","7","SA45","20","...","  Cash receipts: Livestock and products",970347,1065809,1301186,1543459,1770799,1542889,1412256,1499831,1544135,2087887,2515435,2316980,2142616,2204535,2152156,2326644,2159037,2257754,2262443,2643860,2675782,2958545,2767706,3024184,3206569,2988197,2857576,2983305,3081159,3083138,3325641,3741396,3837133,3997246,4252821,4562623,4457493,4475614,4565476,4213772,3638277,4086772,4498918,5128313,5285826,5823264,5817802,4598887
"08000","Colorado","7","SA45","30","...","    Meat animals and other livestock",898592,989843,1221705,1456195,1656910,1428679,1285648,1357032,1394670,1924483,2343096,2130147,1939538,1996670,1927185,2092014,1930194,2016512,2020359,2368932,2371256,2638983,2460059,2739052,2910049,2666830,2539630,2605602,2739333,2707450,2963454,3402590,3440021,3636560,3885274,4095564,3992520,4044883,3933690,3570223,3174691,3513343,3776100,4390029,4472480,4791987,4929773,3832830
"08000","Colorado","7","SA45","31","...","      Cattle and calves",825660,915669,1141850,1353723,1528150,1319867,1168273,1222603,1285696,1790389,2208632,1982770,1819668,1862578,1799778,1976948,1831034,1917647,1912404,2225878,2258075,2512522,2326030,2588342,2692984,2438389,2284114,2260071,2336332,2355800,2605634,2921157,3004537,3269561,3535737,3703593,3608926,3677205,3545944,3305245,2936987,3219923,3412938,4027595,4119927,4395962,4601454,3519452
"08000","Colorado","7","SA45","32","...","      Hogs and pigs",24937,24708,26392,38062,53297,41897,45499,44139,32529,47756,54856,64009,48445,68738,56566,51422,31347,40288,36638,35741,41245,56618,74269,81859,95174,103684,116552,194035,220135,206839,211950,329697,304986,234257,217597,240403,212851,203892,223850,192778,151114,215015,262705,243634,246692,289909,220617,206294
"08000","Colorado","7","SA45","33","...","      Sheep and other livestock",47995,49466,53463,64410,75463,66915,71876,90290,76445,86338,79608,83368,71425,65354,70841,63644,67813,58577,71317,107313,71936,69843,59760,68851,121891,124757,138964,151496,182866,144811,145870,151736,130498,132742,131940,151568,170743,163786,163896,72200,86590,78405,100457,118800,105861,106116,107702,107084
"08000","Colorado","7","SA45","40","...","    Dairy products",50513,53629,56397,59211,65527,76065,75426,85622,86666,96495,106723,116407,134286,138705,141793,136501,150272,155919,157224,160693,183434,188451,166156,189386,189286,214160,206240,245769,223100,259835,256576,223256,287712,250986,263128,343281,345382,326820,515889,533968,358912,456740,594200,593526,667812,857040,664830,651467
"08000","Colorado","7","SA45","50","...","    Poultry and poultry products",21242,22337,23084,28053,48362,38145,51182,57177,62799,66909,65616,70426,68792,69160,83178,98129,78571,85323,84860,114235,121092,131111,141491,95746,107234,107207,111706,131934,118726,115853,105611,115550,109400,109700,104419,123778,119591,103911,115897,109581,104674,116689,128618,144758,145534,174237,223199,114590
"08000","Colorado","7","SA45","60","...","  Cash receipts: Crops",215571,281023,278612,330720,567204,741553,610915,553426,474238,550617,795126,1035695,863457,879642,949898,1111035,944448,952034,905563,1156404,1393063,1191760,1119004,1053113,1235088,1306782,1487601,1412576,1361218,1542176,1365832,1359516,1381398,1437111,1224182,1373944,1515873,1664021,2010802,2185821,2157261,2267655,2705541,2838883,2154980,2223954,2040992,2014836
"08000","Colorado","7","SA45","70","...","    Total grains",74761,129045,120230,159387,313950,416717,315130,288920,214358,292067,485220,661156,527821,593783,617398,708499,612882,576072,493311,686775,840917,601802,626252,573113,605476,659721,851100,715599,641116,741074,678661,618895,552878,560514,531498,535338,559837,565301,929782,1083352,1094458,1286807,1539877,1707930,1116853,1169964,1000993,937063
"08000","Colorado","7","SA45","71","...","      Corn",22788,33461,36723,31223,72792,107170,120908,111874,97903,126968,176969,213179,170584,199599,178530,231492,203415,166970,148930,261273,342190,274249,262445,267456,236646,248047,321728,254583,284837,339867,301081,290411,277318,285782,244244,272946,281947,300259,360225,510533,494721,651909,872904,971003,656478,545669,497196,462283
"08000","Colorado","7","SA45","72","...","      Oats",809,1354,857,883,1259,1025,1340,1457,716,548,1674,1726,1614,1639,2238,2653,2084,1398,1857,3812,2806,1659,1037,950,1254,1006,1413,1812,1500,1116,847,1503,1657,816,539,914,1301,1301,1298,603,641,1360,2210,1912,2443,2096,1733,1263
"08000","Colorado","7","SA45","73","...","      Sorghum",5228,7497,7403,8235,14798,19940,14320,10347,8341,11852,22912,38507,16209,19359,19160,27797,24370,16752,15225,21038,25825,10977,19691,16920,11704,17563,16719,25324,16793,15197,14351,11901,14082,9601,7060,9599,6874,9254,17096,15750,12896,18799,26839,23962,20890,29244,46275,60729
"08000","Colorado","7","SA45","74","...","      Wheat",38566,75536,65608,106254,201400,268813,155125,139509,87664,128408,251323,365779,236935,311764,344965,381545,296946,303773,246807,314225,330229,202317,257362,216630,251992,309616,423577,338361,258203,299292,264384,207973,172734,184153,209669,169979,183741,176873,453263,415198,438754,484560,494230,567366,318676,490552,352005,300123
"08000","Colorado","7","SA45","75","...","      Soybeans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(L)",0,0,0,"(L)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08000","Colorado","7","SA45","76","...","      Other grains",7370,11197,9639,12792,23701,19769,23437,25733,19734,24291,32342,41965,102479,61422,72505,65012,86067,87179,80492,86427,139867,112600,85717,71157,103880,83489,87663,95519,79760,85602,97998,107107,87085,80162,69986,81900,85974,77614,97900,141268,147446,130179,143694,143687,118366,102403,103784,112665
"08000","Colorado","7","SA45","80","...","    Hay, silage, etc.",16954,24655,31889,36722,49240,50459,59919,60675,73593,61187,87516,75367,70534,90375,93071,103947,91570,106773,121861,168963,164412,165206,134685,129026,154947,168615,160189,182678,212947,242647,172638,170932,237521,212117,160404,185911,196146,355532,328417,367006,361702,266608,409794,441675,413639,404806,397683,295772
"08000","Colorado","7","SA45","100","...","    Vegetables",65260,36779,33458,40149,63641,71057,64266,73133,64905,70201,80547,100827,144011,110088,136388,180306,133638,142824,141831,149940,229279,228213,168743,155673,264790,248774,225055,225434,190231,237803,216895,271926,249729,272009,217958,220388,323657,295379,339441,352352,322181,328479,371653,316900,273384,285015,282802,392968
"08000","Colorado","7","SA45","110","...","    Fruits and nuts",7468,5973,8420,3275,13039,7903,11021,11036,10871,6807,12292,10526,15932,6499,10366,16154,18009,5290,14184,13062,9729,12222,12638,18835,22114,21805,20227,16554,13525,21233,7853,15776,18789,21133,22345,21797,23219,27688,28175,27412,26159,30315,29060,34946,19992,42826,31029,31874
"08000","Colorado","7","SA45","111","...","    Greenhouse, nursery and mushroom products",14365,22879,24755,26810,30671,33247,36040,43198,46184,49942,45498,49098,40033,41022,65505,71883,76735,79227,91450,84616,93872,79085,77851,85662,99215,115850,144818,169226,193290,187796,186256,188575,226240,261803,215937,319617,320178,329200,278770,269062,259354,249646,239938,230228,230289,223497,228460,248405
"08000","Colorado","7","SA45","112","...","    Forest and maple products",179,389,389,522,756,806,612,875,900,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"08000","Colorado","7","SA45","113","...","    Tobacco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08000","Colorado","7","SA45","114","...","    Cotton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08000","Colorado","7","SA45","115","...","    Other crops",36584,61303,59471,63855,95907,161364,123927,75589,63427,70413,84053,138721,65126,37875,27170,30246,11614,41848,42926,53048,54854,105232,98835,90804,88546,92017,86212,103085,110109,111623,103529,93412,96241,109535,76040,90893,92836,90921,106217,86637,93407,105800,115219,107204,100823,97846,100025,108754
"08000","Colorado","7","SA45","120","...","Other income",86226,87371,73112,94259,76676,49877,58173,60139,104682,115144,84888,71602,92677,318954,405379,334819,382045,445279,480213,463651,363500,399065,405471,359112,427022,345704,378483,402392,421860,603365,745266,632038,651162,641830,643829,561667,775456,674949,691129,716574,889824,763471,1134818,911220,1216122,1033380,812665,760217
"08000","Colorado","7","SA45","130","...","  Government payments",66492,68035,53180,70906,44053,12533,17994,22780,65404,80422,37296,18012,47597,68764,162368,153592,141826,234632,341991,280530,183442,236723,217102,203234,250253,176967,167661,176240,175637,260325,374202,351425,320050,210987,319910,221156,381975,244662,197443,261033,191814,271592,235371,215677,238985,285927,218644,233881
"08000","Colorado","7","SA45","140","...","  Imputed and miscellaneous income received 1/",19734,19336,19932,23353,32623,37344,40179,37359,39278,34722,47592,53590,45080,250190,243011,181227,240219,210647,138222,183121,180058,162342,188369,155878,176769,168737,210822,226152,246223,343040,371064,280613,331112,430843,323919,340511,393481,430287,493686,455541,698010,491879,899447,695543,977137,747453,594021,526336
"08000","Colorado","7","SA45","150","...","Production expenses",1102414,1231037,1421267,1656907,1865282,1731053,1619206,1806750,2024561,2699379,3256368,3337539,3053137,3375976,3410235,3401864,3287149,3181329,3339086,3701186,3667753,3889551,3733300,3770226,4047928,4166020,4376921,4389444,4625307,4531420,4630001,5111527,4852183,5247873,5383709,5697531,5874326,6279994,6624388,6435637,6649413,6470189,7255754,7442321,7676781,8322451,7941555,7172124
"08000","Colorado","7","SA45","160","...","  Feed purchased",180744,211326,251033,275219,379930,394054,324493,319409,322149,466452,537006,548550,491622,497587,547189,520991,433434,454868,436229,513793,489037,455456,408707,420347,461867,526960,664060,750298,761777,698695,606701,660633,579896,745105,734658,720509,670629,917349,1109666,1097279,1097279,1040693,1505684,1433606,1428646,1680296,1438567,1451266
"08000","Colorado","7","SA45","170","...","  Livestock purchased",466156,530165,665524,845412,852777,589941,484802,606479,730982,1020600,1267915,1150735,872937,987615,946024,950293,927520,927588,1169764,1375679,1309359,1503600,1470837,1576251,1666973,1397872,1349990,1230515,1271336,1240098,1389603,1701851,1615577,1662797,1824069,2213038,2047533,1920703,1778714,1472774,1556510,1608630,1803166,1885482,1988131,2201107,2530688,1622882
"08000","Colorado","7","SA45","180","...","  Seed purchased",11004,11006,11820,11792,17318,20609,22286,28915,32545,37352,40801,44758,47135,43244,36826,46540,43168,44165,45331,57007,62313,64602,73793,68051,72939,85854,82380,91036,100292,96389,107697,107946,106710,155154,146754,128511,162091,158642,136814,157234,173570,177654,196032,208544,268128,246941,170807,166811
"08000","Colorado","7","SA45","190","...","  Fertilizer and lime (incl. ag. chemicals 1978-fwd.)",27945,30289,33602,36999,44668,72338,84309,82953,72102,89755,84896,121216,111270,110604,97149,129250,112365,121416,111250,114614,125448,120494,123473,123690,139576,174009,182626,186246,209684,210480,204238,198533,177176,196053,175718,187154,226923,231257,285274,359963,330704,328964,410687,474666,450495,467574,438588,393622
"08000","Colorado","7","SA45","200","...","  Petroleum products purchased",28995,28952,28817,28333,31222,45436,60069,72999,80836,87367,104474,141745,150263,132015,125150,127601,114150,95348,89352,88554,87550,107136,104258,93467,91092,100526,100051,116515,123211,108368,109141,154371,141459,125792,135130,158323,196225,216436,262608,314680,250180,265168,338042,274228,301996,297643,205641,178389
"08000","Colorado","7","SA45","210","...","  Hired farm labor expenses 2/",94473,99197,96831,98719,120223,123387,129183,134013,148916,171682,187727,187045,183342,191934,193436,210927,219003,203198,214901,233238,252960,278205,270399,269934,306699,374738,421999,384562,447367,456316,467737,509000,515491,555351,518396,541397,553667,567849,658180,590319,655538,570993,530705,633761,699229,714226,555331,663390
