"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"22000","Louisiana","5","SA45","10","...","Cash receipts from marketings (thousands of dollars)",651915,700237,725193,834599,1172489,1351583,1162122,1375584,1282376,1493484,1712174,1642121,1672033,1690911,1781394,1680453,1432742,1383723,1611976,1802266,1873920,1894714,1570506,1946120,1946221,2120735,2119668,2360284,2250486,1932004,1810949,1870882,1837307,1781157,2115500,2310112,2244337,2275576,2918655,2885631,2779756,3122582,3540573,4001411,3966605,3960873,3350311,2835100
"22000","Louisiana","5","SA45","20","...","  Cash receipts: Livestock and products",284067,303132,294411,353084,441700,365454,342280,436625,439540,476644,574771,514019,491023,551913,541071,516378,542084,567350,554556,643206,645361,662614,653985,646197,761022,752725,685718,725832,687454,684793,678218,713200,786463,703845,763664,956100,989957,990114,1065542,964323,886229,938755,1002994,1070066,1114748,1307837,1255398,977339
"22000","Louisiana","5","SA45","30","...","    Meat animals and other livestock",160710,180637,170165,223890,277121,188410,154254,230908,234369,247019,309890,231888,197036,259484,246006,207132,264785,272968,280973,342611,295732,317494,330254,275927,330647,290662,257382,248265,273114,283722,287416,336714,349840,323319,346333,387187,422521,485054,492608,384353,371753,377605,428668,489094,430639,578585,597974,420536
"22000","Louisiana","5","SA45","31","...","      Cattle and calves",148677,169201,160336,208637,258794,172711,132657,209998,217136,228981,293082,203630,175781,218985,204355,166987,203813,198160,222809,291631,228795,235435,255872,196017,250140,206384,168331,139738,187377,205733,207970,253128,236476,211173,235722,277617,301520,275579,270803,254253,235900,239783,288508,334074,310867,429299,449405,272353
"22000","Louisiana","5","SA45","32","...","      Hogs and pigs",10636,10059,8397,13614,16361,13513,19490,18325,14536,15506,14056,14117,17313,19203,19247,16715,8194,8666,7941,7772,9314,10481,8040,8518,8986,8439,9853,12891,9370,5912,3068,3892,4644,2556,2886,3983,3398,2606,2371,2275,1312,1782,3488,970,1164,1415,994,804
"22000","Louisiana","5","SA45","33","...","      Sheep and other livestock",1397,1377,1432,1639,1966,2186,2107,2585,2697,2532,2752,14141,3942,21296,22404,23430,52778,66142,50223,43208,57623,71578,66342,71392,71521,75839,79198,95636,76367,72077,76378,79694,108720,109590,107725,105587,117603,206869,219434,127825,134541,136040,136672,154050,118608,147871,147575,147379
"22000","Louisiana","5","SA45","40","...","    Dairy products",69583,73475,76774,78952,85854,102843,106388,117308,114527,120331,132643,140559,146305,141445,137334,127002,126164,121380,123840,126490,135780,141680,121695,135360,128800,128310,122820,133326,111397,119556,113937,95354,99200,73840,66040,77220,66568,55584,68680,64377,37630,41400,49713,42728,44238,52400,34960,27722
"22000","Louisiana","5","SA45","50","...","    Poultry and poultry products",53774,49020,47472,50242,78725,74201,81638,88409,90644,109294,132238,141572,147682,150984,157731,182244,151135,173002,149743,174105,213849,203440,202036,234910,301575,333753,305516,344241,302943,281515,276865,281132,337423,306686,351291,491693,500868,449476,504254,515593,476846,519750,524613,538244,639871,676852,622464,529081
"22000","Louisiana","5","SA45","60","...","  Cash receipts: Crops",367848,397105,430782,481515,730789,986129,819842,938959,842836,1016840,1137403,1128102,1181010,1138998,1240323,1164075,890658,816373,1057420,1159060,1228559,1232100,916521,1299923,1185199,1368010,1433950,1634452,1563032,1247211,1132731,1157682,1050844,1077312,1351836,1354012,1254380,1285462,1853113,1921308,1893527,2183827,2537579,2931345,2851857,2653036,2094913,1857761
"22000","Louisiana","5","SA45","70","...","    Total grains",211878,223934,226489,261877,467933,557832,450075,586540,505656,663540,775631,743164,734542,668526,725054,629039,551192,392048,441592,605405,464913,533382,399071,510154,459875,444709,492775,745549,700422,512176,446817,402038,375356,432809,515668,627412,494452,507959,877687,1230136,1213093,1273346,1505732,1909618,1964880,1875080,1386779,1249744
