"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"25000","Massachusetts","1","SA45","10","...","Cash receipts from marketings (thousands of dollars)",159987,159852,157749,159822,187946,192175,209177,228008,233938,286059,299393,316664,358857,362416,376531,424094,398999,409624,395509,410516,420186,420553,456439,448938,440547,444103,434781,493130,498313,414680,379567,398329,376288,398993,396023,421087,412442,439406,487383,504566,424666,435471,464480,440946,405206,391455,374595,341555
"25000","Massachusetts","1","SA45","20","...","  Cash receipts: Livestock and products",91476,88262,85228,84976,101848,103828,109264,117873,115637,122008,136696,139449,144349,143105,145539,142596,136562,137795,130360,114479,119988,132406,129513,137911,131425,125234,107980,113788,109715,114049,109417,100067,108314,93932,92479,99183,96899,90206,122745,114366,105460,120484,129222,122400,124462,140111,124041,111217
"25000","Massachusetts","1","SA45","30","...","    Meat animals and other livestock",15113,14773,14922,17471,26006,21922,24573,27349,26050,30524,37179,34786,29390,26524,27839,28008,25827,30728,33488,25861,27503,37758,40816,41917,40745,37569,34773,31722,32416,28021,29122,35688,38748,34751,35134,35520,38788,39351,56408,50694,49442,54208,56070,55937,55895,59115,59935,53920
"25000","Massachusetts","1","SA45","31","...","      Cattle and calves",7970,8716,9129,10079,16518,11772,11487,14398,15934,16122,21322,21653,16208,9944,14931,13828,12202,16606,17401,12851,13430,14672,18367,16365,17651,15345,12716,10003,11534,8653,9800,12256,12133,10486,10351,11919,11951,12504,11008,9797,6443,7645,8825,14083,13878,16975,16288,10426
"25000","Massachusetts","1","SA45","32","...","      Hogs and pigs",5462,4693,4425,6219,8050,8553,10967,10710,7596,11234,12535,9656,9902,12766,7937,8161,7350,8197,8941,5709,5054,6450,5883,3662,3193,2677,2422,2819,2881,3662,2938,3642,4704,2232,2158,2333,2828,1415,1301,1626,839,1898,2362,2026,3487,2513,2735,2556
"25000","Massachusetts","1","SA45","33","...","      Sheep and other livestock",1681,1364,1368,1173,1438,1597,2119,2241,2520,3168,3322,3477,3280,3814,4971,6019,6275,5925,7146,7301,9019,16636,16566,21890,19901,19547,19635,18900,18001,15706,16384,19790,21911,22033,22625,21268,24009,25432,44099,39271,42160,44665,44883,39828,38530,39627,40912,40938
"25000","Massachusetts","1","SA45","40","...","    Dairy products",47704,47788,48248,47441,50582,58018,59884,65882,65882,67350,73833,79726,85989,89074,90852,83430,82679,76039,70532,62512,66757,70054,64842,74450,68069,66148,62624,70463,66146,73440,68145,52311,57539,47124,44608,50982,47355,39744,53130,50904,34892,43200,47960,43400,49704,60291,39990,36849
"25000","Massachusetts","1","SA45","50","...","    Poultry and poultry products",28659,25701,22058,20064,25260,23888,24807,24642,23705,24134,25684,24937,28970,27507,26848,31158,28056,31028,26340,26106,25728,24594,23855,21544,22611,21517,10583,11603,11153,12588,12150,12068,12027,12057,12737,12681,10756,11111,13207,12768,21126,23076,25192,23063,18863,20705,24116,20448
"25000","Massachusetts","1","SA45","60","...","  Cash receipts: Crops",68511,71590,72521,74846,86098,88347,99913,110135,118301,164051,162697,177215,214508,219311,230992,281498,262437,271829,265149,296037,300198,288147,326926,311027,309122,318869,326801,379342,388598,300631,270150,298262,267974,305061,303544,321904,315543,349200,364638,390200,319206,314987,335258,318546,280744,251344,250554,230338
"25000","Massachusetts","1","SA45","70","...","    Total grains","(L)","(L)","(L)","(L)",81,100,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25000","Massachusetts","1","SA45","71","...","      Corn","(L)","(L)","(L)","(L)",81,100,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25000","Massachusetts","1","SA45","72","...","      Oats",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25000","Massachusetts","1","SA45","73","...","      Sorghum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25000","Massachusetts","1","SA45","74","...","      Wheat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25000","Massachusetts","1","SA45","75","...","      Soybeans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25000","Massachusetts","1","SA45","76","...","      Other grains",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25000","Massachusetts","1","SA45","80","...","    Hay, silage, etc.",1137,1238,1650,1578,1893,2363,2524,2317,1967,2242,2463,2346,2503,2929,3464,3752,4579,6262,4984,4057,4994,5138,4772,5777,5443,5529,5680,5641,6179,7295,6978,7533,8016,7549,6555,6653,8756,8638,6284,7402,6865,6376,6887,8168,9684,7990,6826,7770
"25000","Massachusetts","1","SA45","100","...","    Vegetables",15807,17293,17960,17270,20950,20148,24946,23095,26380,27693,16532,17465,39334,27401,26990,29996,28880,37268,49078,48105,55559,62785,62831,42454,45174,50259,47737,60700,61893,61871,58703,57601,53234,53105,53605,60649,61689,64273,59179,34523,30134,34979,35357,37259,37473,34946,30843,19988
