"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"24000","Maryland","2","SA45","10","...","Cash receipts from marketings (thousands of dollars)",398541,410442,404191,431088,608544,667535,712785,703751,678250,816952,928179,936430,1072317,1069486,1109653,1282450,1214356,1221114,1172241,1274944,1377429,1421965,1394720,1388517,1438184,1417581,1466842,1640915,1643350,1570642,1526939,1480201,1585742,1412122,1363614,1628774,1598769,1564639,1818630,1998784,1698434,1842018,2023545,2243753,2403209,2425380,2207806,2073300
"24000","Maryland","2","SA45","20","...","  Cash receipts: Livestock and products",277787,279551,282322,297200,409708,399043,438753,458651,449704,553032,606902,658226,732165,740646,758513,859468,802169,841944,773801,810694,903015,883642,853099,846938,901553,878572,890005,951983,993937,986128,967965,868857,960420,804458,840645,1025362,1050091,1000569,1180057,1290928,991523,1102563,1208253,1289331,1454383,1549948,1441891,1279546
"24000","Maryland","2","SA45","30","...","    Meat animals and other livestock",53220,56273,57626,68824,96295,80621,90928,99152,82744,119873,133340,142687,145237,153331,154319,170447,165958,157606,175509,182378,194186,220176,217963,186184,236630,207005,186179,163752,212410,175777,171844,165328,147800,142986,138590,156098,187371,200418,181234,181200,159971,176535,190757,236458,205923,230673,225694,185129
"24000","Maryland","2","SA45","31","...","      Cattle and calves",37250,40965,40083,46835,63303,50513,52766,62779,47600,67086,75808,83942,70856,65577,81723,92261,89310,83874,85698,97595,108035,120861,121660,96555,123095,97175,90165,68231,110779,102154,101378,101677,89108,86070,119418,133589,146786,166743,148104,140530,116222,130704,138521,193048,161099,180463,177291,137216
"24000","Maryland","2","SA45","32","...","      Hogs and pigs",13696,12926,15072,19266,29991,26811,31873,29090,27890,33222,37538,38807,54316,67944,50042,57537,55934,47907,53725,43342,35419,50814,44205,48569,51093,47386,28234,27399,28517,12616,8643,7943,10746,8497,10870,13126,19326,14861,15174,16401,14922,19813,20476,15746,15766,17981,12173,10727
"24000","Maryland","2","SA45","33","...","      Sheep and other livestock",2274,2382,2471,2723,3001,3297,6289,7283,7254,19565,19994,19938,20065,19810,22554,20649,20714,25825,36086,41441,50732,48501,52098,41060,62442,62444,67780,68122,73114,61007,61823,55708,47946,48419,8302,9383,21259,18814,17956,24269,28827,26018,31760,27664,29058,32229,36230,37186
"24000","Maryland","2","SA45","40","...","    Dairy products",96426,100732,103540,104898,113927,133621,140746,157347,161648,171665,188859,205180,220792,219520,222880,212240,211041,207045,195714,185640,197635,203588,183040,200760,186260,181525,175560,199206,181608,208967,203250,181035,208008,170412,155477,188360,183870,151524,208800,194180,144565,182896,204906,187596,201685,245000,171776,163056
"24000","Maryland","2","SA45","50","...","    Poultry and poultry products",128141,122546,121156,123478,199486,184801,207079,202152,205312,261494,284703,310359,366136,367795,381314,476781,425170,477293,402578,442676,511194,459878,452096,459994,478663,490042,528266,589025,599919,601384,592871,522494,604612,491060,546578,680904,678850,648627,790023,915548,686987,743132,812590,865277,1046775,1074275,1044421,931361
"24000","Maryland","2","SA45","60","...","  Cash receipts: Crops",120754,130891,121869,133888,198836,268492,274032,245100,228546,263920,321277,278204,340152,328840,351140,422982,412187,379170,398440,464250,474414,538323,541621,541579,536631,539009,576837,688932,649413,584514,558974,611344,625322,607664,522969,603412,548678,564070,638573,707856,706911,739455,815292,954422,948826,875432,765915,793754
"24000","Maryland","2","SA45","70","...","    Total grains",52536,62465,51999,60965,120105,177620,172141,152823,124202,144595,193327,156402,204433,166004,164192,223554,181642,147950,118501,189201,204164,220007,189695,196597,177074,178972,200733,305177,253452,181610,153785,201464,208564,173604,189736,269571,209933,237959,297704,376548,387136,427283,490524,624080,629269,548022,433557,418572
"24000","Maryland","2","SA45","71","...","      Corn",34701,40419,25621,34330,63992,92091,103921,97111,67833,64776,101690,80332,115945,83850,67326,122433,92885,71995,45638,59421,72118,87676,66441,63786,49368,48277,61030,144132,95023,70472,56070,85637,94993,72315,88414,126920,93913,110551,138191,179888,181720,204968,238667,283285,277354,261556,214781,192722
"24000","Maryland","2","SA45","72","...","      Oats",59,122,230,211,415,368,331,386,309,244,287,481,435,289,271,349,179,109,201,638,1043,693,324,336,172,101,289,511,331,258,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24000","Maryland","2","SA45","73","...","      Sorghum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,1328,871,437,551,335,0,0,0,0,0,0,0,0,0,0,0
"24000","Maryland","2","SA45","74","...","      Wheat",3333,5350,4993,5001,9139,18641,11757,9543,8408,5772,11343,11997,17974,15815,15241,17937,17570,14657,16632,29823,31191,26234,23165,34902,29658,36174,55438,53558,43014,25243,24083,23560,27868,35264,17335,28048,26616,33635,56688,69089,52990,37947,57761,92444,95111,86525,62368,55328
"24000","Maryland","2","SA45","75","...","      Soybeans",12919,14739,19097,19585,43299,61773,52401,41038,44789,70596,76897,59605,62948,59326,74336,72553,62210,55024,49550,90297,92747,97475,92949,91551,91309,89575,76638,100123,109614,81439,69018,86938,81210,62310,80052,108465,85821,89011,96825,119809,145702,180035,188132,239283,245077,189885,150443,166865
"24000","Maryland","2","SA45","76","...","      Other grains",1524,1835,2058,1838,3260,4747,3731,4745,2863,3207,3110,3987,7131,6724,7018,10282,8798,6165,6480,9022,7065,7929,6816,6022,6567,4845,7338,6853,5470,4198,4420,4681,3165,2844,3498,5587,3248,4762,6000,7762,6724,4333,5964,9068,11727,10056,5965,3657
"24000","Maryland","2","SA45","80","...","    Hay, silage, etc.",1772,2039,2293,2673,2448,2980,3609,3971,4645,5547,4934,4939,5147,6104,7475,7947,9794,10240,14129,18388,18034,16505,13843,14414,13965,14733,15067,18894,20673,20328,19646,21563,21687,22465,22412,20595,25654,27084,21682,24126,21150,20558,28950,31195,28373,29338,27944,27656
"24000","Maryland","2","SA45","100","...","    Vegetables",19978,20385,19313,20350,24261,27554,33186,27334,28795,29141,31537,32008,37353,24347,35118,53282,54491,40334,56532,51864,49689,84400,92225,65314,62348,65668,70727,72892,73200,68667,77081,68232,61983,59761,66743,59827,71214,59664,73956,61420,59463,55889,61103,61341,55187,59339,54827,96703
