"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"97000","Rocky Mountain","7","SA45","10","...","Cash receipts from marketings (thousands of dollars)",3021011,3350225,3636887,4446148,5810972,5839333,5310350,5341856,5100898,6697140,8249732,8472360,8158034,8024718,8397111,8715612,7957010,7674535,8388575,9791990,10484012,10776363,10283014,10757814,11333207,11317054,11385742,11698315,11833718,11935008,12007986,12809953,13500691,13686044,13996922,15538083,15718305,15821136,17690900,18518583,16389395,18302770,21775148,23527057,23788136,26128483,23249687,20847238
"97000","Rocky Mountain","7","SA45","20","...","  Cash receipts: Livestock and products",2182204,2346836,2687895,3222837,3774237,3122769,3090198,3216657,3401711,4525071,5696844,5273887,5017632,4921876,4999394,5293512,5080153,4985333,5349465,6152758,6401493,6766198,6466664,6851847,7157614,6805259,6475840,6595089,7203243,7314384,7676968,8526591,9296489,9140924,9804038,10912358,10786591,10369274,11309940,10913412,9171579,10859741,12570920,13598022,14749010,17364530,15563583,13213386
"97000","Rocky Mountain","7","SA45","30","...","    Meat animals and other livestock",1938731,2084173,2416857,2933549,3397096,2734714,2672909,2757255,2930149,4001043,5108665,4609464,4269702,4157053,4204177,4512492,4281950,4187938,4575894,5309873,5472157,5774861,5549870,5890177,6159680,5708661,5330948,5193675,5890992,5735418,6113794,7089366,7453714,7498934,8065289,8658665,8489853,8258428,8062440,7576047,6841838,7793436,8706149,9729689,10604174,12207775,11408333,9404778
"97000","Rocky Mountain","7","SA45","31","...","      Cattle and calves",1714843,1869593,2212697,2682539,3066157,2439779,2380059,2451346,2648590,3663780,4749574,4242022,3903886,3759581,3835588,4143637,3928841,3827506,4188471,4880440,5075271,5379836,5160455,5467318,5660273,5200784,4762184,4498432,5091439,5012580,5404564,6173914,6568135,6695359,7205948,7704976,7521910,7349752,7125723,6764108,6085334,6907586,7591180,8587982,9564470,10984994,10461944,8518526
"97000","Rocky Mountain","7","SA45","32","...","      Hogs and pigs",62517,63772,61207,85296,118319,101822,105808,96987,80484,111220,112369,125115,131358,148008,119725,117138,85316,101192,101761,94354,104868,134188,144705,144821,169326,165568,185420,284739,338882,316570,324632,514012,516169,422674,438949,499410,483790,437014,473828,492649,420660,549066,686415,653074,648816,749308,530599,482516
"97000","Rocky Mountain","7","SA45","33","...","      Sheep and other livestock",161371,150808,142953,165714,212620,193113,187042,208922,201075,226043,246722,242327,234458,249464,248864,251717,267793,259240,285662,335079,292018,260837,244710,278038,330081,342309,383344,410504,460671,406268,384598,401440,369410,380901,420392,454279,484153,471662,462889,319290,335844,336784,428554,488633,390888,473473,415790,403736
"97000","Rocky Mountain","7","SA45","40","...","    Dairy products",176851,191967,203940,219373,253672,295646,307659,344683,353563,392553,456412,532015,611357,630829,645131,605876,636115,623608,613708,641104,711408,766102,683896,783788,793204,903808,945686,1173896,1100260,1372921,1365722,1221362,1626742,1411189,1511177,2016687,2074084,1890180,2976401,3036384,2060922,2733577,3508975,3470896,3733880,4664141,3459857,3403907
"97000","Rocky Mountain","7","SA45","50","...","    Poultry and poultry products",66622,70696,67098,69915,123469,92409,109630,114719,117999,131475,131767,132408,136573,133994,150086,175144,162088,173787,159863,201781,217928,225235,232898,177882,204730,192790,199206,227518,211991,206045,197452,215863,216033,230801,227572,237006,222654,220666,271099,300981,268819,332728,355796,397437,410956,492614,695393,404701
"97000","Rocky Mountain","7","SA45","60","...","  Cash receipts: Crops",838807,1003389,948992,1223311,2036735,2716564,2220152,2125199,1699187,2172069,2552888,3198473,3140402,3102842,3397717,3422100,2876857,2689202,3039110,3639232,4082519,4010165,3816350,3905967,4175593,4511795,4909902,5103226,4630475,4620624,4331018,4283362,4204202,4545120,4192884,4625725,4931714,5451862,6380960,7605171,7217816,7443029,9204228,9929035,9039126,8763953,7686104,7633852
"97000","Rocky Mountain","7","SA45","70","...","    Total grains",329355,481807,402349,631661,1086428,1440879,1235885,1100379,735536,1136563,1393840,1770256,1770408,1829185,1894569,1869992,1480458,1357156,1522590,1922077,2049319,1868200,1851058,1859969,1841380,2188668,2513595,2542230,2126410,2015016,1855994,1773166,1537576,1685894,1653369,1891113,2005557,2065433,2876579,3377728,3379111,3631468,4566752,5154153,4308517,4234199,3431130,3305879
