"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"96000","Southwest","6","SA45","10","...","Cash receipts from marketings (thousands of dollars)",5740597,6252828,6545204,7882160,12011662,10267945,10495686,11097824,10852399,14036940,18274223,16659429,15915837,14939101,15522223,16740503,14946101,15898035,17373244,18841604,20306539,21395737,21790149,20788157,22694995,22356592,22461803,21489766,23161645,22939475,23568332,25198062,25416310,24432032,29148394,32380798,32731409,31436083,35865284,36161572,31664980,37046335,42723281,41931752,41545368,45691988,43191079,38600765
"96000","Southwest","6","SA45","20","...","  Cash receipts: Livestock and products",3866432,4206880,4702044,5593900,7738044,5999977,6125768,6540065,6880863,9357972,11880446,10563366,9835844,10093725,9799099,10503205,9977092,10344581,11652758,12588710,12998416,14375637,14939595,14412097,15549252,14943946,14852948,13557171,15210662,15197367,16463472,18316290,18753800,16954192,21114327,23296365,23069107,22303246,24309814,24102222,21535611,24529310,31704340,29547023,30060493,34327934,32427252,26284666
"96000","Southwest","6","SA45","30","...","    Meat animals and other livestock",3269349,3596282,4094325,4960743,6880794,5103592,5182269,5481066,5807466,8149395,10516356,9061756,8180948,8454375,8110836,8726957,8243604,8469582,9801018,10583666,10622646,11839619,12585792,11841989,12745602,11884968,11776622,9978366,11788943,11415422,12645217,14639769,14513980,13251719,17091920,18056004,17955708,17675660,17941331,16995667,15893727,17711793,23840186,22107259,21676153,24656120,24453457,19150504
"96000","Southwest","6","SA45","31","...","      Cattle and calves",3016743,3352734,3837812,4641667,6473380,4761186,4773823,5097446,5429956,7712126,10052030,8643520,7735412,7983175,7650516,8239442,7763580,7956352,9203189,10006921,10061203,11283724,12055243,11295390,12130147,11140704,10961982,9091053,10800228,10588850,11843401,13578239,13430547,12320973,16047858,16737218,16494809,16354673,16589241,15654030,14582815,16263858,21905422,19972298,19539084,22424835,22506888,17258282
"96000","Southwest","6","SA45","32","...","      Hogs and pigs",141877,141466,162159,198041,250672,207069,241615,227165,208957,253443,241014,219985,240543,226320,196979,199907,170703,197231,230154,208569,198508,214978,210144,183414,228141,246675,356210,513191,634693,491868,475575,760864,784527,613259,678931,935064,983908,891165,901306,939732,834762,1020558,1400051,1544240,1547270,1626021,1389919,1300668
"96000","Southwest","6","SA45","33","...","      Sheep and other livestock",110729,102082,94354,121035,156742,135337,166831,156455,168553,183826,223312,198251,204993,244880,263341,287608,309321,315999,367675,368176,362935,340917,320405,363185,387314,497589,458430,374122,354022,334704,326241,300666,298906,317487,365131,383722,476991,429822,450784,401905,476150,427377,534713,590721,589799,605264,556650,591554
"96000","Southwest","6","SA45","40","...","    Dairy products",325642,339970,363056,378688,437014,513358,507827,587492,609115,670154,758414,873567,966216,1005910,1042630,1009342,1027822,1013127,1045107,1108951,1278935,1430767,1264298,1432829,1519974,1673162,1673712,1996099,1828181,2097959,2088031,1946215,2278360,1998817,2122016,2769170,2718649,2540242,3841935,3907581,2759656,3571395,4636704,4161883,4500197,5601722,3962170,3886795
"96000","Southwest","6","SA45","50","...","    Poultry and poultry products",271441,270628,244663,254469,420236,383027,435672,471507,464282,538423,605676,628043,688680,633440,645633,766906,705666,861872,806633,896093,1096835,1105251,1089505,1137279,1283676,1385816,1402614,1582706,1593538,1683986,1730224,1730306,1961460,1703656,1900391,2471191,2394750,2087344,2526548,3198974,2882228,3246122,3227450,3277881,3884143,4070092,4011625,3247367
"96000","Southwest","6","SA45","60","...","  Cash receipts: Crops",1874165,2045948,1843160,2288260,4273618,4267968,4369918,4557759,3971536,4678968,6393777,6096063,6079993,4845376,5723124,6237298,4969009,5553454,5720486,6252894,7308123,7020100,6850554,6376060,7145743,7412646,7608855,7932595,7950983,7742108,7104860,6881772,6662510,7477840,8034067,9084433,9662302,9132837,11555470,12059350,10129369,12517025,11018941,12384729,11484875,11364054,10763827,12316099
"96000","Southwest","6","SA45","70","...","    Total grains",859364,1022783,841978,1055885,2304588,2295686,2626187,2261545,1613023,1595243,3006259,2931132,2454833,1782984,2199036,2387712,1946122,2028351,1502049,2146618,2126237,1836809,1844840,2129450,2052163,2049730,2282663,2411557,2442346,1909072,1678732,1629947,1448682,1509440,1718635,2219162,1734590,1646375,2959690,4337426,3056271,3539186,2729238,4627772,3670522,3581898,3282700,2981182
"96000","Southwest","6","SA45","71","...","      Corn",32386,35778,49313,45364,115529,192782,271345,378438,297774,239102,341979,410047,292055,182733,323475,540123,300119,357828,228552,442078,431792,363634,464239,518748,512800,671966,791105,720673,675310,534141,510762,552239,382231,342406,475352,704984,444591,610899,860374,1402478,1204823,1437423,1036064,1704140,1428085,1561288,1260067,1331975
"96000","Southwest","6","SA45","72","...","      Oats",8791,10599,5374,5496,15885,7767,13580,12351,8596,4133,13307,13337,17140,11981,18705,9115,17569,8952,11083,11327,8389,9586,5519,5212,8297,7196,3733,5231,2626,2367,1655,1575,2965,8642,5990,5253,4198,2735,8837,11918,11245,14636,8504,14107,8858,13251,11903,14364
"96000","Southwest","6","SA45","73","...","      Sorghum",372660,404137,335321,442205,867673,830502,798305,628744,297342,368597,537062,654939,407843,327958,514858,531601,492807,474968,307047,541492,500940,364792,449630,464576,456287,381700,451414,547359,544405,264399,287489,330678,303644,332508,321389,366782,236367,219382,537319,623653,502970,521362,383607,661331,544850,648280,632658,476407
"96000","Southwest","6","SA45","74","...","      Wheat",217155,318474,204795,264237,839370,780364,1032741,778730,548854,527465,1513300,1271598,1288820,961993,1092655,1128370,893514,1032674,744544,965812,919891,846708,699203,865330,840426,769980,774039,804527,900799,826340,665490,563956,596087,673846,735492,880196,812938,597305,1343806,1981282,940894,1128128,890355,1869745,1252428,937777,1029451,813192
"96000","Southwest","6","SA45","75","...","      Soybeans",22879,24868,17678,27273,54435,75548,64297,79031,107162,144720,156253,127521,108243,110960,120120,79466,56676,51313,46799,69854,83586,72689,54742,88897,64105,70836,80333,92688,119028,93411,59104,63779,50482,61652,72755,91967,92660,67037,57474,97170,134922,168218,140229,75607,127283,143568,115322,148604
"96000","Southwest","6","SA45","76","...","      Other grains",205493,228927,229497,271310,411696,408723,445919,384251,353295,311226,444358,453690,340732,187359,129223,99037,185437,102616,164024,116055,181639,179400,171507,186687,170248,148052,182039,241079,200178,188414,154232,117720,113273,90386,107657,169980,143836,149017,151880,220925,261417,269419,270479,302842,309018,277734,233299,196640
"96000","Southwest","6","SA45","80","...","    Hay, silage, etc.",77487,89328,103835,107194,153871,190299,187679,210790,183374,225279,246127,256779,295975,283975,370522,423062,395932,335817,392673,439685,460106,454393,334445,366241,399514,437205,403169,539360,581097,468395,532869,669584,724257,890352,818287,807845,797041,975449,1459281,907817,738196,760895,767764,939539,974993,1117790,858519,911358
"96000","Southwest","6","SA45","100","...","    Vegetables",283883,241060,281190,282631,370729,342815,410225,383294,453217,536162,508306,534139,704225,744934,679243,779931,692548,742828,812778,960873,862760,733960,914870,850124,1019255,913182,1365063,1095207,1164035,1409609,1234669,1410978,1361383,1629215,1432519,1565020,1631573,1400223,1683259,1362041,1398542,1680083,1760512,1425920,1799256,1374299,1742685,2259207
"96000","Southwest","6","SA45","110","...","    Fruits and nuts",69657,80113,75963,121733,113619,113502,127155,110703,162494,176124,204369,145407,255495,206097,195371,175481,248185,194973,203301,221217,237735,291070,311487,322012,253768,251585,307586,203777,258792,254078,364119,258266,240452,232666,280775,376150,482568,387290,436041,325494,428608,684390,517406,420836,515381,620289,644114,761618
"96000","Southwest","6","SA45","111","...","    Greenhouse, nursery and mushroom products",37093,34604,35708,36914,46528,53247,57041,124250,151730,189854,226007,244069,297329,360042,439910,526262,560781,696907,775173,780599,843563,930900,940947,1013951,1005679,1018704,1091101,1150184,1326169,1428673,1390161,1347630,1504751,1646650,1736965,1906686,2224689,2084814,2156590,2107469,2058348,2009227,1960106,1910979,1925675,1750277,1741131,1802336
"96000","Southwest","6","SA45","112","...","    Forest and maple products",10614,13834,16231,19752,29634,34484,33551,41970,48916,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"96000","Southwest","6","SA45","113","...","    Tobacco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96000","Southwest","6","SA45","114","...","    Cotton",503206,526308,454534,629468,1198366,1142938,791464,1350794,1274613,1852344,2125943,1885020,1816978,1241264,1641626,1728709,903880,1322947,1791084,1457526,2507100,2310111,2126650,1288726,2055728,2354418,1808305,2180263,1794981,1861669,1491151,1153517,905702,1159213,1548804,1710609,2261572,2182173,2306927,2513662,1958603,3389660,2746444,2549626,2067335,2420954,1996372,3090249
"96000","Southwest","6","SA45","115","...","    Other crops",32861,37918,33721,34683,56283,94997,136616,74413,84169,103962,76766,99517,255158,226080,197416,216141,221561,231631,243428,246376,270622,462857,377315,405556,359636,387822,350968,352247,383563,410612,413159,411850,477283,410304,498082,498961,530269,456513,553682,505441,490801,453584,537471,510057,531713,498547,498306,510149
"96000","Southwest","6","SA45","120","...","Other income",848783,897384,807519,897951,716035,312699,405008,385806,478030,737696,694377,589017,796781,1775125,2519719,2056630,2284558,2559004,2813774,2531580,2690572,2317340,2142919,2525028,2947743,2204938,2089443,2420658,2347534,3209643,4638326,3852011,4395468,3447460,4768644,3981529,4554934,4358288,4060673,4243090,4437727,2976582,6858346,6011440,8007948,7672050,6596827,4328405
"96000","Southwest","6","SA45","130","...","  Government payments",709959,756148,660485,739483,525849,113500,182438,159852,261950,459820,379188,292699,477660,862711,1641994,1259388,1237489,1526762,1994628,1592994,1633311,1400931,1167787,1546208,1935099,1203299,872371,1117548,939617,1445873,2694375,2297480,2600661,1734294,2336389,1485754,2652168,1942510,1756634,1667930,1829020,1498446,1405379,1281580,1645261,2461403,1602968,1471980
"96000","Southwest","6","SA45","140","...","  Imputed and miscellaneous income received 1/",138824,141236,147034,158468,190186,199199,222570,225954,216080,277876,315189,296318,319121,912414,877725,797242,1047069,1032242,819146,938586,1057261,916409,975132,978820,1012644,1001639,1217072,1303110,1407917,1763770,1943951,1554531,1794807,1713166,2432255,2495775,1902766,2415778,2304039,2575160,2608707,1478136,5452967,4729860,6362687,5210647,4993859,2856425
"96000","Southwest","6","SA45","150","...","Production expenses",5476506,5639102,6136961,7359740,9583876,8752819,8828774,9855863,10776854,13090213,16127331,15721534,15865252,16087847,15838927,16662069,16049271,15494835,16987553,17829575,17921964,19146121,19740478,18560851,19682585,19800930,21125092,20259885,21944624,21241629,22410839,23724730,24219933,22284904,26245850,27981573,29611544,30648063,36234025,37342520,36006338,35827832,40502274,40889279,41697142,46290086,41889648,39954788
"96000","Southwest","6","SA45","160","...","  Feed purchased",864472,984057,1079141,1226425,2035674,1946573,1637404,1862898,1879571,2312163,3012243,3253428,3092380,2340770,2495326,2277008,1997045,2090039,2133680,2477212,2524556,2506653,2364698,2254523,2292087,2532123,3097735,3123881,2953215,2798103,2581217,2605623,2663430,2104424,3315471,4027345,3679917,4416745,6512065,6324809,6997970,5998828,7667723,7754775,8767962,8503299,6856208,6916729
"96000","Southwest","6","SA45","170","...","  Livestock purchased",1536856,1483383,1831660,2587167,3353368,2059009,2019319,2240977,2540602,3675022,4718685,3378091,2995684,3459685,2891272,3549562,3350330,3548440,4451851,4698017,4616264,5441943,5690706,5187521,5592903,5039968,4684839,3516204,4859413,4462162,5363080,6482414,6572182,6285055,7923955,8564491,8484281,8138060,8235937,8272701,7406851,8026304,9744064,9575087,9925990,11775513,10939849,8163407
