"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"12000","Florida","5","SA4","10","...","Personal income (thousands of dollars)",749494,687690,592370,482112,448159,551596,610473,748592,838862,825084,920847,1017727,1285775,1832862,2639713,2934732,3055164,2970083,3037915,3185440,3315822,3785477,4287519,4850615,5407556,5696503,6514925,7551094,8355898,9080435,10006318,10479655,11106051,11986123,12880384,14111984,15452114,16977969,18785941,21611770,25165121,28474028,31975467,36785616,42791356,48155185,52615177,57334261,64182990,74169866,85170098,100174719,115826766,125266195,139241897,154951730,170340970,184230468,199396960,218709966,244145082,260093568,270301132,286472913,304269718,320445032,344347697,366382132,388030818,419558498,441185618,477315998,503630546,522698930,546581820,593212601,647093731,703750490,730814302,734691254,691355724,728063852,773315948,793103892,798885890,856491910,919957986,947207472
"12000","Florida","5","SA4","11","...","  Nonfarm personal income 1/",687569,621436,535800,439780,413814,499868,552576,687569,759640,766885,848441,956524,1195773,1705070,2393739,2673420,2769160,2667358,2807098,3012044,3067039,3511054,3994269,4576270,5120141,5423013,6172694,7193227,8012117,8713103,9566784,10101040,10668734,11535182,12447194,13622948,14990161,16507081,18277211,21091468,24539487,27938834,31349143,36060697,41972009,47267643,51642184,56331060,63184355,72971931,83896501,98543570,114461808,123514753,136801150,153153720,168537496,182288860,197298276,216060828,241705994,258059986,267894282,284058918,301790124,318339081,342194455,364484680,385922028,416969336,438519072,474776290,501121611,520257444,544466260,591017788,644467970,701186088,728664198,732538333,689136931,725563187,771240189,790644533,796373926,853994221,916773249,944902875
"12000","Florida","5","SA4","12","...","  Farm income 2/",61925,66254,56570,42332,34345,51728,57897,61023,79222,58199,72406,61203,90002,127792,245974,261312,286004,302725,230817,173396,248783,274423,293250,274345,287415,273490,342231,357867,343781,367332,439534,378615,437317,450941,433190,489036,461953,470888,508730,520302,625634,535194,626324,724919,819347,887542,972993,1003201,998635,1197935,1273597,1631149,1364958,1751442,2440747,1798010,1803474,1941608,2098684,2649138,2439088,2033582,2406850,2413995,2479594,2105951,2153242,1897452,2108790,2589162,2666546,2539708,2508935,2441486,2115560,2194813,2625761,2564402,2150104,2152921,2218793,2500665,2075759,2459359,2511964,2497689,3184737,2304597
"12000","Florida","5","SA4","20","...","Population (persons) 3/",1445000,1471000,1493000,1521000,1552000,1585000,1613000,1651000,1709000,1771000,1836000,1915000,2028000,2190000,2497000,2542000,2515000,2473000,2539000,2578000,2668000,2810000,2980000,3157000,3310000,3505000,3747000,4047000,4372000,4630000,4808000,5004000,5243000,5458000,5628000,5781000,5954000,6104000,6242000,6433000,6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18849098,19096952,19344156,19582022,19888741,20244914,20612439
"12000","Florida","5","SA4","30","...","Per capita personal income (dollars) 4/",519,467,397,317,289,348,378,453,491,466,502,531,634,837,1057,1154,1215,1201,1197,1236,1243,1347,1439,1536,1634,1625,1739,1866,1911,1961,2081,2094,2118,2196,2289,2441,2595,2781,3010,3360,3789,4160,4464,4891,5398,5790,6160,6594,7221,8122,8993,10181,11364,11963,12953,14036,15007,15790,16620,17772,19319,19956,20217,20986,21847,22504,23686,24667,25551,27092,27995,29744,30790,31319,32144,34063,36268,38738,39788,39655,37065,38626,40494,41000,40797,43064,45441,45953
"12000","Florida","5","SA4","35","...","  Earnings by place of work",562998,530130,444579,355120,335548,430621,476809,558098,635500,619815,684305,766974,1037402,1578577,2372484,2653692,2762185,2553067,2519615,2579143,2705622,3010244,3512015,3989880,4367253,4560545,5165423,5936185,6556747,7008903,7765604,8064201,8417645,9058004,9720793,10715113,11668849,12931975,14175697,16108580,18571310,20549525,22838063,26476654,30954321,34011267,35574722,38691209,43250401,50104637,57248767,65762310,73740068,78925415,87866576,97869689,107387732,116942627,128672626,141799019,151590391,161317329,168255008,180351996,192690883,203472107,216677074,230931721,244858356,267543200,287807122,313054047,332995338,349867685,367535156,393124963,426273523,453640416,459628763,448810561,424138129,437064465,447731548,465347164,479490070,507928140,541836991,564243047
"12000","Florida","5","SA4","36","...","  Less: Contributions for government social insurance 5/",694,664,590,596,478,495,510,536,11817,12984,13984,14954,20170,32424,64597,87459,127365,126458,90175,56613,58884,62993,76417,85194,91040,114977,134771,155808,194708,216508,282086,328968,343813,389018,448924,481316,515884,679824,809431,965677,1132486,1272457,1473193,1797755,2422176,2782052,2860146,3169655,3572233,4251409,5112218,5908692,7183121,7887175,8777683,10140896,11348096,12681145,13789158,15631167,16945032,17936124,18806435,20071158,21337109,22866726,24234830,25570521,27135374,29131794,30997097,33264575,35634392,37216458,39224724,42620986,46502811,50378131,51855288,51676321,49954188,50711873,46711517,48836787,56781772,59866944,63136032,66148323
"12000","Florida","5","SA4","37","...","    Employee and self-employed contributions for government social insurance",599,581,529,497,427,444,444,509,3724,3332,3767,4200,6169,13757,40186,54493,62038,29784,26931,23249,21766,30102,36778,41457,45332,57059,67728,76376,96448,107304,131239,158934,162770,176185,213254,232345,250895,344943,422407,500360,578873,651373,752739,906316,1219268,1410729,1444014,1560931,1759380,2082473,2515560,2941120,3602512,3993668,4399228,4991727,5763602,6487356,7086228,8096745,8933764,9386288,9897115,10556789,11275752,12142419,12966706,13625564,14450352,15508721,16547666,17691033,18938962,19864575,20893311,22654956,24859591,26865667,27955670,28053229,27257272,27621355,22559928,23344256,30735001,32665004,34828988,36876100
"12000","Florida","5","SA4","38","...","    Employer contributions for government social insurance",95,83,61,99,51,51,66,27,8093,9652,10217,10754,14001,18667,24411,32966,65327,96674,63244,33364,37118,32891,39639,43737,45708,57918,67043,79432,98260,109204,150847,170034,181043,212833,235670,248971,264989,334881,387024,465317,553613,621084,720454,891439,1202908,1371323,1416132,1608724,1812853,2168936,2596658,2967572,3580609,3893507,4378455,5149169,5584494,6193789,6702930,7534422,8011268,8549836,8909320,9514369,10061357,10724307,11268124,11944957,12685022,13623073,14449431,15573542,16695430,17351883,18331413,19966030,21643220,23512464,23899618,23623092,22696916,23090518,24151589,25492531,26046771,27201940,28307044,29272223
"12000","Florida","5","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-44,93,332,278,49,-88,-350,-665,-1880,-3042,-1473,-1554,-1344,-1277,-1178,-1308,-1452,-1391,-1770,-2961,-4769,-25014,-23173,-17240,-14270,-12380,-3017,-11146,7886,19060,22011,17642,12242,117160,140807,166698,208175,253988,317314,378345,454338,534538,633173,677365,743848,793954,854676,922307,995219,1095708,1222367,1354556,1517928,1589481,874439,788059,1108436,2042445,3106925,3064262,2827274,2704380,2816434,3054408,3151620,3178428,3240368,3323253,3395087
