"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"13000","Georgia","5","SA4","10","...","Personal income (thousands of dollars)",995413,881556,741667,578546,595313,714949,789623,893459,947972,891441,961081,1053207,1376240,1904455,2430791,2692792,2775721,2792797,2931390,3258984,3279292,3772678,4395508,4753832,4888897,4886104,5385323,5767024,5977944,6235156,6643742,6948546,7250291,7793948,8474340,9180245,10132571,11174136,12140274,13400376,14943824,16272040,17970425,20160391,22772857,24985794,27002936,29996838,33159873,37625620,42114161,46930712,53090574,57498742,63100546,71482946,78389015,85539433,92052320,100335299,108165689,115537974,121117611,131312440,139467777,150306669,162222883,175284284,186659726,204789162,218400986,236451759,248516259,254655443,264265063,279349989,296929387,317384082,332074930,335573645,330586251,336504092,359778107,365480928,371155912,394706562,418382680,434677178
"13000","Georgia","5","SA4","11","...","  Nonfarm personal income 1/",798016,741054,650758,515815,500927,589860,635604,744596,779417,750201,823757,907881,1226404,1656902,2121619,2378059,2429831,2437879,2551338,2882591,2977689,3421135,3940598,4376539,4493392,4643676,5056311,5489906,5718836,5874729,6334526,6624157,6904871,7483543,8076910,8848560,9757799,10787313,11757062,13060081,14526733,15876774,17516914,19692462,21989096,24318122,26371706,29375886,32804044,37067173,41526615,46900140,52577248,56824085,62632552,70535696,77611280,84720929,91168253,99194779,106821486,114291079,119566308,129684649,138008653,148382985,160476097,173444958,184865588,203006090,216471086,234622312,246319609,253030763,262225212,277200029,294473396,315828417,330252800,333427190,328791093,334953514,358362307,362862371,368246367,392384073,415943291,432881144
"13000","Georgia","5","SA4","12","...","  Farm income 2/",197397,140502,90909,62731,94386,125089,154019,148863,168555,141240,137324,145326,149836,247553,309172,314733,345890,354918,380052,376393,301603,351543,454910,377293,395505,242428,329012,277118,259108,360427,309216,324389,345420,310405,397430,331685,374772,386823,383212,340295,417091,395266,453511,467929,783761,667672,631230,620952,355829,558447,587546,30572,513326,674657,467994,947250,777735,818504,884067,1140520,1344203,1246895,1551303,1627791,1459124,1923684,1746786,1839326,1794138,1783072,1929900,1829447,2196650,1624680,2039851,2149960,2455991,1555665,1822130,2146455,1795158,1550578,1415800,2618557,2909545,2322489,2439389,1796034
"13000","Georgia","5","SA4","20","...","Population (persons) 3/",2903000,2910000,2924000,2935000,2950000,2964000,2955000,2978000,3037000,3091000,3120000,3119000,3186000,3215000,3245000,3161000,3089000,3251000,3271000,3259000,3325000,3458000,3531000,3584000,3558000,3602000,3636000,3701000,3766000,3804000,3868000,3956000,4015000,4086000,4172000,4258000,4332000,4379000,4408000,4482000,4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9713521,9811610,9914668,9984938,10087231,10199398,10310371
"13000","Georgia","5","SA4","30","...","Per capita personal income (dollars) 4/",343,303,254,197,202,241,267,300,312,288,308,338,432,592,749,852,899,859,896,1000,986,1091,1245,1326,1374,1356,1481,1558,1587,1639,1718,1756,1806,1907,2031,2156,2339,2552,2754,2990,3284,3533,3815,4194,4641,5002,5338,5852,6362,7118,7812,8554,9534,10177,11016,12251,13147,14058,14827,15886,16872,17741,18205,19262,19986,21001,22136,23368,24289,26043,27144,28740,29666,29930,30647,31856,33266,34665,35516,35306,34361,34643,36669,36863,37172,39129,41020,42159
"13000","Georgia","5","SA4","35","...","  Earnings by place of work",853291,744180,599657,463086,491970,605421,675632,740904,826312,771804,831487,919804,1230296,1730823,2259249,2514658,2563733,2472442,2546693,2811543,2798459,3173410,3826027,4151161,4262528,4203700,4656980,4977587,5142151,5339264,5694979,5936790,6121385,6602081,7208631,7804237,8605814,9615679,10422653,11566851,12921130,13752289,15081837,17000177,19291594,20732959,21679648,24476629,27333299,31177868,34858201,37836951,42206162,45166894,49595297,56815835,62656458,68872371,74584737,81322176,86049656,91538137,95231119,103849775,110312577,118431847,127320020,137553527,146996220,163152824,176989506,190767801,199605971,203362889,210974434,224043214,235533878,248870390,255094914,252936994,247559884,249856253,258632839,265395833,274116118,289384713,306705949,321746556
"13000","Georgia","5","SA4","36","...","  Less: Contributions for government social insurance 5/",1030,986,887,921,745,783,760,754,17771,19928,18662,20637,27017,36184,56313,69979,89907,110339,84070,64299,70669,78638,92758,100091,104018,125264,142579,158266,180232,186498,224154,261748,265865,297632,349167,376556,407707,545659,625950,683673,786208,836767,951796,1128030,1445429,1627734,1679651,1946065,2190434,2552145,2974315,3301653,3919002,4271825,4793019,5611385,6360875,7085215,7617309,8521387,9070310,9696380,10179091,10959588,11712219,12670249,13606615,14539015,15462818,16839394,18150928,19382425,20150584,20550483,21156834,23010020,23996016,25479983,26201238,27305908,26545322,27029325,24853262,25742059,30166388,31708429,33553625,35112314
"13000","Georgia","5","SA4","37","...","    Employee and self-employed contributions for government social insurance",845,824,771,736,652,690,644,708,4866,4457,4993,5553,7463,13276,28944,35659,34506,25261,25995,25255,24822,34308,41523,44724,46509,55977,64104,70957,83199,86176,101982,122263,125288,136742,163168,178097,193168,266972,312524,335665,404840,431719,488937,572973,737003,833487,856391,963059,1076514,1248198,1464292,1646161,1975230,2172413,2412848,2777067,3232343,3615049,3903839,4379539,4710090,5019455,5293953,5692562,6119163,6645423,7178758,7651548,8134968,8831067,9548188,10174884,10556128,10818260,11139870,11804821,12437314,13334264,13835677,14429023,14036483,14271863,11581512,11985195,15949941,16838592,17922225,18928098
"13000","Georgia","5","SA4","38","...","    Employer contributions for government social insurance",185,162,116,185,93,93,116,46,12905,15471,13669,15084,19554,22908,27369,34320,55401,85078,58075,39044,45847,44330,51235,55367,57509,69287,78475,87309,97033,100322,122172,139485,140577,160890,185999,198459,214539,278687,313426,348008,381368,405048,462859,555057,708426,794247,823260,983006,1113920,1303947,1510023,1655492,1943772,2099412,2380171,2834318,3128532,3470166,3713470,4141848,4360220,4676925,4885138,5267026,5593056,6024826,6427857,6887467,7327850,8008327,8602740,9207541,9594456,9732223,10016964,11205199,11558702,12145719,12365561,12876885,12508839,12757462,13271750,13756864,14216447,14869837,15631400,16184216
"13000","Georgia","5","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",19317,19654,19507,19199,17599,18214,14718,11705,9493,6964,-11945,-13880,-15456,-16748,-20846,-25085,-29880,-36071,-45374,-54314,-64170,-96402,-85785,-82102,-73692,-71014,-70384,-58171,-88808,-105291,-86578,-97742,-105476,-36222,-76889,-119585,-154681,-168228,-216532,-226212,-228312,-192159,-112889,-131756,-178474,-182084,-237477,-341260,-375716,-449194,-586903,-602115,-734871,-785171,-1277984,-1181061,-1080570,-1246898,-1062322,-627025,-912754,-842945,-812753,-970177,-1106765,-1310119,-1379665,-1298284,-1477198
"13000","Georgia","5","SA4","45","...","  Equals: Net earnings by place of residence",852261,743194,598770,462165,491225,604638,674872,740150,808541,751876,812825,899167,1203279,1694639,2202936,2444679,2473826,2362103,2462623,2766561,2747444,3114279,3752468,4068669,4176724,4093154,4526106,4828814,4968883,5140821,5456945,5659586,5838772,6283603,6834379,7397801,8162036,9024646,9742389,10819008,12038520,12829737,14047939,15798455,17775151,19034841,19941826,22441756,25037574,28539145,31786144,34429822,38250938,40818180,44682693,51049769,56127355,61570624,66741216,72572477,76787187,81728868,84920272,92711713,98418274,105524121,113372145,122638796,131084208,145726527,158236463,170650505,178670216,181534422,188636539,199952624,210290964,222328085,228266651,224718332,220171617,222014175,232809400,238547009,242639611,256296619,271854040,285157044
"13000","Georgia","5","SA4","46","...","  Plus: Dividends, interest, and rent 7/",130283,123678,108743,92508,83608,87031,94113,112052,117986,116473,122546,125135,143118,177303,195498,204758,214494,249514,271722,307597,327097,390711,417979,461633,485961,541618,584650,646909,674554,715666,786244,871488,938366,1022423,1118039,1235306,1370016,1493639,1616960,1651390,1842546,2143006,2376268,2621433,2987259,3439559,3733973,3993478,4427996,5073058,5756992,7020017,8596612,9863685,11019989,12532455,13790030,14942787,15844075,17544678,20024354,21178440,21571583,22277511,23589320,25959969,28507205,30990549,33417724,36401344,36256044,39877582,41347915,40882807,42785918,44002680,48083245,53626667,59201724,59449520,53919183,52601502,62079497,62623255,61827896,68463776,73217899,73959329
"13000","Georgia","5","SA4","47","...","  Plus: Personal current transfer receipts",12869,14684,34154,23873,20480,23280,20638,41257,21445,23092,25710,28905,29843,32513,32357,43355,87401,181180,197045,184826,204751,267688,225061,223530,226212,251332,274567,291301,334507,378669,400553,417472,473153,487922,521922,547138,600519,655851,780925,929978,1062758,1299297,1546218,1740503,2010447,2511394,3327137,3561604,3694303,4013417,4571025,5480873,6243024,6816877,7397864,7900722,8471630,9026022,9467029,10218144,11354148,12630666,14625756,16323216,17460183,18822579,20343533,21654939,22157794,22661291,23908479,25923672,28498128,32238214,32842606,35394685,38555178,41429330,44606555,51405793,56495451,61888415,64889210,64310664,66688405,69946167,73310741,75560805
"13000","Georgia","5","SA4","50","...","  Wages and salaries",562978,526547,447068,359599,362396,425611,457840,513002,562440,532462,586799,638649,860331,1184686,1621007,1846632,1829103,1655927,1754524,1940387,1975745,2227717,2660815,2969948,3068800,3123083,3408850,3717787,3845541,3943449,4273047,4489783,4613895,5037203,5464634,5990038,6603420,7408804,8085568,9051066,10179697,10894638,11831653,13265573,14956575,16269612,16833181,18910497,21133599,23908834,26738197,29713193,32985666,35318034,38655395,43820026,48422545,52995360,57684907,62281772,65535589,69689957,71807972,77050633,82072740,88049145,95111530,102606642,110651854,121166254,130922882,141824901,145820293,146672462,150876002,158390604,167415326,177160287,186650793,187971829,179046423,181168138,187813070,195440508,200834909,212209032,224202429,234824990
"13000","Georgia","5","SA4","60","...","  Supplements to wages and salaries",10485,10475,10355,9652,9549,10151,11747,12672,26107,28947,28644,37891,79451,124146,124793,132450,150479,173724,140776,130737,157644,190810,252366,285717,291413,322021,345549,371333,415103,404979,446087,476782,500159,554611,628934,692940,782728,931259,1036416,1158152,1288351,1401926,1599332,1848540,2075940,2295004,2632942,3034087,3549266,4038699,4618054,5207161,5825050,6431385,7185881,8143464,9155605,10274383,11022543,12127234,13254060,14305070,15161370,17240579,18230065,19266419,20014388,21067988,21838814,24073201,25607817,27331904,28728833,30674740,32916055,35468782,37349949,39378664,40325012,41003239,42585192,42849334,44585088,45184657,47764217,49727642,51389423,53668778
"13000","Georgia","5","SA4","61","...","    Employer contributions for employee pension and insurance funds 8/",10300,10313,10239,9467,9456,10058,11631,12626,13202,13476,14975,22807,59897,101238,97424,98130,95078,88646,82701,91693,111797,146480,201131,230350,233904,252734,267074,284024,318070,304657,323915,337297,359582,393721,442935,494481,568189,652572,722990,810144,906983,996878,1136473,1293483,1367514,1500757,1809682,2051081,2435346,2734752,3108031,3551669,3881278,4331973,4805710,5309146,6027073,6804217,7309073,7985386,8893840,9628145,10276232,11973553,12637009,13241593,13586531,14180521,14510964,16064874,17005077,18124363,19134377,20942517,22899091,24263583,25791247,27232945,27959451,28126354,30076353,30091872,31313338,31427793,33547770,34857805,35758023,37484562
"13000","Georgia","5","SA4","62","...","    Employer contributions for government social insurance",185,162,116,185,93,93,116,46,12905,15471,13669,15084,19554,22908,27369,34320,55401,85078,58075,39044,45847,44330,51235,55367,57509,69287,78475,87309,97033,100322,122172,139485,140577,160890,185999,198459,214539,278687,313426,348008,381368,405048,462859,555057,708426,794247,823260,983006,1113920,1303947,1510023,1655492,1943772,2099412,2380171,2834318,3128532,3470166,3713470,4141848,4360220,4676925,4885138,5267026,5593056,6024826,6427857,6887467,7327850,8008327,8602740,9207541,9594456,9732223,10016964,11205199,11558702,12145719,12365561,12876885,12508839,12757462,13271750,13756864,14216447,14869837,15631400,16184216
"13000","Georgia","5","SA4","70","...","  Proprietors' income 9/",279828,207158,142234,93835,120025,169659,206045,215230,237765,210395,216044,243264,290514,421991,513449,535576,584151,642791,651393,740419,665070,754883,912846,895496,902315,758596,902581,888467,881507,990836,975845,970225,1007331,1010267,1115063,1121259,1219666,1275616,1300669,1357633,1453082,1455725,1650852,1886064,2259079,2168343,2213525,2532045,2650434,3230335,3501950,2916597,3395446,3417475,3754021,4852345,5078308,5602628,5877287,6913170,7260007,7543110,8261777,9558563,10009772,11116283,12194102,13878897,14505552,17913369,20458807,21610996,25056845,26015687,27182377,30183828,30768603,32331439,28119109,23961926,25928269,25838781,26234681,24770668,25516992,27448039,31114097,33252788
"13000","Georgia","5","SA4","71","...","    Farm proprietors' income",179215,124461,78790,52564,82168,109865,136997,129797,147555,122162,117364,125365,127878,218752,276358,277911,303999,311179,333571,320578,249348,296501,393346,314809,335310,186687,272866,216854,202090,303643,246989,261376,279401,243650,321307,248048,291999,321542,305074,263969,336991,309322,371893,388698,678296,537405,482984,465005,194814,406402,427550,-129789,362585,508349,303874,779010,602862,652013,711447,952081,1146825,1022756,1342202,1430199,1229575,1693445,1499375,1593586,1519363,1502667,1680411,1565235,1863584,1313411,1752176,1818216,2067367,1237858,1419590,1695368,1450337,1210491,1109001,2155544,2560360,1896604,2029460,1367284
"13000","Georgia","5","SA4","72","...","    Nonfarm proprietors' income",100613,82697,63444,41271,37857,59794,69048,85433,90210,88233,98680,117899,162636,203239,237091,257665,280152,331612,317822,419841,415722,458382,519500,580687,567005,571909,629715,671613,679417,687193,728856,708849,727930,766617,793756,873211,927667,954074,995595,1093664,1116091,1146403,1278959,1497366,1580783,1630938,1730541,2067040,2455620,2823933,3074400,3046386,3032861,2909126,3450147,4073335,4475446,4950615,5165840,5961089,6113182,6520354,6919575,8128364,8780197,9422838,10694727,12285311,12986189,16410702,18778396,20045761,23193261,24702276,25430201,28365612,28701236,31093581,26699519,22266558,24477932,24628290,25125680,22615124,22956632,25551435,29084637,31885504
"13000","Georgia","5","SA4","7010","...","Total employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2119105,2120778,2167432,2253001,2355871,2374130,2312736,2399502,2502692,2620828,2700081,2740686,2776006,2793013,2876795,3067584,3206760,3334829,3432866,3544762,3608204,3663988,3622035,3698046,3866163,4019921,4188040,4333367,4448701,4608344,4728344,4860202,4871766,4859717,4898186,5026812,5201864,5365168,5500501,5463212,5264268,5216096,5331850,5388418,5499945,5674692,5837449,5980009
"13000","Georgia","5","SA4","7020","...","  Wage and salary employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1857261,1849605,1875636,1946911,2040593,2057844,1989411,2071067,2164577,2272580,2345351,2377591,2408910,2415797,2489126,2665966,2778088,2885840,2993644,3086984,3148430,3182256,3119423,3186782,3313436,3463359,3599687,3715078,3805328,3929292,4043055,4132965,4122087,4076878,4057311,4119291,4212781,4304731,4362770,4325431,4092110,4032763,4072502,4126774,4203063,4323654,4444464,4553324
"13000","Georgia","5","SA4","7040","...","  Proprietors employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",261844,271173,291796,306090,315278,316286,323325,328435,338115,348248,354730,363095,367096,377216,387669,401618,428672,448989,439222,457778,459774,481732,502612,511264,552727,556562,588353,618289,643373,679052,685289,727237,749679,782839,840875,907521,989083,1060437,1137731,1137781,1172158,1183333,1259348,1261644,1296882,1351038,1392985,1426685
"Note: See the included footnote file."
"SA4: Personal Income and Employment by Major Component"
"Last updated: September 26, 2017-- revised estimates for 2014-2016."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
