"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"25000","Massachusetts","1","SA4","10","...","Personal income (thousands of dollars)",3852924,3577821,3253120,2646805,2428136,2656958,2835758,3155358,3235135,2980157,3196918,3421601,4053160,4831337,5543523,5800631,5957378,6458659,6695099,7169512,7121839,7911359,8655830,9045084,9592068,9701314,10346617,10981768,11603613,11867468,12663332,13193427,13866680,14654016,15237382,16267327,17348525,18688058,20299682,22173205,24151557,26093306,27884416,30122067,32658962,35287455,37985397,40803404,44419277,49083173,54589962,61455326,68461988,75054202,81578422,92019548,99606265,107410509,116375406,127991216,134970796,139000167,141238542,148539497,154466285,162148912,171547003,182447254,193952126,206398097,220155896,245201225,255544975,255764186,262071401,274807343,287134553,309652139,324259926,338218622,335086775,348325560,365190182,380785092,383509900,400244845,426359872,437551353
"25000","Massachusetts","1","SA4","11","...","  Nonfarm personal income 1/",3804093,3533083,3215620,2618000,2396681,2628995,2793565,3117286,3194982,2942835,3162281,3388715,4009221,4765886,5457657,5725069,5865369,6359540,6601565,7059925,7029223,7830136,8560967,8959891,9502488,9630019,10272148,10914997,11535082,11800323,12604857,13125634,13806990,14594126,15177575,16205435,17280620,18617447,20244571,22109581,24086518,26025664,27822427,30061013,32590357,35220214,37918417,40729485,44342533,48982469,54502400,61352336,68348645,74924974,81416452,91839678,99449005,107238238,116225713,127822678,134822226,138852266,141071494,148373777,154308047,162005543,171407956,182287733,193791013,206296625,220052701,245075933,255442459,255641192,261947661,274668661,287015877,309530946,324140600,338069552,334973174,348205498,365062509,380605690,383354778,400115518,426238292,437431770
"25000","Massachusetts","1","SA4","12","...","  Farm income 2/",48831,44738,37500,28805,31455,27963,42193,38072,40153,37322,34637,32886,43939,65451,85866,75562,92009,99119,93534,109587,92616,81223,94863,85193,89580,71295,74469,66771,68531,67145,58475,67793,59690,59890,59807,61892,67905,70611,55111,63624,65039,67642,61989,61054,68605,67241,66980,73919,76744,100704,87562,102990,113343,129228,161970,179870,157260,172271,149693,168538,148570,147901,167048,165720,158238,143369,139047,159521,161113,101472,103195,125292,102516,122994,123740,138682,118676,121193,119326,149070,113601,120062,127673,179402,155122,129327,121580,119583
"25000","Massachusetts","1","SA4","20","...","Population (persons) 3/",4229000,4250000,4248000,4259000,4282000,4305000,4343000,4355000,4358000,4365000,4347000,4318000,4400000,4386000,4277000,4361000,4310000,4536000,4589000,4674000,4741000,4686000,4654000,4650000,4806000,4910000,4882000,4891000,4929000,5010000,5117000,5160000,5219000,5263000,5344000,5448000,5502000,5535000,5594000,5618000,5650000,5703706,5738589,5762122,5783809,5776992,5762138,5748868,5744097,5742923,5746188,5746075,5768685,5771222,5799405,5840774,5880734,5902677,5935205,5979983,6015478,6022639,6018470,6028709,6060569,6095241,6141445,6179756,6226058,6271838,6317345,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6565524,6611923,6658008,6706786,6749911,6784240,6811779
"25000","Massachusetts","1","SA4","30","...","Per capita personal income (dollars) 4/",911,842,766,621,567,617,653,725,742,683,735,792,921,1102,1296,1330,1382,1424,1459,1534,1502,1688,1860,1945,1996,1976,2119,2245,2354,2369,2475,2557,2657,2784,2851,2986,3153,3376,3629,3947,4275,4575,4859,5228,5647,6108,6592,7098,7733,8547,9500,10695,11868,13005,14067,15755,16938,18197,19608,21403,22437,23080,23468,24639,25487,26603,27933,29523,31152,32909,34849,38547,39944,39856,40805,42856,44842,48307,50417,52283,51412,53054,55232,57192,57182,59296,62846,64235
"25000","Massachusetts","1","SA4","35","...","  Earnings by place of work",2807454,2549510,2241318,1750325,1642846,1867904,2056430,2285359,2448415,2271586,2438622,2620342,3288386,4094222,4791421,4999753,5059742,5277684,5480742,5934980,5894245,6440260,7324438,7555818,8014944,7994747,8455928,9083302,9536907,9689326,10441564,10885599,11388286,12044001,12452679,13178011,13989938,15269993,16422093,17894367,19510216,20819344,22014616,23901540,26116003,27713969,28838468,31383371,34510629,38649963,43273881,47921777,52469691,56344442,62127626,70762323,77617556,84408732,92667241,102086667,106308273,107559195,107525679,114101636,118941997,125181410,131823551,140698988,150352129,160831889,175349046,196785029,203633092,202502767,205372215,218454825,224912099,237653549,248924038,256941164,254996959,266742939,275228170,284211001,289398397,299917102,318526580,328164366
"25000","Massachusetts","1","SA4","36","...","  Less: Contributions for government social insurance 5/",3316,3306,3233,3202,2927,3128,3119,30733,66641,70606,79594,83573,104576,107431,120271,132907,151657,199692,174504,158016,167787,204630,270758,283549,291822,302237,322296,334188,371583,353342,427617,499284,528130,617014,679657,697732,713738,942262,1033317,1138744,1262442,1326803,1447544,1651342,2074659,2275270,2295487,2555938,2817424,3248074,3796032,4215003,4981239,5483837,6141234,7225044,8002230,8882894,9650681,10787273,11166070,11186434,11383673,11984709,12586234,13379471,14167745,14934511,15992078,17059665,18308020,20252599,20769058,20727978,20942509,22730342,23793659,24647933,25854574,26700198,26325831,26844352,25098895,25937016,30044873,31556581,32841893,34044511
"25000","Massachusetts","1","SA4","37","...","    Employee and self-employed contributions for government social insurance",3049,3073,3067,2938,2796,2997,2956,3269,25071,21177,17889,19908,24566,33708,47270,61531,62728,52391,53400,50810,48724,68450,82730,87179,89604,108278,122394,129782,154477,148028,178122,212853,223653,236993,272262,280808,289394,408308,474198,523213,590593,624933,680605,755108,947842,1050617,1064606,1149153,1255206,1424101,1684126,1905405,2282033,2533673,2799875,3201589,3687048,4156158,4578232,5160557,5473400,5518383,5682051,5957807,6252641,6663614,7121908,7518292,8087773,8654267,9336163,10310956,10555035,10630982,10773136,11344536,11906933,12467130,13198582,13673318,13443134,13676524,11224222,11590486,15452079,16320302,17285967,17977291
"25000","Massachusetts","1","SA4","38","...","    Employer contributions for government social insurance",267,233,166,264,131,131,163,27464,41570,49429,61705,63665,80010,73723,73001,71376,88929,147301,121104,107206,119063,136180,188028,196370,202218,193959,199902,204406,217106,205314,249495,286431,304477,380021,407395,416924,424344,533954,559119,615531,671849,701870,766939,896234,1126817,1224653,1230881,1406785,1562218,1823973,2111906,2309598,2699206,2950164,3341359,4023455,4315182,4726736,5072449,5626716,5692670,5668051,5701622,6026902,6333593,6715857,7045837,7416219,7904305,8405398,8971857,9941643,10214023,10096996,10169373,11385806,11886726,12180803,12655992,13026880,12882697,13167828,13874673,14346530,14592794,15236279,15555926,16067220
"25000","Massachusetts","1","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",42407,45491,42867,41099,35229,29817,24167,14234,6234,-2092,-55752,-68370,-75103,-82627,-92213,-98379,-108429,-121875,-140955,-157300,-175290,-126014,-105292,-105441,-103931,-124488,-141799,-152576,-173044,-219318,-279407,-364443,-482759,-621970,-747355,-918086,-1176169,-1371298,-1495311,-1666121,-1882635,-2033861,-2076012,-2238433,-2347656,-2564002,-2767433,-2829796,-3098055,-3406988,-3607017,-4191426,-5057576,-5089239,-4472651,-3877598,-5131483,-5138617,-5225404,-6053943,-5971698,-5418770,-5676006,-6305122,-6898501,-6681791,-6220890,-7104543,-7300965
