"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"46000","South Dakota","4","SA4","10","...","Personal income (thousands of dollars)",286119,247224,167675,130823,93854,129188,205575,164816,210441,205687,219860,228852,287866,450631,500710,548370,620624,659409,752267,921458,709088,851673,997477,884664,961613,987358,920371,984328,1154418,1186491,1079852,1323454,1331620,1517169,1471232,1442610,1623335,1755443,1782696,1909887,2080125,2262517,2478189,2860912,3609714,3621033,4000855,3954043,4485097,5164776,5679834,5719001,6647391,7034068,7326712,8291305,8517981,8896433,9364373,9759935,10516247,11513251,11992985,12991533,13585823,14630902,14934328,16504345,16852186,18121187,19027288,20262966,21096085,21170798,23124408,24781741,26189694,27564810,30658501,33012790,31898690,33520714,36791498,37583819,37709126,39150683,40892772,41398241
"46000","South Dakota","4","SA4","11","...","  Nonfarm personal income 1/",170023,163940,152673,116346,104594,134884,136325,158451,158278,158626,160513,168188,183935,236213,289899,300164,350682,369203,406909,488542,517668,569133,615096,658281,691397,728290,760043,805017,836695,876064,939122,999652,1080944,1149366,1172717,1227643,1289740,1362844,1439375,1548537,1723616,1890170,2075478,2297786,2584455,2934831,3295823,3679432,4043218,4551449,5031139,5585490,6206236,6664319,7074642,7606503,7910195,8237582,8526076,9049965,9797283,10496833,11103308,11922064,12646357,13426890,14300632,15048165,15812509,16960903,17869388,18928245,19952087,20674210,21619140,22947561,24591316,26954278,28951602,30677689,30147100,31780796,33024375,34999206,34261536,36797451,39251705,40319007
"46000","South Dakota","4","SA4","12","...","  Farm income 2/",116096,83284,15002,14477,-10740,-5696,69250,6365,52163,47061,59347,60664,103931,214418,210811,248206,269942,290206,345358,432916,191420,282540,382381,226383,270216,259068,160328,179311,317723,310427,140730,323802,250676,367803,298515,214967,333595,392599,343321,361350,356509,372347,402711,563126,1025259,686202,705032,274611,441879,613327,648695,133511,441155,369749,252070,684802,607786,658851,838297,709970,718964,1016418,889677,1069469,939466,1204012,633696,1456180,1039677,1160284,1157900,1334721,1143998,496588,1505268,1834180,1598378,610532,1706899,2335101,1751590,1739918,3767123,2584613,3447590,2353232,1641067,1079234
"46000","South Dakota","4","SA4","20","...","Population (persons) 3/",690000,693000,694000,692000,690000,682000,674000,666000,656000,649000,645000,641000,613000,597000,587000,562000,573000,588000,600000,612000,631000,655000,655000,651000,648000,655000,663000,670000,666000,656000,667000,683000,693000,705000,708000,701000,692000,683000,671000,669000,668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816325,824398,834441,844922,852561,857919,865454
"46000","South Dakota","4","SA4","30","...","Per capita personal income (dollars) 4/",415,357,242,189,136,189,305,247,321,317,341,357,470,755,853,976,1083,1121,1254,1506,1124,1300,1523,1359,1484,1507,1388,1469,1733,1809,1619,1938,1922,2152,2078,2058,2346,2570,2657,2855,3114,3394,3691,4223,5317,5326,5871,5757,6510,7493,8243,8278,9640,10185,10572,11891,12196,12782,13454,13980,15094,16516,17044,18226,18813,20021,20238,22237,22644,24289,25356,26808,27832,27856,30278,32168,33772,35203,38729,41311,39524,41063,44628,45041,44630,45921,47665,47834
"46000","South Dakota","4","SA4","35","...","  Earnings by place of work",254230,214219,132001,104059,72075,106360,181213,128566,179185,174856,189825,197924,255538,415906,461146,507912,572730,585848,671060,817286,598695,716405,859770,741201,803881,813064,746925,797338,959862,971755,861442,1076328,1074536,1246374,1189185,1148581,1298702,1424776,1429770,1537548,1646355,1763289,1923417,2250481,2926828,2807048,3027689,2907460,3319894,3883030,4251281,3948092,4493135,4543772,4739232,5566638,5693999,5989519,6494176,6832517,7282121,8166492,8542509,9376653,9818868,10743907,10644217,11930154,12094999,13105285,13850528,14729021,15129287,15162012,16878081,18242734,19229093,19802350,21817069,23227008,22522306,23597534,26072358,26200409,27104558,27933892,28770924,29070956
"46000","South Dakota","4","SA4","36","...","  Less: Contributions for government social insurance 5/",290,280,261,261,211,216,210,205,2193,2358,2779,2882,2691,3752,4977,5776,10235,11492,9993,8858,9743,9945,11386,12763,13555,14541,15578,19517,22019,26016,34140,34813,38955,44939,50975,50400,51202,64386,77180,83630,89609,95455,106383,121081,158103,183198,200384,224598,237574,274402,322079,341848,388087,407801,440472,491235,529535,573922,618159,691582,750314,851322,916344,976305,1034719,1117340,1171370,1224403,1292030,1385217,1481938,1567507,1617184,1678186,1755368,1848770,1938986,2082230,2213443,2318406,2317017,2425292,2222860,2325550,2676002,2837254,2970085,3079846
"46000","South Dakota","4","SA4","37","...","    Employee and self-employed contributions for government social insurance",243,239,232,216,189,194,183,194,863,765,860,938,992,1622,3079,3586,4747,3087,3564,3649,3581,4871,5710,6759,7284,7865,8386,11729,12890,14878,20615,19388,21355,24415,28067,28661,29226,36309,45741,48188,53291,56213,61052,68529,90693,104603,114118,122871,125191,143866,172383,184170,208129,220719,236208,260313,288802,314032,345339,386995,426320,477650,512621,542154,570847,617803,644488,671764,708562,763480,814927,858554,878499,911550,959809,1010713,1068158,1147852,1224846,1280189,1277727,1310948,1097157,1146044,1475285,1567891,1658990,1726326
"46000","South Dakota","4","SA4","38","...","    Employer contributions for government social insurance",47,41,29,45,22,22,27,11,1330,1593,1919,1944,1699,2130,1898,2190,5488,8405,6429,5209,6162,5074,5676,6004,6271,6676,7192,7788,9129,11138,13525,15425,17600,20524,22908,21739,21976,28077,31439,35442,36318,39242,45331,52552,67410,78595,86266,101727,112383,130536,149696,157678,179958,187082,204264,230922,240733,259890,272820,304587,323994,373672,403723,434151,463872,499537,526882,552639,583468,621737,667011,708953,738685,766636,795559,838057,870828,934378,988597,1038217,1039290,1114344,1125703,1179506,1200717,1269363,1311095,1353520
"46000","South Dakota","4","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",0,-59,-123,-175,-245,-321,-430,-506,-588,-668,233,402,480,364,577,978,1367,1705,2198,2700,3253,6114,6123,6362,7076,7289,8082,10351,11798,12514,14334,15188,16353,12826,10216,3722,-2261,-5050,-11599,-19256,-26786,-37308,-54310,-67799,-85088,-100475,-130581,-150066,-188986,-185866,-232820,-249571,-267437,-255899,-273227,-282618,-262577,-199458,-189221,-137609,-104500,-77373,-79106,-130525,-105013,-80116,-81439,-59308,-53682
