"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"00000","United States"," ","SA4","10","...","Personal income (thousands of dollars)",85126000,76371000,65507000,50134000,47085000,53939000,60698000,69057000,74545000,68923000,73452000,79171000,97400000,125259000,152627000,163267000,168178000,179844000,192660000,211661000,209182000,233008777,262559709,280539500,297489812,300685627,322573454,346606330,366539016,376690281,400673993,418095000,436553000,464248000,487847000,522796000,564631000,612945000,656851000,720704000,791150000,855078000,923964000,1015526000,1131213000,1242433000,1359998000,1491506000,1646968000,1851867000,2068806000,2307005000,2584340000,2767657000,2957901000,3268535000,3501927000,3712243000,3940859000,4260753000,4603969000,4890453000,5055766000,5402109000,5639780000,5930316000,6275761000,6661697000,7075132000,7588703000,7988183000,8634847000,8987890000,9150761000,9484225000,10047876000,10610320000,11381350000,11995419000,12492705000,12079444000,12459613000,13233436000,13904485000,14068960000,14811388000,15547661000,15912777000
"00000","United States"," ","SA4","11","...","  Nonfarm personal income 1/",78163000,71294000,61555000,47712000,44241000,50677000,55026000,64239000,67915000,63929000,68437000,74073000,90121000,113934000,139051000,149620000,154048000,163125000,175482000,191928000,194354000,217222437,244240091,263272823,282491305,286250162,309192443,333342298,353216786,361377771,387648630,404429000,422158000,449798000,473522000,509660000,549151000,596431000,641718000,705422000,773875000,837579000,906005000,993776000,1096593000,1212638000,1331211000,1466727000,1622950000,1823970000,2039103000,2286759000,2557367000,2743347000,2940897000,3236895000,3470197000,3679345000,3901839000,4222146000,4558559000,4843753000,5014261000,5352437000,5593284000,5880428000,6237140000,6607486000,7024981000,7540830000,7939896000,8583513000,8934201000,9108865000,9426402000,9973232000,10539711000,11327515000,11930468000,12423800000,12023787000,12394312000,13140913000,13812007000,13945490000,14709098000,15461075000,15845144000
"00000","United States"," ","SA4","12","...","  Farm income 2/",6963000,5077000,3952000,2422000,2844000,3262000,5672000,4818000,6630000,4994000,5015000,5098000,7279000,11325000,13576000,13647000,14130000,16719000,17178000,19733000,14828000,15786340,18319618,17266677,14998507,14435465,13381011,13264032,13322230,15312510,13025363,13666000,14395000,14450000,14325000,13136000,15480000,16514000,15133000,15282000,17275000,17499000,17959000,21750000,34620000,29795000,28787000,24779000,24018000,27897000,29703000,20246000,26973000,24310000,17004000,31640000,31730000,32898000,39020000,38607000,45410000,46700000,41505000,49672000,46496000,49888000,38621000,54211000,50151000,47873000,48287000,51334000,53689000,41896000,57823000,74644000,70609000,53835000,64951000,68905000,55657000,65301000,92523000,92478000,123470000,102290000,86586000,67633000
"00000","United States"," ","SA4","20","...","Population (persons) 3/",121769000,123075000,124038000,124839000,125580000,126372000,127251000,128054000,128822000,129825000,130884000,131955000,133417000,134670000,134697000,134075000,133387000,140638000,143665000,146091000,148666000,151871000,153970000,156369000,158946000,161881000,165058000,168078000,171178000,174153000,177136000,179972000,182976000,185739000,188434000,191085000,193460000,195499000,197375000,199312000,201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309348193,311663358,313998379,316204908,318563456,320896618,323127513
"00000","United States"," ","SA4","30","...","Per capita personal income (dollars) 4/",699,621,528,402,375,427,477,539,579,531,561,600,730,930,1133,1218,1261,1279,1341,1449,1407,1534,1705,1794,1872,1857,1954,2062,2141,2163,2262,2323,2386,2499,2589,2736,2919,3135,3328,3616,3930,4196,4468,4853,5352,5824,6312,6856,7494,8338,9212,10153,11262,11947,12652,13860,14719,15459,16265,17426,18653,19591,19985,21060,21698,22538,23568,24728,25950,27510,28627,30602,31540,31815,32692,34316,35904,38144,39821,41082,39376,40277,42461,44282,44493,46494,48451,49246
"00000","United States"," ","SA4","35","...","  Earnings by place of work",65324000,57943000,48292000,36260000,34972000,41474000,47694000,53570000,60723000,55903000,59552000,64812000,82428000,109986000,137435000,147215000,149211000,155046000,164920000,181873000,177230000,195092441,226735673,242395219,255615407,255002047,273407007,293923230,309104546,312897616,334545932,348795000,360578000,384132000,403399000,431268000,464681000,511558000,544621000,597108000,655222000,695122000,744129000,821953000,921321000,996515000,1062436000,1176158000,1306927000,1479559000,1652190000,1788607000,1963955000,2055057000,2189442000,2433929000,2617433000,2788677000,2997904000,3262349000,3470801000,3683053000,3792707000,4064120000,4243356000,4463755000,4682699000,4964951000,5297835000,5717821000,6109679000,6611246000,6878555000,7008956000,7257073000,7695924000,8061341000,8542791000,8872134000,9094454000,8743722000,8975826000,9391240000,9840233000,10121757000,10565119000,11021455000,11304772000
"00000","United States"," ","SA4","36","...","  Less: Contributions for government social insurance 5/",74000,73000,70000,71000,63000,69000,72000,312000,1470000,1614000,1749000,1868000,2332000,2887000,3767000,4256000,4932000,6224000,5366000,4561000,4758000,5481374,6620648,6917009,7114659,8081575,9093599,10003647,11415391,11376592,13829601,16358000,16916000,19023000,21559000,22258000,23278000,31136000,34600000,38392000,43791000,46012000,50859000,58897000,75183000,84872000,88974000,100987000,112699000,130827000,152273000,165670000,195066000,208173000,225143000,256550000,280379000,302389000,322006000,360285000,384001000,408676000,428555000,453768000,476331000,507188000,531874000,554150000,586295000,623685000,660310000,704849000,732117000,750341000,777980000,827766000,871944000,921187000,959996000,986781000,962864000,982431000,916209000,950002000,1102782000,1153416000,1206197000,1243372000
"00000","United States"," ","SA4","37","...","    Employee and self-employed contributions for government social insurance",66000,66000,65000,63000,59000,62000,60000,70000,440000,415000,445000,492000,616000,879000,1439000,1791000,1854000,1537000,1616000,1598000,1529000,2102929,2531612,2774032,2892187,3456321,3913572,4316648,5041781,5028326,5971610,7150000,7349000,7887000,9208000,9690000,10253000,14389000,16713000,18592000,21204000,22345000,24570000,27892000,35555000,40331000,42417000,46761000,51791000,59514000,69923000,76989000,91774000,98766000,105664000,117980000,133139000,145042000,156297000,176231000,190905000,202921000,214228000,225945000,237197000,253543000,268215000,279807000,297173000,316929000,337457000,360123000,374669000,384873000,396099000,419781000,444590000,474527000,499026000,516191000,505515000,513895000,423234000,436571000,576932000,606372000,635721000,660739000
"00000","United States"," ","SA4","38","...","    Employer contributions for government social insurance",8000,7000,5000,8000,4000,7000,12000,242000,1030000,1199000,1304000,1376000,1716000,2008000,2328000,2465000,3078000,4687000,3750000,2963000,3229000,3378445,4089036,4142977,4222472,4625254,5180027,5686999,6373610,6348266,7857991,9208000,9567000,11136000,12351000,12568000,13025000,16747000,17887000,19800000,22587000,23667000,26289000,31005000,39628000,44541000,46557000,54226000,60908000,71313000,82350000,88681000,103292000,109407000,119479000,138570000,147240000,157347000,165709000,184054000,193096000,205755000,214327000,227823000,239134000,253645000,263659000,274343000,289122000,306756000,322853000,344726000,357448000,365468000,381881000,407985000,427354000,446660000,460970000,470590000,457349000,468536000,492975000,513431000,525850000,547044000,570476000,582633000
"00000","United States"," ","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1000,-29000,-14000,-72000,-81000,-89000,-145000,-166000,-178000,-179000,-182000,-192000,-260000,-250000,-202000,-173000,-170000,-111000,-99000,-96000,-119000,-107000,-112000,-122000,-145000,-153000,-163000,-199000,-211000,-235000,-257000,-231000,-255000,-208000,-255000,-212000,-254000,-257000,228000,259000,226000,236000,313000,367000,478000,493000,533000,703000,675000,672000,755000,2515000,2587000,2692000,2656000,2678000,2659000,2613000,2617000,2597000,2649000,3019000,3067000,3200000,3410000,3651000,3438000,3387000,3264000
