"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"06000","California","8","SA50","10","...","Personal income (thousands of dollars)",18180455,18503349,20678634,24007508,26676487,28602210,29480656,32405734,35466051,38114338,40102616,43838806,46333262,49147467,52938918,56604947,61292036,65445747,71123305,76481751,83786947,92173937,99440680,106005497,116355563,127636686,142322040,157355533,174492789,193587811,220523113,250027116,283852405,318833657,340836724,368675480,409989187,443346410,476271961,513636748,558066083,601183746,643954932,665001713,701387002,718212128,740997699,779582479,828822422,881903762,957671894,1020864222,1124844038,1160964629,1182174837,1242098548,1335871248,1415940822,1524919622,1583851546,1616530437,1560649328,1617134250,1727433579,1838567162,1861956514,1986025976,2133664158,2212691221
"06000","California","8","SA50","15","...","  Less: Personal current taxes",1852360,1572477,1793719,2599736,3193401,3218876,3088421,3557361,3756406,4127171,4266324,4818663,5223323,5484738,5978608,6382187,5991641,6390849,7302608,8123363,9734150,11250905,10720941,10347116,13157870,13475010,15512191,15451678,18736762,21955302,26295295,31350791,35961482,39825761,40417440,42762337,47780244,53939242,57490165,66918647,68313877,78652922,83102385,79350094,78767760,80571226,84007715,92369159,106300949,120765010,136488075,159457205,195484061,180633152,147093592,142988275,151111082,178074685,197879633,215525473,212095614,161792000,178497219,208818309,224940346,253972583,276583819,310067386,318241749
"06000","California","8","SA50","16","...","Equals: Disposable personal income",16328095,16930872,18884915,21407772,23483086,25383334,26392235,28848373,31709645,33987167,35836292,39020143,41109939,43662729,46960310,50222760,55300395,59054898,63820697,68358388,74052797,80923032,88719739,95658381,103197693,114161676,126809849,141903855,155756027,171632509,194227818,218676325,247890923,279007896,300419284,325913143,362208943,389407168,418781796,446718101,489752206,522530824,560852547,585651619,622619242,637640902,656989984,687213320,722521473,761138752,821183819,861407017,929359977,980331477,1035081245,1099110273,1184760166,1237866137,1327039989,1368326073,1404434823,1398857328,1438637031,1518615270,1613626816,1607983931,1709442157,1823596772,1894449472
"06000","California","8","SA50","20","...","Population (persons) 1/",10064000,10337000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37332685,37676861,38011074,38335203,38680810,38993940,39250017
"06000","California","8","SA50","30","...","Per capita personal income (dollars) 2/",1806,1790,1937,2156,2293,2335,2313,2468,2586,2672,2695,2834,2920,2979,3101,3204,3377,3521,3772,3988,4320,4676,4966,5210,5653,6116,6722,7306,7955,8662,9656,10752,11926,13128,13732,14538,15864,16767,17573,18491,19606,20576,21494,21824,22644,22964,23535,24595,25885,27147,29031,30474,33095,33671,33901,35234,37551,39521,42334,43692,44162,42224,43317,45849,48369,48570,51344,54718,56374
"06000","California","8","SA50","50","...","Per capita disposable personal income (dollars) 3/",1622,1638,1769,1923,2018,2072,2071,2197,2312,2383,2408,2523,2590,2647,2751,2843,3047,3178,3384,3565,3818,4105,4431,4702,5013,5471,5989,6589,7101,7679,8504,9403,10415,11488,12104,12851,14015,14727,15452,16082,17206,17884,18720,19220,20101,20388,20867,21681,22566,23430,24894,25714,27344,28432,29682,31178,33304,34550,36841,37747,38368,37847,38536,40306,42451,41945,44194,46766,48266
"06000","California","8","SA50","60","...","Personal current taxes",1852360,1572477,1793719,2599736,3193401,3218876,3088421,3557361,3756406,4127171,4266324,4818663,5223323,5484738,5978608,6382187,5991641,6390849,7302608,8123363,9734150,11250905,10720941,10347116,13157870,13475010,15512191,15451678,18736762,21955302,26295295,31350791,35961482,39825761,40417440,42762337,47780244,53939242,57490165,66918647,68313877,78652922,83102385,79350094,78767760,80571226,84007715,92369159,106300949,120765010,136488075,159457205,195484061,180633152,147093592,142988275,151111082,178074685,197879633,215525473,212095614,161792000,178497219,208818309,224940346,253972583,276583819,310067386,318241749
"06000","California","8","SA50","70","...","  Federal government 4/",1756081,1462241,1668239,2451627,3030860,3047639,2897433,3343657,3520506,3876404,4005504,4466935,4809134,5041282,5485418,5830793,5396681,5719122,6467671,7079259,8185796,9662810,9076703,8540006,10381394,10866155,12979183,12128432,14875757,17348550,20493653,25465730,28273176,32108495,31725261,33691293,36389070,41295423,43731221,50782148,53187733,60276809,63286449,60004117,58806716,60570658,63849061,70212520,81504793,93479407,104597235,123529134,150619232,134434740,110832911,105434273,110651719,129828234,142822906,157401886,152979866,114134091,126103401,151385531,160178152,180421218,198850975,224086316,229568884
"06000","California","8","SA50","80","...","    Income taxes (net of refunds) 4/",1756081,1462241,1668239,2451627,3030860,3047639,2897433,3343657,3520506,3876404,4005504,4466935,4809134,5041282,5485418,5830793,5396681,5719122,6467671,7079259,8185796,9662810,9076703,8540006,10381394,10866155,12979183,12128432,14875757,17348550,20493653,25465730,28273176,32108495,31725261,33691293,36389070,41295423,43731221,50782148,53187733,60276809,63286449,60004117,58806716,60570658,63849061,70212520,81504793,93479407,104597235,123529134,150619232,134434740,110832911,105434273,110651719,129828234,142822906,157401886,152979866,114134091,126103401,151385531,160178152,180421218,198850975,224086316,229568884
"06000","California","8","SA50","81","...","      Income taxes (gross) 4/",1927054,1690546,1829444,2621149,3235257,3308052,3178441,3659470,3872794,4240440,4422653,4924268,5312697,5611275,6117517,6539682,6171769,6364767,7232561,8110166,9427498,11001922,10802046,10375148,12154219,13621099,15939574,16473083,18397216,21227314,24938129,30019545,33797838,38565411,39300740,41906018,45052527,50174342,53461779,60748272,62076064,69145417,73052211,71048766,69706554,70732109,73858419,80926653,92569236,104791570,116645850,138445703,166464389,152665978,133528862,127155700,133093683,151263643,166424574,182746904,188129373,147138175,156024568,178310621,187292326,206615483,226137789,251470792,260060220
