"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"13000","Georgia","5","SA50","10","...","Personal income (thousands of dollars)",3258984,3279292,3772678,4395508,4753832,4888897,4886104,5385323,5767024,5977944,6235156,6643742,6948546,7250291,7793948,8474340,9180245,10132571,11174136,12140274,13400376,14943824,16272040,17970425,20160391,22772857,24985794,27002936,29996838,33159873,37625620,42114161,46930712,53090574,57498742,63100546,71482946,78389015,85539433,92052320,100335299,108165689,115537974,121117611,131312440,139467777,150306669,162222883,175284284,186659726,204789162,218400986,236451759,248516259,254655443,264265063,279349989,296929387,317384082,332074930,335573645,330586251,336504092,359778107,365480928,371155912,394706562,418382680,434677178
"13000","Georgia","5","SA50","15","...","  Less: Personal current taxes",210946,198732,209705,317251,404101,373359,364670,407581,449826,496259,511620,563426,639003,653485,745355,814288,825000,933340,1090126,1143257,1407924,1833063,1791191,1812178,2277522,2439810,2698214,2451906,2990839,3487279,4173989,5122658,5571619,6504089,6731446,7465916,8157294,9417221,10152245,11357546,11892639,13213810,13995400,13952632,14842524,16249322,17689102,19454622,22053721,24523192,27598005,29634634,32459951,33081211,28517769,27110211,27882766,32071830,36047246,38766002,37513119,29396179,31147847,35935268,36642284,40653145,43524534,47716551,49207170
"13000","Georgia","5","SA50","16","...","Equals: Disposable personal income",3048038,3080560,3562973,4078257,4349731,4515538,4521434,4977742,5317198,5481685,5723536,6080316,6309543,6596806,7048593,7660052,8355245,9199231,10084010,10997017,11992452,13110761,14480849,16158247,17882869,20333047,22287580,24551030,27005999,29672594,33451631,36991503,41359093,46586485,50767296,55634630,63325652,68971794,75387188,80694774,88442660,94951879,101542574,107164979,116469916,123218455,132617567,142768261,153230563,162136534,177191157,188766352,203991808,215435048,226137674,237154852,251467223,264857557,281336836,293308928,298060526,301190072,305356245,323842839,328838644,330502767,351182028,370666129,385470008
"13000","Georgia","5","SA50","20","...","Population (persons) 1/",3259000,3325000,3458000,3531000,3584000,3558000,3602000,3636000,3701000,3766000,3804000,3868000,3956000,4015000,4086000,4172000,4258000,4332000,4379000,4408000,4482000,4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9713521,9811610,9914668,9984938,10087231,10199398,10310371
"13000","Georgia","5","SA50","30","...","Per capita personal income (dollars) 2/",1000,986,1091,1245,1326,1374,1356,1481,1558,1587,1639,1718,1756,1806,1907,2031,2156,2339,2552,2754,2990,3284,3533,3815,4194,4641,5002,5338,5852,6362,7118,7812,8554,9534,10177,11016,12251,13147,14058,14827,15886,16872,17741,18205,19262,19986,21001,22136,23368,24289,26043,27144,28740,29666,29930,30647,31856,33266,34665,35516,35306,34361,34643,36669,36863,37172,39129,41020,42159
"13000","Georgia","5","SA50","50","...","Per capita disposable personal income (dollars) 3/",935,926,1030,1155,1214,1269,1255,1369,1437,1456,1505,1572,1595,1643,1725,1836,1962,2124,2303,2495,2676,2881,3144,3430,3720,4144,4462,4853,5268,5693,6328,6861,7539,8366,8986,9712,10853,11567,12390,12998,14003,14811,15592,16108,17085,17658,18529,19481,20428,21098,22533,23461,24794,25717,26579,27503,28676,29673,30728,31370,31359,31306,31436,33006,33167,33100,34815,36342,37387
"13000","Georgia","5","SA50","60","...","Personal current taxes",210946,198732,209705,317251,404101,373359,364670,407581,449826,496259,511620,563426,639003,653485,745355,814288,825000,933340,1090126,1143257,1407924,1833063,1791191,1812178,2277522,2439810,2698214,2451906,2990839,3487279,4173989,5122658,5571619,6504089,6731446,7465916,8157294,9417221,10152245,11357546,11892639,13213810,13995400,13952632,14842524,16249322,17689102,19454622,22053721,24523192,27598005,29634634,32459951,33081211,28517769,27110211,27882766,32071830,36047246,38766002,37513119,29396179,31147847,35935268,36642284,40653145,43524534,47716551,49207170
"13000","Georgia","5","SA50","70","...","  Federal government 4/",187756,174123,183400,287910,374433,344237,333911,370043,402269,445788,459092,494618,554559,563058,648457,719712,717605,809699,948448,991670,1231121,1623354,1534047,1544253,1937900,2047676,2246264,1982296,2415868,2856158,3415592,4223778,4525678,5277945,5376893,5942672,6383996,7440303,7911512,8894521,9154356,10156704,10740777,10727774,11277559,12375010,13499882,14980703,17088857,19160347,21495024,23124955,25282093,25612220,21453141,19911419,20173376,23734827,26871345,28957121,28070856,21276716,23269131,27433646,27598462,30764563,33403693,36650084,37587188
"13000","Georgia","5","SA50","80","...","    Income taxes (net of refunds) 4/",187756,174123,183400,287910,374433,344237,333911,370043,402269,445788,459092,494618,554559,563058,648457,719712,717605,809699,948448,991670,1231121,1623354,1534047,1544253,1937900,2047676,2246264,1982296,2415868,2856158,3415592,4223778,4525678,5277945,5376893,5942672,6383996,7440303,7911512,8894521,9154356,10156704,10740777,10727774,11277559,12375010,13499882,14980703,17088857,19160347,21495024,23124955,25282093,25612220,21453141,19911419,20173376,23734827,26871345,28957121,28070856,21276716,23269131,27433646,27598462,30764563,33403693,36650084,37587188
"13000","Georgia","5","SA50","81","...","      Income taxes (gross) 4/",207739,198756,202339,306608,398430,376521,366032,406476,441431,487241,507057,547147,610340,628062,718390,801621,810945,892891,1053650,1138653,1401391,1817282,1811499,1843952,2244674,2543168,2784507,2721165,3026697,3493288,4128771,4941963,5557544,6440464,6644204,7309737,7896818,9106642,9846018,10972471,11344775,12210326,12830782,12978472,13499475,14455854,15646588,17371194,19649246,21951985,24499112,26824311,29303644,30136345,26882546,25337393,25855167,29308488,33037847,35495690,37249747,29971326,31515938,35299250,35830549,38354739,40641688,43820093,45313055
