"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"93000","Great Lakes","3","SA50","10","...","Personal income (thousands of dollars)",47854434,46098189,51322613,58289006,61803406,67442685,66784592,72244835,77424089,80615393,80490362,85719800,89057472,91255939,96745163,101264358,108845257,118836426,129264268,135967661,148308674,161928782,170494196,183426586,200394486,223874628,243199998,262731562,288823117,320538980,355697068,391884653,424667539,463297006,484667635,510529363,563598206,598790765,631279472,663817850,711154163,765358368,808452883,828074860,889435929,929374734,985774043,1038939784,1096974637,1158529116,1232322421,1284847578,1370321856,1409803336,1426994929,1459125790,1515557416,1562011796,1645887046,1717580638,1774681948,1707107118,1750077094,1855242063,1932715487,1962255576,2044875262,2130088923,2176707324
"93000","Great Lakes","3","SA50","15","...","  Less: Personal current taxes",4509611,3817628,4333042,6434506,7485931,8239317,7043090,7688720,8731205,9068990,8341258,9137449,10082014,9850238,10895755,11534790,11137886,12574428,14471432,15596745,18530101,22547094,22013058,21519235,26005274,28123052,31303743,30681062,36368486,41879035,48058157,54436405,56527994,63356597,60677193,62128807,66296683,72393662,75391251,83206892,86417218,96246339,100454299,99945584,103638835,111799293,121363277,130454816,143494652,156724466,171474386,178418346,188373402,187637681,165182906,155223094,156930257,172533185,188462494,204726800,206808314,157651168,169184691,200494160,208970939,227352194,235134014,253321854,254069769
"93000","Great Lakes","3","SA50","16","...","Equals: Disposable personal income",43344823,42280561,46989571,51854500,54317475,59203368,59741502,64556115,68692884,71546403,72149104,76582351,78975458,81405701,85849408,89729568,97707371,106261998,114792836,120370916,129778573,139381688,148481138,161907351,174389212,195751576,211896255,232050500,252454631,278659945,307638911,337448248,368139545,399940409,423990442,448400556,497301523,526397103,555888221,580610958,624736945,669112029,707998584,728129276,785797094,817575441,864410766,908484968,953479985,1001804650,1060848035,1106429232,1181948454,1222165655,1261812023,1303902696,1358627159,1389478611,1457424552,1512853838,1567873634,1549455950,1580892403,1654747903,1723744548,1734903382,1809741248,1876767069,1922637555
"93000","Great Lakes","3","SA50","20","...","Population (persons) 1/",29832000,30324000,30530000,30883000,31498000,32166000,33063000,33779000,34404000,34967000,35578000,35928000,36290000,36616000,36927000,37357000,37868000,38405000,38951000,39347000,39645000,39904000,40319722,40622322,40824274,40946800,41036791,41105385,41186726,41353165,41510152,41610978,41693671,41647869,41492474,41366046,41393218,41417995,41455030,41589687,41720866,41872543,42091157,42495903,42902625,43274741,43589980,43923694,44239468,44493603,44727877,44969225,45216019,45401564,45550284,45707787,45844372,45949142,46071573,46187992,46275120,46355854,46440847,46507169,46572795,46660465,46731329,46742511,46755973
"93000","Great Lakes","3","SA50","30","...","Per capita personal income (dollars) 2/",1604,1520,1681,1887,1962,2097,2020,2139,2250,2305,2262,2386,2454,2492,2620,2711,2874,3094,3319,3456,3741,4058,4229,4515,4909,5467,5926,6392,7013,7751,8569,9418,10185,11124,11681,12342,13616,14457,15228,15961,17046,18278,19207,19486,20732,21476,22615,23653,24796,26038,27552,28572,30306,31052,31328,31923,33059,33994,35725,37187,38351,36826,37684,39892,41499,42054,43758,45571,46555
"93000","Great Lakes","3","SA50","50","...","Per capita disposable personal income (dollars) 3/",1453,1394,1539,1679,1724,1841,1807,1911,1997,2046,2028,2132,2176,2223,2325,2402,2580,2767,2947,3059,3274,3493,3683,3986,4272,4781,5164,5645,6130,6739,7411,8110,8830,9603,10218,10840,12014,12709,13409,13960,14974,15980,16821,17134,18316,18893,19830,20683,21553,22516,23718,24604,26140,26919,27702,28527,29636,30239,31634,32754,33882,33425,34041,35580,37012,37181,38727,40151,41121
"93000","Great Lakes","3","SA50","60","...","Personal current taxes",4509611,3817628,4333042,6434506,7485931,8239317,7043090,7688720,8731205,9068990,8341258,9137449,10082014,9850238,10895755,11534790,11137886,12574428,14471432,15596745,18530101,22547094,22013058,21519235,26005274,28123052,31303743,30681062,36368486,41879035,48058157,54436405,56527994,63356597,60677193,62128807,66296683,72393662,75391251,83206892,86417218,96246339,100454299,99945584,103638835,111799293,121363277,130454816,143494652,156724466,171474386,178418346,188373402,187637681,165182906,155223094,156930257,172533185,188462494,204726800,206808314,157651168,169184691,200494160,208970939,227352194,235134014,253321854,254069769
"93000","Great Lakes","3","SA50","70","...","  Federal government 4/",4350407,3640494,4134621,6208781,7241690,7975048,6753491,7363597,8370765,8676203,7919919,8624624,9534145,9282426,10266169,10756776,10182970,11560773,13326141,14292847,16794602,20346796,19159495,18290340,21867970,23478514,26162616,25248835,30131069,34893406,39893510,45748447,47548726,53411377,49946659,49010823,51618435,57476363,59401136,66446229,67639346,75559322,78472032,77492027,79869639,86023740,94551271,101435208,112307043,123357034,135508612,140462474,148738007,148733901,126263409,116496990,116351585,129495354,143407741,157743978,158023045,114915866,124932225,149842216,154780472,170275315,180129774,196813481,197371654
"93000","Great Lakes","3","SA50","80","...","    Income taxes (net of refunds) 4/",4350407,3640494,4134621,6208781,7241690,7975048,6753491,7363597,8370765,8676203,7919919,8624624,9534145,9282426,10266169,10756776,10182970,11560773,13326141,14292847,16794602,20346796,19159495,18290340,21867970,23478514,26162616,25248835,30131069,34893406,39893510,45748447,47548726,53411377,49946659,49010823,51618435,57476363,59401136,66446229,67639346,75559322,78472032,77492027,79869639,86023740,94551271,101435208,112307043,123357034,135508612,140462474,148738007,148733901,126263409,116496990,116351585,129495354,143407741,157743978,158023045,114915866,124932225,149842216,154780472,170275315,180129774,196813481,197371654
"93000","Great Lakes","3","SA50","81","...","      Income taxes (gross) 4/",4773387,4208030,4537414,6630850,7760710,8602296,7486489,8110454,9154641,9539383,8862665,9547243,10492929,10360429,11357456,11957252,11448054,12607588,14617058,16028048,18791097,22474458,21952636,21249609,24750044,27938413,30995410,31962921,35251562,40530260,46106911,52522875,56220547,62369794,60026146,59342525,62946910,69062275,71512179,78308573,79719563,86882633,90436725,90505571,92769666,98369511,107481697,115814561,127264104,139035171,152235175,161621254,171458512,173627549,156014011,145656823,146610018,158292222,174153704,189421202,200895854,155356311,161844300,183097624,189091100,203628756,213328383,230094780,232873189
"93000","Great Lakes","3","SA50","82","...","      Less: Refunds",422980,567536,402793,422069,519020,627248,732998,746857,783876,863180,942746,922619,958784,1078003,1091287,1200476,1265084,1046815,1290917,1735201,1996495,2127662,2793141,2959269,2882074,4459899,4832794,6714086,5120493,5636854,6213401,6774428,8671821,8958417,10079487,10331702,11328475,11585912,12111043,11862344,12080217,11323311,11964693,13013544,12900027,12345771,12930426,14379353,14957061,15678137,16726563,21158780,22720505,24893648,29750602,29159833,30258433,28796868,30745963,31677224,42872809,40440445,36912075,33255408,34310628,33353441,33198609,33281299,35501535
"93000","Great Lakes","3","SA50","120","...","  State governments",110232,123400,139035,161529,172772,185109,196905,218315,250957,279722,291209,323850,344993,353747,392259,485364,616519,664831,767920,922079,1287377,1763849,2379180,2723388,3518893,4002382,4371400,4564108,5288160,5998088,7075772,7532238,7879380,8667921,9245232,11596278,13039852,13140882,13981851,14807793,16112365,17910982,19045014,19407602,20463891,22390155,23082796,24730370,26902272,29045136,31421626,33250899,34489805,33753784,33424282,32940315,34553134,36743001,38463441,40035593,41934606,36164035,37196964,43542112,47034898,49792303,47925680,49153982,48998528
"93000","Great Lakes","3","SA50","130","...","    Income taxes",37190,44001,49079,56326,60482,66579,71711,84318,102454,112231,115168,129670,141247,142084,169677,251215,374077,398219,499864,626925,935360,1319431,1874551,2187475,2941033,3398961,3764461,3909816,4596019,5290765,6314079,6724083,7017902,7758053,8299540,10592582,11907851,11925804,12741191,13500499,14662009,16379919,17500717,17816371,18708602,20696025,21327448,22914946,25156369,27155774,29431978,31123921,32095872,31265239,30819477,30234199,31589615,33831476,35449805,36982936,38907725,32908710,33515253,39857261,43369578,46143386,44156374,45235428,44962769
"93000","Great Lakes","3","SA50","150","...","    Motor vehicle licenses",64453,70113,78866,90432,95398,101110,108461,116524,130547,147957,154737,172608,182822,190848,201044,211601,218826,241450,243029,269508,320094,418548,467185,495991,541084,563870,562738,604606,642808,655037,707953,747754,781983,825063,856734,917973,1034424,1120724,1134378,1185911,1322488,1398282,1407138,1440421,1601924,1544465,1595870,1661004,1589744,1714803,1804119,1942748,2214568,2301538,2418987,2521286,2741081,2672719,2746539,2745809,2744239,2845645,3039061,3013490,3013685,3013331,3094123,3194127,3281265
"93000","Great Lakes","3","SA50","160","...","    Other taxes 5/",8589,9286,11090,14771,16892,17420,16733,17473,17956,19534,21304,21572,20924,20815,21538,22548,23616,25162,25027,25646,31923,25870,37444,39922,36776,39551,44201,49686,49333,52286,53740,60401,79495,84805,88958,85723,97577,94354,106282,121383,127868,132781,137159,150810,153365,149665,159478,154420,156159,174559,185529,184230,179365,187007,185818,184830,222438,238806,267097,306848,282642,409680,642650,671361,651635,635586,675183,724427,754494
"93000","Great Lakes","3","SA50","180","...","  Local governments",14149,14858,17561,19054,22456,26280,36313,48584,53839,61290,71523,88027,93296,97778,110597,161356,206180,210940,238671,235290,291680,373432,408887,443382,560293,582858,712215,808149,883013,922458,1011311,1070959,1008261,1188199,1401950,1437665,1555636,1655836,1896561,1828060,2477496,2557326,2698695,2819288,3079158,3067522,3428250,3987323,4000475,4063012,4302498,4429654,4886066,4844268,5120325,5409684,5630002,5830988,6090930,6428086,6334942,6102748,6569213,6627887,6680080,6820983,6599102,6878784,7209081
