"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"15000","Hawaii*","8","SA50","10","...","Personal income (thousands of dollars)","(NA)","(NA)",790965,926770,1022518,1061261,1071414,1122694,1177852,1249297,1296804,1436756,1624793,1761303,1885302,2013717,2191059,2406434,2611648,2831058,3181535,3646550,4229452,4589275,5053789,5594397,6365247,6935988,7463349,8075045,8963468,10050552,11460741,12391045,13076982,14419849,15454096,16453428,17468188,18623163,20461349,22865408,24931086,26366349,28424752,29472164,30121287,30776621,30785523,31791726,32450676,33645376,35680722,37214473,38922238,40763715,43952173,47220711,50618308,53206947,56050035,55852773,56908597,59072082,61836090,62784498,66122066,69637831,71946077
"15000","Hawaii*","8","SA50","15","...","  Less: Personal current taxes","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",208451,227437,216353,228266,224095,236487,292454,323211,383953,482736,537626,522852,629160,686479,761560,696555,804403,904630,1057933,1225664,1392017,1503768,1380273,1519339,1606219,1767451,1905064,2257129,2501399,2996137,3255272,3562328,3328384,3409107,3461441,3382351,3552339,3678976,3864569,4035833,4346260,4470450,4062446,4014599,4330653,5129353,5583512,5919039,5932476,4781294,4780042,5443122,5692033,6393625,6779766,7588306,7765936
"15000","Hawaii*","8","SA50","16","...","Equals: Disposable personal income","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1416342,1533866,1668949,1785451,1966964,2169947,2319194,2507847,2797582,3163814,3691826,4066423,4424629,4907918,5603687,6239433,6658946,7170415,7905535,8824888,10068724,10887277,11696709,12900510,13847877,14685977,15563124,16366034,17959950,19869271,21675814,22804021,25096368,26063057,26659846,27394270,27233184,28112750,28586107,29609543,31334462,32744023,34859792,36749116,39621520,42091358,45034796,47287908,50117559,51071479,52128555,53628960,56144057,56390873,59342300,62049525,64180141
"15000","Hawaii*","8","SA50","20","...","Population (persons) 1/","(NA)","(NA)",499000,502000,495000,499000,504000,529000,548000,573000,605000,622000,642000,659000,684000,682000,700000,704000,710000,723000,734000,743000,762920,791580,818104,841851,858121,875052,892335,915749,928816,950050,967710,978195,993780,1012717,1027922,1039698,1051762,1067917,1079827,1094588,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363945,1377864,1391820,1406481,1416349,1425157,1428557
"15000","Hawaii*","8","SA50","30","...","Per capita personal income (dollars) 2/","(NA)","(NA)",1585,1846,2066,2127,2126,2122,2149,2180,2143,2310,2531,2673,2756,2953,3130,3418,3678,3916,4335,4908,5544,5798,6177,6645,7418,7926,8364,8818,9650,10579,11843,12667,13159,14239,15034,15825,16608,17439,18949,20890,22390,23194,24533,25129,25365,25715,25575,26239,26703,27799,29403,30356,31399,32581,34511,36528,38648,40441,42073,41473,41724,42872,44428,44639,46685,48863,50363
"15000","Hawaii*","8","SA50","50","...","Per capita disposable personal income (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2206,2328,2440,2618,2810,3082,3266,3469,3811,4258,4839,5137,5408,5830,6530,7130,7462,7830,8511,9289,10405,11130,11770,12739,13472,14125,14797,15325,16632,18152,19467,20061,21661,22222,22450,22889,22624,23202,23523,24465,25821,26709,28122,29372,31111,32560,34385,35942,37620,37923,38219,38922,40339,40094,41898,43539,44927
"15000","Hawaii*","8","SA50","60","...","Personal current taxes","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",208451,227437,216353,228266,224095,236487,292454,323211,383953,482736,537626,522852,629160,686479,761560,696555,804403,904630,1057933,1225664,1392017,1503768,1380273,1519339,1606219,1767451,1905064,2257129,2501399,2996137,3255272,3562328,3328384,3409107,3461441,3382351,3552339,3678976,3864569,4035833,4346260,4470450,4062446,4014599,4330653,5129353,5583512,5919039,5932476,4781294,4780042,5443122,5692033,6393625,6779766,7588306,7765936
"15000","Hawaii*","8","SA50","70","...","  Federal government 4/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",174515,192910,181309,191190,183427,196608,232968,251461,300792,381138,420650,398909,497152,547896,593007,510416,604202,684414,807967,929937,1045671,1143787,1070765,1148173,1181414,1303635,1399422,1667483,1797382,2175186,2475252,2372634,2351754,2408964,2398754,2396940,2500693,2639109,2724927,2919612,3207015,3301734,2892998,2869699,3021250,3589445,3924201,4234868,4246160,3388227,3301760,3908724,3925425,4447609,4747581,5313977,5392495
"15000","Hawaii*","8","SA50","80","...","    Income taxes (net of refunds) 4/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",174515,192910,181309,191190,183427,196608,232968,251461,300792,381138,420650,398909,497152,547896,593007,510416,604202,684414,807967,929937,1045671,1143787,1070765,1148173,1181414,1303635,1399422,1667483,1797382,2175186,2475252,2372634,2351754,2408964,2398754,2396940,2500693,2639109,2724927,2919612,3207015,3301734,2892998,2869699,3021250,3589445,3924201,4234868,4246160,3388227,3301760,3908724,3925425,4447609,4747581,5313977,5392495
"15000","Hawaii*","8","SA50","81","...","      Income taxes (gross) 4/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",189604,212658,204322,213782,207275,216750,256588,284348,339523,423677,479278,471019,568504,662320,720995,685324,724375,812459,947102,1072598,1215013,1352456,1306220,1340741,1476539,1549944,1677592,1960727,2060397,2429181,2768404,2703335,2694114,2732451,2722867,2754029,2853517,3004675,3106989,3402733,3717766,3851714,3564583,3530805,3766264,4285494,4691344,5051572,5403598,4507820,4365150,4809258,4874310,5410516,5687387,6249505,6388654
