"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"16000","Idaho","7","SA50","10","...","Personal income (thousands of dollars)",740213,733317,790427,894027,983639,939449,955514,1006648,1110543,1176212,1199919,1270179,1300838,1378431,1474754,1508399,1558259,1779102,1803244,1916558,2047057,2370184,2617230,2860176,3266891,3779304,4443190,4778028,5354633,5850825,6737815,7390444,8316840,9171608,9563932,10362783,11083457,11634316,11902464,12490918,13524893,14924453,16159229,16984993,18678773,20486623,21919319,23555311,25056014,26166890,28346699,30162818,32598344,34065858,35094185,36387793,39464798,41863825,46053410,49037046,50680252,48865949,49842157,52744839,55370347,57581151,60744450,64209286,66433410
"16000","Idaho","7","SA50","15","...","  Less: Personal current taxes",50404,48350,48503,75008,92923,78879,78852,79350,106457,100408,114242,123589,133486,132560,139192,147807,135153,152603,162925,179382,200949,248496,255134,278043,298576,373311,471068,467444,534924,599023,706510,790348,883528,1051293,1006542,1021477,1064534,1146121,1114284,1191079,1307371,1585563,1766408,1833827,2108399,2269807,2432897,2635062,2852369,3067276,3276314,3592277,4059788,4046333,3341172,3234002,3485652,4330990,5088176,5435086,5133939,3879756,4010553,4673181,4956471,5494027,5846751,6492843,6699524
"16000","Idaho","7","SA50","16","...","Equals: Disposable personal income",689809,684967,741924,819019,890716,860570,876662,927298,1004086,1075804,1085677,1146590,1167352,1245871,1335562,1360592,1423106,1626499,1640319,1737176,1846108,2121688,2362096,2582133,2968315,3405993,3972122,4310584,4819709,5251802,6031305,6600096,7433312,8120315,8557390,9341306,10018923,10488195,10788180,11299839,12217522,13338890,14392821,15151166,16570374,18216816,19486422,20920249,22203645,23099614,25070385,26570541,28538556,30019525,31753013,33153791,35979146,37532835,40965234,43601960,45546313,44986193,45831604,48071658,50413876,52087124,54897699,57716443,59733886
"16000","Idaho","7","SA50","20","...","Population (persons) 1/",551000,570000,590000,589000,587000,596000,600000,618000,628000,642000,646000,657000,671000,684000,692000,683000,680000,686000,689000,688000,695000,707000,717255,738749,763229,782061,807973,831981,856979,883446,910962,932636,947983,962204,973719,981866,990841,994052,990222,984997,985661,994422,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1275674,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1571010,1584143,1595911,1612011,1633532,1652828,1683140
"16000","Idaho","7","SA50","30","...","Per capita personal income (dollars) 2/",1343,1287,1340,1518,1676,1576,1593,1629,1768,1832,1857,1933,1939,2015,2131,2208,2292,2593,2617,2786,2945,3352,3649,3872,4280,4832,5499,5743,6248,6623,7396,7924,8773,9532,9822,10554,11186,11704,12020,12681,13722,15008,15962,16311,17429,18477,19141,20008,20827,21300,22635,23645,25087,25808,26182,26689,28355,29311,31357,32580,33031,31436,31726,33296,34695,35720,37186,38848,39470
"16000","Idaho","7","SA50","50","...","Per capita disposable personal income (dollars) 3/",1252,1202,1257,1391,1517,1444,1461,1500,1599,1676,1681,1745,1740,1821,1930,1992,2093,2371,2381,2525,2656,3001,3293,3495,3889,4355,4916,5181,5624,5945,6621,7077,7841,8439,8788,9514,10112,10551,10895,11472,12395,13414,14217,14550,15462,16430,17017,17769,18456,18803,20019,20829,21962,22743,23690,24317,25851,26279,27893,28969,29685,28940,29173,30346,31589,32312,33607,34920,35490
"16000","Idaho","7","SA50","60","...","Personal current taxes",50404,48350,48503,75008,92923,78879,78852,79350,106457,100408,114242,123589,133486,132560,139192,147807,135153,152603,162925,179382,200949,248496,255134,278043,298576,373311,471068,467444,534924,599023,706510,790348,883528,1051293,1006542,1021477,1064534,1146121,1114284,1191079,1307371,1585563,1766408,1833827,2108399,2269807,2432897,2635062,2852369,3067276,3276314,3592277,4059788,4046333,3341172,3234002,3485652,4330990,5088176,5435086,5133939,3879756,4010553,4673181,4956471,5494027,5846751,6492843,6699524
"16000","Idaho","7","SA50","70","...","  Federal government 4/",42961,40675,40557,65842,83338,70039,70640,69271,91973,84553,96626,100600,107703,105868,109215,118899,101043,115967,131641,144880,162005,198441,202394,214329,230368,292291,368035,347218,401027,448921,538108,601542,681424,803537,744088,753389,783266,848665,809632,894644,957940,1166855,1293803,1329615,1462121,1606570,1765026,1918410,2093883,2236648,2378676,2616887,3009940,2817615,2384501,2253766,2404927,3084150,3646465,3837263,3598519,2596033,2777486,3353155,3589241,4017872,4302546,4806094,4956652
"16000","Idaho","7","SA50","80","...","    Income taxes (net of refunds) 4/",42961,40675,40557,65842,83338,70039,70640,69271,91973,84553,96626,100600,107703,105868,109215,118899,101043,115967,131641,144880,162005,198441,202394,214329,230368,292291,368035,347218,401027,448921,538108,601542,681424,803537,744088,753389,783266,848665,809632,894644,957940,1166855,1293803,1329615,1462121,1606570,1765026,1918410,2093883,2236648,2378676,2616887,3009940,2817615,2384501,2253766,2404927,3084150,3646465,3837263,3598519,2596033,2777486,3353155,3589241,4017872,4302546,4806094,4956652
"16000","Idaho","7","SA50","81","...","      Income taxes (gross) 4/",47770,46332,44976,70022,88814,77213,77235,77018,99428,93903,105895,111623,119100,118513,122351,132739,116343,127771,146502,164981,186211,223690,235631,252262,271225,350625,440310,461064,498246,550474,659913,736365,837041,988177,948227,950202,994393,1043507,995520,1057567,1100662,1309360,1486903,1543513,1681079,1810329,1985676,2184243,2380493,2549180,2724241,3061161,3480276,3346582,3023891,2889263,3065859,3750988,4377954,4627238,4731821,3709737,3898362,4369872,4517694,4936881,5196014,5703519,5933263
"16000","Idaho","7","SA50","82","...","      Less: Refunds",4809,5657,4419,4180,5476,7174,6595,7747,7455,9350,9269,11023,11397,12645,13136,13840,15300,11804,14861,20101,24206,25249,33237,37933,40857,58334,72275,113846,97219,101553,121805,134823,155617,184640,204139,196813,211127,194842,185888,162923,142722,142505,193100,213898,218958,203759,220650,265833,286610,312532,345565,444274,470336,528967,639390,635497,660932,666838,731489,789975,1133302,1113704,1120876,1016717,928453,919009,893468,897425,976611
"16000","Idaho","7","SA50","120","...","  State governments",7094,7292,7542,8775,9197,8458,7849,9664,14108,15476,17146,22177,24856,25678,29774,28590,33767,36349,30905,34174,38677,49742,52297,63176,67764,80539,102258,119388,133057,149289,167233,187701,200727,246292,260615,266417,279501,295690,303189,295124,347845,417026,470663,501819,643525,660282,663680,712740,754122,825979,891069,968579,1043915,1222277,949652,972356,1071640,1236845,1431130,1581006,1520114,1268825,1219581,1304697,1348980,1457080,1523464,1665024,1720102
"16000","Idaho","7","SA50","130","...","    Income taxes",5644,5738,5730,6560,6719,5871,5246,7270,9601,10743,12297,16886,19494,19940,23559,22114,27089,28883,23442,26727,30498,35738,38079,48406,51060,63469,83044,97224,108356,122771,136878,155517,168734,208645,220885,229031,243151,260233,266975,255297,306156,374013,433371,457772,578311,588003,586689,637353,686867,746443,801605,873664,936095,1114990,848762,873742,967096,1129022,1316073,1460601,1401265,1146704,1094288,1176650,1218665,1326742,1389594,1513205,1555075
"16000","Idaho","7","SA50","150","...","    Motor vehicle licenses",837,883,991,1053,1109,1164,1213,939,3006,3160,3184,3522,3539,3846,4120,4217,4277,4860,4892,4663,5077,10386,10251,10833,12473,13390,14098,15998,18222,20330,24753,25899,25354,28892,29745,27094,25832,24869,24817,25831,26909,28007,27499,25866,40339,41865,41693,42583,37518,49470,67148,70800,81760,79925,73592,72535,75641,77300,82305,84781,83033,82060,88699,93270,94274,94945,97516,111284,123327
"16000","Idaho","7","SA50","160","...","    Other taxes 5/",613,671,821,1162,1369,1423,1390,1455,1501,1573,1665,1769,1823,1892,2095,2259,2401,2606,2571,2784,3102,3618,3967,3937,4231,3680,5116,6166,6479,6188,5602,6285,6639,8755,9985,10292,10518,10588,11397,13996,14780,15006,9793,18181,24875,30414,35298,32804,29737,30066,22316,24115,26060,27362,27298,26079,28903,30523,32752,35624,35816,40061,36594,34777,36041,35393,36354,40535,41700
"16000","Idaho","7","SA50","180","...","  Local governments",198,214,223,195,176,152,118,162,135,154,177,264,275,266,203,318,343,287,379,328,267,313,443,538,444,481,775,838,840,813,1169,1105,1377,1464,1839,1671,1767,1766,1463,1311,1586,1682,1942,2393,2753,2955,4191,3912,4364,4649,6569,6811,5933,6441,7019,7880,9085,9995,10581,16817,15306,14898,13486,15329,18250,19075,20741,21725,22770
"16000","Idaho","7","SA50","190","...","    Income taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16000","Idaho","7","SA50","200","...","    Motor vehicle licenses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,108,152,177,199,236,264,237,240,403,388,484,509,781,632,666,733,736,545,782,777,1013,1296,1359,1188,1762,1548,1759,1836,2283,2377,2157,2157,2244,2383,2449,2645,2775,2939,3128,3012,2453,4088,4482,3503,4709,4830,4969
"16000","Idaho","7","SA50","210","...","    Other taxes",198,214,223,195,176,152,118,162,135,154,177,264,275,266,203,318,343,287,379,328,267,239,335,386,267,282,539,574,603,573,766,717,893,955,1058,1039,1101,1033,727,766,804,905,929,1097,1394,1767,2429,2364,2605,2813,4286,4434,3776,4284,4775,5497,6636,7350,7806,13878,12178,11886,11033,11241,13768,15572,16032,16895,17801
"16000","Idaho","7","SA50","230","...","  State and local personal property taxes",151,169,181,196,212,230,245,253,241,225,293,548,652,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Note: See the included footnote file."
"SA50: Personal Current Taxes"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
