"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"17000","Illinois","3","SA50","10","...","Personal income (thousands of dollars)",15599591,14721904,16167633,18019341,18944142,20257903,20403993,21710749,23705466,24719771,24962280,26482475,27344027,28411561,29980424,31164087,33305619,36124319,39162441,41645120,44613740,48573584,51639877,55448181,60156806,67032643,73316761,80076194,86911427,95536857,105451880,115662707,125267355,138797538,146883163,153272385,168779744,177588231,186842150,197670677,212990719,226785013,240750225,245973750,266535770,275770452,290484504,308423705,328069414,346357612,367569484,383408287,412843444,426266101,431913030,439257453,456106668,474731421,507325828,536586280,552691325,524590671,535463835,562292466,587601163,600782652,628783275,652685245,663338023
"17000","Illinois","3","SA50","15","...","  Less: Personal current taxes",1607372,1323205,1471069,2127901,2419574,2522922,2283222,2283535,2783311,2883281,2771470,2949358,3229436,3265061,3540567,3608662,3448467,3824045,4423260,4848826,5634525,6922508,7117840,6892602,8155873,8728479,9840315,9739638,11377731,12743829,14351067,16492379,17641501,19768402,18725496,18615250,19687478,21216436,22074682,25096835,25854055,28843868,30483661,29934031,31015748,33132353,35890624,38630533,42831298,47482701,52239298,55148620,59351598,58666668,51095714,47220490,48046104,54373814,61118742,68197749,69207930,51477088,55174975,67043845,70928134,77633491,80827160,86343372,85080489
"17000","Illinois","3","SA50","16","...","Equals: Disposable personal income",13992219,13398699,14696564,15891440,16524568,17734981,18120771,19427214,20922155,21836490,22190810,23533117,24114591,25146500,26439857,27555425,29857152,32300274,34739181,36796294,38979215,41651076,44522037,48555579,52000933,58304164,63476446,70336556,75533696,82793028,91100813,99170328,107625854,119029136,128157667,134657135,149092266,156371795,164767468,172573842,187136664,197941145,210266564,216039719,235520022,242638099,254593880,269793172,285238116,298874911,315330186,328259667,353491846,367599433,380817316,392036963,408060564,420357607,446207086,468388531,483483395,473113583,480288860,495248621,516673029,523149161,547956115,566341873,578257534
"17000","Illinois","3","SA50","20","...","Population (persons) 1/",8552000,8670000,8738000,8790000,8956000,9065000,9252000,9435000,9530000,9668000,9886000,9986000,10086000,10130000,10280000,10402000,10580000,10693000,10836000,10947000,10995000,11039000,11124681,11205816,11258111,11260248,11273745,11306351,11360274,11406312,11434421,11422782,11434702,11443461,11423413,11408817,11412128,11399803,11387256,11391176,11390186,11409782,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12841578,12860012,12870798,12879505,12867544,12839047,12801539
"17000","Illinois","3","SA50","30","...","Per capita personal income (dollars) 2/",1824,1698,1850,2050,2115,2235,2205,2301,2487,2557,2525,2652,2711,2805,2916,2996,3148,3378,3614,3804,4058,4400,4642,4948,5343,5953,6503,7082,7650,8376,9222,10126,10955,12129,12858,13435,14790,15578,16408,17353,18699,19876,21020,21262,22792,23351,24385,25684,27109,28423,29952,31023,33202,34133,34483,34984,36228,37648,40124,42265,43358,40994,41698,43724,45654,46646,48866,50836,51817
"17000","Illinois","3","SA50","50","...","Per capita disposable personal income (dollars) 3/",1636,1545,1682,1808,1845,1956,1959,2059,2195,2259,2245,2357,2391,2482,2572,2649,2822,3021,3206,3361,3545,3773,4002,4333,4619,5178,5630,6221,6649,7259,7967,8682,9412,10401,11219,11803,13064,13717,14469,15150,16430,17348,18359,18674,20140,20546,21372,22467,23570,24527,25695,26560,28429,29435,30403,31223,32412,33336,35290,36893,37929,36971,37401,38511,40143,40619,42584,44111,45171
"17000","Illinois","3","SA50","60","...","Personal current taxes",1607372,1323205,1471069,2127901,2419574,2522922,2283222,2283535,2783311,2883281,2771470,2949358,3229436,3265061,3540567,3608662,3448467,3824045,4423260,4848826,5634525,6922508,7117840,6892602,8155873,8728479,9840315,9739638,11377731,12743829,14351067,16492379,17641501,19768402,18725496,18615250,19687478,21216436,22074682,25096835,25854055,28843868,30483661,29934031,31015748,33132353,35890624,38630533,42831298,47482701,52239298,55148620,59351598,58666668,51095714,47220490,48046104,54373814,61118742,68197749,69207930,51477088,55174975,67043845,70928134,77633491,80827160,86343372,85080489
"17000","Illinois","3","SA50","70","...","  Federal government 4/",1569538,1281635,1425792,2077148,2365249,2465971,2221155,2215654,2712030,2803881,2686659,2834626,3108608,3142700,3423123,3485707,3328319,3703300,4304477,4719965,5491948,6536297,6185935,5861369,7026042,7524084,8481855,8304280,9761827,10979481,12376902,14334330,15331566,17288128,16161840,15676749,16420685,18101602,18780840,21468933,21924629,24397130,25322583,24860070,25651559,27566431,30011369,32322621,36110520,40139729,44464233,46869763,50769875,50261068,42377354,38861774,39477779,44890622,50863618,57389659,57696960,41046804,44191419,52183235,53915274,59458455,63564039,69831837,69428134
"17000","Illinois","3","SA50","80","...","    Income taxes (net of refunds) 4/",1569538,1281635,1425792,2077148,2365249,2465971,2221155,2215654,2712030,2803881,2686659,2834626,3108608,3142700,3423123,3485707,3328319,3703300,4304477,4719965,5491948,6536297,6185935,5861369,7026042,7524084,8481855,8304280,9761827,10979481,12376902,14334330,15331566,17288128,16161840,15676749,16420685,18101602,18780840,21468933,21924629,24397130,25322583,24860070,25651559,27566431,30011369,32322621,36110520,40139729,44464233,46869763,50769875,50261068,42377354,38861774,39477779,44890622,50863618,57389659,57696960,41046804,44191419,52183235,53915274,59458455,63564039,69831837,69428134
"17000","Illinois","3","SA50","81","...","      Income taxes (gross) 4/",1724296,1487217,1568450,2223092,2539363,2671374,2448764,2459643,2949939,3082566,2991828,3146566,3422537,3488918,3781912,3872429,3720991,4026304,4690468,5236443,6091644,7164243,6994496,6718712,7853831,8809371,9865386,10249665,11261446,12627028,14167009,16236650,17805373,19863885,19032564,18548182,19608699,21319544,22085551,24647256,25377084,27677915,28772776,28695234,29438127,31189296,33827824,36512721,40426517,44669343,49316220,52935741,57347623,57506341,51228079,47529592,48510267,53444646,60053890,66988469,70899044,53854265,55568405,62358908,64547317,69710373,73956530,80286321,80529825
