"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"26000","Michigan","3","SA50","10","...","Personal income (thousands of dollars)",9690548,9634178,10994905,12312257,13184086,14993087,14614792,16237553,16941407,17417933,17079633,18076327,18837597,18912124,20272536,21650297,23749771,26372945,28754364,29956184,33115209,35930901,37166325,40419874,44882437,50073719,53567368,57302941,64001599,71984775,80263659,87967096,94142514,100693108,103937962,110447808,122143721,132507384,141065411,146705873,156538879,168621581,176444356,180155777,191165165,201354672,216514159,228975422,241000500,253799739,269316721,283455635,302464029,307585685,307775244,314347960,323453268,329803615,337588867,346957762,354545792,336321819,347723348,369367635,382627062,388175044,404864143,427199321,439361467
"26000","Michigan","3","SA50","15","...","  Less: Personal current taxes",899733,755831,944230,1361281,1598774,1914120,1607638,1752660,1928224,1952090,1663602,1853365,2055633,1927605,2228907,2449763,2418536,2783456,3174400,3361281,4250094,5165803,4837862,4922196,6151846,6587282,6821482,6479721,8145435,9755561,11508026,12640592,12329334,13504863,12711462,13793085,14960797,17054478,17946080,19022857,19627187,21756732,21940587,21645824,21848512,24506780,27000421,29349369,31996736,34566270,37989231,39678842,40998292,39921926,34358932,32327337,31770509,34044776,35669998,38383845,38668439,28398011,31204309,37038536,39269316,43154242,44837906,49066058,50263735
"26000","Michigan","3","SA50","16","...","Equals: Disposable personal income",8790815,8878347,10050675,10950976,11585312,13078967,13007154,14484893,15013183,15465843,15416031,16222962,16781964,16984519,18043629,19200534,21331235,23589489,25579964,26594903,28865115,30765098,32328463,35497678,38730591,43486437,46745886,50823220,55856164,62229214,68755633,75326504,81813180,87188245,91226500,96654723,107182924,115452906,123119331,127683016,136911692,146864849,154503769,158509953,169316653,176847892,189513738,199626053,209003764,219233469,231327490,243776793,261465737,267663759,273416312,282020623,291682759,295758839,301918869,308573917,315877353,307923808,316519039,332329099,343357746,345020802,360026237,378133263,389097732
"26000","Michigan","3","SA50","20","...","Population (persons) 1/",6213000,6332000,6407000,6497000,6650000,6822000,7066000,7285000,7467000,7569000,7667000,7767000,7834000,7893000,7933000,8058000,8187000,8357000,8512000,8630000,8696000,8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9877495,9876213,9887238,9898982,9915767,9917715,9928300
"26000","Michigan","3","SA50","30","...","Per capita personal income (dollars) 2/",1560,1522,1716,1895,1983,2198,2068,2229,2269,2301,2228,2327,2405,2396,2555,2687,2901,3156,3378,3471,3808,4092,4178,4505,4973,5520,5880,6292,7020,7861,8722,9511,10171,10934,11403,12207,13497,14599,15455,15968,16982,18223,18949,19165,20167,21106,22559,23664,24696,25874,27348,28640,30391,30786,30729,31306,32167,32813,33638,34691,35644,33966,35204,37400,38699,39214,40830,43074,44253
"26000","Michigan","3","SA50","50","...","Per capita disposable personal income (dollars) 3/",1415,1402,1569,1686,1742,1917,1841,1988,2011,2043,2011,2089,2142,2152,2275,2383,2606,2823,3005,3082,3319,3504,3634,3957,4292,4794,5132,5580,6126,6796,7472,8144,8839,9467,10008,10683,11844,12720,13488,13897,14853,15872,16593,16862,17862,18537,19746,20631,21417,22350,23490,24631,26271,26790,27299,28086,29008,29425,30083,30853,31756,31098,32044,33649,34727,34854,36308,38127,39191
"26000","Michigan","3","SA50","60","...","Personal current taxes",899733,755831,944230,1361281,1598774,1914120,1607638,1752660,1928224,1952090,1663602,1853365,2055633,1927605,2228907,2449763,2418536,2783456,3174400,3361281,4250094,5165803,4837862,4922196,6151846,6587282,6821482,6479721,8145435,9755561,11508026,12640592,12329334,13504863,12711462,13793085,14960797,17054478,17946080,19022857,19627187,21756732,21940587,21645824,21848512,24506780,27000421,29349369,31996736,34566270,37989231,39678842,40998292,39921926,34358932,32327337,31770509,34044776,35669998,38383845,38668439,28398011,31204309,37038536,39269316,43154242,44837906,49066058,50263735
"26000","Michigan","3","SA50","70","...","  Federal government 4/",877569,731359,916668,1329212,1564903,1877612,1569534,1710940,1883877,1904383,1615739,1796651,1996705,1867535,2164466,2331125,2274513,2627908,3010251,3139758,3659325,4499790,4110062,4017029,4929943,5266053,5509274,5204239,6490121,7937841,9249178,10254539,9974391,11014573,9983827,10402730,11372190,13235664,13794476,14957711,15061873,16945834,17213887,16825990,17131538,18643167,21251540,22992014,25231746,27295921,30261167,31251702,32515580,31856935,26872878,25013947,24249253,26341238,27743398,30144148,29808288,21394835,23899087,28818833,30433673,33234684,35016413,38141699,38739156
"26000","Michigan","3","SA50","80","...","    Income taxes (net of refunds) 4/",877569,731359,916668,1329212,1564903,1877612,1569534,1710940,1883877,1904383,1615739,1796651,1996705,1867535,2164466,2331125,2274513,2627908,3010251,3139758,3659325,4499790,4110062,4017029,4929943,5266053,5509274,5204239,6490121,7937841,9249178,10254539,9974391,11014573,9983827,10402730,11372190,13235664,13794476,14957711,15061873,16945834,17213887,16825990,17131538,18643167,21251540,22992014,25231746,27295921,30261167,31251702,32515580,31856935,26872878,25013947,24249253,26341238,27743398,30144148,29808288,21394835,23899087,28818833,30433673,33234684,35016413,38141699,38739156
"26000","Michigan","3","SA50","81","...","      Income taxes (gross) 4/",959689,845294,997603,1422176,1676344,2013213,1741210,1884930,2066163,2099093,1823249,1986751,2198837,2099091,2394406,2597950,2567261,2880532,3332740,3577728,4159450,5034505,4821193,4755316,5662482,6424103,6769516,6869836,7732546,9339893,10713582,11959032,12106283,13193178,12420368,12829175,14095708,15852020,16632009,17839288,17814244,19487203,19910344,19793074,20049328,21445337,24166522,26161562,28555759,30777743,33998074,35994894,37650453,37464758,33511770,31543978,30926845,32644249,34377480,36922468,38756337,29646297,31491424,35569119,37379421,39889642,41652542,44813189,45870404
"26000","Michigan","3","SA50","82","...","      Less: Refunds",82120,113935,80935,92964,111441,135601,171676,173990,182286,194710,207510,190100,202132,231556,229940,266825,292748,252624,322489,437970,500125,534715,711131,738287,732539,1158050,1260242,1665597,1242425,1402052,1464404,1704493,2131892,2178605,2436541,2426445,2723518,2616356,2837533,2881577,2752371,2541369,2696457,2967084,2917790,2802170,2914982,3169548,3324013,3481822,3736907,4743192,5134873,5607823,6638892,6530031,6677592,6303011,6634082,6778320,8948049,8251462,7592337,6750286,6945748,6654958,6636129,6671490,7131248
"26000","Michigan","3","SA50","120","...","  State governments",18473,20372,23171,27450,28956,31258,32528,35579,38304,41621,41968,46832,48343,49040,51580,52755,54186,59724,57082,112068,452824,525976,586934,766829,1053109,1149959,1123441,1084171,1433232,1597630,2022529,2148457,2142926,2264069,2392405,3042571,3239583,3429507,3744542,3667981,4035233,4261605,4200921,4297854,4190354,5258437,5149385,5722545,6097664,6589324,7038665,7687922,7725588,7324495,6792091,6582038,6748319,6883249,7067428,7367692,8043263,6287291,6578645,7463928,8056662,9143501,9050979,10132767,10693211
"26000","Michigan","3","SA50","130","...","    Income taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52352,382478,424157,466643,638882,923194,1008942,985826,948876,1289605,1437168,1843703,1951837,1949246,2062801,2178004,2807739,2978207,3157123,3447144,3335981,3630321,3819193,3748208,3834813,3691751,4782716,4656208,5201132,5590283,6036213,6433593,7057151,7050910,6643249,6065573,5813611,5889273,6124604,6287839,6559784,7270556,5433801,5588403,6462650,7052153,8133472,8005069,9024926,9510795
"26000","Michigan","3","SA50","150","...","    Motor vehicle licenses",15982,17623,19537,21955,22862,25081,26648,29590,32337,35060,34779,39772,41695,42600,44747,45598,46886,51864,49881,53160,59308,98995,108300,113660,119575,129187,125677,121693,129339,143412,158548,181722,172379,173324,190729,211468,232094,247687,261441,289148,353914,394523,402405,409932,447041,428982,443298,475849,462785,500046,547733,576739,618536,621585,660720,697877,775664,675595,686504,679125,658223,653407,665471,682673,704226,721823,745689,777177,813211
"26000","Michigan","3","SA50","160","...","    Other taxes 5/",2491,2749,3634,5495,6094,6177,5880,5989,5967,6561,7189,7060,6648,6440,6833,7157,7300,7860,7201,6556,11038,2824,11991,14287,10340,11830,11938,13602,14288,17050,20278,14898,21301,27944,23672,23364,29282,24697,35957,42852,50998,47889,50308,53109,51562,46739,49879,45564,44596,53065,57339,54032,56142,59661,65798,70550,83382,83050,93085,128783,114484,200083,324771,318605,300283,288206,300221,330664,369205
"26000","Michigan","3","SA50","180","...","  Local governments",544,587,612,540,486,472,481,880,1016,1408,936,1694,1570,1237,1396,48844,67670,67728,74084,69957,91193,126154,126941,124848,155725,158033,175669,178196,203880,202581,215816,215519,188452,205581,303742,288401,312988,344082,355739,331732,422864,417574,410610,404671,400965,383324,425698,471953,483417,512455,545871,576132,601545,555632,491711,517787,542020,517487,534790,524132,484282,416513,415698,431727,468561,482725,493986,515185,546302
"26000","Michigan","3","SA50","190","...","    Income taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45998,64064,63316,69170,67055,88014,122209,122399,120855,151646,153995,169460,171732,196089,194539,205460,205806,177320,192819,290636,274424,297709,328932,343032,318507,406789,401028,394561,388535,381554,358914,400949,451131,461672,488988,516747,545963,569498,524560,461854,483423,500535,471534,485984,496552,462160,394152,391596,405849,434617,444661,455251,474363,503291
"26000","Michigan","3","SA50","200","...","    Motor vehicle licenses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,69,59,82,78,68,66,60,58,58,146,96,139,244,180,178,176,184,184,233,318,291,257,263,346,368,355,370,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
