"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"28000","Mississippi","5","SA50","10","...","Personal income (thousands of dollars)",1656140,1480866,1697040,1872552,1982546,2012926,1958033,2208231,2251740,2278589,2470880,2737371,2774532,3005878,3136382,3445900,3566493,3876351,4229277,4572377,4998486,5534346,6064385,6718511,7653682,8743228,9609803,10424635,11820319,13153529,14647559,16553596,17998291,20205005,21340298,22336974,24400947,25725576,26678772,28202012,30162096,32651634,34267522,36072135,38903231,41442376,44847540,47381736,50290838,53121279,56289949,58160798,61339361,64911727,65905820,68443211,72400140,77222001,80500778,85615593,90094129,88174096,90800430,94576285,98264480,99663477,102378364,103901356,106052785
"28000","Mississippi","5","SA50","15","...","  Less: Personal current taxes",74636,67430,75462,102550,117712,116344,112935,118480,140892,141311,151309,182801,201659,196321,229933,257140,241248,273382,328681,351979,410439,480724,550144,515610,687550,739951,901240,826077,1036055,1121709,1397579,1635842,1788634,2141126,1917953,2086639,2168486,2295194,2272598,2483873,2555542,2908891,3069674,3092919,3291223,3618223,4048290,4354600,4756039,5142820,5547362,5766823,5947615,6223441,5441521,5285648,4998785,5779832,6764923,7118408,7776898,6131906,6902645,7161671,7565981,8215214,8332102,8799273,8826667
"28000","Mississippi","5","SA50","16","...","Equals: Disposable personal income",1581504,1413436,1621578,1770002,1864834,1896582,1845098,2089751,2110848,2137278,2319571,2554570,2572873,2809557,2906449,3188760,3325245,3602969,3900596,4220398,4588047,5053622,5514241,6202901,6966132,8003277,8708563,9598558,10784264,12031820,13249980,14917754,16209657,18063879,19422345,20250335,22232461,23430382,24406174,25718139,27606554,29742743,31197848,32979216,35612008,37824153,40799250,43027136,45534799,47978459,50742587,52393975,55391746,58688286,60464299,63157563,67401355,71442169,73735855,78497185,82317231,82042190,83897785,87414614,90698499,91448263,94046262,95102083,97226118
"28000","Mississippi","5","SA50","20","...","Population (persons) 1/",2076000,2085000,2176000,2163000,2152000,2105000,2064000,2060000,2086000,2088000,2086000,2138000,2182000,2206000,2243000,2244000,2241000,2246000,2245000,2228000,2219000,2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970322,2978162,2984945,2990482,2992400,2989390,2988726
"28000","Mississippi","5","SA50","30","...","Per capita personal income (dollars) 2/",798,710,780,866,921,956,949,1072,1079,1091,1185,1280,1272,1363,1398,1536,1591,1726,1884,2052,2253,2493,2730,2966,3317,3721,4040,4344,4864,5347,5887,6600,7127,7958,8347,8699,9465,9940,10286,10895,11689,12684,13288,13881,14827,15609,16678,17403,18300,19129,20069,20563,21535,22752,23055,23862,25061,26574,27711,29237,30563,29801,30569,31757,32920,33327,34213,34757,35484
"28000","Mississippi","5","SA50","50","...","Per capita disposable personal income (dollars) 3/",762,678,745,818,867,901,894,1014,1012,1024,1112,1195,1179,1274,1296,1421,1484,1604,1737,1894,2068,2276,2483,2738,3019,3406,3661,4000,4437,4891,5325,5948,6419,7114,7596,7887,8624,9053,9410,9935,10699,11554,12097,12690,13573,14246,15173,15803,16570,17277,18091,18524,19447,20571,21151,22019,23330,24585,25383,26806,27925,27728,28245,29352,30385,30580,31428,31813,32531
"28000","Mississippi","5","SA50","60","...","Personal current taxes",74636,67430,75462,102550,117712,116344,112935,118480,140892,141311,151309,182801,201659,196321,229933,257140,241248,273382,328681,351979,410439,480724,550144,515610,687550,739951,901240,826077,1036055,1121709,1397579,1635842,1788634,2141126,1917953,2086639,2168486,2295194,2272598,2483873,2555542,2908891,3069674,3092919,3291223,3618223,4048290,4354600,4756039,5142820,5547362,5766823,5947615,6223441,5441521,5285648,4998785,5779832,6764923,7118408,7776898,6131906,6902645,7161671,7565981,8215214,8332102,8799273,8826667
"28000","Mississippi","5","SA50","70","...","  Federal government 4/",63464,55081,62633,88877,102912,100936,97593,102371,122674,121733,131197,156048,172800,165790,197123,222523,205218,235189,288430,310017,366451,419481,471652,430995,588467,624481,772997,692162,882395,939974,1180356,1389062,1569919,1883579,1654597,1789523,1821721,1951753,1917257,2089333,2110858,2408163,2534869,2534940,2657801,2886525,3244829,3504607,3845875,4186637,4498403,4617553,4776901,5039047,4250037,3982687,3739114,4358568,5269459,5537692,5980302,4445476,5252085,5396746,5643263,6151141,6303397,6659113,6662206
"28000","Mississippi","5","SA50","80","...","    Income taxes (net of refunds) 4/",63464,55081,62633,88877,102912,100936,97593,102371,122674,121733,131197,156048,172800,165790,197123,222523,205218,235189,288430,310017,366451,419481,471652,430995,588467,624481,772997,692162,882395,939974,1180356,1389062,1569919,1883579,1654597,1789523,1821721,1951753,1917257,2089333,2110858,2408163,2534869,2534940,2657801,2886525,3244829,3504607,3845875,4186637,4498403,4617553,4776901,5039047,4250037,3982687,3739114,4358568,5269459,5537692,5980302,4445476,5252085,5396746,5643263,6151141,6303397,6659113,6662206
"28000","Mississippi","5","SA50","81","...","      Income taxes (gross) 4/",69999,63377,68672,95241,110354,109857,106950,113025,133567,134274,144410,171003,190165,185846,217503,246775,233229,258444,317755,352483,416706,474261,540011,515400,669541,764276,926126,924937,1127975,1197030,1467980,1698395,1997678,2326413,2185645,2308394,2415002,2564047,2548990,2691308,2842331,3166177,3252229,3327682,3466794,3639916,4007796,4377140,4798172,5215810,5593107,5925496,6186618,6539040,5944380,5676819,5491988,6103178,7273887,7599950,8729126,6954707,7775805,7893465,8048988,8423858,8503179,8845132,8959944
"28000","Mississippi","5","SA50","82","...","      Less: Refunds",6535,8296,6039,6364,7442,8921,9357,10654,10893,12541,13213,14955,17365,20056,20380,24252,28011,23255,29325,42466,50255,54780,68359,84405,81074,139795,153129,232775,245580,257056,287624,309333,427759,442834,531048,518871,593281,612294,631733,601975,731473,758014,717360,792742,808993,753391,762967,872533,952297,1029173,1094704,1307943,1409717,1499993,1694343,1694132,1752874,1744610,2004428,2062258,2748824,2509231,2523720,2496719,2405725,2272717,2199782,2186019,2297738
"28000","Mississippi","5","SA50","120","...","  State governments",7062,7781,7997,8607,9385,9624,9214,9566,11883,13416,13642,15476,16199,16641,17321,17051,17600,18706,19566,20568,21724,37600,57756,62613,75211,92397,106211,111178,133092,162496,195484,223386,193368,233429,236461,265014,321751,321635,326971,362378,407644,462584,511126,521728,581626,685180,746958,814017,860920,916366,1007095,1098307,1117941,1124753,1121216,1227932,1177126,1319699,1376541,1479660,1692079,1587101,1541138,1648668,1805259,1927127,1911735,2013728,2033583
"28000","Mississippi","5","SA50","130","...","    Income taxes",4046,4444,4241,4715,5339,5300,4588,4266,5262,6097,6149,6967,7754,7907,8096,7770,8365,9018,9808,10510,10971,24727,45975,50206,60372,72869,86540,90435,112642,141867,173072,197959,164057,199018,192024,216408,271803,268263,273724,311605,361106,418790,463770,473251,518912,614085,665964,724024,770524,820317,909173,1001248,1014334,1022963,1016046,1121130,1068119,1209544,1256220,1349065,1562257,1449762,1369195,1431609,1583790,1726247,1702568,1807757,1840092
