"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"32000","Nevada","8","SA50","10","...","Personal income (thousands of dollars)",279386,289670,334214,384371,450099,495773,535226,622234,649238,696462,737174,807317,883612,978410,1170203,1316740,1425527,1525668,1607834,1706746,1991653,2256915,2534085,2831306,3161804,3582008,3970562,4478263,5094225,5899270,7128031,8270217,9565424,10882149,11641320,12367311,13493387,14709192,15912885,17403811,19785829,22278166,24994589,27487103,30503405,32961951,36518231,40086322,44341628,48512959,53873615,58542856,64403145,68307123,70519000,75123100,83711491,93970899,100730483,104399125,103001444,97399708,99534123,103259252,107930003,108503500,115355475,124341475,128089633
"32000","Nevada","8","SA50","15","...","  Less: Personal current taxes",31443,25250,33192,43563,60604,55945,63347,68743,76466,83057,84081,86636,101788,120401,138512,162522,148109,155106,168042,182393,249584,325841,284009,288871,340105,385688,441159,396127,523566,638759,835764,1031927,1137727,1325188,1325943,1322606,1425246,1624414,1791405,2034552,2373370,2679173,3038372,3094651,3469789,3856532,4146129,4573435,5497698,5910871,6858874,7446075,8308430,8348907,7445098,7384741,8640719,10589702,11316322,11709501,10471905,8132935,8355560,9243905,9925357,11377222,11595051,12992305,13421812
"32000","Nevada","8","SA50","16","...","Equals: Disposable personal income",247943,264420,301022,340808,389495,439828,471879,553491,572772,613405,653093,720681,781824,858009,1031691,1154218,1277418,1370562,1439792,1524353,1742069,1931074,2250076,2542435,2821699,3196320,3529403,4082136,4570659,5260511,6292267,7238290,8427697,9556961,10315377,11044705,12068141,13084778,14121480,15369259,17412459,19598993,21956217,24392452,27033616,29105419,32372102,35512887,38843930,42602088,47014741,51096781,56094715,59958216,63073902,67738359,75070772,83381197,89414161,92689624,92529539,89266773,91178563,94015347,98004646,97126278,103760424,111349170,114667821
"32000","Nevada","8","SA50","20","...","Population (persons) 1/",156000,157000,162000,168000,181000,195000,213000,237000,250000,260000,269000,279000,291000,315000,352000,397000,426000,444000,446000,449000,464000,480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2703284,2718379,2752565,2786464,2833013,2883758,2940058
"32000","Nevada","8","SA50","30","...","Per capita personal income (dollars) 2/",1791,1845,2063,2288,2487,2542,2513,2625,2597,2679,2740,2894,3036,3106,3324,3317,3346,3436,3605,3801,4292,4702,5138,5445,5783,6296,6654,7225,7876,8699,9909,10809,11806,12838,13206,13711,14589,15467,16227,17006,18405,19587,20476,21206,22572,23357,24357,25346,26611,27500,29071,30259,31903,32552,32441,33405,35679,38637,39930,40137,38815,36280,36820,37986,39211,38939,40718,43118,43567
"32000","Nevada","8","SA50","50","...","Per capita disposable personal income (dollars) 3/",1589,1684,1858,2029,2152,2256,2215,2335,2291,2359,2428,2583,2687,2724,2931,2907,2999,3087,3228,3395,3754,4023,4562,4889,5161,5618,5915,6586,7066,7757,8747,9460,10402,11275,11702,12245,13048,13759,14401,15018,16197,17232,17987,18819,20005,20624,21592,22454,23311,24149,25370,26410,27787,28573,29016,30121,31996,34283,35444,35635,34869,33251,33729,34585,35605,34856,36625,38613,39002
"32000","Nevada","8","SA50","60","...","Personal current taxes",31443,25250,33192,43563,60604,55945,63347,68743,76466,83057,84081,86636,101788,120401,138512,162522,148109,155106,168042,182393,249584,325841,284009,288871,340105,385688,441159,396127,523566,638759,835764,1031927,1137727,1325188,1325943,1322606,1425246,1624414,1791405,2034552,2373370,2679173,3038372,3094651,3469789,3856532,4146129,4573435,5497698,5910871,6858874,7446075,8308430,8348907,7445098,7384741,8640719,10589702,11316322,11709501,10471905,8132935,8355560,9243905,9925357,11377222,11595051,12992305,13421812
"32000","Nevada","8","SA50","70","...","  Federal government 4/",30087,23718,31442,41453,58268,53447,60757,65904,73446,79774,81019,82060,96352,114621,131996,154779,139488,146395,158958,172626,239435,314029,269428,274888,326415,368486,421832,375976,502265,616460,810657,1000364,1098869,1287084,1285919,1279893,1381841,1575351,1736274,1979023,2313586,2605894,2959389,3011239,3354761,3746794,4026204,4446907,5355007,5754117,6691413,7266395,8096688,8129917,7179514,7103420,8314659,10232680,10912765,11333975,10122551,7807416,8010807,8920345,9601915,11051331,11255789,12595989,13007212
"32000","Nevada","8","SA50","80","...","    Income taxes (net of refunds) 4/",30087,23718,31442,41453,58268,53447,60757,65904,73446,79774,81019,82060,96352,114621,131996,154779,139488,146395,158958,172626,239435,314029,269428,274888,326415,368486,421832,375976,502265,616460,810657,1000364,1098869,1287084,1285919,1279893,1381841,1575351,1736274,1979023,2313586,2605894,2959389,3011239,3354761,3746794,4026204,4446907,5355007,5754117,6691413,7266395,8096688,8129917,7179514,7103420,8314659,10232680,10912765,11333975,10122551,7807416,8010807,8920345,9601915,11051331,11255789,12595989,13007212
"32000","Nevada","8","SA50","81","...","      Income taxes (gross) 4/",33096,27630,34071,44599,61731,58395,65718,72448,80423,87324,89575,91256,105690,126058,146362,171964,160288,163601,179267,199167,271268,354415,327826,333401,386206,460324,526719,526484,615511,748300,938427,1141077,1294532,1515565,1548012,1610460,1601062,1823132,2014302,2269854,2634644,2930320,3299729,3415154,3759860,4154083,4472837,4962998,5917410,6372587,7382394,8159210,9076297,9256072,8538011,8527087,9792411,11792597,12785175,13386989,13071023,10569298,10785797,11439631,12114392,13185782,13465717,14843168,15497412
"32000","Nevada","8","SA50","82","...","      Less: Refunds",3009,3912,2629,3146,3463,4948,4961,6544,6977,7550,8556,9196,9338,11437,14366,17185,20800,17206,20309,26541,31833,40386,58398,58513,59791,91838,104887,150508,113246,131840,127770,140713,195663,228481,262093,330567,219221,247781,278028,290831,321058,324426,340340,403915,405099,407289,446633,516091,562403,618470,690981,892815,979609,1126155,1358497,1423667,1477752,1559917,1872410,2053014,2948472,2761882,2774990,2519286,2512477,2134451,2209928,2247179,2490200
"32000","Nevada","8","SA50","120","...","  State governments",456,534,693,1018,1186,1271,1287,1352,1539,1725,1525,1657,2034,2220,2790,2789,3380,3406,3104,3877,3822,4533,6080,5502,5658,7420,8576,8907,9091,9640,10534,15440,19862,16351,19948,20837,24173,26925,29952,33660,37042,39422,40482,40933,66372,66786,68639,72763,71964,79228,84104,86530,88721,92026,99660,103064,113673,119612,127890,132019,127209,129059,132415,133305,137952,140121,146592,159684,169497
