"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"40000","Oklahoma","6","SA50","10","...","Personal income (thousands of dollars)",2397781,2491327,2600743,2923663,3200585,3320741,3329860,3517491,3741371,3915159,4218991,4401114,4619375,4779230,4982550,5151285,5517388,5912125,6341001,6924328,7580411,8439742,9303935,10137739,11121845,12610044,14034223,15692235,17268685,19196673,21786046,25286386,29132371,34025236,37993649,38869340,41684153,43419381,43625647,43450859,45332471,48329950,50948903,52474225,55898923,58123375,60728231,63398165,67140318,70867876,74608546,76587362,82845740,87908711,89658607,93650150,101088757,110225753,122267011,127684113,142149545,129819128,135011290,145616058,156874413,164437285,175210238,171788102,167502814
"40000","Oklahoma","6","SA50","15","...","  Less: Personal current taxes",193555,156693,188952,260558,313201,317396,296724,304621,345972,383130,375164,407864,432423,464453,488587,499258,490574,523856,593903,658635,767430,967358,967277,944402,1177484,1237878,1576298,1554773,1811685,2120090,2604258,3087826,3740128,4814014,5609650,4627686,4622023,4777234,3941929,4457792,4649651,5192099,6034772,5764448,5901600,6106701,6481274,6795942,7491038,8371735,8944381,9277922,10017185,10598924,9101813,8691197,9088771,10780814,12594006,13659115,14624408,10617904,11108113,13761427,14506808,15647253,16534235,16628107,16064550
"40000","Oklahoma","6","SA50","16","...","Equals: Disposable personal income",2204226,2334634,2411791,2663105,2887384,3003345,3033136,3212870,3395399,3532029,3843827,3993250,4186952,4314777,4493963,4652027,5026814,5388269,5747098,6265693,6812981,7472384,8336658,9193337,9944361,11372166,12457925,14137462,15457000,17076583,19181788,22198560,25392243,29211222,32383999,34241654,37062130,38642147,39683718,38993067,40682820,43137851,44914131,46709777,49997323,52016674,54246957,56602223,59649280,62496141,65664165,67309440,72828555,77309787,80556794,84958953,91999986,99444939,109673005,114024998,127525137,119201224,123903177,131854631,142367605,148790032,158676003,155159995,151438264
"40000","Oklahoma","6","SA50","20","...","Population (persons) 1/",2089000,2105000,2229000,2210000,2219000,2182000,2209000,2250000,2273000,2282000,2267000,2289000,2336000,2380000,2427000,2439000,2446000,2440000,2454000,2489000,2503000,2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759603,3786274,3817054,3852415,3877499,3907414,3923561
"40000","Oklahoma","6","SA50","30","...","Per capita personal income (dollars) 2/",1148,1184,1167,1323,1442,1522,1507,1563,1646,1716,1861,1923,1977,2008,2053,2112,2256,2423,2584,2782,3029,3329,3625,3872,4185,4680,5136,5661,6116,6698,7479,8514,9581,10989,11850,11813,12687,13273,13412,13536,14314,15341,16180,16525,17357,17872,18509,19164,20101,21011,21910,22282,23983,25355,25697,26720,28676,31062,34019,35133,38744,34920,35911,38459,41098,42684,45186,43965,42692
"40000","Oklahoma","6","SA50","50","...","Per capita disposable personal income (dollars) 3/",1055,1109,1082,1205,1301,1376,1373,1428,1494,1548,1696,1745,1792,1813,1852,1907,2055,2208,2342,2517,2722,2948,3248,3512,3742,4221,4559,5100,5475,5958,6585,7474,8351,9435,10101,10407,11280,11812,12200,12147,12846,13693,14264,14710,15525,15994,16534,17110,17858,18529,19284,19583,21083,22298,23088,24240,26098,28024,30515,31374,34758,32064,32956,34824,37298,38623,40922,39709,38597
"40000","Oklahoma","6","SA50","60","...","Personal current taxes",193555,156693,188952,260558,313201,317396,296724,304621,345972,383130,375164,407864,432423,464453,488587,499258,490574,523856,593903,658635,767430,967358,967277,944402,1177484,1237878,1576298,1554773,1811685,2120090,2604258,3087826,3740128,4814014,5609650,4627686,4622023,4777234,3941929,4457792,4649651,5192099,6034772,5764448,5901600,6106701,6481274,6795942,7491038,8371735,8944381,9277922,10017185,10598924,9101813,8691197,9088771,10780814,12594006,13659115,14624408,10617904,11108113,13761427,14506808,15647253,16534235,16628107,16064550
"40000","Oklahoma","6","SA50","70","...","  Federal government 4/",179204,140414,169815,237370,288333,291420,268837,272985,310705,345040,335201,361598,384658,410856,422266,448616,431766,457744,513065,578924,669994,858928,851884,814247,999054,1058624,1364641,1282463,1514679,1791808,2199560,2606018,3195783,4111663,4777793,3776922,3741351,3862816,3035544,3546335,3504200,3982393,4657811,4240114,4259074,4440196,4737569,4873993,5446141,6108347,6490475,6642708,7322704,7860161,6448910,6073512,6280710,7751679,9369556,10486844,11343298,7848618,8355265,10678646,11196641,12131310,12868964,12891594,12413199
"40000","Oklahoma","6","SA50","80","...","    Income taxes (net of refunds) 4/",179204,140414,169815,237370,288333,291420,268837,272985,310705,345040,335201,361598,384658,410856,422266,448616,431766,457744,513065,578924,669994,858928,851884,814247,999054,1058624,1364641,1282463,1514679,1791808,2199560,2606018,3195783,4111663,4777793,3776922,3741351,3862816,3035544,3546335,3504200,3982393,4657811,4240114,4259074,4440196,4737569,4873993,5446141,6108347,6490475,6642708,7322704,7860161,6448910,6073512,6280710,7751679,9369556,10486844,11343298,7848618,8355265,10678646,11196641,12131310,12868964,12891594,12413199
"40000","Oklahoma","6","SA50","81","...","      Income taxes (gross) 4/",194314,163616,185540,254683,308335,316420,296125,303199,340350,377138,372644,400713,425041,454467,470083,498430,484648,502169,564812,646659,751705,945265,972061,948158,1130263,1266022,1587223,1632560,1825658,2120998,2590834,3003410,3750534,4767849,5612592,4844437,4734073,4902495,4073953,4512961,4378259,4818190,5436434,4969953,5119231,5243244,5515131,5754786,6384812,7114929,7562587,7982819,8744268,9380818,8262727,7918538,8154209,9588100,11323261,12563260,14285198,10690869,11115789,13119415,13730977,14687806,15473703,15520865,15242312
